Gene	SUN.A.6.7.1.D2	SUN.A.6.8.1.D3	SUN.A.6.9.1.D4	SUN.A.7.13.1.F3	SUN.A.7.14.1.F4	Min	Max	Median	Mean	Std
ERAS	0	0	0	0	0	0	0	0	0	0
ERBB2	23	7	9	13	8	7	23	9	12	6.557438524302
ERBB2IP	97	93	64	56	64	56	97	64	74.8	18.7803088366512
ERBB3	5	0	3	3	4	0	5	3	3	1.87082869338697
ERBB4	0	2	0	0	0	0	2	0	0.4	0.894427190999916
ERC1	43	32	43	33	28	28	43	33	35.8	6.83373982530795
ERC2-IT1	0	0	0	0	0	0	0	0	0	0
ERCC1	62	53	36	29	46	29	62	46	45.2	13.1415372007996
ERCC2	4	1	1	3	8	1	8	3	3.4	2.88097205817759
ERCC3	46	39	26	26	40	26	46	39	35.4	8.98888202169769
ERCC4	56	41	35	28	39	28	56	39	39.8	10.3295692068934
ERCC5	18	14	11	5	11	5	18	11	11.8	4.76445169982864
ERCC6	16	16	19	11	16	11	19	16	15.6	2.88097205817759
ERCC6L	0	0	2	0	0	0	2	0	0.4	0.894427190999916
ERCC6L2	6	1	4	3	5	1	6	4	3.8	1.92353840616713
ERCC8	37	24	29	19	34	19	37	29	28.6	7.30068489937759
EREG	4	5	2	3	5	2	5	4	3.8	1.30384048104053
ERF	3	0	1	0	0	0	3	0	0.8	1.30384048104053
ERG	14	14	19	10	9	9	19	14	13.2	3.96232255123179
ERGIC1	92	49	74	56	54	49	92	56	65	17.8044938147649
ERGIC2	323	240	228	217	228	217	323	228	247.2	43.1474217074439
ERGIC3	947	671	693	597	690	597	947	690	719.6	132.935322619686
ERH	790	494	567	503	557	494	790	557	582.2	120.518463315792
ERI1	4	8	8	5	8	4	8	8	6.6	1.94935886896179
ERI2	8	6	6	7	7	6	8	7	6.8	0.836660026534076
ERI3	24	8	12	14	13	8	24	13	14.2	5.93295878967653
ERICH1	26	29	32	22	47	22	47	29	31.2	9.57601169589929
ERICH1-AS1	0	0	0	0	0	0	0	0	0	0
ERLEC1	200	144	156	123	112	112	200	144	147	34.2782730020052
ERLIN1	50	34	35	30	35	30	50	35	36.8	7.66159252375118
ERLIN2	63	28	35	34	29	28	63	34	37.8	14.4118007202431
ERMAP	19	7	5	7	11	5	19	7	9.8	5.58569601750758
ERMN	0	0	0	0	0	0	0	0	0	0
ERMP1	6	7	8	6	5	5	8	6	6.4	1.14017542509914
ERN1	0	0	1	1	0	0	1	0	0.4	0.547722557505166
ERN2	0	0	1	0	0	0	1	0	0.2	0.447213595499958
ERO1L	33	19	28	20	19	19	33	20	23.8	6.37965516309463
ERO1LB	2	1	3	1	2	1	3	2	1.8	0.836660026534076
ERP27	0	0	0	0	0	0	0	0	0	0
ERP29	266	157	246	141	181	141	266	181	198.2	55.1062609872962
ERP44	148	89	93	77	102	77	148	93	101.8	27.3441035691427
ERRFI1	32	29	19	52	54	19	54	32	37.2	15.2216950435883
ERV3-1	31	20	21	18	29	18	31	21	23.8	5.80517010948
ERVFRD-1	0	0	0	0	0	0	0	0	0	0
ERVK13-1	12	3	6	4	6	3	12	6	6.2	3.4928498393146
ERVMER34-1	0	0	0	0	0	0	0	0	0	0
ERVV-1	6	1	3	2	2	1	6	2	2.8	1.92353840616713
ESAM	0	0	0	0	0	0	0	0	0	0
ESCO1	71	60	60	41	37	37	71	60	53.8	14.3073407731835
ESCO2	0	0	0	0	0	0	0	0	0	0
ESD	499	310	347	300	334	300	499	334	358	81.0030863609529
ESF1	77	49	65	48	80	48	80	65	63.8	15.0565600320923
ESM1	0	0	1	0	0	0	1	0	0.2	0.447213595499958
ESPL1	0	0	0	0	0	0	0	0	0	0
ESPN	0	0	0	0	0	0	0	0	0	0
ESPNL	0	0	0	0	0	0	0	0	0	0
ESR1	1	4	0	0	0	0	4	0	1	1.73205080756888
ESR2	0	0	0	0	0	0	0	0	0	0
ESRG	8	4	5	4	7	4	8	5	5.6	1.81659021245849
ESRP1	0	0	0	0	0	0	0	0	0	0
ESRP2	0	0	0	0	0	0	0	0	0	0
ESRRA	9	6	6	6	3	3	9	6	6	2.12132034355964
ESRRG	0	0	0	0	0	0	0	0	0	0
ESYT1	78	58	48	52	39	39	78	52	55	14.5945195193264
ESYT2	58	30	42	27	33	27	58	33	38	12.5099960031968
ESYT3	1	0	0	0	0	0	1	0	0.2	0.447213595499958
ETAA1	17	14	16	11	19	11	19	16	15.4	3.04959013639538
ETF1	67	54	53	42	69	42	69	54	57	11.1130553854464
ETFA	115	83	87	75	85	75	115	85	89	15.2315462117278
ETFB	74	56	73	47	55	47	74	56	61	11.9373363863133
ETFDH	38	24	22	27	32	22	38	27	28.6	6.46529195009785
ETHE1	26	22	23	21	19	19	26	22	22.2	2.58843582110896
ETNK1	46	25	30	22	10	10	46	25	26.6	13.1072499022488
ETNK2	1	3	2	4	0	0	4	2	2	1.58113883008419
ETS1	14	15	17	18	16	14	18	16	16	1.58113883008419
ETS2	7	10	6	12	14	6	14	10	9.8	3.3466401061363
ETV1	1	4	0	6	6	0	6	4	3.4	2.79284800875379
ETV2	6	2	2	0	3	0	6	2	2.6	2.19089023002066
ETV3	2	7	2	5	1	1	7	2	3.4	2.50998007960223
ETV4	0	0	0	0	1	0	1	0	0.2	0.447213595499958
ETV5	18	18	14	19	12	12	19	18	16.2	3.03315017762062
ETV6	27	19	18	16	14	14	27	18	18.8	4.96990945591567
ETV7	1	0	1	3	0	0	3	1	1	1.22474487139159
EVA1A	26	14	14	6	15	6	26	14	15	7.14142842854285
EVA1B	12	5	16	17	15	5	17	15	13	4.84767985741633
EVA1C	3	0	3	2	1	0	3	2	1.8	1.30384048104053
EVC	11	9	6	5	5	5	11	6	7.2	2.68328157299975
EVC2	7	6	3	4	2	2	7	4	4.4	2.07364413533277
EVI2A	33	20	17	20	20	17	33	20	22	6.28490254498827
EVI2B	6	2	0	0	3	0	6	2	2.2	2.48997991959775
EVI5	204	136	161	105	113	105	204	136	143.8	40.1086025685264
EVI5L	2	1	3	1	3	1	3	2	2	1
EVL	6	4	9	6	4	4	9	6	5.8	2.04939015319192
EWSR1	77	42	49	47	38	38	77	47	50.6	15.3720525630119
EXD1	3	3	3	2	1	1	3	3	2.4	0.894427190999916
EXD2	27	20	14	22	29	14	29	22	22.4	5.94138031100518
EXD3	3	0	2	0	2	0	3	2	1.4	1.34164078649987
EXO1	0	0	0	0	0	0	0	0	0	0
EXO5	6	5	3	6	3	3	6	5	4.6	1.51657508881031
EXOC1	41	38	41	21	24	21	41	38	33	9.72111104761179
EXOC2	31	18	27	10	15	10	31	18	20.2	8.64291617453276
EXOC3	16	12	7	8	11	7	16	11	10.8	3.56370593624109
EXOC3L1	0	0	0	0	0	0	0	0	0	0
EXOC3L2	3	2	0	0	0	0	3	0	1	1.4142135623731
EXOC3L4	0	0	0	0	0	0	0	0	0	0
EXOC4	45	44	50	53	48	44	53	48	48	3.67423461417477
EXOC5	44	44	38	31	43	31	44	43	40	5.61248608016091
EXOC6	11	11	12	13	13	11	13	12	12	1
EXOC6B	5	8	20	4	4	4	20	5	8.2	6.79705818718657
EXOC7	37	32	35	27	30	27	37	32	32.2	3.96232255123179
EXOC8	3	2	6	2	6	2	6	3	3.8	2.04939015319192
EXOG	20	13	26	12	7	7	26	13	15.6	7.43639697703128
EXOSC1	186	114	111	115	116	111	186	115	128.4	32.2536819603592
EXOSC10	60	47	48	51	54	47	60	51	52	5.24404424085076
EXOSC2	24	13	13	11	13	11	24	13	14.8	5.21536192416212
EXOSC3	23	12	19	15	16	12	23	16	17	4.18330013267038
EXOSC4	16	1	5	8	8	1	16	8	7.6	5.50454357780915
EXOSC5	35	44	32	36	42	32	44	36	37.8	5.01996015920445
EXOSC6	21	14	17	14	10	10	21	14	15.2	4.08656334834051
EXOSC7	94	62	56	78	76	56	94	76	73.2	14.8727939540626
EXOSC8	131	85	83	98	96	83	131	96	98.6	19.2691463225541
EXOSC9	71	55	62	66	45	45	71	62	59.8	10.1341008481266
EXPH5	30	7	7	17	19	7	30	17	16	9.59166304662544
EXT1	135	67	76	76	77	67	135	76	86.2	27.58079041652
EXT2	62	55	47	60	65	47	65	60	57.8	7.04982269280583
EXTL1	2	0	1	1	1	0	2	1	1	0.707106781186548
EXTL2	103	77	83	71	64	64	103	77	79.6	14.8593404968054
EXTL3	11	10	5	9	6	5	11	9	8.2	2.58843582110896
EYA1	0	0	0	0	0	0	0	0	0	0
EYA2	0	0	0	0	1	0	1	0	0.2	0.447213595499958
EYA3	38	18	25	31	22	18	38	25	26.8	7.85493475466219
EYA4	18	11	12	9	14	9	18	12	12.8	3.42052627529741
EYS	0	0	0	0	0	0	0	0	0	0
EZH1	25	18	15	10	30	10	30	18	19.6	7.95612971236643
EZH2	6	2	3	11	7	2	11	6	5.8	3.56370593624109
EZR	81	49	60	70	65	49	81	65	65	11.8532695911297
EZR-AS1	0	0	0	0	0	0	0	0	0	0
F10	0	0	1	2	0	0	2	0	0.6	0.894427190999916
F11R	115	94	93	69	106	69	115	94	95.4	17.329166165745
F12	0	0	0	0	0	0	0	0	0	0
F13A1	0	1	0	0	0	0	1	0	0.2	0.447213595499958
F2R	92	60	66	72	58	58	92	66	69.6	13.6674796506159
F2RL1	14	8	5	6	8	5	14	8	8.2	3.4928498393146
F2RL2	18	15	19	11	22	11	22	18	17	4.18330013267038
F2RL3	1	0	1	0	0	0	1	0	0.4	0.547722557505166
F3	44	24	21	18	21	18	44	21	25.6	10.5023806824929
F5	9	3	6	4	5	3	9	5	5.4	2.30217288664427
F7	0	0	0	0	0	0	0	0	0	0
F8	15	8	6	8	6	6	15	8	8.6	3.71483512420134
F8A1	12	9	9	4	9	4	12	9	8.6	2.88097205817759
FAAH	0	0	0	0	0	0	0	0	0	0
FAAH2	0	0	0	0	1	0	1	0	0.2	0.447213595499958
FABP2	0	0	0	0	0	0	0	0	0	0
FABP3	15	11	12	12	10	10	15	12	12	1.87082869338697
FABP4	19	49	24	39	111	19	111	39	48.4	36.9702583166523
FABP5	92	63	73	51	65	51	92	65	68.8	15.1723432600241
FABP5P3	0	0	0	0	2	0	2	0	0.4	0.894427190999916
FABP6	0	0	0	0	0	0	0	0	0	0
FABP7	0	0	0	0	0	0	0	0	0	0
FADD	13	6	9	11	7	6	13	9	9.2	2.86356421265527
FADS1	19	15	14	24	19	14	24	19	18.2	3.96232255123179
FADS2	4	3	5	6	5	3	6	5	4.6	1.14017542509914
FADS3	4	11	10	8	5	4	11	8	7.6	3.04959013639538
FADS6	10	1	4	5	5	1	10	5	5	3.24037034920393
FAF1	8	4	4	6	7	4	8	6	5.8	1.78885438199983
FAF2	124	98	81	84	102	81	124	98	97.8	17.1522593263978
FAH	10	10	9	10	10	9	10	10	9.8	0.447213595499958
FAHD1	52	25	43	22	28	22	52	28	34	12.9034879005639
FAHD2A	9	6	6	9	4	4	9	6	6.8	2.16794833886788
FAHD2B	4	1	1	0	0	0	4	1	1.2	1.6431676725155
FAHD2CP	2	0	1	0	0	0	2	0	0.6	0.894427190999916
FAIM	42	29	27	30	21	21	42	29	29.8	7.66159252375118
FAIM2	1	1	1	2	0	0	2	1	1	0.707106781186548
FAIM3	0	1	0	1	0	0	1	0	0.4	0.547722557505166
FAM101B	26	14	5	12	13	5	26	13	14	7.58287544405155
FAM102A	27	24	14	17	18	14	27	18	20	5.33853912601566
FAM102B	2	1	5	2	4	1	5	2	2.8	1.6431676725155
FAM103A1	194	139	147	169	133	133	194	147	156.4	25.0559374201006
FAM104A	22	18	15	26	21	15	26	21	20.4	4.15932686861708
FAM104B	119	96	81	82	84	81	119	84	92.4	16.0405735558302
FAM105A	1	2	0	0	2	0	2	1	1	1
FAM105B	15	10	12	11	13	10	15	12	12.2	1.92353840616713
FAM106A	1	0	2	0	1	0	2	1	0.8	0.836660026534076
FAM106CP	0	0	0	1	0	0	1	0	0.2	0.447213595499958
FAM107A	0	0	0	0	0	0	0	0	0	0
FAM107B	20	15	11	9	16	9	20	15	14.2	4.32434966208793
FAM109A	4	0	0	0	1	0	4	0	1	1.73205080756888
FAM109B	5	2	1	5	3	1	5	3	3.2	1.78885438199983
FAM110A	1	0	1	0	0	0	1	0	0.4	0.547722557505166
FAM110B	4	2	3	1	3	1	4	3	2.6	1.14017542509914
FAM110C	5	3	0	6	0	0	6	3	2.8	2.77488738510232
FAM110D	0	0	1	0	0	0	1	0	0.2	0.447213595499958
FAM111A	24	15	25	26	38	15	38	25	25.6	8.20365772079747
FAM111B	0	0	0	0	0	0	0	0	0	0
FAM114A1	557	408	436	381	336	336	557	408	423.6	83.1883405291871
FAM114A2	55	46	42	27	32	27	55	42	40.4	11.148990985735
FAM115A	228	155	168	150	133	133	228	155	166.8	36.4376179243375
FAM115C	8	1	3	4	4	1	8	4	4	2.54950975679639
FAM117A	2	1	0	1	3	0	3	1	1.4	1.14017542509914
FAM117B	12	14	14	9	10	9	14	12	11.8	2.28035085019828
FAM118A	11	13	9	8	12	8	13	11	10.6	2.07364413533277
FAM118B	62	45	50	50	49	45	62	50	51.2	6.37965516309463
FAM120A	65	36	47	41	38	36	65	41	45.4	11.7175082675456
FAM120AOS	38	20	26	29	27	20	38	27	28	6.51920240520265
FAM120B	16	10	15	10	18	10	18	15	13.8	3.63318042491699
FAM120C	6	4	5	4	2	2	6	4	4.2	1.48323969741913
FAM122A	9	12	3	7	6	3	12	7	7.4	3.36154726279432
FAM122B	8	5	5	2	2	2	8	5	4.4	2.50998007960223
FAM122C	9	4	15	7	8	4	15	8	8.6	4.03732584763727
FAM124A	3	1	0	3	3	0	3	3	2	1.4142135623731
FAM124B	0	0	0	0	0	0	0	0	0	0
FAM126A	83	55	53	51	67	51	83	55	61.8	13.3865604245452
FAM126B	15	9	14	19	17	9	19	15	14.8	3.76828873628335
FAM127A	201	153	141	143	124	124	201	143	152.4	29.0998281781869
FAM127B	65	50	43	43	38	38	65	43	47.8	10.5214067500501
FAM127C	10	10	4	8	6	4	10	8	7.6	2.60768096208106
FAM129A	213	147	211	159	158	147	213	159	177.6	31.7616120497685
FAM129B	13	7	8	11	7	7	13	8	9.2	2.68328157299975
FAM129C	0	1	0	0	1	0	1	0	0.4	0.547722557505166
FAM131A	5	3	4	1	8	1	8	4	4.2	2.58843582110896
FAM131B	0	0	0	0	0	0	0	0	0	0
FAM131C	0	0	0	1	0	0	1	0	0.2	0.447213595499958
FAM132A	0	0	0	1	0	0	1	0	0.2	0.447213595499958
FAM133A	0	1	1	1	0	0	1	1	0.6	0.547722557505166
FAM133B	7	9	4	3	5	3	9	5	5.6	2.40831891575846
FAM133CP	6	3	4	3	2	2	6	3	3.6	1.51657508881031
FAM133DP	0	0	0	0	0	0	0	0	0	0
FAM134A	41	37	32	33	30	30	41	33	34.6	4.39317652729776
FAM134B	4	2	3	3	2	2	4	3	2.8	0.836660026534076
FAM134C	19	6	10	12	15	6	19	12	12.4	4.9295030175465
FAM135A	6	2	2	0	6	0	6	2	3.2	2.68328157299975
FAM136A	78	58	50	59	62	50	78	59	61.4	10.285912696499
FAM138A	0	0	0	0	0	0	0	0	0	0
FAM138B	0	0	0	0	0	0	0	0	0	0
FAM138C	0	0	0	0	0	0	0	0	0	0
FAM138D	0	0	0	0	0	0	0	0	0	0
FAM138E	0	0	0	0	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0	0	0	0	0
FAM13A	33	15	18	29	21	15	33	21	23.2	7.56306816047562
FAM13A-AS1	1	0	0	1	1	0	1	1	0.6	0.547722557505166
FAM13B	30	16	18	23	7	7	30	18	18.8	8.52642949891688
FAM13C	28	30	20	13	21	13	30	21	22.4	6.8044103344816
FAM149A	1	1	1	1	3	1	3	1	1.4	0.894427190999916
FAM149B1	9	6	10	9	8	6	10	9	8.4	1.51657508881031
FAM150A	0	0	0	0	0	0	0	0	0	0
FAM150B	0	0	0	0	0	0	0	0	0	0
FAM151B	10	7	3	5	7	3	10	7	6.4	2.60768096208106
FAM153C	6	1	5	9	2	1	9	5	4.6	3.20936130717624
FAM154A	0	0	0	0	0	0	0	0	0	0
FAM154B	0	0	0	0	1	0	1	0	0.2	0.447213595499958
FAM155A	0	0	0	0	0	0	0	0	0	0
FAM156A	0	0	0	1	0	0	1	0	0.2	0.447213595499958
FAM159A	0	0	0	0	0	0	0	0	0	0
FAM159B	0	0	0	0	0	0	0	0	0	0
FAM160A2	3	7	0	6	4	0	7	4	4	2.73861278752583
FAM160B1	44	19	26	18	28	18	44	26	27	10.4403065089106
FAM160B2	11	4	6	2	1	1	11	4	4.8	3.96232255123179
FAM161A	21	15	25	24	20	15	25	21	21	3.93700393700591
FAM161B	4	6	4	3	3	3	6	4	4	1.22474487139159
FAM162A	741	507	510	540	541	507	741	540	567.8	98.1412247732827
FAM162B	3	3	1	3	3	1	3	3	2.6	0.894427190999916
FAM166B	0	0	0	0	0	0	0	0	0	0
FAM167A	0	1	0	0	1	0	1	0	0.4	0.547722557505166
FAM167B	0	0	0	0	0	0	0	0	0	0
FAM168A	0	0	0	1	0	0	1	0	0.2	0.447213595499958
FAM168B	44	23	38	23	40	23	44	38	33.6	9.91463564635635
FAM169A	0	0	1	2	0	0	2	0	0.6	0.894427190999916
FAM169B	0	0	0	0	0	0	0	0	0	0
FAM171A1	29	22	14	25	18	14	29	22	21.6	5.85662018573853
FAM171A2	0	0	0	0	0	0	0	0	0	0
FAM171B	8	2	7	4	1	1	8	4	4.4	3.04959013639538
FAM172A	73	69	65	36	42	36	73	65	57	16.8077363139716
FAM172BP	1	1	1	1	2	1	2	1	1.2	0.447213595499958
FAM173A	2	3	2	1	2	1	3	2	2	0.707106781186548
FAM173B	12	22	17	19	17	12	22	17	17.4	3.64691650576209
FAM174A	19	16	13	15	16	13	19	16	15.8	2.16794833886788
FAM174B	0	1	0	0	2	0	2	0	0.6	0.894427190999916
FAM175A	11	10	7	7	18	7	18	10	10.6	4.50555213042752
FAM175B	40	30	34	27	38	27	40	34	33.8	5.40370243444252
FAM177A1	110	94	90	91	83	83	110	91	93.6	10.0149887668434
FAM177B	0	0	0	0	0	0	0	0	0	0
FAM178A	41	22	32	29	18	18	41	29	28.4	8.96102672688794
FAM178B	0	0	0	0	0	0	0	0	0	0
FAM179A	0	0	0	0	0	0	0	0	0	0
FAM179B	15	17	13	9	11	9	17	13	13	3.16227766016838
FAM180A	8	4	1	4	3	1	8	4	4	2.54950975679639
FAM180B	0	0	0	1	0	0	1	0	0.2	0.447213595499958
FAM181A-AS1	8	5	4	0	5	0	8	5	4.4	2.88097205817759
FAM181B	0	0	0	0	0	0	0	0	0	0
FAM182A	0	0	0	0	0	0	0	0	0	0
FAM182B	0	0	0	0	0	0	0	0	0	0
FAM183A	0	0	1	0	0	0	1	0	0.2	0.447213595499958
FAM183B	0	0	0	0	0	0	0	0	0	0
FAM184A	0	0	1	0	0	0	1	0	0.2	0.447213595499958
FAM184B	1	2	3	3	5	1	5	3	2.8	1.48323969741913
FAM185A	4	0	8	2	4	0	8	4	3.6	2.96647939483827
FAM186A	0	0	1	0	0	0	1	0	0.2	0.447213595499958
FAM186B	0	2	0	1	1	0	2	1	0.8	0.836660026534076
FAM188A	57	47	34	41	46	34	57	46	45	8.45576726264388
FAM188B	2	1	1	0	1	0	2	1	1	0.707106781186548
FAM189A1	0	0	0	0	0	0	0	0	0	0
FAM189A2	0	1	1	0	0	0	1	0	0.4	0.547722557505166
FAM189B	7	10	7	3	7	3	10	7	6.8	2.48997991959775
FAM192A	156	103	112	89	100	89	156	103	112	25.9326049597799
FAM193A	7	6	6	8	9	6	9	7	7.2	1.30384048104053
FAM193B	11	6	3	7	9	3	11	7	7.2	3.03315017762062
FAM194A	0	0	1	1	1	0	1	1	0.6	0.547722557505166
FAM195A	3	4	3	5	0	0	5	3	3	1.87082869338697
FAM195B	27	17	22	19	20	17	27	20	21	3.80788655293195
FAM196A	1	3	2	2	2	1	3	2	2	0.707106781186548
FAM196B	0	0	1	1	0	0	1	0	0.4	0.547722557505166
FAM198A	0	0	0	1	1	0	1	0	0.4	0.547722557505166
FAM198B	65	53	65	35	29	29	65	53	49.4	16.7570880525227
FAM199X	13	7	10	9	6	6	13	9	9	2.73861278752583
FAM19A1	0	0	0	0	0	0	0	0	0	0
FAM19A2	2	3	1	0	1	0	3	1	1.4	1.14017542509914
FAM19A3	0	0	0	1	0	0	1	0	0.2	0.447213595499958
FAM19A5	0	0	0	0	0	0	0	0	0	0
FAM200A	7	4	4	4	6	4	7	4	5	1.4142135623731
FAM200B	123	73	82	63	81	63	123	81	84.4	22.8866773473128
FAM201A	0	0	1	0	0	0	1	0	0.2	0.447213595499958
FAM203A	5	2	2	0	0	0	5	2	1.8	2.04939015319192
FAM204A	256	212	217	149	203	149	256	212	207.4	38.422649570273
FAM206A	15	12	16	8	10	8	16	12	12.2	3.3466401061363
FAM207A	1	1	3	2	2	1	3	2	1.8	0.836660026534076
FAM208A	41	33	54	46	36	33	54	41	42	8.33666600026653
FAM208B	37	28	19	28	31	19	37	28	28.6	6.50384501660364
FAM209A	0	0	0	0	1	0	1	0	0.2	0.447213595499958
FAM209B	0	1	0	1	1	0	1	1	0.6	0.547722557505166
FAM20A	5	2	1	4	5	1	5	4	3.4	1.8165902124585
FAM20B	33	20	31	39	29	20	39	31	30.4	6.91375440697744
FAM20C	15	6	10	13	10	6	15	10	10.8	3.42052627529741
FAM210A	30	18	27	9	23	9	30	23	21.4	8.26438140455775
FAM210B	31	34	28	31	26	26	34	31	30	3.08220700148449
FAM211A	1	2	0	2	0	0	2	1	1	1
FAM211B	1	3	0	0	0	0	3	0	0.8	1.30384048104053
FAM212A	1	1	1	1	1	1	1	1	1	0
FAM212B	14	8	12	15	6	6	15	12	11	3.87298334620742
FAM213A	8	8	4	12	11	4	12	8	8.6	3.13049516849971
FAM213B	4	5	0	2	0	0	5	2	2.2	2.28035085019828
FAM214A	22	17	10	19	8	8	22	17	15.2	5.97494769851586
FAM214B	20	9	17	16	13	9	20	16	15	4.18330013267038
FAM215A	0	0	0	0	0	0	0	0	0	0
FAM216A	17	5	10	8	11	5	17	10	10.2	4.43846820423443
FAM216B	0	0	0	0	0	0	0	0	0	0
FAM217A	0	0	0	0	0	0	0	0	0	0
FAM217B	36	22	22	16	19	16	36	22	23	7.68114574786861
FAM218A	1	1	0	2	1	0	2	1	1	0.707106781186548
FAM219A	4	2	2	2	2	2	4	2	2.4	0.894427190999916
FAM219B	18	8	12	16	11	8	18	12	13	4
FAM21A	2	0	1	1	0	0	2	1	0.8	0.836660026534076
FAM21C	4	1	5	2	4	1	5	4	3.2	1.6431676725155
FAM220A	13	14	8	11	9	8	14	11	11	2.54950975679639
FAM221A	2	3	5	0	4	0	5	3	2.8	1.92353840616713
FAM221B	0	0	0	0	0	0	0	0	0	0
FAM222A	0	0	0	0	0	0	0	0	0	0
FAM222A-AS1	0	0	0	0	0	0	0	0	0	0
FAM222B	10	8	8	5	4	4	10	8	7	2.44948974278318
FAM224A	0	0	0	0	0	0	0	0	0	0
FAM225A	0	0	0	0	0	0	0	0	0	0
FAM225B	0	0	0	0	0	0	0	0	0	0
FAM227A	19	12	16	16	12	12	19	16	15	3
FAM227B	3	3	2	0	3	0	3	3	2.2	1.30384048104053
FAM228A	3	1	0	0	0	0	3	0	0.8	1.30384048104053
FAM228B	20	11	10	16	15	10	20	15	14.4	4.03732584763727
FAM229A	1	1	2	1	0	0	2	1	1	0.707106781186548
FAM229B	258	176	149	179	152	149	258	176	182.8	44.1780488478158
FAM230C	0	0	1	0	0	0	1	0	0.2	0.447213595499958
FAM24B	12	10	13	7	4	4	13	10	9.2	3.70135110466435
FAM26D	0	0	0	0	0	0	0	0	0	0
FAM26E	12	9	14	10	14	9	14	12	11.8	2.28035085019828
FAM26F	0	1	0	0	0	0	1	0	0.2	0.447213595499958
FAM27E2	0	0	0	0	0	0	0	0	0	0
FAM32A	274	164	189	174	203	164	274	189	200.8	43.5166634750414
FAM35A	12	15	8	12	7	7	15	12	10.8	3.27108544675922
FAM3A	11	12	10	11	6	6	12	11	10	2.34520787991171
FAM3B	0	0	0	0	0	0	0	0	0	0
FAM3C	155	92	129	93	101	92	155	101	114	27.3861278752583
FAM41C	7	1	2	1	5	1	7	2	3.2	2.68328157299975
FAM43A	6	4	3	2	5	2	6	4	4	1.58113883008419
FAM45A	29	18	22	23	10	10	29	22	20.4	7.02139587261678
FAM45B	20	14	18	11	14	11	20	14	15.4	3.57770876399966
FAM46A	77	66	55	54	60	54	77	60	62.4	9.44986772394196
FAM46B	1	0	0	0	0	0	1	0	0.2	0.447213595499958
FAM46C	18	13	11	13	6	6	18	13	12.2	4.32434966208793
FAM47E	0	1	0	0	0	0	1	0	0.2	0.447213595499958
FAM49A	18	18	10	10	7	7	18	10	12.6	5.07937003968012
FAM49B	13	9	9	13	10	9	13	10	10.8	2.04939015319192
FAM50A	159	123	148	117	98	98	159	123	129	24.5051015096857
FAM50B	5	2	0	3	0	0	5	2	2	2.12132034355964
FAM53A	0	0	0	0	1	0	1	0	0.2	0.447213595499958
FAM53B	1	1	0	0	1	0	1	1	0.6	0.547722557505166
FAM53C	30	13	13	23	13	13	30	13	18.4	7.79743547584717
FAM57A	24	11	13	12	8	8	24	12	13.6	6.10737259384099
FAM58A	7	4	4	4	2	2	7	4	4.2	1.78885438199983
FAM5C	0	0	0	0	0	0	0	0	0	0
FAM60A	17	27	23	20	25	17	27	23	22.4	3.97492138287036
FAM63A	4	1	6	6	2	1	6	4	3.8	2.28035085019828
FAM63B	51	52	38	21	35	21	52	38	39.4	12.7788888405839
FAM64A	0	1	0	0	0	0	1	0	0.2	0.447213595499958
FAM65A	13	6	9	6	10	6	13	9	8.8	2.94957624075052
FAM65B	0	0	1	0	0	0	1	0	0.2	0.447213595499958
FAM65C	0	0	0	0	0	0	0	0	0	0
FAM66C	2	3	5	1	2	1	5	2	2.6	1.51657508881031
FAM66D	0	0	0	0	0	0	0	0	0	0
FAM69A	98	71	66	53	76	53	98	71	72.8	16.4833249073116
FAM69B	3	2	4	0	2	0	4	2	2.2	1.48323969741913
FAM71D	0	0	0	0	0	0	0	0	0	0
FAM71E1	1	0	0	1	0	0	1	0	0.4	0.547722557505166
FAM71F1	0	0	1	0	0	0	1	0	0.2	0.447213595499958
FAM71F2	0	0	0	0	0	0	0	0	0	0
FAM72A	0	0	0	0	0	0	0	0	0	0
FAM72D	0	0	0	0	0	0	0	0	0	0
FAM73A	70	41	49	52	55	41	70	52	53.4	10.6442472725881
FAM73B	10	4	3	2	4	2	10	4	4.6	3.13049516849971
FAM74A1	7	1	2	6	7	1	7	6	4.6	2.88097205817759
FAM74A2	3	0	1	2	1	0	3	1	1.4	1.14017542509914
FAM74A3	4	2	4	7	9	2	9	4	5.2	2.77488738510232
FAM74A4	2	1	1	1	0	0	2	1	1	0.707106781186548
FAM76A	19	12	11	7	6	6	19	11	11	5.1478150704935
FAM76B	17	10	13	9	8	8	17	10	11.4	3.64691650576209
FAM78A	0	0	1	0	1	0	1	0	0.4	0.547722557505166
FAM78B	1	0	0	0	0	0	1	0	0.2	0.447213595499958
FAM81A	0	0	1	0	0	0	1	0	0.2	0.447213595499958
FAM83A	8	10	8	11	3	3	11	8	8	3.08220700148449
FAM83A-AS1	0	0	0	0	0	0	0	0	0	0
FAM83B	3	2	0	2	1	0	3	2	1.6	1.14017542509914
FAM83D	0	0	0	0	0	0	0	0	0	0
FAM83E	0	0	0	0	1	0	1	0	0.2	0.447213595499958
FAM83G	0	0	0	0	0	0	0	0	0	0
FAM83H	2	1	0	5	2	0	5	2	2	1.87082869338697
FAM83H-AS1	12	12	7	11	11	7	12	11	10.6	2.07364413533277
FAM84A	0	0	0	0	0	0	0	0	0	0
FAM84B	53	53	38	24	30	24	53	38	39.6	13.2022725316515
