Gene	SUN+ALE.A.7.19.1.F9	SUN+ALE.A.7.20.1.F10	SUN+ALE.A.8.14.1.G11	Min	Max	Median	Mean	Std
CITED1	0	0	0	0	0	0	0	0
CITED2	23	29	16	16	29	23	22.6666666666667	6.50640709864771
CITED4	1	0	1	0	1	1	0.666666666666667	0.577350269189626
CIZ1	8	4	4	4	8	4	5.33333333333333	2.3094010767585
CKAP2	20	16	20	16	20	20	18.6666666666667	2.3094010767585
CKAP2L	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CKAP4	74	120	87	74	120	87	93.6666666666667	23.7135685491099
CKAP5	57	66	43	43	66	57	55.3333333333333	11.5902257671425
CKB	6	12	3	3	12	6	7	4.58257569495584
CKLF	71	60	65	60	71	65	65.3333333333333	5.5075705472861
CKMT2	1	1	0	0	1	1	0.666666666666667	0.577350269189626
CKS1B	127	169	113	113	169	127	136.333333333333	29.1433239925259
CKS2	34	25	23	23	34	25	27.3333333333333	5.85946527708232
CLASP1	16	13	17	13	17	16	15.3333333333333	2.08166599946613
CLASP2	6	7	5	5	7	6	6	1
CLASRP	3	0	1	0	3	1	1.33333333333333	1.52752523165195
CLCA2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
CLCA3P	0	0	0	0	0	0	0	0
CLCC1	79	78	82	78	82	79	79.6666666666667	2.08166599946613
CLCF1	3	4	1	1	4	3	2.66666666666667	1.52752523165195
CLCN2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CLCN3	49	52	63	49	63	52	54.6666666666667	7.37111479583199
CLCN4	6	3	7	3	7	6	5.33333333333333	2.08166599946613
CLCN5	5	11	6	5	11	6	7.33333333333333	3.21455025366432
CLCN6	1	3	2	1	3	2	2	1
CLCN7	4	2	3	2	4	3	3	1
CLDN1	0	4	2	0	4	2	2	2
CLDN10	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CLDN11	12	8	16	8	16	12	12	4
CLDN12	14	21	7	7	21	14	14	7
CLDN14	0	0	0	0	0	0	0	0
CLDN15	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CLDN16	6	7	4	4	7	6	5.66666666666667	1.52752523165195
CLDN18	1	0	0	0	1	0	0.333333333333333	0.577350269189626
CLDN19	5	4	2	2	5	4	3.66666666666667	1.52752523165195
CLDN2	0	0	0	0	0	0	0	0
CLDN20	0	0	0	0	0	0	0	0
CLDN23	2	0	0	0	2	0	0.666666666666667	1.15470053837925
CLDN3	0	0	0	0	0	0	0	0
CLDN5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CLDN6	0	0	0	0	0	0	0	0
CLDN7	0	0	0	0	0	0	0	0
CLDN9	0	0	0	0	0	0	0	0
CLDND1	105	128	122	105	128	122	118.333333333333	11.9303534454489
CLDND2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CLEC10A	0	0	0	0	0	0	0	0
CLEC11A	30	19	14	14	30	19	21	8.18535277187245
CLEC12A	0	0	0	0	0	0	0	0
CLEC12B	0	0	0	0	0	0	0	0
CLEC14A	5	5	4	4	5	5	4.66666666666667	0.577350269189626
CLEC16A	7	4	3	3	7	4	4.66666666666667	2.08166599946613
CLEC17A	0	0	0	0	0	0	0	0
CLEC19A	1	0	2	0	2	1	1	1
CLEC1A	0	0	0	0	0	0	0	0
CLEC2B	128	153	165	128	165	153	148.666666666667	18.8767935130237
CLEC2D	7	10	14	7	14	10	10.3333333333333	3.51188458428425
CLEC2L	0	0	0	0	0	0	0	0
CLEC3A	0	0	0	0	0	0	0	0
CLEC3B	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CLEC4A	0	0	2	0	2	0	0.666666666666667	1.15470053837925
CLEC4C	1	0	0	0	1	0	0.333333333333333	0.577350269189626
CLEC4D	0	0	0	0	0	0	0	0
CLEC4E	0	2	0	0	2	0	0.666666666666667	1.15470053837925
CLEC4GP1	4	1	1	1	4	1	2	1.73205080756888
CLEC5A	0	0	0	0	0	0	0	0
CLEC7A	8	2	2	2	8	2	4	3.46410161513775
CLGN	1	0	0	0	1	0	0.333333333333333	0.577350269189626
CLHC1	3	4	6	3	6	4	4.33333333333333	1.52752523165195
CLIC1	221	245	228	221	245	228	231.333333333333	12.3423390543824
CLIC2	4	1	4	1	4	4	3	1.73205080756888
CLIC3	18	17	17	17	18	17	17.3333333333333	0.577350269189626
CLIC4	216	197	180	180	216	197	197.666666666667	18.0092568789868
CLIC5	0	0	0	0	0	0	0	0
CLIC6	0	0	0	0	0	0	0	0
CLINT1	66	92	86	66	92	86	81.3333333333333	13.6137185711081
CLIP1	84	103	87	84	103	87	91.3333333333333	10.2143689640297
CLIP2	0	4	1	0	4	1	1.66666666666667	2.08166599946613
CLIP3	3	5	4	3	5	4	4	1
CLIP4	47	56	48	47	56	48	50.3333333333333	4.93288286231625
CLK1	31	40	54	31	54	40	41.6666666666667	11.5902257671425
CLK2	3	4	5	3	5	4	4	1
CLK3	5	3	6	3	6	5	4.66666666666667	1.52752523165195
CLK4	22	13	26	13	26	22	20.3333333333333	6.65832811847939
CLLU1	0	0	0	0	0	0	0	0
CLMN	2	3	0	0	3	2	1.66666666666667	1.52752523165195
CLMP	13	16	16	13	16	16	15	1.73205080756888
CLN3	8	6	13	6	13	8	9	3.60555127546399
CLN5	15	29	21	15	29	21	21.6666666666667	7.02376916856849
CLN6	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CLN8	25	28	16	16	28	25	23	6.2449979983984
CLNS1A	98	109	81	81	109	98	96	14.1067359796659
CLOCK	12	20	15	12	20	15	15.6666666666667	4.04145188432738
CLP1	25	16	16	16	25	16	19	5.19615242270663
CLPB	2	2	2	2	2	2	2	0
CLPP	11	18	13	11	18	13	14	3.60555127546399
CLPS	0	0	0	0	0	0	0	0
CLPTM1	5	2	4	2	5	4	3.66666666666667	1.52752523165195
CLPTM1L	15	5	6	5	15	6	8.66666666666667	5.5075705472861
CLPX	19	17	10	10	19	17	15.3333333333333	4.72581562625261
CLRN3	0	0	0	0	0	0	0	0
CLSPN	6	6	3	3	6	6	5	1.73205080756888
CLSTN1	24	34	36	24	36	34	31.3333333333333	6.42910050732864
CLSTN2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CLSTN3	0	0	0	0	0	0	0	0
CLTA	101	100	75	75	101	100	92	14.7309198626562
CLTB	10	4	3	3	10	4	5.66666666666667	3.78593889720018
CLTC	67	90	86	67	90	86	81	12.2882057274445
CLTCL1	6	4	7	4	7	6	5.66666666666667	1.52752523165195
CLU	36	47	42	36	47	42	41.6666666666667	5.5075705472861
CLUAP1	36	52	42	36	52	42	43.3333333333333	8.08290376865476
CLUH	3	1	2	1	3	2	2	1
CLUHP3	2	1	1	1	2	1	1.33333333333333	0.577350269189626
CLUL1	0	0	0	0	0	0	0	0
CLVS1	0	0	0	0	0	0	0	0
CLYBL	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CMA1	0	0	0	0	0	0	0	0
CMAHP	19	10	11	10	19	11	13.3333333333333	4.93288286231625
CMAS	15	26	14	14	26	15	18.3333333333333	6.65832811847939
CMBL	24	35	19	19	35	24	26	8.18535277187245
CMC1	16	26	22	16	26	22	21.3333333333333	5.03322295684717
CMC2	77	94	89	77	94	89	86.6666666666667	8.73689494805411
CMC4	29	31	27	27	31	29	29	2
CMIP	3	11	7	3	11	7	7	4
CMKLR1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
CMPK1	73	97	64	64	97	73	78	17.058722109232
CMPK2	0	0	0	0	0	0	0	0
CMSS1	50	62	79	50	79	62	63.6666666666667	14.5716619962629
CMTM2	0	0	0	0	0	0	0	0
CMTM3	11	11	14	11	14	11	12	1.73205080756888
CMTM4	6	7	8	6	8	7	7	1
CMTM5	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CMTM6	65	87	56	56	87	65	69.3333333333333	15.9478316185409
CMTM7	4	6	3	3	6	4	4.33333333333333	1.52752523165195
CMTM8	1	0	3	0	3	1	1.33333333333333	1.52752523165195
CMYA5	1	2	1	1	2	1	1.33333333333333	0.577350269189626
CNBD2	0	0	0	0	0	0	0	0
CNBP	589	620	608	589	620	608	605.666666666667	15.6311654502578
CNDP2	30	28	19	19	30	28	25.6666666666667	5.85946527708231
CNEP1R1	15	35	19	15	35	19	23	10.5830052442584
CNFN	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CNGA1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CNGA3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CNGB1	2	2	1	1	2	2	1.66666666666667	0.577350269189626
CNIH	488	533	455	455	533	488	492	39.1535439009038
CNIH3	3	4	3	3	4	3	3.33333333333333	0.577350269189626
CNIH4	179	217	209	179	217	209	201.666666666667	20.0333056017556
CNKSR1	0	0	0	0	0	0	0	0
CNKSR2	1	1	0	0	1	1	0.666666666666667	0.577350269189626
CNKSR3	3	4	1	1	4	3	2.66666666666667	1.52752523165195
CNN1	5	5	9	5	9	5	6.33333333333333	2.3094010767585
CNN2	97	85	104	85	104	97	95.3333333333333	9.60902353693305
CNN3	125	156	138	125	156	138	139.666666666667	15.5670592384475
CNNM1	4	3	2	2	4	3	3	1
CNNM2	1	1	2	1	2	1	1.33333333333333	0.577350269189626
CNNM3	10	14	10	10	14	10	11.3333333333333	2.3094010767585
CNNM4	2	7	2	2	7	2	3.66666666666667	2.88675134594813
CNOT1	24	37	32	24	37	32	31	6.557438524302
CNOT10	11	28	15	11	28	15	18	8.88819441731559
CNOT11	6	9	4	4	9	6	6.33333333333333	2.51661147842358
CNOT2	101	120	85	85	120	101	102	17.5214154679352
CNOT3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
CNOT4	29	20	24	20	29	24	24.3333333333333	4.50924975282289
CNOT6	3	8	7	3	8	7	6	2.64575131106459
CNOT6L	8	20	15	8	20	15	14.3333333333333	6.02771377334171
CNOT7	42	50	46	42	50	46	46	4
CNOT8	23	23	20	20	23	23	22	1.73205080756888
CNP	14	14	18	14	18	14	15.3333333333333	2.3094010767585
CNPPD1	11	15	12	11	15	12	12.6666666666667	2.08166599946613
CNPY2	108	116	104	104	116	108	109.333333333333	6.11010092660779
CNPY3	15	8	3	3	15	8	8.66666666666667	6.02771377334171
CNPY4	43	37	42	37	43	42	40.6666666666667	3.21455025366432
CNR1	0	0	0	0	0	0	0	0
CNRIP1	20	28	23	20	28	23	23.6666666666667	4.04145188432738
CNST	58	51	48	48	58	51	52.3333333333333	5.13160143944688
CNTD1	0	0	0	0	0	0	0	0
CNTD2	0	0	0	0	0	0	0	0
CNTLN	15	15	6	6	15	15	12	5.19615242270663
CNTN1	0	0	0	0	0	0	0	0
CNTN2	0	0	0	0	0	0	0	0
CNTN3	1	0	1	0	1	1	0.666666666666667	0.577350269189626
CNTN4	5	2	6	2	6	5	4.33333333333333	2.08166599946613
CNTN5	0	0	0	0	0	0	0	0
CNTN6	0	0	0	0	0	0	0	0
CNTNAP1	2	1	4	1	4	2	2.33333333333333	1.52752523165195
CNTNAP2	1	1	2	1	2	1	1.33333333333333	0.577350269189626
CNTNAP3	0	0	0	0	0	0	0	0
CNTNAP3B	0	3	2	0	3	2	1.66666666666667	1.52752523165195
CNTNAP5	0	0	0	0	0	0	0	0
CNTRL	14	7	7	7	14	7	9.33333333333333	4.04145188432738
CNTROB	0	6	5	0	6	5	3.66666666666667	3.21455025366432
COA1	57	67	65	57	67	65	63	5.29150262212918
COA3	188	189	205	188	205	189	194	9.53939201416946
COA4	135	141	153	135	153	141	143	9.16515138991168
COA5	60	41	44	41	60	44	48.3333333333333	10.2143689640297
COA6	41	38	44	38	44	41	41	3
COASY	13	14	11	11	14	13	12.6666666666667	1.52752523165195
COBLL1	13	9	4	4	13	9	8.66666666666667	4.50924975282289
COCH	0	0	0	0	0	0	0	0
COG1	5	3	3	3	5	3	3.66666666666667	1.15470053837925
COG2	17	22	14	14	22	17	17.6666666666667	4.04145188432738
COG3	8	14	6	6	14	8	9.33333333333333	4.16333199893227
COG4	22	22	21	21	22	22	21.6666666666667	0.577350269189626
COG5	22	25	13	13	25	22	20	6.2449979983984
COG6	13	11	15	11	15	13	13	2
COG7	9	9	5	5	9	9	7.66666666666667	2.3094010767585
COG8	0	4	2	0	4	2	2	2
COIL	37	45	30	30	45	37	37.3333333333333	7.50555349946513
COL10A1	1	3	3	1	3	3	2.33333333333333	1.15470053837925
COL11A1	4	9	2	2	9	4	5	3.60555127546399
COL11A2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
COL12A1	204	262	140	140	262	204	202	61.0245852095694
COL13A1	0	0	0	0	0	0	0	0
COL14A1	144	156	135	135	156	144	145	10.5356537528527
COL15A1	40	69	51	40	69	51	53.3333333333333	14.6401275039985
COL16A1	33	35	52	33	52	35	40	10.4403065089106
COL17A1	0	0	0	0	0	0	0	0
COL18A1	8	7	9	7	9	8	8	1
COL18A1-AS1	0	0	0	0	0	0	0	0
COL19A1	0	0	0	0	0	0	0	0
COL1A1	3394	3792	3166	3166	3792	3394	3450.66666666667	316.823820653267
COL1A2	4363	5154	3917	3917	5154	4363	4478	626.467078145372
COL21A1	28	39	19	19	39	28	28.6666666666667	10.0166528008778
COL22A1	0	0	0	0	0	0	0	0
COL23A1	0	0	0	0	0	0	0	0
COL24A1	0	0	0	0	0	0	0	0
COL25A1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
COL26A1	0	0	0	0	0	0	0	0
COL27A1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
COL28A1	0	0	0	0	0	0	0	0
COL3A1	712	884	652	652	884	712	749.333333333333	120.42148202598
COL4A1	285	361	328	285	361	328	324.666666666667	38.1094913811944
COL4A2	99	99	90	90	99	99	96	5.19615242270663
COL4A3	4	3	7	3	7	4	4.66666666666667	2.08166599946613
COL4A3BP	20	8	20	8	20	20	16	6.92820323027551
COL4A4	34	53	29	29	53	34	38.6666666666667	12.6622799421484
COL4A5	3	6	2	2	6	3	3.66666666666667	2.08166599946613
COL4A6	0	0	0	0	0	0	0	0
COL5A1	226	282	211	211	282	226	239.666666666667	37.4210279566627
COL5A2	322	469	301	301	469	322	364	91.5368778143541
COL5A3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
COL6A1	187	241	183	183	241	187	203.666666666667	32.3934149686836
COL6A2	42	49	40	40	49	42	43.6666666666667	4.72581562625261
COL6A3	580	613	451	451	613	580	548	85.609578903298
COL6A4P1	0	0	0	0	0	0	0	0
COL6A4P2	3	0	4	0	4	3	2.33333333333333	2.08166599946613
COL6A6	0	0	0	0	0	0	0	0
COL7A1	0	0	2	0	2	0	0.666666666666667	1.15470053837925
COL8A1	73	69	50	50	73	69	64	12.2882057274445
COL8A2	22	25	26	22	26	25	24.3333333333333	2.08166599946613
COL9A2	0	0	0	0	0	0	0	0
COL9A3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
COLEC10	0	0	0	0	0	0	0	0
COLEC11	0	2	2	0	2	2	1.33333333333333	1.15470053837925
COLEC12	2	1	7	1	7	2	3.33333333333333	3.21455025366432
COLGALT1	24	28	30	24	30	28	27.3333333333333	3.05505046330389
COLGALT2	4	3	1	1	4	3	2.66666666666667	1.52752523165195
COLQ	0	0	0	0	0	0	0	0
COMMD1	99	141	109	99	141	109	116.333333333333	21.9393102292058
COMMD10	58	52	51	51	58	52	53.6666666666667	3.78593889720018
COMMD2	80	101	96	80	101	96	92.3333333333333	10.9696551146029
COMMD3	142	166	147	142	166	147	151.666666666667	12.6622799421484
COMMD3-BMI1	0	0	0	0	0	0	0	0
COMMD4	18	19	13	13	19	18	16.6666666666667	3.21455025366432
COMMD5	13	13	17	13	17	13	14.3333333333333	2.3094010767585
COMMD6	1483	1754	1594	1483	1754	1594	1610.33333333333	136.236314297376
COMMD7	15	24	22	15	24	22	20.3333333333333	4.72581562625261
COMMD8	30	34	32	30	34	32	32	2
COMMD9	96	96	90	90	96	96	94	3.46410161513775
COMP	186	163	138	138	186	163	162.333333333333	24.0069434400411
COMT	304	273	314	273	314	304	297	21.3775583264319
COMTD1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
COPA	101	138	95	95	138	101	111.333333333333	23.2880512996114
COPB1	147	171	131	131	171	147	149.666666666667	20.1328918273887
COPB2	153	164	150	150	164	153	155.666666666667	7.37111479583199
COPE	28	15	20	15	28	20	21	6.557438524302
COPG1	167	158	131	131	167	158	152	18.7349939951952
COPG2	6	7	7	6	7	7	6.66666666666667	0.577350269189626
COPRS	20	18	14	14	20	18	17.3333333333333	3.05505046330389
COPS2	153	197	145	145	197	153	165	28
COPS3	104	104	117	104	117	104	108.333333333333	7.50555349946513
COPS4	98	106	88	88	106	98	97.3333333333333	9.01849950564579
COPS5	114	100	94	94	114	100	102.666666666667	10.2632028788938
COPS6	35	45	42	35	45	42	40.6666666666667	5.13160143944688
COPS7A	39	45	31	31	45	39	38.3333333333333	7.02376916856849
COPS7B	13	14	8	8	14	13	11.6666666666667	3.21455025366432
COPS8	211	208	187	187	211	208	202	13.076696830622
COPZ1	220	256	285	220	285	256	253.666666666667	32.5627599157893
COPZ2	34	31	39	31	39	34	34.6666666666667	4.04145188432738
COQ10A	2	1	5	1	5	2	2.66666666666667	2.08166599946613
COQ10B	80	74	91	74	91	80	81.6666666666667	8.62167810425171
COQ2	0	6	1	0	6	1	2.33333333333333	3.21455025366432
COQ3	11	15	18	11	18	15	14.6666666666667	3.51188458428425
COQ4	5	4	9	4	9	5	6	2.64575131106459
COQ5	39	38	27	27	39	38	34.6666666666667	6.65832811847939
COQ6	8	8	9	8	9	8	8.33333333333333	0.577350269189626
COQ7	5	5	11	5	11	5	7	3.46410161513775
COQ9	15	19	11	11	19	15	15	4
CORIN	2	0	1	0	2	1	1	1
CORO1B	1	2	1	1	2	1	1.33333333333333	0.577350269189626
CORO1C	24	35	32	24	35	32	30.3333333333333	5.68624070307733
CORO2A	11	12	6	6	12	11	9.66666666666667	3.21455025366432
CORO2B	8	10	11	8	11	10	9.66666666666667	1.52752523165195
CORO6	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CORO7	0	0	0	0	0	0	0	0
CORT	0	1	0	0	1	0	0.333333333333333	0.577350269189626
COTL1	9	17	19	9	19	17	15	5.29150262212918
COX10	8	7	6	6	8	7	7	1
COX10-AS1	0	3	3	0	3	3	2	1.73205080756888
COX11	11	8	8	8	11	8	9	1.73205080756888
COX14	177	192	170	170	192	177	179.666666666667	11.2398102000582
COX15	37	39	29	29	39	37	35	5.29150262212918
COX16	58	52	58	52	58	58	56	3.46410161513775
COX17	220	260	266	220	266	260	248.666666666667	25.0066657780147
COX18	17	11	16	11	17	16	14.6666666666667	3.21455025366432
COX19	23	27	17	17	27	23	22.3333333333333	5.03322295684717
COX20	89	118	92	89	118	92	99.6666666666667	15.9478316185409
COX4I1	1304	1476	1295	1295	1476	1304	1358.33333333333	102.001633973841
COX5A	26	37	30	26	37	30	31	5.56776436283002
COX5B	184	204	193	184	204	193	193.666666666667	10.0166528008778
COX6A1	1167	1259	1283	1167	1283	1259	1236.33333333333	61.2318000170935
COX6A2	0	0	0	0	0	0	0	0
COX6B1	686	819	760	686	819	760	755	66.6408283261845
COX6B2	4	9	6	4	9	6	6.33333333333333	2.51661147842358
COX6C	708	856	764	708	856	764	776	74.7261667690776
COX7A1	203	186	232	186	232	203	207	23.259406699226
COX7A2	969	1129	989	969	1129	989	1029	87.1779788708135
COX7A2L	584	681	609	584	681	609	624.666666666667	50.3620227287719
COX7B	365	440	385	365	440	385	396.666666666667	38.8372673257701
COX7C	781	866	871	781	871	866	839.333333333333	50.5799696849784
COX8A	442	537	552	442	552	537	510.333333333333	59.6517672272443
COX8C	0	0	0	0	0	0	0	0
CP	0	0	0	0	0	0	0	0
CPA1	0	0	0	0	0	0	0	0
CPA2	0	0	0	0	0	0	0	0
CPA3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CPA4	37	43	57	37	57	43	45.6666666666667	10.2632028788938
CPA5	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CPA6	1	0	1	0	1	1	0.666666666666667	0.577350269189626
CPAMD8	0	0	0	0	0	0	0	0
CPB1	0	0	0	0	0	0	0	0
CPB2	0	0	0	0	0	0	0	0
CPB2-AS1	19	31	16	16	31	19	22	7.93725393319377
CPD	50	54	30	30	54	50	44.6666666666667	12.8582010146573
CPE	21	22	28	21	28	22	23.6666666666667	3.78593889720018
CPEB1	1	1	3	1	3	1	1.66666666666667	1.15470053837925
CPEB2	12	9	13	9	13	12	11.3333333333333	2.08166599946613
CPEB3	1	3	1	1	3	1	1.66666666666667	1.15470053837925
CPEB4	9	6	11	6	11	9	8.66666666666667	2.51661147842358
CPED1	8	5	4	4	8	5	5.66666666666667	2.08166599946613
CPLX1	0	0	0	0	0	0	0	0
CPLX4	0	0	0	0	0	0	0	0
CPM	28	28	23	23	28	28	26.3333333333333	2.88675134594813
CPN1	0	0	0	0	0	0	0	0
CPNE1	29	34	24	24	34	29	29	5
CPNE2	3	3	3	3	3	3	3	0
CPNE3	101	126	110	101	126	110	112.333333333333	12.6622799421484
CPNE5	0	0	0	0	0	0	0	0
CPNE7	0	0	0	0	0	0	0	0
CPNE8	17	16	14	14	17	16	15.6666666666667	1.52752523165195
CPNE9	0	0	0	0	0	0	0	0
CPO	0	0	0	0	0	0	0	0
CPOX	6	5	4	4	6	5	5	1
CPPED1	23	27	22	22	27	23	24	2.64575131106459
CPQ	89	97	78	78	97	89	88	9.53939201416946
CPS1	3	14	2	2	14	3	6.33333333333333	6.65832811847939
CPSF1	6	7	4	4	7	6	5.66666666666667	1.52752523165195
CPSF2	48	55	49	48	55	49	50.6666666666667	3.78593889720018
CPSF3	46	41	46	41	46	46	44.3333333333333	2.88675134594813
CPSF3L	6	5	7	5	7	6	6	1
CPSF4	18	23	27	18	27	23	22.6666666666667	4.50924975282289
CPSF6	10	13	18	10	18	13	13.6666666666667	4.04145188432738
CPSF7	7	7	10	7	10	7	8	1.73205080756888
CPT1A	37	38	37	37	38	37	37.3333333333333	0.577350269189626
CPT1B	1	0	0	0	1	0	0.333333333333333	0.577350269189626
CPT1C	0	0	2	0	2	0	0.666666666666667	1.15470053837925
CPT2	8	8	4	4	8	8	6.66666666666667	2.3094010767585
CPVL	1	1	0	0	1	1	0.666666666666667	0.577350269189626
CPXM1	0	0	0	0	0	0	0	0
CPXM2	36	41	55	36	55	41	44	9.8488578017961
CPZ	2	1	2	1	2	2	1.66666666666667	0.577350269189626
CR1	9	12	3	3	12	9	8	4.58257569495584
CRABP1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CRABP2	9	11	8	8	11	9	9.33333333333333	1.52752523165195
CRADD	31	33	42	31	42	33	35.3333333333333	5.85946527708232
CRAMP1L	1	5	7	1	7	5	4.33333333333333	3.05505046330389
CRAT	3	1	4	1	4	3	2.66666666666667	1.52752523165195
CRB1	0	0	0	0	0	0	0	0
CRB2	0	0	0	0	0	0	0	0
CRB3	0	0	0	0	0	0	0	0
CRBN	89	87	87	87	89	87	87.6666666666667	1.15470053837925
CRCP	40	55	51	40	55	51	48.6666666666667	7.76745346515403
CREB1	39	39	37	37	39	39	38.3333333333333	1.15470053837925
CREB3	31	36	34	31	36	34	33.6666666666667	2.51661147842358
CREB3L1	14	21	25	14	25	21	20	5.56776436283002
CREB3L2	44	57	49	44	57	49	50	6.557438524302
CREB3L4	6	9	5	5	9	6	6.66666666666667	2.08166599946613
CREB5	3	4	1	1	4	3	2.66666666666667	1.52752523165195
CREBBP	12	30	19	12	30	19	20.3333333333333	9.07377172587747
CREBL2	14	20	25	14	25	20	19.6666666666667	5.5075705472861
CREBRF	20	37	17	17	37	20	24.6666666666667	10.785793124909
CREBZF	6	8	11	6	11	8	8.33333333333333	2.51661147842358
CREG1	24	46	39	24	46	39	36.3333333333333	11.2398102000582
CREG2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CRELD1	12	8	9	8	12	9	9.66666666666667	2.08166599946613
CRELD2	10	5	14	5	14	10	9.66666666666667	4.50924975282289
CREM	13	17	7	7	17	13	12.3333333333333	5.03322295684717
CRHBP	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CRHR1-IT1	13	9	8	8	13	9	10	2.64575131106459
CRHR2	0	0	0	0	0	0	0	0
CRIM1	230	245	226	226	245	230	233.666666666667	10.0166528008778
CRIP1	3	12	7	3	12	7	7.33333333333333	4.50924975282289
CRIP2	60	63	72	60	72	63	65	6.2449979983984
CRIPAK	1	3	1	1	3	1	1.66666666666667	1.15470053837925
CRIPT	113	165	143	113	165	143	140.333333333333	26.1023626006025
CRISPLD1	11	1	9	1	11	9	7	5.29150262212918
CRISPLD2	2	2	2	2	2	2	2	0
CRK	18	18	17	17	18	18	17.6666666666667	0.577350269189626
CRKL	13	15	7	7	15	13	11.6666666666667	4.16333199893227
CRLF1	34	25	19	19	34	25	26	7.54983443527075
CRLF3	2	5	3	2	5	3	3.33333333333333	1.52752523165195
CRLS1	9	13	12	9	13	12	11.3333333333333	2.08166599946613
CRMP1	1	1	2	1	2	1	1.33333333333333	0.577350269189626
CRNDE	21	17	11	11	21	17	16.3333333333333	5.03322295684717
CRNKL1	29	36	26	26	36	29	30.3333333333333	5.13160143944688
CROCC	0	0	3	0	3	0	1	1.73205080756888
CROCCP2	3	3	4	3	4	3	3.33333333333333	0.577350269189626
CROCCP3	4	5	5	4	5	5	4.66666666666667	0.577350269189626
CROT	15	17	10	10	17	15	14	3.60555127546399
CRTAC1	0	0	0	0	0	0	0	0
CRTAM	1	0	0	0	1	0	0.333333333333333	0.577350269189626
CRTAP	79	84	73	73	84	79	78.6666666666667	5.5075705472861
CRTC1	0	2	0	0	2	0	0.666666666666667	1.15470053837925
CRTC2	1	2	0	0	2	1	1	1
CRTC3	8	9	8	8	9	8	8.33333333333333	0.577350269189626
CRX	8	11	12	8	12	11	10.3333333333333	2.08166599946613
CRY1	11	8	4	4	11	8	7.66666666666667	3.51188458428425
CRY2	7	6	3	3	7	6	5.33333333333333	2.08166599946613
CRYAB	641	607	597	597	641	607	615	23.0651251893416
CRYBA1	0	0	0	0	0	0	0	0
CRYBB2P1	4	4	6	4	6	4	4.66666666666667	1.15470053837925
CRYBG3	14	14	13	13	14	14	13.6666666666667	0.577350269189626
CRYGN	1	0	0	0	1	0	0.333333333333333	0.577350269189626
CRYGS	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CRYL1	9	19	4	4	19	9	10.6666666666667	7.63762615825973
CRYM	0	0	0	0	0	0	0	0
CRYM-AS1	6	7	3	3	7	6	5.33333333333333	2.08166599946613
CRYZ	20	27	13	13	27	20	20	7
CRYZL1	63	60	72	60	72	63	65	6.2449979983984
CS	52	52	46	46	52	52	50	3.46410161513775
CSAD	30	20	27	20	30	27	25.6666666666667	5.13160143944688
CSAG1	0	0	0	0	0	0	0	0
CSDC2	1	1	0	0	1	1	0.666666666666667	0.577350269189626
CSDE1	601	710	613	601	710	613	641.333333333333	59.7689997685534
CSE1L	52	61	39	39	61	52	50.6666666666667	11.060440015358
CSF1	9	14	11	9	14	11	11.3333333333333	2.51661147842358
CSF1R	0	0	2	0	2	0	0.666666666666667	1.15470053837925
CSF2	0	0	0	0	0	0	0	0
CSF2RA	16	9	10	9	16	10	11.6666666666667	3.78593889720018
CSF2RB	7	6	6	6	7	6	6.33333333333333	0.577350269189626
CSF3	0	0	0	0	0	0	0	0
CSGALNACT1	5	5	2	2	5	5	4	1.73205080756888
CSGALNACT2	22	23	13	13	23	22	19.3333333333333	5.5075705472861
CSK	4	0	4	0	4	4	2.66666666666667	2.3094010767585
CSMD1	0	0	0	0	0	0	0	0
CSMD2	0	0	0	0	0	0	0	0
CSMD3	0	0	0	0	0	0	0	0
CSN1S1	0	0	0	0	0	0	0	0
