Gene	TRS+DOM.A.4.15.1.B9	TRS+DOM.A.4.16.1.B10	TRS+DOM.A.5.12.1.C8	Min	Max	Median	Mean	Std
DMTN	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DMWD	20	5	1	1	20	5	8.66666666666667	10.0166528008778
DMXL1	60	11	3	3	60	11	24.6666666666667	30.8598984660244
DMXL2	14	6	2	2	14	6	7.33333333333333	6.11010092660779
DNA2	2	1	2	1	2	2	1.66666666666667	0.577350269189626
DNAAF2	64	21	5	5	64	21	30	30.5122926047847
DNAAF3	4	0	0	0	4	0	1.33333333333333	2.3094010767585
DNAH1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
DNAH10	0	0	0	0	0	0	0	0
DNAH11	1	1	0	0	1	1	0.666666666666667	0.577350269189626
DNAH12	6	0	0	0	6	0	2	3.46410161513775
DNAH14	15	3	0	0	15	3	6	7.93725393319377
DNAH17	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DNAH17-AS1	36	8	3	3	36	8	15.6666666666667	17.7857620959388
DNAH2	0	0	0	0	0	0	0	0
DNAH3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
DNAH5	7	0	0	0	7	0	2.33333333333333	4.04145188432738
DNAH6	4	1	1	1	4	1	2	1.73205080756888
DNAH7	4	1	0	0	4	1	1.66666666666667	2.08166599946613
DNAH8	0	0	0	0	0	0	0	0
DNAJA1	1744	334	122	122	1744	334	733.333333333333	881.658286034523
DNAJA2	411	85	21	21	411	85	172.333333333333	209.153850869003
DNAJA3	66	16	2	2	66	16	28	33.6452076825214
DNAJA4	4	1	0	0	4	1	1.66666666666667	2.08166599946613
DNAJB1	146	33	20	20	146	33	66.3333333333333	69.2988696396509
DNAJB11	283	55	14	14	283	55	117.333333333333	144.928718111123
DNAJB12	285	55	11	11	285	55	117	147.146185815331
DNAJB13	0	0	0	0	0	0	0	0
DNAJB14	520	90	42	42	520	90	217.333333333333	263.213474832375
DNAJB2	20	4	5	4	20	5	9.66666666666667	8.9628864398325
DNAJB4	468	84	29	29	468	84	193.666666666667	239.165911729354
DNAJB5	13	2	1	1	13	2	5.33333333333333	6.65832811847939
DNAJB6	1035	153	62	62	1035	153	416.666666666667	537.421932315135
DNAJB7	4	0	0	0	4	0	1.33333333333333	2.3094010767585
DNAJB9	501	103	21	21	501	103	208.333333333333	256.751501131606
DNAJC1	92	15	5	5	92	15	37.3333333333333	47.6060220280306
DNAJC10	616	99	45	45	616	99	253.333333333333	315.236947919075
DNAJC11	37	9	2	2	37	9	16	18.5202591774521
DNAJC12	73	9	5	5	73	9	29	38.1575680566778
DNAJC13	109	20	7	7	109	20	45.3333333333333	55.5187655962678
DNAJC14	108	25	8	8	108	25	47	53.507008886687
DNAJC15	1749	266	131	131	1749	266	715.333333333333	897.722859981483
DNAJC16	97	18	11	11	97	18	42	47.7598157450382
DNAJC17	23	1	0	0	23	1	8	13
DNAJC18	105	32	6	6	105	32	47.6666666666667	51.3257570166611
DNAJC19	1106	200	83	83	1106	200	463	559.918744104892
DNAJC2	236	34	16	16	236	34	95.3333333333333	122.152909639244
DNAJC21	233	42	28	28	233	42	101	114.529472189476
DNAJC22	25	9	1	1	25	9	11.6666666666667	12.2202018532156
DNAJC24	176	38	21	21	176	38	78.3333333333333	85.0078427754365
DNAJC25	38	11	5	5	38	11	18	17.5783958312469
DNAJC27	18	2	0	0	18	2	6.66666666666667	9.86576572463249
DNAJC27-AS1	34	6	7	6	34	7	15.6666666666667	15.8850034099251
DNAJC28	27	4	0	0	27	4	10.3333333333333	14.5716619962629
DNAJC3	1359	237	88	88	1359	237	561.333333333333	694.805248492938
DNAJC30	25	3	2	2	25	3	10	13
DNAJC4	25	11	1	1	25	11	12.3333333333333	12.0554275466834
DNAJC5	34	9	6	6	34	9	16.3333333333333	15.3731367434669
DNAJC5G	4	0	0	0	4	0	1.33333333333333	2.3094010767585
DNAJC6	15	2	2	2	15	2	6.33333333333333	7.50555349946513
DNAJC7	511	77	36	36	511	77	208	263.205243108871
DNAJC8	2972	485	196	196	2972	485	1217.66666666667	1526.15344357418
DNAJC9	77	11	2	2	77	11	30	40.9511904588865
DNAJC9-AS1	7	3	2	2	7	3	4	2.64575131106459
DNAL1	325	68	35	35	325	68	142.666666666667	158.765025535643
DNAL4	8	4	0	0	8	4	4	4
DNALI1	79	12	5	5	79	12	32	40.853396431631
DNASE1	38	9	3	3	38	9	16.6666666666667	18.7171935218219
DNASE1L1	13	4	1	1	13	4	6	6.2449979983984
DNASE1L2	0	0	0	0	0	0	0	0
DNASE1L3	0	0	0	0	0	0	0	0
DNASE2	236	63	27	27	236	63	108.666666666667	111.733313444708
DNASE2B	0	0	0	0	0	0	0	0
DND1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
DNER	3	2	0	0	3	2	1.66666666666667	1.52752523165195
DNHD1	2	0	1	0	2	1	1	1
DNLZ	10	2	0	0	10	2	4	5.29150262212918
DNM1	3	0	0	0	3	0	1	1.73205080756888
DNM1L	265	60	18	18	265	60	114.333333333333	132.160256254796
DNM1P35	0	0	0	0	0	0	0	0
DNM1P41	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DNM1P46	15	0	0	0	15	0	5	8.66025403784439
DNM2	13	2	0	0	13	2	5	7
DNM3	15	3	0	0	15	3	6	7.93725393319377
DNM3OS	486	88	28	28	486	88	200.666666666667	248.920335315003
DNMBP	20	8	0	0	20	8	9.33333333333333	10.0664459136943
DNMBP-AS1	15	0	0	0	15	0	5	8.66025403784439
DNMT1	142	24	11	11	142	24	59	72.1734023030645
DNMT3A	11	1	2	1	11	2	4.66666666666667	5.5075705472861
DNMT3B	1	2	0	0	2	1	1	1
DNPEP	364	77	34	34	364	77	158.333333333333	179.405499729895
DNPH1	90	22	8	8	90	22	40	43.8634243989226
DNTTIP1	70	15	3	3	70	15	29.3333333333333	35.7258076652346
DNTTIP2	1016	144	67	67	1016	144	409	527.085382077705
DOC2A	0	0	0	0	0	0	0	0
DOC2B	0	0	0	0	0	0	0	0
DOCK1	161	35	19	19	161	35	71.6666666666667	77.7774603168124
DOCK10	8	1	1	1	8	1	3.33333333333333	4.04145188432738
DOCK11	16	7	2	2	16	7	8.33333333333333	7.09459888459759
DOCK2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
DOCK3	5	0	1	0	5	1	2	2.64575131106459
DOCK4	18	1	2	1	18	2	7	9.53939201416946
DOCK5	66	12	7	7	66	12	28.3333333333333	32.7159492195066
DOCK6	7	0	0	0	7	0	2.33333333333333	4.04145188432738
DOCK7	110	30	9	9	110	30	49.6666666666667	53.2947777304056
DOCK8	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DOCK9	29	3	4	3	29	4	12	14.7309198626562
DOHH	2	1	0	0	2	1	1	1
DOK1	25	9	1	1	25	9	11.6666666666667	12.2202018532156
DOK3	3	0	0	0	3	0	1	1.73205080756888
DOK4	12	3	3	3	12	3	6	5.19615242270663
DOK5	138	29	6	6	138	29	57.6666666666667	70.5147738657179
DOK6	4	0	0	0	4	0	1.33333333333333	2.3094010767585
DOK7	0	0	0	0	0	0	0	0
DOLK	50	14	7	7	50	14	23.6666666666667	23.0723499742296
DOLPP1	40	6	1	1	40	6	15.6666666666667	21.221058723196
DOM3Z	22	1	2	1	22	2	8.33333333333333	11.8462370959446
DONSON	10	2	0	0	10	2	4	5.29150262212918
DOPEY1	47	13	2	2	47	13	20.6666666666667	23.4591844132172
DOPEY2	28	8	2	2	28	8	12.6666666666667	13.6137185711081
DOT1L	4	2	0	0	4	2	2	2
DPAGT1	435	68	26	26	435	68	176.333333333333	224.994073996035
DPCD	760	118	52	52	760	118	310	391.106123705574
DPEP1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
DPF1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DPF2	163	31	12	12	163	31	68.6666666666667	82.2455672564384
DPF3	3	0	0	0	3	0	1	1.73205080756888
DPH1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
DPH2	32	9	2	2	32	9	14.3333333333333	15.6950098226581
DPH3	722	132	53	53	722	132	302.333333333333	365.582184102745
DPH3P1	5	2	0	0	5	2	2.33333333333333	2.51661147842358
DPH5	264	32	27	27	264	32	107.666666666667	135.411717858291
DPH6	73	10	5	5	73	10	29.3333333333333	37.8989885529064
DPH6-AS1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
DPH7	33	7	3	3	33	7	14.3333333333333	16.2890556304942
DPM1	837	147	63	63	837	147	349	424.70224864015
DPM2	55	15	4	4	55	15	24.6666666666667	26.8390263112009
DPM3	197	32	9	9	197	32	79.3333333333333	102.549175195773
DPP3	68	12	7	7	68	12	29	33.8673884437522
DPP4	701	121	53	53	701	121	291.666666666667	356.119830019803
DPP7	53	3	2	2	53	3	19.3333333333333	29.1604755333882
DPP8	84	22	4	4	84	22	36.6666666666667	41.9682419614324
DPP9	74	29	3	3	74	29	35.3333333333333	35.9212100761282
DPPA2	0	0	0	0	0	0	0	0
DPPA3	0	0	0	0	0	0	0	0
DPPA4	29	5	3	3	29	5	12.3333333333333	14.4683562761405
DPRXP4	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DPT	401	71	23	23	401	71	165	205.786296919887
DPY19L1	59	21	5	5	59	21	28.3333333333333	27.7368587502863
DPY19L1P1	11	0	0	0	11	0	3.66666666666667	6.35085296108588
DPY19L2	0	0	0	0	0	0	0	0
DPY19L2P1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
DPY19L2P2	3	2	0	0	3	2	1.66666666666667	1.52752523165195
DPY19L2P3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
DPY19L2P4	0	0	0	0	0	0	0	0
DPY19L3	36	17	9	9	36	17	20.6666666666667	13.8684293751431
DPY19L4	126	30	10	10	126	30	55.3333333333333	62.0107517559119
DPY30	974	169	54	54	974	169	399	501.273378507177
DPYD	108	18	10	10	108	18	45.3333333333333	54.41813423238
DPYD-AS1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
DPYS	0	0	0	0	0	0	0	0
DPYSL2	3066	617	274	274	3066	617	1319	1522.63554404854
DPYSL3	387	101	41	41	387	101	176.333333333333	184.892761711575
DPYSL4	8	1	0	0	8	1	3	4.35889894354067
DPYSL5	33	6	3	3	33	6	14	16.5227116418583
DQX1	0	0	0	0	0	0	0	0
DR1	113	32	13	13	113	32	52.6666666666667	53.1068106115716
DRAM1	219	42	19	19	219	42	93.3333333333333	109.436435127125
DRAM2	386	63	38	38	386	63	162.333333333333	194.103924054444
DRAP1	93	21	5	5	93	21	39.6666666666667	46.8757222166585
DRAXIN	0	0	0	0	0	0	0	0
DRC1	0	0	0	0	0	0	0	0
DRD1	0	0	0	0	0	0	0	0
DRD4	0	1	0	0	1	0	0.333333333333333	0.577350269189626
DRD5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
DRG1	892	135	46	46	892	135	357.666666666667	464.880988354367
DRG2	171	38	12	12	171	38	73.6666666666667	85.2897023874121
DROSHA	38	21	8	8	38	21	22.3333333333333	15.0443787951957
DRP2	5	1	0	0	5	1	2	2.64575131106459
DSC1	3	1	0	0	3	1	1.33333333333333	1.52752523165195
DSC2	0	0	0	0	0	0	0	0
DSC3	28	9	3	3	28	9	13.3333333333333	13.0511813003013
DSCAM-AS1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
DSCC1	7	0	1	0	7	1	2.66666666666667	3.78593889720018
DSCR3	258	34	18	18	258	34	103.333333333333	134.183953337697
DSCR8	0	0	0	0	0	0	0	0
DSCR9	0	0	0	0	0	0	0	0
DSE	185	72	22	22	185	72	93	83.5044908971967
DSEL	546	121	29	29	546	121	232	275.795213881605
DSG2	19	2	4	2	19	4	8.33333333333333	9.29157324317757
DSG3	81	19	4	4	81	19	34.6666666666667	40.8207463593371
DSN1	59	11	6	6	59	11	25.3333333333333	29.2631736715848
DSP	189	37	20	20	189	37	82	93.0537479094743
DST	1101	268	93	93	1101	268	487.333333333333	538.605916541337
DSTN	7326	1271	530	530	7326	1271	3042.33333333333	3728.21945884806
DSTNP2	12	3	0	0	12	3	5	6.2449979983984
DSTYK	98	20	3	3	98	20	40.3333333333333	50.6589906466101
DTD1	232	50	15	15	232	50	99	116.503218839653
DTD2	126	18	11	11	126	18	51.6666666666667	64.4696310935105
DTL	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DTNA	27	1	2	1	27	2	10	14.7309198626562
DTNB	4	0	0	0	4	0	1.33333333333333	2.3094010767585
DTNBP1	38	5	6	5	38	6	16.3333333333333	18.7705443004015
DTWD1	719	112	54	54	719	112	295	368.338159847714
DTWD2	39	18	2	2	39	18	19.6666666666667	18.5562208796224
DTX1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DTX2	2	0	1	0	2	1	1	1
DTX2P1-UPK3BP1-PMS2P11	0	0	0	0	0	0	0	0
DTX3	18	1	1	1	18	1	6.66666666666667	9.81495457622364
DTX3L	58	19	10	10	58	19	29	25.5147016443461
DTX4	13	3	2	2	13	3	6	6.08276253029822
DTYMK	47	7	5	5	47	7	19.6666666666667	23.6924741918891
DUOX1	0	0	0	0	0	0	0	0
DUOXA1	0	0	0	0	0	0	0	0
DUS1L	16	3	0	0	16	3	6.33333333333333	8.50490054811538
DUS2L	22	3	1	1	22	3	8.66666666666667	11.5902257671425
DUS3L	17	3	1	1	17	3	7	8.71779788708135
DUS4L	15	1	0	0	15	1	5.33333333333333	8.38649708360608
DUSP1	34	5	6	5	34	6	15	16.4620776331543
DUSP10	103	23	5	5	103	23	43.6666666666667	52.1664004253057
DUSP11	603	110	41	41	603	110	251.333333333333	306.500135943417
DUSP12	101	14	3	3	101	14	39.3333333333333	53.6873666082937
DUSP14	252	76	30	30	252	76	119.333333333333	117.172237895046
DUSP15	0	0	0	0	0	0	0	0
DUSP16	13	6	1	1	13	6	6.66666666666667	6.02771377334171
DUSP18	13	2	0	0	13	2	5	7
DUSP19	46	6	1	1	46	6	17.6666666666667	24.6644143115812
DUSP2	2	1	0	0	2	1	1	1
DUSP22	167	32	16	16	167	32	71.6666666666667	82.9477747340659
DUSP23	81	12	4	4	81	12	32.3333333333333	42.3359579238894
DUSP26	0	0	0	0	0	0	0	0
DUSP28	20	4	0	0	20	4	8	10.5830052442584
DUSP3	286	73	27	27	286	73	128.666666666667	138.182246809543
DUSP4	2	1	0	0	2	1	1	1
DUSP5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DUSP5P1	0	0	0	0	0	0	0	0
DUSP6	32	4	2	2	32	4	12.6666666666667	16.7729941672122
DUSP7	20	4	3	3	20	4	9	9.53939201416946
DUSP8	2	1	0	0	2	1	1	1
DUT	252	46	15	15	252	46	104.333333333333	128.818994458633
DUXA	21	3	2	2	21	3	8.66666666666667	10.6926766215636
DVL1	12	5	2	2	12	5	6.33333333333333	5.13160143944688
DVL2	17	2	6	2	17	6	8.33333333333333	7.76745346515403
DVL3	62	18	6	6	62	18	28.6666666666667	29.484459183328
DYDC1	6	5	0	0	6	5	3.66666666666667	3.21455025366432
DYDC2	0	0	0	0	0	0	0	0
DYM	75	23	7	7	75	23	35	35.5527776692624
DYNAP	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DYNC1H1	807	179	55	55	807	179	347	403.16745900432
DYNC1I1	5	1	1	1	5	1	2.33333333333333	2.3094010767585
DYNC1I2	1325	217	72	72	1325	217	538	685.40717825246
DYNC1LI1	188	32	17	17	188	32	79	94.6942448092808
DYNC1LI2	803	168	58	58	803	168	343	402.150469351958
DYNC2H1	170	42	9	9	170	42	73.6666666666667	85.0431263144373
DYNC2LI1	218	35	12	12	218	35	88.3333333333333	112.881944230835
DYNLL1	11863	1897	763	763	11863	1897	4841	6107.60607767069
DYNLL1-AS1	65	11	0	0	65	11	25.3333333333333	34.7898452617044
DYNLL2	5	0	1	0	5	1	2	2.64575131106459
DYNLRB1	2992	467	146	146	2992	467	1201.66666666667	1558.7592287885
DYNLRB2	26	2	2	2	26	2	10	13.856406460551
DYNLT1	4686	751	316	316	4686	751	1917.66666666667	2407.29273943435
DYNLT3	2304	342	119	119	2304	342	921.666666666667	1202.31706855277
DYRK1A	58	24	8	8	58	24	30	25.5342906696074
DYRK1B	2	0	0	0	2	0	0.666666666666667	1.15470053837925
DYRK2	89	22	9	9	89	22	40	42.9301758673314
DYRK3	14	5	3	3	14	5	7.33333333333333	5.85946527708232
DYRK4	439	62	30	30	439	62	177	227.462084752602
DYSF	44	14	6	6	44	14	21.3333333333333	20.0333056017556
DYX1C1	26	4	0	0	26	4	10	14
DZANK1	28	8	3	3	28	8	13	13.228756555323
DZIP1	134	34	15	15	134	34	61	63.9296488336984
DZIP1L	25	3	3	3	25	3	10.3333333333333	12.7017059221718
DZIP3	84	22	8	8	84	22	38	40.4474968323134
E2F1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
E2F2	4	0	0	0	4	0	1.33333333333333	2.3094010767585
E2F3	32	14	1	1	32	14	15.6666666666667	15.5670592384475
E2F4	48	15	0	0	48	15	21	24.5560583156173
E2F5	11	0	0	0	11	0	3.66666666666667	6.35085296108588
E2F6	24	3	2	2	24	3	9.66666666666667	12.4230967690561
E2F7	39	8	4	4	39	8	17	19.157244060668
E2F8	0	0	0	0	0	0	0	0
E4F1	9	1	0	0	9	1	3.33333333333333	4.93288286231625
EAF1	68	19	10	10	68	19	32.3333333333333	31.2143129562919
EAF2	38	3	5	3	38	5	15.3333333333333	19.6553639837408
EAPP	1138	175	68	68	1138	175	460.333333333333	589.310048559613
EARS2	22	6	2	2	22	6	10	10.5830052442584
EBAG9	140	29	17	17	140	29	62	67.8159273327439
EBF1	38	8	7	7	38	8	17.6666666666667	17.6162803489651
EBF2	29	1	4	1	29	4	11.3333333333333	15.3731367434669
EBF3	33	9	4	4	33	9	15.3333333333333	15.502687938978
EBF4	0	0	0	0	0	0	0	0
EBI3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EBLN2	2	3	0	0	3	2	1.66666666666667	1.52752523165195
EBNA1BP2	378	59	28	28	378	59	155	193.744677346243
EBP	139	25	10	10	139	25	58	70.5478560978291
EBPL	49	9	1	1	49	9	19.6666666666667	25.7164020293145
ECD	193	32	20	20	193	32	81.6666666666667	96.6040026775978
ECE1	91	28	9	9	91	28	42.6666666666667	42.9224106188519
ECE2	62	11	3	3	62	11	25.3333333333333	32.0052079095471
ECEL1	0	0	0	0	0	0	0	0
ECEL1P2	0	0	0	0	0	0	0	0
ECH1	2268	365	136	136	2268	365	923	1170.41830129232
ECHDC1	586	93	33	33	586	93	237.333333333333	303.440823445583
ECHDC2	65	3	6	3	65	6	24.6666666666667	34.9618840072061
ECHDC3	8	1	0	0	8	1	3	4.35889894354067
ECHS1	577	89	44	44	577	89	236.666666666667	295.594880424769
ECI1	147	25	9	9	147	25	60.3333333333333	75.4806818552491
ECI2	831	132	55	55	831	132	339.333333333333	427.532844742171
ECM1	37	10	1	1	37	10	16	18.7349939951952
ECM2	524	101	36	36	524	101	220.333333333333	264.983647294193
ECSCR	3	0	0	0	3	0	1	1.73205080756888
ECSIT	32	2	2	2	32	2	12	17.3205080756888
ECT2	56	13	6	6	56	13	25	27.0739727413618
ECT2L	8	2	1	1	8	2	3.66666666666667	3.78593889720018
EDA	0	0	0	0	0	0	0	0
EDA2R	166	22	21	21	166	22	69.6666666666667	83.428612198294
EDAR	0	0	0	0	0	0	0	0
EDARADD	0	0	0	0	0	0	0	0
EDC3	65	19	8	8	65	19	30.6666666666667	30.2379452564709
EDC4	11	4	1	1	11	4	5.33333333333333	5.13160143944688
EDEM1	178	40	14	14	178	40	77.3333333333333	88.1438218670675
EDEM2	340	56	18	18	340	56	138	175.965905788593
EDEM3	163	26	12	12	163	26	67	83.4326075344646
EDF1	2186	330	139	139	2186	330	885	1130.73913879374
EDIL3	12	1	3	1	12	3	5.33333333333333	5.85946527708232
EDN1	322	73	22	22	322	73	139	160.521026660061
EDN2	0	0	0	0	0	0	0	0
EDNRA	17	9	1	1	17	9	9	8
EDNRB	4	2	1	1	4	2	2.33333333333333	1.52752523165195
EEA1	630	138	57	57	630	138	275	310.095146688883
EED	132	20	9	9	132	20	53.6666666666667	68.0612469275529
EEF1A1	149706	27846	11400	11400	149706	27846	62984	75552.2778743302
EEF1A2	2	0	0	0	2	0	0.666666666666667	1.15470053837925
EEF1B2	6713	1146	421	421	6713	1146	2760	3442.5372910108
EEF1D	2548	409	154	154	2548	409	1037	1314.76119504646
EEF1DP3	5	0	0	0	5	0	1.66666666666667	2.88675134594813
EEF1E1	586	97	37	37	586	97	240	301.142823258334
EEF1E1-MUTED	0	0	0	0	0	0	0	0
EEF1G	19039	3459	1378	1378	19039	3459	7958.66666666667	9652.09719870937
EEF2	1661	366	160	160	1661	366	729	813.68114147988
EEF2K	111	27	6	6	111	27	48	55.5607775323564
EEFSEC	13	7	2	2	13	7	7.33333333333333	5.5075705472861
EEPD1	11	2	1	1	11	2	4.66666666666667	5.5075705472861
EFCAB1	0	0	0	0	0	0	0	0
EFCAB10	0	1	0	0	1	0	0.333333333333333	0.577350269189626
EFCAB11	73	15	6	6	73	15	31.3333333333333	36.3639015141848
EFCAB12	0	0	0	0	0	0	0	0
EFCAB13	6	0	0	0	6	0	2	3.46410161513775
EFCAB14	160	42	15	15	160	42	72.3333333333333	77.1124719700603
EFCAB14-AS1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EFCAB2	93	11	3	3	93	11	35.6666666666667	49.812983581927
EFCAB3	20	2	0	0	20	2	7.33333333333333	11.0151410945722
EFCAB4A	26	4	1	1	26	4	10.3333333333333	13.6503968196288
EFCAB4B	0	0	0	0	0	0	0	0
EFCAB5	5	0	1	0	5	1	2	2.64575131106459
EFCAB6	2	0	0	0	2	0	0.666666666666667	1.15470053837925
EFCAB6-AS1	0	0	0	0	0	0	0	0
EFCAB7	83	8	8	8	83	8	33	43.3012701892219
EFCAB9	1	1	0	0	1	1	0.666666666666667	0.577350269189626
EFEMP1	13656	2730	934	934	13656	2730	5773.33333333333	6885.39972211732
EFEMP2	340	61	29	29	340	61	143.333333333333	171.068212515749
EFHB	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EFHC1	129	28	6	6	129	28	54.3333333333333	65.5921743299712
EFHC2	0	0	0	0	0	0	0	0
EFHD1	177	55	17	17	177	55	83	83.5942581760255
EFHD2	6	1	1	1	6	1	2.66666666666667	2.88675134594813
EFNA1	11	4	0	0	11	4	5	5.56776436283002
EFNA2	2	1	0	0	2	1	1	1
EFNA3	3	1	0	0	3	1	1.33333333333333	1.52752523165195
EFNA4	17	5	3	3	17	5	8.33333333333333	7.57187779440036
EFNA5	2	0	0	0	2	0	0.666666666666667	1.15470053837925
EFNB1	24	4	4	4	24	4	10.6666666666667	11.5470053837925
EFNB2	35	21	5	5	35	21	20.3333333333333	15.0111069989303
EFNB3	7	2	0	0	7	2	3	3.60555127546399
EFR3A	154	45	17	17	154	45	72	72.3809367167903
EFR3B	31	8	2	2	31	8	13.6666666666667	15.3079500042734
EFS	0	0	0	0	0	0	0	0
EFTUD1	107	28	8	8	107	28	47.6666666666667	52.348193219378
EFTUD1P1	5	2	1	1	5	2	2.66666666666667	2.08166599946613
EFTUD2	179	27	10	10	179	27	72	93.0537479094743
EGF	0	0	1	0	1	0	0.333333333333333	0.577350269189626
EGFEM1P	10	1	1	1	10	1	4	5.19615242270663
EGFL6	49	7	7	7	49	7	21	24.2487113059643
EGFL7	49	6	3	3	49	6	19.3333333333333	25.7358375292768
EGFLAM	43	2	5	2	43	5	16.6666666666667	22.8546129552293
EGFLAM-AS2	0	0	0	0	0	0	0	0
EGFLAM-AS4	10	2	1	1	10	2	4.33333333333333	4.93288286231625
EGFR	47	14	7	7	47	14	22.6666666666667	21.3619599600162
EGLN1	114	34	17	17	114	34	55	51.7976833458795
EGLN3	74	19	5	5	74	19	32.6666666666667	36.4737348421207
EGOT	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EGR1	46	10	5	5	46	10	20.3333333333333	22.3681320930768
EGR2	72	19	5	5	72	19	32	35.3411940941446
EGR3	3	0	0	0	3	0	1	1.73205080756888
EHBP1	274	52	21	21	274	52	115.666666666667	137.993961220531
EHBP1L1	21	6	0	0	21	6	9	10.816653826392
EHD1	44	14	6	6	44	14	21.3333333333333	20.0333056017556
EHD2	323	99	35	35	323	99	152.333333333333	151.226100040083
EHD3	39	11	3	3	39	11	17.6666666666667	18.9032625050104
EHD4	6	5	3	3	6	5	4.66666666666667	1.52752523165195
EHF	0	0	0	0	0	0	0	0
EHHADH	27	5	1	1	27	5	11	14
EHHADH-AS1	4	1	0	0	4	1	1.66666666666667	2.08166599946613
EHMT1	113	24	9	9	113	24	48.6666666666667	56.2168420789832
EHMT1-IT1	0	0	0	0	0	0	0	0
EHMT2	41	3	1	1	41	3	15	22.5388553391693
EI24	308	73	28	28	308	73	136.333333333333	150.36067748362
EID1	1086	216	87	87	1086	216	463	543.37556073125
EID2	15	6	1	1	15	6	7.33333333333333	7.09459888459759
EID2B	20	4	1	1	20	4	8.33333333333333	10.2143689640297
EID3	5	1	0	0	5	1	2	2.64575131106459
EIF1	11541	2077	765	765	11541	2077	4794.33333333333	5879.49566998168
EIF1AD	173	38	15	15	173	38	75.3333333333333	85.3600218681634
EIF1AX	525	82	33	33	525	82	213.333333333333	271.020909402454
EIF1AY	752	111	61	61	752	111	308	385.327133744822
EIF1B	1664	282	127	127	1664	282	691	846.199149136892
EIF1B-AS1	5	2	0	0	5	2	2.33333333333333	2.51661147842358
EIF2A	1077	188	65	65	1077	188	443.333333333333	552.206784939603
EIF2AK1	141	34	11	11	141	34	62	69.3757882838098
EIF2AK2	354	37	21	21	354	37	137.333333333333	187.809300444183
EIF2AK3	40	19	3	3	40	19	20.6666666666667	18.5562208796224
EIF2AK4	244	47	22	22	244	47	104.333333333333	121.599067978884
EIF2B1	141	27	14	14	141	27	60.6666666666667	69.8736955751829
EIF2B2	70	13	10	10	70	13	31	33.8082830087539
EIF2B3	358	34	21	21	358	34	137.666666666667	190.924941621919
EIF2B4	84	13	6	6	84	13	34.3333333333333	43.1547602627257
EIF2B5	67	18	4	4	67	18	29.6666666666667	33.0807093837683
EIF2D	307	61	28	28	307	61	132	152.44999180059
EIF2S1	1081	169	50	50	1081	169	433.333333333333	564.042847072218
EIF2S2	1450	261	118	118	1450	261	609.666666666667	731.2539458583
EIF2S3	1732	299	130	130	1732	299	720.333333333333	880.194486084373
EIF3A	1375	249	93	93	1375	249	572.333333333333	699.492196763719
EIF3B	255	57	19	19	255	57	110.333333333333	126.717533646032
EIF3C	28	5	1	1	28	5	11.3333333333333	14.5716619962629
EIF3D	1379	256	97	97	1379	256	577.333333333333	698.800639190702
EIF3E	5069	856	339	339	5069	856	2088	2594.53136423517
EIF3F	641	132	59	59	641	132	277.333333333333	317.052571876232
EIF3G	697	127	51	51	697	127	291.666666666667	353.079783240748
EIF3H	6288	1003	389	389	6288	1003	2560	3243.10607288753
EIF3I	2181	348	124	124	2181	348	884.333333333333	1128.5177594231
EIF3J	347	52	21	21	347	52	140	179.936099768779
EIF3J-AS1	44	12	3	3	44	12	19.6666666666667	21.548395145192
EIF3K	2738	453	150	150	2738	453	1113.66666666667	1414.84851957138
EIF3L	5921	954	394	394	5921	954	2423	3042.26938320721
EIF3M	2268	351	136	136	2268	351	918.333333333333	1173.77865602222
EIF4A1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EIF4A2	4056	687	292	292	4056	687	1678.33333333333	2068.56963463484
EIF4A3	75	17	6	6	75	17	32.6666666666667	37.0720020140986
EIF4B	2179	424	169	169	2179	424	924	1094.31485414391
EIF4E	1055	181	83	83	1055	181	439.666666666667	535.14234866373
