Gene	TRS+LOP.A.4.10.1.B4	TRS+LOP.A.4.11.1.B5	TRS+LOP.A.4.12.1.B6	Min	Max	Median	Mean	Std
CTTN	221	190	184	184	221	190	198.333333333333	19.8578280114753
CTTNBP2	0	0	0	0	0	0	0	0
CTTNBP2NL	76	56	69	56	76	69	67	10.1488915650922
CTU1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
CTU2	2	0	4	0	4	2	2	2
CTXN1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
CTXN2	0	0	0	0	0	0	0	0
CUBN	3	0	0	0	3	0	1	1.73205080756888
CUEDC1	4	2	5	2	5	4	3.66666666666667	1.52752523165195
CUEDC2	18	14	17	14	18	17	16.3333333333333	2.08166599946613
CUL1	28	27	20	20	28	27	25	4.35889894354067
CUL2	45	29	28	28	45	29	34	9.53939201416946
CUL3	22	30	28	22	30	28	26.6666666666667	4.16333199893227
CUL4A	26	29	37	26	37	29	30.6666666666667	5.68624070307733
CUL4B	41	24	29	24	41	29	31.3333333333333	8.7368949480541
CUL5	61	55	68	55	68	61	61.3333333333333	6.50640709864771
CUL7	15	7	8	7	15	8	10	4.35889894354067
CUL9	6	2	2	2	6	2	3.33333333333333	2.3094010767585
CUTA	564	415	439	415	564	439	472.666666666667	80.0020833062073
CUTC	39	27	29	27	39	29	31.6666666666667	6.42910050732864
CUX1	123	83	74	74	123	83	93.3333333333333	26.0832002126528
CWC15	179	148	123	123	179	148	150	28.0535202782111
CWC22	52	47	39	39	52	47	46	6.557438524302
CWC25	51	46	48	46	51	48	48.3333333333333	2.51661147842358
CWC27	105	97	81	81	105	97	94.3333333333333	12.2202018532156
CWF19L1	32	28	22	22	32	28	27.3333333333333	5.03322295684717
CWF19L2	55	44	49	44	55	49	49.3333333333333	5.5075705472861
CX3CL1	9	11	11	9	11	11	10.3333333333333	1.15470053837925
CX3CR1	7	11	7	7	11	7	8.33333333333333	2.3094010767585
CXADR	12	18	17	12	18	17	15.6666666666667	3.21455025366432
CXADRP2	0	0	0	0	0	0	0	0
CXCL1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
CXCL10	0	0	0	0	0	0	0	0
CXCL11	0	0	0	0	0	0	0	0
CXCL12	50	44	27	27	50	44	40.3333333333333	11.9303534454489
CXCL14	1	1	2	1	2	1	1.33333333333333	0.577350269189626
CXCL16	7	10	5	5	10	7	7.33333333333333	2.51661147842358
CXCL2	0	0	0	0	0	0	0	0
CXCL3	0	0	0	0	0	0	0	0
CXCL5	4	3	4	3	4	4	3.66666666666667	0.577350269189626
CXCL6	1	1	1	1	1	1	1	0
CXCR2	1	0	5	0	5	1	2	2.64575131106459
CXCR3	0	0	0	0	0	0	0	0
CXCR4	0	0	0	0	0	0	0	0
CXCR6	0	0	0	0	0	0	0	0
CXCR7	38	29	37	29	38	37	34.6666666666667	4.93288286231625
CXorf21	1	2	0	0	2	1	1	1
CXorf22	0	0	0	0	0	0	0	0
CXorf23	9	9	13	9	13	9	10.3333333333333	2.3094010767585
CXorf28	0	0	0	0	0	0	0	0
CXorf31	0	0	0	0	0	0	0	0
CXorf36	12	8	8	8	12	8	9.33333333333333	2.3094010767585
CXorf38	8	8	14	8	14	8	10	3.46410161513775
CXorf40A	6	4	6	4	6	6	5.33333333333333	1.15470053837925
CXorf40B	7	11	4	4	11	7	7.33333333333333	3.51188458428425
CXorf56	21	17	20	17	21	20	19.3333333333333	2.08166599946613
CXorf57	2	0	1	0	2	1	1	1
CXorf58	0	0	0	0	0	0	0	0
CXXC1	11	10	7	7	11	10	9.33333333333333	2.08166599946613
CXXC1P1	0	0	0	0	0	0	0	0
CXXC4	0	0	0	0	0	0	0	0
CXXC5	32	22	26	22	32	26	26.6666666666667	5.03322295684717
CYB561	9	6	8	6	9	8	7.66666666666667	1.52752523165195
CYB561A3	45	25	38	25	45	38	36	10.1488915650922
CYB561D1	14	10	12	10	14	12	12	2
CYB561D2	15	11	6	6	15	11	10.6666666666667	4.50924975282289
CYB5A	79	71	66	66	79	71	72	6.557438524302
CYB5B	144	90	105	90	144	105	113	27.8747197295327
CYB5D1	8	12	7	7	12	8	9	2.64575131106459
CYB5D2	65	45	58	45	65	58	56	10.1488915650922
CYB5R1	33	28	28	28	33	28	29.6666666666667	2.88675134594813
CYB5R2	18	11	15	11	18	15	14.6666666666667	3.51188458428425
CYB5R3	101	77	81	77	101	81	86.3333333333333	12.8582010146573
CYB5R4	3	5	9	3	9	5	5.66666666666667	3.05505046330389
CYB5RL	3	3	5	3	5	3	3.66666666666667	1.15470053837925
CYBA	66	51	44	44	66	51	53.6666666666667	11.2398102000582
CYBB	1	1	0	0	1	1	0.666666666666667	0.577350269189626
CYBRD1	371	261	283	261	371	283	305	58.206528843421
CYC1	15	18	10	10	18	15	14.3333333333333	4.04145188432738
CYCS	407	317	326	317	407	326	350	49.5681349255749
CYCSP52	0	0	0	0	0	0	0	0
CYFIP1	43	38	43	38	43	43	41.3333333333333	2.88675134594813
CYFIP2	11	8	7	7	11	8	8.66666666666667	2.08166599946613
CYGB	2	2	1	1	2	2	1.66666666666667	0.577350269189626
CYHR1	16	6	8	6	16	8	10	5.29150262212918
CYLC2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CYLD	46	31	23	23	46	31	33.3333333333333	11.6761865920913
CYP11A1	0	0	0	0	0	0	0	0
CYP19A1	0	0	0	0	0	0	0	0
CYP1A2	4	2	2	2	4	2	2.66666666666667	1.15470053837925
CYP1B1	30	35	42	30	42	35	35.6666666666667	6.02771377334171
CYP1B1-AS1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
CYP20A1	143	128	115	115	143	128	128.666666666667	14.0118997046558
CYP26A1	17	8	9	8	17	9	11.3333333333333	4.93288286231625
CYP26B1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CYP26C1	0	0	0	0	0	0	0	0
CYP27A1	2	3	1	1	3	2	2	1
CYP27B1	0	0	0	0	0	0	0	0
CYP27C1	8	1	10	1	10	8	6.33333333333333	4.72581562625261
CYP2A7	0	0	0	0	0	0	0	0
CYP2B6	0	1	2	0	2	1	1	1
CYP2B7P1	3	5	4	3	5	4	4	1
CYP2C18	0	0	0	0	0	0	0	0
CYP2C8	0	0	0	0	0	0	0	0
CYP2D6	0	0	0	0	0	0	0	0
CYP2D7P1	0	0	0	0	0	0	0	0
CYP2E1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
CYP2F1	0	0	0	0	0	0	0	0
CYP2G1P	0	0	0	0	0	0	0	0
CYP2J2	0	0	0	0	0	0	0	0
CYP2R1	4	3	1	1	4	3	2.66666666666667	1.52752523165195
CYP2U1	9	6	10	6	10	9	8.33333333333333	2.08166599946613
CYP2W1	5	1	3	1	5	3	3	2
CYP39A1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
CYP3A4	0	0	0	0	0	0	0	0
CYP3A43	0	0	0	0	0	0	0	0
CYP3A5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CYP46A1	0	0	0	0	0	0	0	0
CYP4A11	0	0	0	0	0	0	0	0
CYP4B1	0	0	0	0	0	0	0	0
CYP4F11	0	0	0	0	0	0	0	0
CYP4F35P	0	0	0	0	0	0	0	0
CYP4V2	26	19	18	18	26	19	21	4.35889894354067
CYP4X1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CYP4Z1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CYP51A1	61	47	45	45	61	47	51	8.71779788708135
CYP7B1	0	0	0	0	0	0	0	0
CYP8B1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
CYR61	221	192	184	184	221	192	199	19.4679223339318
CYS1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
CYSLTR1	0	0	0	0	0	0	0	0
CYSLTR2	0	0	0	0	0	0	0	0
CYSTM1	296	212	239	212	296	239	249	42.8835632847831
CYTH1	3	3	3	3	3	3	3	0
CYTH2	14	14	21	14	21	14	16.3333333333333	4.04145188432738
CYTH3	9	7	11	7	11	9	9	2
CYTIP	0	0	0	0	0	0	0	0
CYTL1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CYYR1	0	0	0	0	0	0	0	0
D21S2088E	0	0	0	0	0	0	0	0
D2HGDH	3	2	3	2	3	3	2.66666666666667	0.577350269189626
DAAM1	97	67	83	67	97	83	82.3333333333333	15.0111069989303
DAAM2	1	0	1	0	1	1	0.666666666666667	0.577350269189626
DAB2	435	344	312	312	435	344	363.666666666667	63.8148363104798
DAB2IP	24	14	17	14	24	17	18.3333333333333	5.13160143944688
DACH1	0	0	0	0	0	0	0	0
DACT1	65	50	58	50	65	58	57.6666666666667	7.50555349946513
DACT2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
DACT3	0	3	3	0	3	3	2	1.73205080756888
DACT3-AS1	3	1	1	1	3	1	1.66666666666667	1.15470053837925
DAD1	1517	1224	1212	1212	1517	1224	1317.66666666667	172.731969633109
DAG1	48	55	44	44	55	48	49	5.56776436283002
DAGLA	0	1	0	0	1	0	0.333333333333333	0.577350269189626
DAGLB	2	3	3	2	3	3	2.66666666666667	0.577350269189626
DAK	6	3	2	2	6	3	3.66666666666667	2.08166599946613
DALRD3	9	2	5	2	9	5	5.33333333333333	3.51188458428425
DANCR	94	72	70	70	94	72	78.6666666666667	13.3166562369588
DAND5	5	6	0	0	6	5	3.66666666666667	3.21455025366432
DAO	0	0	0	0	0	0	0	0
DAOA	0	0	0	0	0	0	0	0
DAOA-AS1	0	0	0	0	0	0	0	0
DAP	65	57	44	44	65	57	55.3333333333333	10.5987420637231
DAP3	151	79	91	79	151	91	107	38.5746030439718
DAPK1	31	21	28	21	31	28	26.6666666666667	5.13160143944688
DAPK2	0	0	0	0	0	0	0	0
DAPK3	6	3	4	3	6	4	4.33333333333333	1.52752523165195
DAPP1	2	2	0	0	2	2	1.33333333333333	1.15470053837925
DARC	0	0	0	0	0	0	0	0
DARS	128	105	103	103	128	105	112	13.8924439894498
DARS2	6	11	8	6	11	8	8.33333333333333	2.51661147842358
DAW1	11	5	6	5	11	6	7.33333333333333	3.21455025366432
DAXX	83	49	50	49	83	50	60.6666666666667	19.3476958145753
DAZAP1	10	7	10	7	10	10	9	1.73205080756888
DAZAP2	381	310	320	310	381	320	337	38.4317577011513
DBC1	0	0	0	0	0	0	0	0
DBF4	2	3	7	2	7	3	4	2.64575131106459
DBF4B	0	0	0	0	0	0	0	0
DBH-AS1	0	0	0	0	0	0	0	0
DBI	372	310	311	310	372	311	331	35.5105618091294
DBIL5P	1	0	2	0	2	1	1	1
DBIL5P2	1	2	3	1	3	2	2	1
DBN1	18	10	7	7	18	10	11.6666666666667	5.68624070307733
DBNDD1	9	4	4	4	9	4	5.66666666666667	2.88675134594813
DBNDD2	0	0	0	0	0	0	0	0
DBNL	29	24	24	24	29	24	25.6666666666667	2.88675134594813
DBP	0	0	0	0	0	0	0	0
DBR1	3	10	2	2	10	3	5	4.35889894354067
DBT	31	28	23	23	31	28	27.3333333333333	4.04145188432738
DCAF10	27	34	33	27	34	33	31.3333333333333	3.78593889720018
DCAF11	14	14	12	12	14	14	13.3333333333333	1.15470053837925
DCAF12	22	26	20	20	26	22	22.6666666666667	3.05505046330389
DCAF13	167	98	110	98	167	110	125	36.8646171823335
DCAF13P3	0	1	1	0	1	1	0.666666666666667	0.577350269189626
DCAF15	0	1	1	0	1	1	0.666666666666667	0.577350269189626
DCAF16	29	23	27	23	29	27	26.3333333333333	3.05505046330389
DCAF17	10	4	10	4	10	10	8	3.46410161513775
DCAF4	2	9	7	2	9	7	6	3.60555127546399
DCAF4L1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
DCAF4L2	0	0	0	0	0	0	0	0
DCAF5	34	40	29	29	40	34	34.3333333333333	5.5075705472861
DCAF6	48	29	34	29	48	34	37	9.8488578017961
DCAF7	55	77	49	49	77	55	60.3333333333333	14.742229591664
DCAF8	30	22	21	21	30	22	24.3333333333333	4.93288286231625
DCAKD	29	13	14	13	29	14	18.6666666666667	8.9628864398325
DCBLD1	7	4	3	3	7	4	4.66666666666667	2.08166599946613
DCBLD2	53	50	44	44	53	50	49	4.58257569495584
DCDC1	0	0	0	0	0	0	0	0
DCDC2	0	1	2	0	2	1	1	1
DCDC2B	0	0	0	0	0	0	0	0
DCDC5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
DCHS1	2	3	0	0	3	2	1.66666666666667	1.52752523165195
DCHS2	0	0	0	0	0	0	0	0
DCK	6	5	3	3	6	5	4.66666666666667	1.52752523165195
DCLK1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
DCLK2	5	4	4	4	5	4	4.33333333333333	0.577350269189626
DCLK3	0	0	0	0	0	0	0	0
DCLRE1A	7	4	4	4	7	4	5	1.73205080756888
DCLRE1B	4	11	9	4	11	9	8	3.60555127546399
DCLRE1C	10	12	10	10	12	10	10.6666666666667	1.15470053837925
DCN	1067	822	832	822	1067	832	907	138.65424623862
DCP1A	35	28	41	28	41	35	34.6666666666667	6.50640709864771
DCP1B	9	1	10	1	10	9	6.66666666666667	4.93288286231625
DCP2	34	30	27	27	34	30	30.3333333333333	3.51188458428425
DCPS	30	21	20	20	30	21	23.6666666666667	5.5075705472861
DCST2	0	0	0	0	0	0	0	0
DCT	0	0	0	0	0	0	0	0
DCTD	76	49	69	49	76	69	64.6666666666667	14.0118997046558
DCTN1	72	65	61	61	72	65	66	5.56776436283002
DCTN1-AS1	0	0	0	0	0	0	0	0
DCTN2	20	17	18	17	20	18	18.3333333333333	1.52752523165195
DCTN3	83	53	72	53	83	72	69.3333333333333	15.1767365837763
DCTN4	38	39	35	35	39	38	37.3333333333333	2.08166599946613
DCTN5	41	52	54	41	54	52	49	7
DCTN6	219	169	143	143	219	169	177	38.6264158316559
DCTPP1	12	8	7	7	12	8	9	2.64575131106459
DCUN1D1	94	59	53	53	94	59	68.6666666666667	22.1434715736565
DCUN1D2	8	9	15	8	15	9	10.6666666666667	3.78593889720018
DCUN1D3	17	13	12	12	17	13	14	2.64575131106459
DCUN1D4	26	22	27	22	27	26	25	2.64575131106459
DCUN1D5	20	20	19	19	20	20	19.6666666666667	0.577350269189626
DCX	14	5	5	5	14	5	8	5.19615242270663
DCXR	18	8	8	8	18	8	11.3333333333333	5.77350269189626
DDA1	9	6	4	4	9	6	6.33333333333333	2.51661147842358
DDAH1	110	104	99	99	110	104	104.333333333333	5.5075705472861
DDAH2	18	18	11	11	18	18	15.6666666666667	4.04145188432738
DDB1	75	61	72	61	75	72	69.3333333333333	7.37111479583199
DDB2	54	36	42	36	54	42	44	9.16515138991168
DDHD1	8	7	4	4	8	7	6.33333333333333	2.08166599946613
DDHD2	8	15	13	8	15	13	12	3.60555127546399
DDI1	0	0	0	0	0	0	0	0
DDI2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
DDIT3	457	347	345	345	457	347	383	64.0936814358483
DDIT4	53	39	38	38	53	39	43.3333333333333	8.38649708360608
DDIT4L	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DDO	0	0	0	0	0	0	0	0
DDOST	409	296	277	277	409	296	327.333333333333	71.3605866941503
DDR1	12	6	4	4	12	6	7.33333333333333	4.16333199893227
DDR2	127	79	77	77	127	79	94.3333333333333	28.3078316607495
DDRGK1	22	14	26	14	26	22	20.6666666666667	6.11010092660779
DDT	10	8	10	8	10	10	9.33333333333333	1.15470053837925
DDTL	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DDX1	138	107	116	107	138	116	120.333333333333	15.9478316185409
DDX10	31	25	40	25	40	31	32	7.54983443527075
DDX11	0	0	0	0	0	0	0	0
DDX11-AS1	1	0	2	0	2	1	1	1
DDX11L2	0	0	0	0	0	0	0	0
DDX17	131	113	128	113	131	128	124	9.64365076099295
DDX18	193	126	153	126	193	153	157.333333333333	33.7095436535906
DDX19A	44	33	31	31	44	33	36	7
DDX19B	3	3	2	2	3	3	2.66666666666667	0.577350269189626
DDX20	12	10	8	8	12	10	10	2
DDX21	155	139	144	139	155	144	146	8.18535277187245
DDX23	43	24	32	24	43	32	33	9.53939201416946
DDX24	291	233	249	233	291	249	257.666666666667	29.9555225848813
DDX26B	0	0	1	0	1	0	0.333333333333333	0.577350269189626
DDX27	62	64	55	55	64	62	60.3333333333333	4.72581562625261
DDX28	5	2	5	2	5	5	4	1.73205080756888
DDX31	3	4	5	3	5	4	4	1
DDX39A	40	36	30	30	40	36	35.3333333333333	5.03322295684717
DDX39B	0	0	0	0	0	0	0	0
DDX3X	153	131	132	131	153	132	138.666666666667	12.4230967690561
DDX3Y	70	73	57	57	73	70	66.6666666666667	8.50490054811538
DDX41	37	24	31	24	37	31	30.6666666666667	6.50640709864771
DDX42	52	45	41	41	52	45	46	5.56776436283002
DDX43	0	0	0	0	0	0	0	0
DDX46	160	134	156	134	160	156	150	14
DDX47	169	96	124	96	169	124	129.666666666667	36.8284310463171
DDX49	13	13	11	11	13	13	12.3333333333333	1.15470053837925
DDX5	818	619	691	619	818	691	709.333333333333	100.758787871497
DDX50	116	80	75	75	116	80	90.3333333333333	22.3681320930768
DDX51	16	13	9	9	16	13	12.6666666666667	3.51188458428425
DDX52	58	50	39	39	58	50	49	9.53939201416946
DDX54	5	7	5	5	7	5	5.66666666666667	1.15470053837925
DDX55	27	19	16	16	27	19	20.6666666666667	5.68624070307733
DDX56	17	14	8	8	17	14	13	4.58257569495584
DDX58	15	13	9	9	15	13	12.3333333333333	3.05505046330389
DDX59	11	11	11	11	11	11	11	0
DDX6	114	100	95	95	114	100	103	9.8488578017961
DDX60	3	1	3	1	3	3	2.33333333333333	1.15470053837925
DDX60L	5	3	3	3	5	3	3.66666666666667	1.15470053837925
DEAF1	12	6	11	6	12	11	9.66666666666667	3.21455025366432
DECR1	137	131	115	115	137	131	127.666666666667	11.3724814061547
DECR2	3	3	2	2	3	3	2.66666666666667	0.577350269189626
DEDD	54	47	31	31	54	47	44	11.7898261225516
DEDD2	2	9	6	2	9	6	5.66666666666667	3.51188458428425
DEF6	0	1	0	0	1	0	0.333333333333333	0.577350269189626
DEF8	26	26	16	16	26	26	22.6666666666667	5.77350269189626
DEFB1	0	0	0	0	0	0	0	0
DEFB122	0	0	0	0	0	0	0	0
DEFB132	0	0	0	0	0	0	0	0
DEGS1	64	62	70	62	70	64	65.3333333333333	4.16333199893227
DEK	66	60	60	60	66	60	62	3.46410161513775
DENND1A	2	5	2	2	5	2	3	1.73205080756888
DENND1B	3	3	9	3	9	3	5	3.46410161513775
DENND2A	0	0	0	0	0	0	0	0
DENND2C	1	3	5	1	5	3	3	2
DENND2D	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DENND3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
DENND4A	7	8	3	3	8	7	6	2.64575131106459
DENND4B	3	5	2	2	5	3	3.33333333333333	1.52752523165195
DENND4C	21	21	12	12	21	21	18	5.19615242270663
DENND5A	45	35	55	35	55	45	45	10
DENND5B	9	9	13	9	13	9	10.3333333333333	2.3094010767585
DENND5B-AS1	0	0	0	0	0	0	0	0
DENND6A	13	10	13	10	13	13	12	1.73205080756888
DENND6B	0	1	0	0	1	0	0.333333333333333	0.577350269189626
DENR	81	51	53	51	81	53	61.6666666666667	16.7729941672122
DEPDC1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DEPDC1B	0	0	0	0	0	0	0	0
DEPDC4	4	1	4	1	4	4	3	1.73205080756888
DEPDC5	4	1	1	1	4	1	2	1.73205080756888
DEPDC7	16	3	2	2	16	3	7	7.81024967590665
DEPTOR	122	79	94	79	122	94	98.3333333333333	21.8250620464945
DERA	44	30	39	30	44	39	37.6666666666667	7.09459888459759
DERL1	73	61	71	61	73	71	68.3333333333333	6.42910050732864
DERL2	216	167	162	162	216	167	181.666666666667	29.8384539367128
DERL3	0	0	0	0	0	0	0	0
DES	0	0	0	0	0	0	0	0
DESI1	23	20	26	20	26	23	23	3
DESI2	24	39	26	24	39	26	29.6666666666667	8.14452781524708
DET1	4	1	3	1	4	3	2.66666666666667	1.52752523165195
DEXI	13	9	6	6	13	9	9.33333333333333	3.51188458428425
DFFA	57	44	35	35	57	44	45.3333333333333	11.060440015358
DFFB	7	1	7	1	7	7	5	3.46410161513775
DFNA5	30	23	32	23	32	30	28.3333333333333	4.72581562625261
DFNB31	0	0	1	0	1	0	0.333333333333333	0.577350269189626
DFNB59	2	0	1	0	2	1	1	1
DGAT1	3	3	3	3	3	3	3	0
DGAT2	2	0	0	0	2	0	0.666666666666667	1.15470053837925
DGCR11	3	2	1	1	3	2	2	1
DGCR14	0	4	2	0	4	2	2	2
DGCR2	6	7	4	4	7	6	5.66666666666667	1.52752523165195
DGCR5	0	0	0	0	0	0	0	0
DGCR6	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DGCR6L	2	2	3	2	3	2	2.33333333333333	0.577350269189626
DGCR8	9	12	6	6	12	9	9	3
DGKA	13	12	15	12	15	13	13.3333333333333	1.52752523165195
DGKB	2	4	4	2	4	4	3.33333333333333	1.15470053837925
DGKD	3	2	4	2	4	3	3	1
DGKE	14	10	13	10	14	13	12.3333333333333	2.08166599946613
DGKG	0	0	2	0	2	0	0.666666666666667	1.15470053837925
DGKH	2	1	2	1	2	2	1.66666666666667	0.577350269189626
DGKI	2	2	1	1	2	2	1.66666666666667	0.577350269189626
DGKQ	2	1	1	1	2	1	1.33333333333333	0.577350269189626
DGKZ	1	3	0	0	3	1	1.33333333333333	1.52752523165195
DGUOK	355	304	346	304	355	346	335	27.2213151776324
DHCR24	7	1	3	1	7	3	3.66666666666667	3.05505046330389
DHCR7	1	3	1	1	3	1	1.66666666666667	1.15470053837925
DHDDS	32	36	33	32	36	33	33.6666666666667	2.08166599946613
DHDH	0	0	0	0	0	0	0	0
DHFR	8	8	10	8	10	8	8.66666666666667	1.15470053837925
DHFRL1	6	11	6	6	11	6	7.66666666666667	2.88675134594813
DHODH	16	11	6	6	16	11	11	5
DHPS	32	19	19	19	32	19	23.3333333333333	7.50555349946513
DHRS1	22	23	27	22	27	23	24	2.64575131106459
DHRS11	0	3	1	0	3	1	1.33333333333333	1.52752523165195
DHRS12	7	4	0	0	7	4	3.66666666666667	3.51188458428425
DHRS13	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DHRS2	0	0	0	0	0	0	0	0
DHRS3	124	91	93	91	124	93	102.666666666667	18.5022521151706
DHRS4	0	1	0	0	1	0	0.333333333333333	0.577350269189626
DHRS4-AS1	22	12	11	11	22	12	15	6.08276253029822
DHRS4L1	0	0	0	0	0	0	0	0
DHRS4L2	0	0	0	0	0	0	0	0
DHRS7	101	57	77	57	101	77	78.3333333333333	22.0302821891444
DHRS7B	62	48	39	39	62	48	49.6666666666667	11.5902257671425
DHRS9	1	3	3	1	3	3	2.33333333333333	1.15470053837925
DHRSX	27	17	22	17	27	22	22	5
DHTKD1	13	11	18	11	18	13	14	3.60555127546399
DHX15	58	55	43	43	58	55	52	7.93725393319377
DHX16	13	19	22	13	22	19	18	4.58257569495584
DHX29	107	73	92	73	107	92	90.6666666666667	17.0391705588427
DHX30	40	34	29	29	40	34	34.3333333333333	5.5075705472861
DHX32	11	20	8	8	20	11	13	6.2449979983984
DHX33	16	13	10	10	16	13	13	3
DHX34	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DHX35	5	4	2	2	5	4	3.66666666666667	1.52752523165195
DHX36	30	37	21	21	37	30	29.3333333333333	8.02080627701064
DHX37	3	1	1	1	3	1	1.66666666666667	1.15470053837925
DHX38	20	15	12	12	20	15	15.6666666666667	4.04145188432738
DHX40	29	15	17	15	29	17	20.3333333333333	7.57187779440036
DHX57	5	10	7	5	10	7	7.33333333333333	2.51661147842358
DHX58	0	2	3	0	3	2	1.66666666666667	1.52752523165195
DHX8	43	25	30	25	43	30	32.6666666666667	9.29157324317757
DHX9	105	82	72	72	105	82	86.3333333333333	16.9213868619961
DIABLO	33	21	28	21	33	28	27.3333333333333	6.02771377334171
DIAPH1	11	19	12	11	19	12	14	4.35889894354067
DIAPH2	12	7	11	7	12	11	10	2.64575131106459
DIAPH3	18	15	9	9	18	15	14	4.58257569495584
DICER1	30	38	31	30	38	31	33	4.35889894354067
DICER1-AS1	2	2	1	1	2	2	1.66666666666667	0.577350269189626
DIDO1	21	19	34	19	34	21	24.6666666666667	8.14452781524708
DIEXF	38	28	19	19	38	28	28.3333333333333	9.50438495292217
DIMT1	17	7	8	7	17	8	10.6666666666667	5.5075705472861
DIO1	0	0	0	0	0	0	0	0
DIO2	4	0	6	0	6	4	3.33333333333333	3.05505046330389
DIP2A	19	12	16	12	19	16	15.6666666666667	3.51188458428425
DIP2B	8	9	7	7	9	8	8	1
DIP2C	8	7	12	7	12	8	9	2.64575131106459
DIRAS1	0	0	0	0	0	0	0	0
DIRAS2	3	0	1	0	3	1	1.33333333333333	1.52752523165195
DIRAS3	3	1	2	1	3	2	2	1
DIRC1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
DIRC2	4	5	2	2	5	4	3.66666666666667	1.52752523165195
DIRC3	0	0	0	0	0	0	0	0
DIS3	33	21	29	21	33	29	27.6666666666667	6.11010092660779
DIS3L	20	14	12	12	20	14	15.3333333333333	4.16333199893227
DIS3L2	3	3	3	3	3	3	3	0
DISC1	7	2	3	2	7	3	4	2.64575131106459
DISC2	0	0	5	0	5	0	1.66666666666667	2.88675134594813
DISP1	2	6	5	2	6	5	4.33333333333333	2.08166599946613
DISP2	0	0	0	0	0	0	0	0
DIXDC1	33	18	18	18	33	18	23	8.66025403784439
DKC1	54	46	42	42	54	46	47.3333333333333	6.11010092660779
DKFZP434A062	0	1	0	0	1	0	0.333333333333333	0.577350269189626
DKFZP434I0714	0	1	1	0	1	1	0.666666666666667	0.577350269189626
DKFZp434J0226	0	0	0	0	0	0	0	0
DKFZP434K028	0	0	0	0	0	0	0	0
DKFZP434L187	2	3	3	2	3	3	2.66666666666667	0.577350269189626
DKFZp434L192	0	0	0	0	0	0	0	0
DKFZp451B082	0	0	0	0	0	0	0	0
DKFZp566F0947	0	0	1	0	1	0	0.333333333333333	0.577350269189626
DKFZP586I1420	3	2	1	1	3	2	2	1
DKFZP686I15217	10	10	12	10	12	10	10.6666666666667	1.15470053837925
DKFZp779M0652	0	0	0	0	0	0	0	0
DKK1	43	41	36	36	43	41	40	3.60555127546399
DKK2	0	0	0	0	0	0	0	0
DKK3	80	66	56	56	80	66	67.3333333333333	12.0554275466834
DKKL1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
DLAT	16	6	11	6	16	11	11	5
DLC1	69	47	56	47	69	56	57.3333333333333	11.060440015358
DLD	128	96	82	82	128	96	102	23.5796522451032
DLEU1	27	20	17	17	27	20	21.3333333333333	5.13160143944688
DLEU2	6	3	7	3	7	6	5.33333333333333	2.08166599946613
DLEU2L	1	3	3	1	3	3	2.33333333333333	1.15470053837925
DLEU7-AS1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DLG1	39	26	26	26	39	26	30.3333333333333	7.50555349946513
DLG1-AS1	0	0	0	0	0	0	0	0
DLG2	2	4	0	0	4	2	2	2
DLG3	7	5	2	2	7	5	4.66666666666667	2.51661147842358
DLG4	0	1	3	0	3	1	1.33333333333333	1.52752523165195
DLG5	27	24	20	20	27	24	23.6666666666667	3.51188458428425
DLG5-AS1	2	3	1	1	3	2	2	1
DLGAP1	0	0	2	0	2	0	0.666666666666667	1.15470053837925
DLGAP1-AS1	18	15	17	15	18	17	16.6666666666667	1.52752523165195
DLGAP1-AS3	0	0	0	0	0	0	0	0
DLGAP1-AS4	0	0	0	0	0	0	0	0
DLGAP1-AS5	0	0	0	0	0	0	0	0
DLGAP2	0	0	0	0	0	0	0	0
DLGAP4	13	15	21	13	21	15	16.3333333333333	4.16333199893227
