Gene	SUN+LOP.A.7.15.1.F5	SUN+LOP.A.7.16.1.F6	SUN+LOP.A.8.12.1.G9	Min	Max	Median	Mean	Std
FBXL8	0	0	0	0	0	0	0	0
FBXO10	2	1	1	1	2	1	1.33333333333333	0.577350269189626
FBXO11	20	10	6	6	20	10	12	7.21110255092798
FBXO15	0	0	0	0	0	0	0	0
FBXO16	2	3	0	0	3	2	1.66666666666667	1.52752523165195
FBXO17	24	19	4	4	24	19	15.6666666666667	10.4083299973307
FBXO18	9	7	1	1	9	7	5.66666666666667	4.16333199893227
FBXO2	0	0	0	0	0	0	0	0
FBXO21	38	33	6	6	38	33	25.6666666666667	17.2143351115671
FBXO22	14	7	2	2	14	7	7.66666666666667	6.02771377334171
FBXO24	0	0	0	0	0	0	0	0
FBXO25	13	11	1	1	13	11	8.33333333333333	6.42910050732864
FBXO27	13	6	2	2	13	6	7	5.56776436283002
FBXO28	8	8	0	0	8	8	5.33333333333333	4.61880215351701
FBXO3	30	22	4	4	30	22	18.6666666666667	13.3166562369588
FBXO30	7	4	0	0	7	4	3.66666666666667	3.51188458428425
FBXO31	2	2	0	0	2	2	1.33333333333333	1.15470053837925
FBXO32	85	54	18	18	85	54	52.3333333333333	33.5310801098523
FBXO33	4	5	3	3	5	4	4	1
FBXO34	8	10	0	0	10	8	6	5.29150262212918
FBXO36	4	7	1	1	7	4	4	3
FBXO38	17	10	5	5	17	10	10.6666666666667	6.02771377334171
FBXO39	0	0	0	0	0	0	0	0
FBXO4	6	1	2	1	6	2	3	2.64575131106459
FBXO40	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FBXO41	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FBXO42	6	8	3	3	8	6	5.66666666666667	2.51661147842358
FBXO43	0	0	0	0	0	0	0	0
FBXO44	4	1	0	0	4	1	1.66666666666667	2.08166599946613
FBXO45	7	6	3	3	7	6	5.33333333333333	2.08166599946613
FBXO46	1	1	0	0	1	1	0.666666666666667	0.577350269189626
FBXO48	8	7	1	1	8	7	5.33333333333333	3.78593889720018
FBXO5	3	2	0	0	3	2	1.66666666666667	1.52752523165195
FBXO6	17	6	2	2	17	6	8.33333333333333	7.76745346515403
FBXO7	40	21	3	3	40	21	21.3333333333333	18.5022521151706
FBXO8	15	10	4	4	15	10	9.66666666666667	5.5075705472861
FBXO9	21	18	1	1	21	18	13.3333333333333	10.785793124909
FBXW10	0	0	0	0	0	0	0	0
FBXW11	17	12	3	3	17	12	10.6666666666667	7.09459888459759
FBXW12	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FBXW2	12	17	2	2	17	12	10.3333333333333	7.63762615825973
FBXW4	9	3	0	0	9	3	4	4.58257569495584
FBXW4P1	0	0	0	0	0	0	0	0
FBXW5	18	9	3	3	18	9	10	7.54983443527075
FBXW7	12	9	1	1	12	9	7.33333333333333	5.68624070307733
FBXW8	5	6	2	2	6	5	4.33333333333333	2.08166599946613
FBXW9	1	1	0	0	1	1	0.666666666666667	0.577350269189626
FCAMR	0	0	0	0	0	0	0	0
FCAR	25	14	3	3	25	14	14	11
FCER1A	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FCER1G	2	1	1	1	2	1	1.33333333333333	0.577350269189626
FCER2	0	0	0	0	0	0	0	0
FCF1	21	22	8	8	22	21	17	7.81024967590665
FCGBP	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FCGR1B	0	0	0	0	0	0	0	0
FCGR2A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FCGR2B	0	0	0	0	0	0	0	0
FCGR2C	0	0	0	0	0	0	0	0
FCGRT	124	70	18	18	124	70	70.6666666666667	53.0031445608026
FCHO1	0	0	0	0	0	0	0	0
FCHO2	16	11	2	2	16	11	9.66666666666667	7.09459888459759
FCHSD1	0	2	0	0	2	0	0.666666666666667	1.15470053837925
FCHSD2	13	11	0	0	13	11	8	7
FCN3	0	0	0	0	0	0	0	0
FCRL2	0	0	0	0	0	0	0	0
FCRL6	0	0	0	0	0	0	0	0
FCRLA	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FCRLB	0	2	0	0	2	0	0.666666666666667	1.15470053837925
FDFT1	29	15	1	1	29	15	15	14
FDPS	57	48	6	6	57	48	37	27.2213151776324
FDPSP2	15	11	1	1	15	11	9	7.21110255092798
FDX1	8	4	2	2	8	4	4.66666666666667	3.05505046330389
FDX1L	8	7	0	0	8	7	5	4.35889894354067
FDXACB1	6	7	0	0	7	6	4.33333333333333	3.78593889720018
FDXR	3	3	0	0	3	3	2	1.73205080756888
FECH	7	8	2	2	8	7	5.66666666666667	3.21455025366432
FEM1A	6	5	0	0	6	5	3.66666666666667	3.21455025366432
FEM1B	1	3	1	1	3	1	1.66666666666667	1.15470053837925
FEM1C	6	4	0	0	6	4	3.33333333333333	3.05505046330389
FEN1	11	4	1	1	11	4	5.33333333333333	5.13160143944688
FENDRR	3	2	0	0	3	2	1.66666666666667	1.52752523165195
FER	39	33	1	1	39	33	24.3333333333333	20.4287379280594
FER1L5	0	0	0	0	0	0	0	0
FERMT1	8	2	0	0	8	2	3.33333333333333	4.16333199893227
FERMT2	93	58	18	18	93	58	56.3333333333333	37.5277674973257
FERMT3	4	9	0	0	9	4	4.33333333333333	4.50924975282289
FES	0	0	0	0	0	0	0	0
FETUB	0	0	0	0	0	0	0	0
FEZ1	52	31	7	7	52	31	30	22.5166604983954
FEZ2	36	24	5	5	36	24	21.6666666666667	15.6311654502578
FFAR2	0	0	0	0	0	0	0	0
FFAR4	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FGB	8	9	0	0	9	8	5.66666666666667	4.93288286231625
FGD1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
FGD2	0	0	0	0	0	0	0	0
FGD4	3	2	1	1	3	2	2	1
FGD5	0	0	0	0	0	0	0	0
FGD5-AS1	62	46	16	16	62	46	41.3333333333333	23.3523731841827
FGD5P1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FGD6	5	6	0	0	6	5	3.66666666666667	3.21455025366432
FGF1	6	3	1	1	6	3	3.33333333333333	2.51661147842358
FGF11	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FGF12	0	0	0	0	0	0	0	0
FGF13	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FGF13-AS1	0	0	0	0	0	0	0	0
FGF14	22	10	0	0	22	10	10.6666666666667	11.0151410945722
FGF14-AS2	0	0	0	0	0	0	0	0
FGF18	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FGF2	29	18	3	3	29	18	16.6666666666667	13.0511813003013
FGF5	7	5	3	3	7	5	5	2
FGF7	599	433	77	77	599	433	369.666666666667	266.700831144812
FGF9	0	0	0	0	0	0	0	0
FGFBP2	0	0	0	0	0	0	0	0
FGFBP3	0	0	0	0	0	0	0	0
FGFR1	68	31	9	9	68	31	36	29.8161030317511
FGFR1OP	3	1	0	0	3	1	1.33333333333333	1.52752523165195
FGFR1OP2	55	46	7	7	55	46	36	25.5147016443461
FGFR2	6	10	2	2	10	6	6	4
FGFR3	0	0	0	0	0	0	0	0
FGFRL1	11	3	0	0	11	3	4.66666666666667	5.68624070307733
FGG	0	0	0	0	0	0	0	0
FGGY	3	5	0	0	5	3	2.66666666666667	2.51661147842358
FGL2	6	4	0	0	6	4	3.33333333333333	3.05505046330389
FGR	0	0	0	0	0	0	0	0
FH	76	37	10	10	76	37	41	33.1813200460741
FHAD1	3	0	0	0	3	0	1	1.73205080756888
FHDC1	6	2	1	1	6	2	3	2.64575131106459
FHIT	2	1	0	0	2	1	1	1
FHL1	83	45	17	17	83	45	48.3333333333333	33.1260219968129
FHL2	155	98	25	25	155	98	92.6666666666667	65.1638959342774
FHL3	6	4	1	1	6	4	3.66666666666667	2.51661147842358
FHOD1	3	1	0	0	3	1	1.33333333333333	1.52752523165195
FHOD3	6	5	1	1	6	5	4	2.64575131106459
FIBCD1	0	0	0	0	0	0	0	0
FIBIN	25	22	7	7	25	22	18	9.64365076099295
FIBP	111	56	15	15	111	56	60.6666666666667	48.1698384192155
FICD	10	6	0	0	10	6	5.33333333333333	5.03322295684717
FIG4	12	15	1	1	15	12	9.33333333333333	7.37111479583199
FIGF	0	0	0	0	0	0	0	0
FIGN	5	0	0	0	5	0	1.66666666666667	2.88675134594813
FIGNL1	5	0	0	0	5	0	1.66666666666667	2.88675134594813
FIGNL2	0	0	0	0	0	0	0	0
FILIP1	4	3	1	1	4	3	2.66666666666667	1.52752523165195
FILIP1L	120	53	7	7	120	53	60	56.8242905807015
FIP1L1	28	17	5	5	28	17	16.6666666666667	11.5036226178249
FIS1	268	150	42	42	268	150	153.333333333333	113.036867142244
FITM1	0	0	0	0	0	0	0	0
FITM2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FIZ1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FJX1	0	2	0	0	2	0	0.666666666666667	1.15470053837925
FKBP10	20	6	6	6	20	6	10.6666666666667	8.08290376865476
FKBP11	160	142	27	27	160	142	109.666666666667	72.1549259117722
FKBP14	113	59	21	21	113	59	64.3333333333333	46.2313025268955
FKBP15	32	12	4	4	32	12	16	14.422205101856
FKBP1A	161	125	23	23	161	125	103	71.5821206726931
FKBP1AP1	1	1	1	1	1	1	1	0
FKBP1B	2	1	0	0	2	1	1	1
FKBP2	25	10	4	4	25	10	13	10.816653826392
FKBP3	135	89	15	15	135	89	79.6666666666667	60.5419964432404
FKBP4	16	4	1	1	16	4	7	7.93725393319377
FKBP5	10	11	2	2	11	10	7.66666666666667	4.93288286231625
FKBP6	0	0	0	0	0	0	0	0
FKBP7	119	68	6	6	119	68	64.3333333333333	56.5891626845046
FKBP8	2	2	2	2	2	2	2	0
FKBP9	19	29	4	4	29	19	17.3333333333333	12.5830573921179
FKBP9L	1	0	2	0	2	1	1	1
FKBPL	1	4	0	0	4	1	1.66666666666667	2.08166599946613
FKRP	4	1	1	1	4	1	2	1.73205080756888
FKSG29	0	0	0	0	0	0	0	0
FKTN	10	5	0	0	10	5	5	5
FLAD1	5	6	1	1	6	5	4	2.64575131106459
FLCN	13	4	3	3	13	4	6.66666666666667	5.5075705472861
FLG	0	0	0	0	0	0	0	0
FLG-AS1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
FLG2	9	2	0	0	9	2	3.66666666666667	4.72581562625261
FLI1	4	2	2	2	4	2	2.66666666666667	1.15470053837925
FLI1-AS1	0	0	0	0	0	0	0	0
FLII	17	14	0	0	17	14	10.3333333333333	9.07377172587747
FLJ10038	4	2	1	1	4	2	2.33333333333333	1.52752523165195
FLJ11235	0	0	0	0	0	0	0	0
FLJ12825	5	0	0	0	5	0	1.66666666666667	2.88675134594813
FLJ13197	4	3	1	1	4	3	2.66666666666667	1.52752523165195
FLJ13224	0	0	0	0	0	0	0	0
FLJ14186	0	0	0	0	0	0	0	0
FLJ16171	0	0	0	0	0	0	0	0
FLJ16779	0	0	0	0	0	0	0	0
FLJ20021	0	0	0	0	0	0	0	0
FLJ20518	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FLJ21408	0	2	0	0	2	0	0.666666666666667	1.15470053837925
FLJ22184	0	0	0	0	0	0	0	0
FLJ22447	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FLJ23867	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FLJ25363	0	0	0	0	0	0	0	0
FLJ25758	0	0	0	0	0	0	0	0
FLJ26850	0	0	0	0	0	0	0	0
FLJ27354	0	0	0	0	0	0	0	0
FLJ30403	11	2	0	0	11	2	4.33333333333333	5.85946527708232
FLJ30679	0	0	0	0	0	0	0	0
FLJ30838	6	2	2	2	6	2	3.33333333333333	2.3094010767585
FLJ31104	4	2	1	1	4	2	2.33333333333333	1.52752523165195
FLJ31306	36	18	6	6	36	18	20	15.0996688705415
FLJ31662	0	0	0	0	0	0	0	0
FLJ31813	1	2	0	0	2	1	1	1
FLJ33360	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FLJ33534	0	0	0	0	0	0	0	0
FLJ33630	4	1	0	0	4	1	1.66666666666667	2.08166599946613
FLJ34503	0	0	0	0	0	0	0	0
FLJ35024	9	9	3	3	9	9	7	3.46410161513775
FLJ35282	5	2	0	0	5	2	2.33333333333333	2.51661147842358
FLJ36000	0	0	0	0	0	0	0	0
FLJ36777	2	0	1	0	2	1	1	1
FLJ37035	0	0	0	0	0	0	0	0
FLJ37201	0	0	0	0	0	0	0	0
FLJ37453	2	4	1	1	4	2	2.33333333333333	1.52752523165195
FLJ37505	0	0	0	0	0	0	0	0
FLJ37644	0	0	0	0	0	0	0	0
FLJ38576	0	0	0	0	0	0	0	0
FLJ39739	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FLJ41200	4	1	0	0	4	1	1.66666666666667	2.08166599946613
FLJ41941	4	1	0	0	4	1	1.66666666666667	2.08166599946613
FLJ42102	14	6	1	1	14	6	7	6.557438524302
FLJ42351	0	0	0	0	0	0	0	0
FLJ42393	0	0	0	0	0	0	0	0
FLJ42627	3	1	0	0	3	1	1.33333333333333	1.52752523165195
FLJ42875	0	0	0	0	0	0	0	0
FLJ42969	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FLJ43315	0	0	0	0	0	0	0	0
FLJ43663	2	3	0	0	3	2	1.66666666666667	1.52752523165195
FLJ43681	8	4	0	0	8	4	4	4
FLJ43879	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FLJ44313	0	0	0	0	0	0	0	0
FLJ44511	0	0	0	0	0	0	0	0
FLJ44635	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FLJ45079	0	0	0	0	0	0	0	0
FLJ45340	5	5	2	2	5	5	4	1.73205080756888
FLJ45513	0	0	0	0	0	0	0	0
FLJ45974	0	0	0	0	0	0	0	0
FLJ46361	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FLJ46906	0	3	0	0	3	0	1	1.73205080756888
FLNA	59	34	6	6	59	34	33	26.5141471671257
FLNB	18	13	0	0	18	13	10.3333333333333	9.29157324317757
FLNC	18	12	1	1	18	12	10.3333333333333	8.62167810425171
FLOT1	17	5	0	0	17	5	7.33333333333333	8.73689494805411
FLOT2	24	12	2	2	24	12	12.6666666666667	11.0151410945722
FLRT1	0	0	0	0	0	0	0	0
FLRT2	2	2	0	0	2	2	1.33333333333333	1.15470053837925
FLRT3	0	0	0	0	0	0	0	0
FLT1	1	3	0	0	3	1	1.33333333333333	1.52752523165195
FLT3	0	0	0	0	0	0	0	0
FLT3LG	0	2	0	0	2	0	0.666666666666667	1.15470053837925
FLT4	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FLVCR1	8	4	1	1	8	4	4.33333333333333	3.51188458428425
FLVCR1-AS1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FLVCR2	0	0	0	0	0	0	0	0
FLYWCH1	4	1	1	1	4	1	2	1.73205080756888
FLYWCH2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FMN1	13	10	2	2	13	10	8.33333333333333	5.68624070307733
FMN2	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FMNL1	0	0	0	0	0	0	0	0
FMNL2	17	8	1	1	17	8	8.66666666666667	8.02080627701064
FMNL3	7	6	1	1	7	6	4.66666666666667	3.21455025366432
FMO1	0	0	0	0	0	0	0	0
FMO2	27	21	5	5	27	21	17.6666666666667	11.3724814061547
FMO3	1	3	1	1	3	1	1.66666666666667	1.15470053837925
FMO4	6	2	2	2	6	2	3.33333333333333	2.3094010767585
FMO5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FMO6P	0	0	0	0	0	0	0	0
FMOD	124	85	17	17	124	85	75.3333333333333	54.1510233821424
FMR1	11	7	2	2	11	7	6.66666666666667	4.50924975282289
FMR1-AS1	0	0	0	0	0	0	0	0
FMR1NB	0	0	0	0	0	0	0	0
FN1	5091	3409	672	672	5091	3409	3057.33333333333	2230.39062348579
FN3K	0	0	0	0	0	0	0	0
FN3KRP	6	6	5	5	6	6	5.66666666666667	0.577350269189626
FNBP1	23	22	2	2	23	22	15.6666666666667	11.8462370959446
FNBP1L	10	14	3	3	14	10	9	5.56776436283002
FNBP4	17	13	0	0	17	13	10	8.88819441731559
FNDC1	44	32	3	3	44	32	26.3333333333333	21.0792156716832
FNDC3A	42	35	8	8	42	35	28.3333333333333	17.9536440126603
FNDC3B	93	73	20	20	93	73	62	37.72267222772
FNDC4	5	8	0	0	8	5	4.33333333333333	4.04145188432738
FNDC5	2	0	2	0	2	2	1.33333333333333	1.15470053837925
FNDC7	0	0	0	0	0	0	0	0
FNIP1	29	11	4	4	29	11	14.6666666666667	12.8970280814354
FNIP2	19	5	4	4	19	5	9.33333333333333	8.38649708360608
FNTA	25	31	6	6	31	25	20.6666666666667	13.0511813003013
FNTB	1	1	0	0	1	1	0.666666666666667	0.577350269189626
FOCAD	15	4	4	4	15	4	7.66666666666667	6.35085296108588
FOLH1	0	0	0	0	0	0	0	0
FOLR1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FOLR2	1	0	1	0	1	1	0.666666666666667	0.577350269189626
FOLR3	0	0	0	0	0	0	0	0
FOLR4	0	0	0	0	0	0	0	0
FOPNL	59	49	12	12	59	49	40	24.7588368062799
FOS	4	4	0	0	4	4	2.66666666666667	2.3094010767585
FOSB	2	1	0	0	2	1	1	1
FOSL1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
FOSL2	0	0	0	0	0	0	0	0
FOXA1	0	0	0	0	0	0	0	0
FOXC1	8	8	0	0	8	8	5.33333333333333	4.61880215351701
FOXC2	3	3	0	0	3	3	2	1.73205080756888
FOXD1	14	9	0	0	14	9	7.66666666666667	7.09459888459759
FOXD2	0	0	0	0	0	0	0	0
FOXD2-AS1	0	0	0	0	0	0	0	0
FOXD3	0	0	0	0	0	0	0	0
FOXD4	0	0	0	0	0	0	0	0
FOXE1	0	0	0	0	0	0	0	0
FOXE3	0	0	0	0	0	0	0	0
FOXF1	2	2	0	0	2	2	1.33333333333333	1.15470053837925
FOXF2	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FOXG1	0	0	0	0	0	0	0	0
FOXJ2	3	2	1	1	3	2	2	1
FOXJ3	23	8	4	4	23	8	11.6666666666667	10.0166528008778
FOXK1	12	20	2	2	20	12	11.3333333333333	9.01849950564579
FOXK2	15	6	1	1	15	6	7.33333333333333	7.09459888459759
FOXL1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FOXL2	0	0	0	0	0	0	0	0
FOXM1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FOXN2	10	8	2	2	10	8	6.66666666666667	4.16333199893227
FOXN3	26	16	0	0	26	16	14	13.114877048604
FOXN3-AS1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
FOXO1	17	23	2	2	23	17	14	10.816653826392
FOXO3	9	14	1	1	14	9	8	6.557438524302
FOXO3B	3	0	2	0	3	2	1.66666666666667	1.52752523165195
FOXO4	0	0	0	0	0	0	0	0
FOXP1	83	57	11	11	83	57	50.3333333333333	36.4600237703342
FOXP2	0	0	0	0	0	0	0	0
FOXP3	0	0	0	0	0	0	0	0
FOXP4	7	4	0	0	7	4	3.66666666666667	3.51188458428425
FOXRED1	5	5	0	0	5	5	3.33333333333333	2.88675134594813
FOXRED2	10	4	1	1	10	4	5	4.58257569495584
FOXS1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FPGS	4	2	4	2	4	4	3.33333333333333	1.15470053837925
FPGT	10	12	6	6	12	10	9.33333333333333	3.05505046330389
FPR1	0	0	0	0	0	0	0	0
FPR3	0	0	0	0	0	0	0	0
FRA10AC1	32	19	6	6	32	19	19	13
FRAS1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FRAT1	0	0	0	0	0	0	0	0
FRAT2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FREM1	0	0	0	0	0	0	0	0
FREM2	2	1	0	0	2	1	1	1
FREM3	0	0	0	0	0	0	0	0
FRG1	54	34	7	7	54	34	31.6666666666667	23.5867194271126
FRG1B	29	16	2	2	29	16	15.6666666666667	13.5030860670194
FRG2	0	0	0	0	0	0	0	0
FRG2C	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FRK	1	1	0	0	1	1	0.666666666666667	0.577350269189626
FRMD3	1	2	0	0	2	1	1	1
FRMD4A	16	10	1	1	16	10	9	7.54983443527075
FRMD4B	7	2	2	2	7	2	3.66666666666667	2.88675134594813
FRMD5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FRMD6	59	55	14	14	59	55	42.6666666666667	24.9064917909635
FRMD6-AS1	5	5	0	0	5	5	3.33333333333333	2.88675134594813
FRMD6-AS2	0	0	0	0	0	0	0	0
FRMD7	0	0	0	0	0	0	0	0
FRMD8	12	9	1	1	12	9	7.33333333333333	5.68624070307733
FRMPD4	0	0	0	0	0	0	0	0
FRRS1	3	2	1	1	3	2	2	1
FRS2	28	22	2	2	28	22	17.3333333333333	13.6137185711081
FRS3	0	0	0	0	0	0	0	0
FRY	23	13	0	0	23	13	12	11.5325625946708
FRYL	13	5	1	1	13	5	6.33333333333333	6.11010092660779
FRZB	4	6	2	2	6	4	4	2
FSBP	6	2	0	0	6	2	2.66666666666667	3.05505046330389
FSCB	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FSCN1	13	2	2	2	13	2	5.66666666666667	6.35085296108588
FSCN2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FSD1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FSD1L	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FSD2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FSHR	0	0	0	0	0	0	0	0
FSIP1	2	0	1	0	2	1	1	1
FSIP2	3	0	0	0	3	0	1	1.73205080756888
FST	50	30	2	2	50	30	27.3333333333333	24.1108550933668
FSTL1	593	388	108	108	593	388	363	243.464576478797
FSTL3	12	6	0	0	12	6	6	6
FSTL4	0	0	0	0	0	0	0	0
FTCD	0	0	0	0	0	0	0	0
FTCDNL1	0	0	0	0	0	0	0	0
FTH1	4497	2372	583	583	4497	2372	2484	1959.40220475532
FTH1P18	0	0	0	0	0	0	0	0
FTH1P3	0	0	0	0	0	0	0	0
FTL	29763	21027	4704	4704	29763	21027	18498	12719.4831262909
FTLP10	1	2	0	0	2	1	1	1
FTO	37	34	5	5	37	34	25.3333333333333	17.6729548557488
FTSJ1	11	9	1	1	11	9	7	5.29150262212918
FTSJ2	38	21	3	3	38	21	20.6666666666667	17.5023807904334
FTSJ3	33	22	0	0	33	22	18.3333333333333	16.8027775481714
FTSJD1	10	3	1	1	10	3	4.66666666666667	4.72581562625261
FTSJD2	3	1	1	1	3	1	1.66666666666667	1.15470053837925
FTX	11	3	1	1	11	3	5	5.29150262212918
FUBP1	84	47	12	12	84	47	47.6666666666667	36.0046293319808
FUBP3	15	13	2	2	15	13	10	7
FUCA1	8	5	0	0	8	5	4.33333333333333	4.04145188432738
FUCA2	29	14	3	3	29	14	15.3333333333333	13.0511813003013
FUK	3	0	0	0	3	0	1	1.73205080756888
FUNDC1	34	34	4	4	34	34	24	17.3205080756888
FUNDC2	141	88	29	29	141	88	86	56.0267793113258
FUOM	1	2	1	1	2	1	1.33333333333333	0.577350269189626
FURIN	4	2	0	0	4	2	2	2
FUS	26	13	2	2	26	13	13.6666666666667	12.0138808606267
FUT1	3	5	0	0	5	3	2.66666666666667	2.51661147842358
FUT10	13	15	2	2	15	13	10	7
FUT11	8	5	0	0	8	5	4.33333333333333	4.04145188432738
FUT2	8	6	0	0	8	6	4.66666666666667	4.16333199893227
FUT3	0	0	0	0	0	0	0	0
FUT4	6	6	0	0	6	6	4	3.46410161513775
FUT6	12	6	1	1	12	6	6.33333333333333	5.5075705472861
FUT8	28	13	4	4	28	13	15	12.1243556529821
FUT8-AS1	0	0	0	0	0	0	0	0
FUT9	0	0	0	0	0	0	0	0
FUZ	0	0	0	0	0	0	0	0
FXN	26	17	5	5	26	17	16	10.5356537528527
FXR1	123	66	18	18	123	66	69	52.5642464038057
FXR2	4	0	1	0	4	1	1.66666666666667	2.08166599946613
FXYD1	0	0	0	0	0	0	0	0
FXYD3	0	0	0	0	0	0	0	0
FXYD5	53	28	7	7	53	28	29.3333333333333	23.0289672658878
FXYD6	0	0	0	0	0	0	0	0
FYB	0	0	0	0	0	0	0	0
FYCO1	5	13	0	0	13	5	6	6.557438524302
FYN	44	19	6	6	44	19	23	19.313207915828
FYTTD1	127	91	20	20	127	91	79.3333333333333	54.4456915956932
FZD1	5	4	0	0	5	4	3	2.64575131106459
FZD10	0	0	0	0	0	0	0	0
FZD10-AS1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FZD2	6	7	3	3	7	6	5.33333333333333	2.08166599946613
FZD3	20	14	3	3	20	14	12.3333333333333	8.62167810425171
FZD4	26	9	11	9	26	11	15.3333333333333	9.29157324317757
FZD5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FZD6	28	11	4	4	28	11	14.3333333333333	12.3423390543824
FZD7	13	1	2	1	13	2	5.33333333333333	6.65832811847939
FZD8	47	16	6	6	47	16	23	21.3775583264319
FZD9	0	0	0	0	0	0	0	0
FZR1	0	0	0	0	0	0	0	0
G0S2	10	7	3	3	10	7	6.66666666666667	3.51188458428425
G2E3	15	11	1	1	15	11	9	7.21110255092798
G3BP1	78	46	15	15	78	46	46.3333333333333	31.5013227235514
G3BP2	131	88	22	22	131	88	80.3333333333333	54.9029446690552
G6PC	1	2	1	1	2	1	1.33333333333333	0.577350269189626
G6PC3	10	3	2	2	10	3	5	4.35889894354067
G6PD	4	3	0	0	4	3	2.33333333333333	2.08166599946613
GAA	16	12	0	0	16	12	9.33333333333333	8.32666399786453
GAB1	2	7	0	0	7	2	3	3.60555127546399
GAB2	16	7	5	5	16	7	9.33333333333333	5.85946527708232
GAB3	1	2	0	0	2	1	1	1
GABARAP	1170	809	188	188	1170	809	722.333333333333	496.703466198227
GABARAPL1	20	16	10	10	20	16	15.3333333333333	5.03322295684717
GABARAPL2	571	436	85	85	571	436	364	250.872477565794
GABBR1	0	0	0	0	0	0	0	0
GABBR2	0	0	0	0	0	0	0	0
GABPA	10	11	4	4	11	10	8.33333333333333	3.78593889720018
GABPB1	10	4	0	0	10	4	4.66666666666667	5.03322295684717
GABPB1-AS1	20	13	2	2	20	13	11.6666666666667	9.07377172587747
GABPB2	12	5	0	0	12	5	5.66666666666667	6.02771377334171
GABRA1	0	0	0	0	0	0	0	0
GABRA2	0	0	0	0	0	0	0	0
GABRA3	0	0	0	0	0	0	0	0
GABRA4	0	0	0	0	0	0	0	0
GABRB1	0	0	0	0	0	0	0	0
GABRB2	0	0	0	0	0	0	0	0
GABRE	0	1	1	0	1	1	0.666666666666667	0.577350269189626
GABRG1	0	0	0	0	0	0	0	0
GAD1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
GADD45A	39	30	10	10	39	30	26.3333333333333	14.8436293854749
GADD45B	13	13	4	4	13	13	10	5.19615242270663
GADD45G	0	0	1	0	1	0	0.333333333333333	0.577350269189626
GADD45GIP1	13	10	2	2	13	10	8.33333333333333	5.68624070307733
GADL1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
GAGE1	0	0	0	0	0	0	0	0
GAGE12D	0	0	0	0	0	0	0	0
GAK	3	3	0	0	3	3	2	1.73205080756888
GAL3ST1	0	0	0	0	0	0	0	0
GAL3ST3	0	0	0	0	0	0	0	0
GAL3ST4	2	4	0	0	4	2	2	2
GALC	7	4	0	0	7	4	3.66666666666667	3.51188458428425
GALE	7	4	1	1	7	4	4	3
GALK1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
GALK2	19	16	3	3	19	16	12.6666666666667	8.50490054811538
GALM	29	6	7	6	29	7	14	13
