Gene	DTP.A.7.9.1.E11	DTP.A.7.10.1.E12	DTP.A.8.5.1.G3	Min	Max	Median	Mean	Std
EPC2	20	0	6	0	20	6	8.66666666666667	10.2632028788938
EPCAM	0	0	0	0	0	0	0	0
EPDR1	88	44	43	43	88	44	58.3333333333333	25.6969518296107
EPG5	19	11	9	9	19	11	13	5.29150262212918
EPGN	15	6	3	3	15	6	8	6.2449979983984
EPHA1	0	0	0	0	0	0	0	0
EPHA1-AS1	6	2	0	0	6	2	2.66666666666667	3.05505046330389
EPHA10	5	0	0	0	5	0	1.66666666666667	2.88675134594813
EPHA2	8	4	7	4	8	7	6.33333333333333	2.08166599946613
EPHA3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
EPHA4	0	1	1	0	1	1	0.666666666666667	0.577350269189626
EPHA5	7	2	2	2	7	2	3.66666666666667	2.88675134594813
EPHA7	0	0	0	0	0	0	0	0
EPHA8	0	0	0	0	0	0	0	0
EPHB1	0	0	0	0	0	0	0	0
EPHB2	0	0	0	0	0	0	0	0
EPHB3	5	2	3	2	5	3	3.33333333333333	1.52752523165195
EPHB4	9	3	1	1	9	3	4.33333333333333	4.16333199893227
EPHB6	4	1	1	1	4	1	2	1.73205080756888
EPHX1	10	1	2	1	10	2	4.33333333333333	4.93288286231625
EPHX2	1	0	2	0	2	1	1	1
EPHX3	0	0	0	0	0	0	0	0
EPHX4	0	0	0	0	0	0	0	0
EPM2A	1	4	1	1	4	1	2	1.73205080756888
EPM2AIP1	38	16	20	16	38	20	24.6666666666667	11.7189305541646
EPN1	8	3	5	3	8	5	5.33333333333333	2.51661147842358
EPN2	24	9	17	9	24	17	16.6666666666667	7.50555349946513
EPN2-AS1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EPN2-IT1	0	0	0	0	0	0	0	0
EPOR	1	2	4	1	4	2	2.33333333333333	1.52752523165195
EPPIN	0	0	0	0	0	0	0	0
EPPIN-WFDC6	0	0	0	0	0	0	0	0
EPPK1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EPRS	443	179	184	179	443	184	268.666666666667	150.997792478345
EPS15	102	39	57	39	102	57	66	32.4499614791759
EPS15L1	12	4	8	4	12	8	8	4
EPS8	108	47	67	47	108	67	74	31.0966236109324
EPS8L1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
EPS8L2	4	3	0	0	4	3	2.33333333333333	2.08166599946613
EPSTI1	10	3	4	3	10	4	5.66666666666667	3.78593889720018
EPT1	13	3	4	3	13	4	6.66666666666667	5.5075705472861
EPYC	11	1	5	1	11	5	5.66666666666667	5.03322295684717
ERAL1	66	27	39	27	66	39	44	19.9749843554382
ERAP1	19	14	15	14	19	15	16	2.64575131106459
ERAP2	33	12	20	12	33	20	21.6666666666667	10.5987420637231
ERAS	0	0	0	0	0	0	0	0
ERBB2	14	8	9	8	14	9	10.3333333333333	3.21455025366432
ERBB2IP	109	65	48	48	109	65	74	31.4801524773944
ERBB3	7	6	1	1	7	6	4.66666666666667	3.21455025366432
ERBB4	0	0	0	0	0	0	0	0
ERC1	55	20	22	20	55	22	32.3333333333333	19.6553639837408
ERC2-IT1	0	0	0	0	0	0	0	0
ERCC1	64	21	33	21	64	33	39.3333333333333	22.1885856541902
ERCC2	3	2	1	1	3	2	2	1
ERCC3	55	20	24	20	55	24	33	19.157244060668
ERCC4	58	25	27	25	58	27	36.6666666666667	18.5022521151706
ERCC5	11	7	13	7	13	11	10.3333333333333	3.05505046330389
ERCC6	18	12	6	6	18	12	12	6
ERCC6L	1	1	1	1	1	1	1	0
ERCC6L2	8	0	1	0	8	1	3	4.35889894354067
ERCC8	27	14	25	14	27	25	22	7
EREG	13	3	3	3	13	3	6.33333333333333	5.77350269189626
ERF	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ERG	17	3	6	3	17	6	8.66666666666667	7.37111479583199
ERGIC1	75	40	41	40	75	41	52	19.9248588451713
ERGIC2	364	152	194	152	364	194	236.666666666667	112.255660584816
ERGIC3	1002	403	558	403	1002	558	654.333333333333	310.90244986705
ERH	807	367	435	367	807	435	536.333333333333	236.857200298689
ERI1	21	4	3	3	21	4	9.33333333333333	10.1159939369957
ERI2	2	0	3	0	3	2	1.66666666666667	1.52752523165195
ERI3	10	7	12	7	12	10	9.66666666666667	2.51661147842358
ERICH1	71	24	27	24	71	27	40.6666666666667	26.3122278291545
ERICH1-AS1	0	0	0	0	0	0	0	0
ERLEC1	221	72	102	72	221	102	131.666666666667	78.8056681548563
ERLIN1	48	17	21	17	48	21	28.6666666666667	16.8621864932557
ERLIN2	65	35	32	32	65	35	44	18.2482875908947
ERMAP	9	5	4	4	9	5	6	2.64575131106459
ERMN	0	0	0	0	0	0	0	0
ERMP1	7	5	2	2	7	5	4.66666666666667	2.51661147842358
ERN1	1	1	1	1	1	1	1	0
ERN2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ERO1L	44	14	16	14	44	16	24.6666666666667	16.7729941672122
ERO1LB	6	6	2	2	6	6	4.66666666666667	2.3094010767585
ERP27	0	0	0	0	0	0	0	0
ERP29	313	141	108	108	313	141	187.333333333333	110.074217386876
ERP44	134	65	60	60	134	65	86.3333333333333	41.3561764834871
ERRFI1	97	27	41	27	97	41	55	37.0405183549043
ERV3-1	55	10	24	10	55	24	29.6666666666667	23.0289672658878
ERVFRD-1	0	0	0	0	0	0	0	0
ERVK13-1	7	7	3	3	7	7	5.66666666666667	2.3094010767585
ERVMER34-1	0	0	0	0	0	0	0	0
ERVV-1	7	4	3	3	7	4	4.66666666666667	2.08166599946613
ESAM	0	0	0	0	0	0	0	0
ESCO1	70	31	31	31	70	31	44	22.5166604983954
ESCO2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ESD	522	188	283	188	522	283	331	172.095903495696
ESF1	122	32	57	32	122	57	70.3333333333333	46.4578662158878
ESM1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ESPL1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ESPN	0	0	0	0	0	0	0	0
ESPNL	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ESR1	2	3	0	0	3	2	1.66666666666667	1.52752523165195
ESR2	0	0	0	0	0	0	0	0
ESRG	16	6	3	3	16	6	8.33333333333333	6.80685928555405
ESRP1	0	0	0	0	0	0	0	0
ESRP2	0	0	0	0	0	0	0	0
ESRRA	8	4	3	3	8	4	5	2.64575131106459
ESRRG	0	0	0	0	0	0	0	0
ESYT1	84	43	36	36	84	43	54.3333333333333	25.9293913027925
ESYT2	63	34	21	21	63	34	39.3333333333333	21.5019378971602
ESYT3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ETAA1	21	4	7	4	21	7	10.6666666666667	9.07377172587747
ETF1	96	40	46	40	96	46	60.6666666666667	30.7462734869339
ETFA	136	63	67	63	136	67	88.6666666666667	41.0406302745625
ETFB	78	29	44	29	78	44	50.3333333333333	25.1064400768674
ETFDH	52	21	21	21	52	21	31.3333333333333	17.8978583448784
ETHE1	23	10	11	10	23	11	14.6666666666667	7.23417813807024
ETNK1	26	10	13	10	26	13	16.3333333333333	8.50490054811538
ETNK2	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ETS1	16	10	17	10	17	16	14.3333333333333	3.78593889720018
ETS2	16	12	7	7	16	12	11.6666666666667	4.50924975282289
ETV1	3	2	1	1	3	2	2	1
ETV2	2	1	0	0	2	1	1	1
ETV3	7	0	3	0	7	3	3.33333333333333	3.51188458428425
ETV4	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ETV5	14	10	12	10	14	12	12	2
ETV6	22	14	5	5	22	14	13.6666666666667	8.50490054811538
ETV7	2	0	4	0	4	2	2	2
EVA1A	30	8	11	8	30	11	16.3333333333333	11.9303534454489
EVA1B	16	4	8	4	16	8	9.33333333333333	6.11010092660779
EVA1C	3	1	2	1	3	2	2	1
EVC	11	9	1	1	11	9	7	5.29150262212918
EVC2	10	1	3	1	10	3	4.66666666666667	4.72581562625261
EVI2A	23	11	15	11	23	15	16.3333333333333	6.11010092660779
EVI2B	1	0	4	0	4	1	1.66666666666667	2.08166599946613
EVI5	198	55	101	55	198	101	118	73
EVI5L	2	0	2	0	2	2	1.33333333333333	1.15470053837925
EVL	15	5	2	2	15	5	7.33333333333333	6.80685928555405
EWSR1	74	36	33	33	74	36	47.6666666666667	22.8546129552293
EXD1	4	3	0	0	4	3	2.33333333333333	2.08166599946613
EXD2	31	11	18	11	31	18	20	10.1488915650922
EXD3	1	0	2	0	2	1	1	1
EXO1	0	0	0	0	0	0	0	0
EXO5	8	3	3	3	8	3	4.66666666666667	2.88675134594813
EXOC1	57	23	29	23	57	29	36.3333333333333	18.1475434517549
EXOC2	28	16	22	16	28	22	22	6
EXOC3	23	6	7	6	23	7	12	9.53939201416946
EXOC3L1	0	0	0	0	0	0	0	0
EXOC3L2	3	0	0	0	3	0	1	1.73205080756888
EXOC3L4	0	0	0	0	0	0	0	0
EXOC4	79	25	41	25	79	41	48.3333333333333	27.7368587502863
EXOC5	67	13	20	13	67	20	33.3333333333333	29.365512652316
EXOC6	25	9	10	9	25	10	14.6666666666667	8.9628864398325
EXOC6B	21	4	10	4	21	10	11.6666666666667	8.62167810425171
EXOC7	34	15	21	15	34	21	23.3333333333333	9.71253485622231
EXOC8	12	9	2	2	12	9	7.66666666666667	5.13160143944688
EXOG	14	6	11	6	14	11	10.3333333333333	4.04145188432738
EXOSC1	189	92	121	92	189	121	134	49.7895571380184
EXOSC10	75	32	41	32	75	41	49.3333333333333	22.6789182575654
EXOSC2	31	13	13	13	31	13	19	10.3923048454133
EXOSC3	23	9	16	9	23	16	16	7
EXOSC4	18	3	9	3	18	9	10	7.54983443527075
EXOSC5	51	13	28	13	51	28	30.6666666666667	19.1398362932741
EXOSC6	19	7	14	7	19	14	13.3333333333333	6.02771377334171
EXOSC7	121	40	57	40	121	57	72.6666666666667	42.7122152707318
EXOSC8	172	63	85	63	172	85	106.666666666667	57.6396854027963
EXOSC9	78	37	30	30	78	37	48.3333333333333	25.9293913027925
EXPH5	21	15	2	2	21	15	12.6666666666667	9.71253485622231
EXT1	130	76	48	48	130	76	84.6666666666667	41.6813307529082
EXT2	79	54	42	42	79	54	58.3333333333333	18.8767935130237
EXTL1	1	0	3	0	3	1	1.33333333333333	1.52752523165195
EXTL2	118	50	55	50	118	55	74.3333333333333	37.8989885529064
EXTL3	9	6	8	6	9	8	7.66666666666667	1.52752523165195
EYA1	0	0	0	0	0	0	0	0
EYA2	1	0	1	0	1	1	0.666666666666667	0.577350269189626
EYA3	34	27	19	19	34	27	26.6666666666667	7.50555349946513
EYA4	30	11	16	11	30	16	19	9.8488578017961
EYS	0	0	1	0	1	0	0.333333333333333	0.577350269189626
EZH1	27	15	19	15	27	19	20.3333333333333	6.11010092660779
EZH2	8	4	4	4	8	4	5.33333333333333	2.3094010767585
EZR	106	46	35	35	106	46	62.3333333333333	38.2143079661707
EZR-AS1	0	0	0	0	0	0	0	0
F10	2	0	0	0	2	0	0.666666666666667	1.15470053837925
F11R	169	54	100	54	169	100	107.666666666667	57.8820640037424
F12	0	0	0	0	0	0	0	0
F13A1	0	0	0	0	0	0	0	0
F2R	109	50	55	50	109	55	71.3333333333333	32.7159492195066
F2RL1	6	11	5	5	11	6	7.33333333333333	3.21455025366432
F2RL2	22	6	13	6	22	13	13.6666666666667	8.02080627701064
F2RL3	1	2	1	1	2	1	1.33333333333333	0.577350269189626
F3	39	20	19	19	39	20	26	11.2694276695846
F5	6	5	2	2	6	5	4.33333333333333	2.08166599946613
F7	0	0	0	0	0	0	0	0
F8	18	15	7	7	18	15	13.3333333333333	5.68624070307733
F8A1	10	3	8	3	10	8	7	3.60555127546399
FAAH	0	0	0	0	0	0	0	0
FAAH2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FABP2	0	0	0	0	0	0	0	0
FABP3	19	10	10	10	19	10	13	5.19615242270663
FABP4	12	0	45	0	45	12	19	23.3023603954621
FABP5	108	26	60	26	108	60	64.6666666666667	41.198705481281
FABP5P3	0	0	0	0	0	0	0	0
FABP6	0	0	0	0	0	0	0	0
FABP7	0	0	0	0	0	0	0	0
FADD	7	5	5	5	7	5	5.66666666666667	1.15470053837925
FADS1	24	18	8	8	24	18	16.6666666666667	8.08290376865476
FADS2	12	3	2	2	12	3	5.66666666666667	5.5075705472861
FADS3	12	5	9	5	12	9	8.66666666666667	3.51188458428425
FADS6	7	2	2	2	7	2	3.66666666666667	2.88675134594813
FAF1	14	3	4	3	14	4	7	6.08276253029822
FAF2	137	71	69	69	137	71	92.3333333333333	38.6953916291505
FAH	9	8	3	3	9	8	6.66666666666667	3.21455025366432
FAHD1	42	23	20	20	42	23	28.3333333333333	11.9303534454489
FAHD2A	9	1	9	1	9	9	6.33333333333333	4.61880215351701
FAHD2B	1	2	1	1	2	1	1.33333333333333	0.577350269189626
FAHD2CP	4	1	1	1	4	1	2	1.73205080756888
FAIM	34	9	12	9	34	12	18.3333333333333	13.6503968196288
FAIM2	1	1	0	0	1	1	0.666666666666667	0.577350269189626
FAIM3	0	0	0	0	0	0	0	0
FAM101B	25	8	15	8	25	15	16	8.54400374531753
FAM102A	22	13	16	13	22	16	17	4.58257569495584
FAM102B	5	2	1	1	5	2	2.66666666666667	2.08166599946613
FAM103A1	224	111	136	111	224	136	157	59.3548650070068
FAM104A	21	13	9	9	21	13	14.3333333333333	6.11010092660779
FAM104B	143	64	74	64	143	74	93.6666666666667	43.0155010819743
FAM105A	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FAM105B	14	12	5	5	14	12	10.3333333333333	4.72581562625261
FAM106A	2	1	1	1	2	1	1.33333333333333	0.577350269189626
FAM106CP	0	0	0	0	0	0	0	0
FAM107A	0	0	0	0	0	0	0	0
FAM107B	21	9	11	9	21	11	13.6666666666667	6.42910050732864
FAM109A	0	2	0	0	2	0	0.666666666666667	1.15470053837925
FAM109B	5	2	2	2	5	2	3	1.73205080756888
FAM110A	0	0	0	0	0	0	0	0
FAM110B	5	0	3	0	5	3	2.66666666666667	2.51661147842358
FAM110C	3	5	0	0	5	3	2.66666666666667	2.51661147842358
FAM110D	0	0	0	0	0	0	0	0
FAM111A	37	19	16	16	37	19	24	11.3578166916005
FAM111B	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FAM114A1	636	226	276	226	636	276	379.333333333333	223.681320930768
FAM114A2	68	31	35	31	68	35	44.6666666666667	20.3059925473574
FAM115A	251	123	123	123	251	123	165.666666666667	73.9008344562721
FAM115C	6	0	2	0	6	2	2.66666666666667	3.05505046330389
FAM117A	7	0	2	0	7	2	3	3.60555127546399
FAM117B	19	6	6	6	19	6	10.3333333333333	7.50555349946513
FAM118A	18	13	13	13	18	13	14.6666666666667	2.88675134594813
FAM118B	72	27	50	27	72	50	49.6666666666667	22.5018517756502
FAM120A	68	35	38	35	68	38	47	18.2482875908947
FAM120AOS	27	10	20	10	27	20	19	8.54400374531753
FAM120B	28	8	6	6	28	8	14	12.1655250605964
FAM120C	4	3	2	2	4	3	3	1
FAM122A	6	8	4	4	8	6	6	2
FAM122B	8	3	2	2	8	3	4.33333333333333	3.21455025366432
FAM122C	22	10	3	3	22	10	11.6666666666667	9.60902353693305
FAM124A	3	3	2	2	3	3	2.66666666666667	0.577350269189626
FAM124B	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM126A	105	43	42	42	105	43	63.3333333333333	36.0878557597058
FAM126B	20	11	15	11	20	15	15.3333333333333	4.50924975282289
FAM127A	232	104	134	104	232	134	156.666666666667	66.9427616201583
FAM127B	37	33	27	27	37	33	32.3333333333333	5.03322295684717
FAM127C	20	12	4	4	20	12	12	8
FAM129A	278	143	111	111	278	143	177.333333333333	88.6359595950387
FAM129B	15	6	6	6	15	6	9	5.19615242270663
FAM129C	0	0	0	0	0	0	0	0
FAM131A	5	1	1	1	5	1	2.33333333333333	2.3094010767585
FAM131B	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FAM131C	0	0	0	0	0	0	0	0
FAM132A	0	0	0	0	0	0	0	0
FAM133A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM133B	13	2	6	2	13	6	7	5.56776436283002
FAM133CP	10	2	6	2	10	6	6	4
FAM133DP	0	0	0	0	0	0	0	0
FAM134A	56	26	20	20	56	26	34	19.2873015219859
FAM134B	10	7	2	2	10	7	6.33333333333333	4.04145188432738
FAM134C	22	17	8	8	22	17	15.6666666666667	7.09459888459759
FAM135A	7	1	2	1	7	2	3.33333333333333	3.21455025366432
FAM136A	98	37	66	37	98	66	67	30.5122926047847
FAM138A	0	0	0	0	0	0	0	0
FAM138B	0	0	0	0	0	0	0	0
FAM138C	0	0	0	0	0	0	0	0
FAM138D	0	0	0	0	0	0	0	0
FAM138E	0	0	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0	0	0
FAM13A	42	16	14	14	42	16	24	15.6204993518133
FAM13A-AS1	0	0	0	0	0	0	0	0
FAM13B	23	7	17	7	23	17	15.6666666666667	8.08290376865476
FAM13C	17	7	22	7	22	17	15.3333333333333	7.63762615825973
FAM149A	4	2	0	0	4	2	2	2
FAM149B1	11	8	5	5	11	8	8	3
FAM150A	0	0	0	0	0	0	0	0
FAM150B	1	1	0	0	1	1	0.666666666666667	0.577350269189626
FAM151B	8	5	3	3	8	5	5.33333333333333	2.51661147842358
FAM153C	7	1	3	1	7	3	3.66666666666667	3.05505046330389
FAM154A	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FAM154B	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM155A	0	0	0	0	0	0	0	0
FAM156A	0	0	0	0	0	0	0	0
FAM159A	0	0	0	0	0	0	0	0
FAM159B	0	0	0	0	0	0	0	0
FAM160A2	12	1	2	1	12	2	5	6.08276253029822
FAM160B1	42	19	22	19	42	22	27.6666666666667	12.5033328890074
FAM160B2	9	2	4	2	9	4	5	3.60555127546399
FAM161A	29	8	8	8	29	8	15	12.1243556529821
FAM161B	4	4	2	2	4	4	3.33333333333333	1.15470053837925
FAM162A	838	351	497	351	838	497	562	249.921987828202
FAM162B	4	1	1	1	4	1	2	1.73205080756888
FAM166B	0	0	0	0	0	0	0	0
FAM167A	2	0	2	0	2	2	1.33333333333333	1.15470053837925
FAM167B	0	0	0	0	0	0	0	0
FAM168A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM168B	88	31	17	17	88	31	45.3333333333333	37.607623340665
FAM169A	0	1	1	0	1	1	0.666666666666667	0.577350269189626
FAM169B	0	0	0	0	0	0	0	0
FAM171A1	30	10	18	10	30	18	19.3333333333333	10.0664459136943
FAM171A2	0	0	0	0	0	0	0	0
FAM171B	3	1	0	0	3	1	1.33333333333333	1.52752523165195
FAM172A	73	29	47	29	73	47	49.6666666666667	22.1208800307161
FAM172BP	2	1	1	1	2	1	1.33333333333333	0.577350269189626
FAM173A	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FAM173B	18	6	15	6	18	15	13	6.2449979983984
FAM174A	23	6	7	6	23	7	12	9.53939201416946
FAM174B	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM175A	28	10	20	10	28	20	19.3333333333333	9.01849950564579
FAM175B	47	9	23	9	47	23	26.3333333333333	19.2180470738661
FAM177A1	160	56	66	56	160	66	94	57.3759531511242
FAM177B	0	0	0	0	0	0	0	0
FAM178A	40	14	21	14	40	21	25	13.4536240470737
FAM178B	0	0	0	0	0	0	0	0
FAM179A	0	0	0	0	0	0	0	0
FAM179B	22	6	6	6	22	6	11.3333333333333	9.23760430703401
FAM180A	4	2	5	2	5	4	3.66666666666667	1.52752523165195
FAM180B	0	0	0	0	0	0	0	0
FAM181A-AS1	3	4	2	2	4	3	3	1
FAM181B	0	0	0	0	0	0	0	0
FAM182A	0	0	0	0	0	0	0	0
FAM182B	0	0	0	0	0	0	0	0
FAM183A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM183B	0	0	0	0	0	0	0	0
FAM184A	0	0	0	0	0	0	0	0
FAM184B	6	2	3	2	6	3	3.66666666666667	2.08166599946613
FAM185A	5	4	2	2	5	4	3.66666666666667	1.52752523165195
FAM186A	0	0	0	0	0	0	0	0
FAM186B	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FAM188A	88	30	40	30	88	40	52.6666666666667	31.005375877956
FAM188B	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM189A1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM189A2	2	0	1	0	2	1	1	1
FAM189B	11	4	0	0	11	4	5	5.56776436283002
FAM192A	165	49	98	49	165	98	104	58.2322934461627
FAM193A	8	5	3	3	8	5	5.33333333333333	2.51661147842358
FAM193B	16	3	1	1	16	3	6.66666666666667	8.14452781524708
FAM194A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM195A	4	2	3	2	4	3	3	1
FAM195B	34	10	17	10	34	17	20.3333333333333	12.3423390543824
FAM196A	3	4	2	2	4	3	3	1
FAM196B	0	0	0	0	0	0	0	0
FAM198A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM198B	60	36	31	31	60	36	42.3333333333333	15.502687938978
FAM199X	22	10	7	7	22	10	13	7.93725393319377
FAM19A1	0	0	0	0	0	0	0	0
FAM19A2	3	2	0	0	3	2	1.66666666666667	1.52752523165195
FAM19A3	0	0	0	0	0	0	0	0
FAM19A5	0	0	0	0	0	0	0	0
FAM200A	9	2	6	2	9	6	5.66666666666667	3.51188458428425
FAM200B	106	56	55	55	106	56	72.3333333333333	29.1604755333882
FAM201A	0	0	0	0	0	0	0	0
FAM203A	5	1	0	0	5	1	2	2.64575131106459
FAM204A	338	118	164	118	338	164	206.666666666667	116.040222911426
FAM206A	16	8	18	8	18	16	14	5.29150262212918
FAM207A	2	0	2	0	2	2	1.33333333333333	1.15470053837925
FAM208A	65	33	30	30	65	33	42.6666666666667	19.399312702602
FAM208B	46	26	13	13	46	26	28.3333333333333	16.6232768530556
FAM209A	0	0	0	0	0	0	0	0
FAM209B	0	0	0	0	0	0	0	0
FAM20A	4	1	3	1	4	3	2.66666666666667	1.52752523165195
FAM20B	47	29	22	22	47	29	32.6666666666667	12.8970280814354
FAM20C	14	6	8	6	14	8	9.33333333333333	4.16333199893227
FAM210A	29	12	13	12	29	13	18	9.53939201416946
FAM210B	49	16	25	16	49	25	30	17.058722109232
FAM211A	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FAM211B	1	0	1	0	1	1	0.666666666666667	0.577350269189626
FAM212A	2	2	1	1	2	2	1.66666666666667	0.577350269189626
FAM212B	14	9	6	6	14	9	9.66666666666667	4.04145188432738
FAM213A	17	5	2	2	17	5	8	7.93725393319377
FAM213B	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FAM214A	25	11	12	11	25	12	16	7.81024967590665
FAM214B	19	12	5	5	19	12	12	7
FAM215A	0	0	0	0	0	0	0	0
FAM216A	17	5	6	5	17	6	9.33333333333333	6.65832811847939
FAM216B	0	0	0	0	0	0	0	0
FAM217A	0	0	0	0	0	0	0	0
FAM217B	28	12	6	6	28	12	15.3333333333333	11.3724814061547
FAM218A	1	0	1	0	1	1	0.666666666666667	0.577350269189626
FAM219A	4	3	4	3	4	4	3.66666666666667	0.577350269189626
FAM219B	14	9	6	6	14	9	9.66666666666667	4.04145188432738
FAM21A	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FAM21C	3	3	1	1	3	3	2.33333333333333	1.15470053837925
FAM220A	11	4	6	4	11	6	7	3.60555127546399
FAM221A	6	1	0	0	6	1	2.33333333333333	3.21455025366432
FAM221B	0	0	0	0	0	0	0	0
FAM222A	0	0	0	0	0	0	0	0
FAM222A-AS1	0	0	0	0	0	0	0	0
FAM222B	9	9	4	4	9	9	7.33333333333333	2.88675134594813
FAM224A	0	0	0	0	0	0	0	0
FAM225A	1	0	1	0	1	1	0.666666666666667	0.577350269189626
FAM225B	0	0	0	0	0	0	0	0
FAM227A	32	12	8	8	32	12	17.3333333333333	12.8582010146573
FAM227B	1	4	1	1	4	1	2	1.73205080756888
FAM228A	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FAM228B	20	6	5	5	20	6	10.3333333333333	8.38649708360608
FAM229A	0	0	0	0	0	0	0	0
FAM229B	260	108	155	108	260	155	174.333333333333	77.8224474899969
FAM230C	0	0	0	0	0	0	0	0
FAM24B	21	6	6	6	21	6	11	8.66025403784439
FAM26D	0	0	0	0	0	0	0	0
FAM26E	23	8	6	6	23	8	12.3333333333333	9.29157324317757
FAM26F	0	0	0	0	0	0	0	0
FAM27E2	0	0	0	0	0	0	0	0
FAM32A	282	107	178	107	282	178	189	88.017043804027
FAM35A	7	4	2	2	7	4	4.33333333333333	2.51661147842358
FAM3A	11	5	8	5	11	8	8	3
FAM3B	0	0	0	0	0	0	0	0
FAM3C	152	66	75	66	152	75	97.6666666666667	47.2687352626801
FAM41C	4	2	5	2	5	4	3.66666666666667	1.52752523165195
FAM43A	10	1	2	1	10	2	4.33333333333333	4.93288286231625
FAM45A	22	11	16	11	22	16	16.3333333333333	5.5075705472861
FAM45B	23	11	8	8	23	11	14	7.93725393319377
FAM46A	91	34	49	34	91	49	58	29.5465734053883
FAM46B	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM46C	22	13	14	13	22	14	16.3333333333333	4.93288286231625
FAM47E	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FAM49A	31	9	7	7	31	9	15.6666666666667	13.3166562369588
FAM49B	17	11	8	8	17	11	12	4.58257569495584
FAM50A	172	41	89	41	172	89	100.666666666667	66.2746809372428
FAM50B	4	1	1	1	4	1	2	1.73205080756888
FAM53A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM53B	1	0	1	0	1	1	0.666666666666667	0.577350269189626
FAM53C	33	16	14	14	33	16	21	10.4403065089106
FAM57A	22	9	5	5	22	9	12	8.88819441731559
FAM58A	12	2	4	2	12	4	6	5.29150262212918
FAM5C	0	0	0	0	0	0	0	0
FAM60A	35	17	19	17	35	19	23.6666666666667	9.8657657246325
FAM63A	3	2	1	1	3	2	2	1
FAM63B	76	26	16	16	76	26	39.3333333333333	32.1455025366432
FAM64A	0	0	0	0	0	0	0	0
FAM65A	23	9	5	5	23	9	12.3333333333333	9.45163125250522
FAM65B	0	0	0	0	0	0	0	0
FAM65C	0	0	0	0	0	0	0	0
FAM66C	7	1	3	1	7	3	3.66666666666667	3.05505046330389
FAM66D	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FAM69A	107	35	53	35	107	53	65	37.4699879903904
FAM69B	5	0	3	0	5	3	2.66666666666667	2.51661147842358
FAM71D	0	0	0	0	0	0	0	0
FAM71E1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
FAM71F1	0	0	0	0	0	0	0	0
FAM71F2	0	0	0	0	0	0	0	0
FAM72A	0	0	0	0	0	0	0	0
FAM72D	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FAM73A	92	38	32	32	92	38	54	33.0454232837166
FAM73B	5	1	2	1	5	2	2.66666666666667	2.08166599946613
FAM74A1	12	0	0	0	12	0	4	6.92820323027551
FAM74A2	3	0	2	0	3	2	1.66666666666667	1.52752523165195
FAM74A3	8	1	2	1	8	2	3.66666666666667	3.78593889720018
FAM74A4	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM76A	12	7	5	5	12	7	8	3.60555127546399
FAM76B	12	5	3	3	12	5	6.66666666666667	4.72581562625261
FAM78A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM78B	0	0	0	0	0	0	0	0
FAM81A	0	0	0	0	0	0	0	0
FAM83A	12	3	8	3	12	8	7.66666666666667	4.50924975282289
FAM83A-AS1	0	0	0	0	0	0	0	0
