Gene	LOP.A.4.8.1.B2	LOP.A.4.9.1.B3	LOP.A.8.11.1.G8	Min	Max	Median	Mean	Std
FGF14	20	19	14	14	20	19	17.6666666666667	3.21455025366432
FGF14-AS2	0	0	0	0	0	0	0	0
FGF18	0	0	0	0	0	0	0	0
FGF2	37	21	30	21	37	30	29.3333333333333	8.02080627701064
FGF5	10	6	9	6	10	9	8.33333333333333	2.08166599946613
FGF7	703	473	597	473	703	597	591	115.117331449265
FGF9	0	0	0	0	0	0	0	0
FGFBP2	0	0	0	0	0	0	0	0
FGFBP3	0	0	0	0	0	0	0	0
FGFR1	77	61	69	61	77	69	69	8
FGFR1OP	1	3	0	0	3	1	1.33333333333333	1.52752523165195
FGFR1OP2	88	55	57	55	88	57	66.6666666666667	18.5022521151706
FGFR2	8	7	11	7	11	8	8.66666666666667	2.08166599946613
FGFR3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FGFRL1	17	7	8	7	17	8	10.6666666666667	5.5075705472861
FGG	0	0	0	0	0	0	0	0
FGGY	8	8	11	8	11	8	9	1.73205080756888
FGL2	4	7	12	4	12	7	7.66666666666667	4.04145188432738
FGR	0	0	0	0	0	0	0	0
FH	79	67	65	65	79	67	70.3333333333333	7.57187779440037
FHAD1	3	0	1	0	3	1	1.33333333333333	1.52752523165195
FHDC1	3	4	2	2	4	3	3	1
FHIT	0	0	0	0	0	0	0	0
FHL1	129	116	107	107	129	116	117.333333333333	11.060440015358
FHL2	131	94	206	94	206	131	143.666666666667	57.0642912278189
FHL3	9	3	5	3	9	5	5.66666666666667	3.05505046330389
FHOD1	1	1	2	1	2	1	1.33333333333333	0.577350269189626
FHOD3	4	2	3	2	4	3	3	1
FIBCD1	0	0	0	0	0	0	0	0
FIBIN	41	12	21	12	41	21	24.6666666666667	14.8436293854749
FIBP	108	100	105	100	108	105	104.333333333333	4.04145188432738
FICD	9	9	9	9	9	9	9	0
FIG4	13	11	19	11	19	13	14.3333333333333	4.16333199893227
FIGF	0	0	0	0	0	0	0	0
FIGN	4	0	1	0	4	1	1.66666666666667	2.08166599946613
FIGNL1	5	4	2	2	5	4	3.66666666666667	1.52752523165195
FIGNL2	0	0	0	0	0	0	0	0
FILIP1	8	3	4	3	8	4	5	2.64575131106459
FILIP1L	145	127	121	121	145	127	131	12.4899959967968
FIP1L1	26	13	22	13	26	22	20.3333333333333	6.65832811847939
FIS1	324	234	297	234	324	297	285	46.184412955022
FITM1	0	0	0	0	0	0	0	0
FITM2	0	0	0	0	0	0	0	0
FIZ1	1	2	2	1	2	2	1.66666666666667	0.577350269189626
FJX1	6	6	9	6	9	6	7	1.73205080756888
FKBP10	25	17	11	11	25	17	17.6666666666667	7.02376916856849
FKBP11	226	179	218	179	226	218	207.666666666667	25.1462389500564
FKBP14	159	106	122	106	159	122	129	27.1845544381364
FKBP15	29	26	27	26	29	27	27.3333333333333	1.52752523165195
FKBP1A	214	146	193	146	214	193	184.333333333333	34.8185774168522
FKBP1AP1	4	2	1	1	4	2	2.33333333333333	1.52752523165195
FKBP1B	7	6	6	6	7	6	6.33333333333333	0.577350269189626
FKBP2	34	32	35	32	35	34	33.6666666666667	1.52752523165195
FKBP3	142	114	127	114	142	127	127.666666666667	14.0118997046558
FKBP4	20	7	6	6	20	7	11	7.81024967590665
FKBP5	6	13	5	5	13	6	8	4.35889894354067
FKBP6	0	0	0	0	0	0	0	0
FKBP7	121	88	105	88	121	105	104.666666666667	16.5025250593154
FKBP8	4	6	3	3	6	4	4.33333333333333	1.52752523165195
FKBP9	27	30	28	27	30	28	28.3333333333333	1.52752523165195
FKBP9L	2	0	2	0	2	2	1.33333333333333	1.15470053837925
FKBPL	5	2	3	2	5	3	3.33333333333333	1.52752523165195
FKRP	8	4	4	4	8	4	5.33333333333333	2.3094010767585
FKSG29	0	0	0	0	0	0	0	0
FKTN	14	12	16	12	16	14	14	2
FLAD1	13	14	15	13	15	14	14	1
FLCN	20	12	15	12	20	15	15.6666666666667	4.04145188432738
FLG	0	0	3	0	3	0	1	1.73205080756888
FLG-AS1	1	1	2	1	2	1	1.33333333333333	0.577350269189626
FLG2	2	1	3	1	3	2	2	1
FLI1	11	2	5	2	11	5	6	4.58257569495584
FLI1-AS1	1	1	1	1	1	1	1	0
FLII	25	18	23	18	25	23	22	3.60555127546399
FLJ10038	6	2	4	2	6	4	4	2
FLJ11235	0	0	0	0	0	0	0	0
FLJ12825	1	2	3	1	3	2	2	1
FLJ13197	2	5	4	2	5	4	3.66666666666667	1.52752523165195
FLJ13224	0	0	0	0	0	0	0	0
FLJ14186	0	0	0	0	0	0	0	0
FLJ16171	0	0	0	0	0	0	0	0
FLJ16779	0	0	0	0	0	0	0	0
FLJ20021	7	2	2	2	7	2	3.66666666666667	2.88675134594813
FLJ20518	0	0	0	0	0	0	0	0
FLJ21408	1	0	5	0	5	1	2	2.64575131106459
FLJ22184	0	0	0	0	0	0	0	0
FLJ22447	1	2	3	1	3	2	2	1
FLJ23867	4	3	0	0	4	3	2.33333333333333	2.08166599946613
FLJ25363	0	0	0	0	0	0	0	0
FLJ25758	0	0	0	0	0	0	0	0
FLJ26850	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FLJ27354	1	0	1	0	1	1	0.666666666666667	0.577350269189626
FLJ30403	6	6	5	5	6	6	5.66666666666667	0.577350269189626
FLJ30679	0	0	0	0	0	0	0	0
FLJ30838	5	3	1	1	5	3	3	2
FLJ31104	5	6	2	2	6	5	4.33333333333333	2.08166599946613
FLJ31306	39	22	37	22	39	37	32.6666666666667	9.29157324317757
FLJ31662	0	0	0	0	0	0	0	0
FLJ31813	2	0	2	0	2	2	1.33333333333333	1.15470053837925
FLJ33360	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FLJ33534	0	0	0	0	0	0	0	0
FLJ33630	9	6	6	6	9	6	7	1.73205080756888
FLJ34503	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FLJ35024	9	7	13	7	13	9	9.66666666666667	3.05505046330389
FLJ35282	2	1	4	1	4	2	2.33333333333333	1.52752523165195
FLJ36000	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FLJ36777	2	2	0	0	2	2	1.33333333333333	1.15470053837925
FLJ37035	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FLJ37201	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FLJ37453	4	4	3	3	4	4	3.66666666666667	0.577350269189626
FLJ37505	0	0	0	0	0	0	0	0
FLJ37644	0	0	0	0	0	0	0	0
FLJ38576	0	0	0	0	0	0	0	0
FLJ39739	1	1	2	1	2	1	1.33333333333333	0.577350269189626
FLJ41200	6	3	5	3	6	5	4.66666666666667	1.52752523165195
FLJ41941	2	0	3	0	3	2	1.66666666666667	1.52752523165195
FLJ42102	13	6	10	6	13	10	9.66666666666667	3.51188458428425
FLJ42351	0	0	0	0	0	0	0	0
FLJ42393	0	0	0	0	0	0	0	0
FLJ42627	11	2	0	0	11	2	4.33333333333333	5.85946527708232
FLJ42875	0	0	0	0	0	0	0	0
FLJ42969	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FLJ43315	0	0	0	0	0	0	0	0
FLJ43663	4	2	5	2	5	4	3.66666666666667	1.52752523165195
FLJ43681	8	4	8	4	8	8	6.66666666666667	2.3094010767585
FLJ43879	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FLJ44313	0	0	0	0	0	0	0	0
FLJ44511	0	0	0	0	0	0	0	0
FLJ44635	0	0	0	0	0	0	0	0
FLJ45079	0	0	0	0	0	0	0	0
FLJ45340	12	3	5	3	12	5	6.66666666666667	4.72581562625261
FLJ45513	0	0	0	0	0	0	0	0
FLJ45974	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FLJ46361	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FLJ46906	2	1	0	0	2	1	1	1
FLNA	101	67	60	60	101	67	76	21.9317121994613
FLNB	27	16	21	16	27	21	21.3333333333333	5.5075705472861
FLNC	32	18	16	16	32	18	22	8.71779788708135
FLOT1	26	7	21	7	26	21	18	9.8488578017961
FLOT2	24	11	12	11	24	12	15.6666666666667	7.23417813807024
FLRT1	0	0	0	0	0	0	0	0
FLRT2	5	1	2	1	5	2	2.66666666666667	2.08166599946613
FLRT3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FLT1	4	2	5	2	5	4	3.66666666666667	1.52752523165195
FLT3	0	0	0	0	0	0	0	0
FLT3LG	1	1	1	1	1	1	1	0
FLT4	0	0	2	0	2	0	0.666666666666667	1.15470053837925
FLVCR1	4	7	12	4	12	7	7.66666666666667	4.04145188432738
FLVCR1-AS1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FLVCR2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FLYWCH1	11	4	4	4	11	4	6.33333333333333	4.04145188432738
FLYWCH2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FMN1	17	14	6	6	17	14	12.3333333333333	5.68624070307733
FMN2	1	4	4	1	4	4	3	1.73205080756888
FMNL1	0	0	0	0	0	0	0	0
FMNL2	16	15	12	12	16	15	14.3333333333333	2.08166599946613
FMNL3	10	4	9	4	10	9	7.66666666666667	3.21455025366432
FMO1	0	0	0	0	0	0	0	0
FMO2	11	14	29	11	29	14	18	9.64365076099295
FMO3	3	0	1	0	3	1	1.33333333333333	1.52752523165195
FMO4	5	5	8	5	8	5	6	1.73205080756888
FMO5	0	2	0	0	2	0	0.666666666666667	1.15470053837925
FMO6P	0	0	0	0	0	0	0	0
FMOD	134	82	160	82	160	134	125.333333333333	39.7156560229506
FMR1	13	21	16	13	21	16	16.6666666666667	4.04145188432738
FMR1-AS1	0	0	0	0	0	0	0	0
FMR1NB	0	0	0	0	0	0	0	0
FN1	6549	4483	4579	4483	6549	4579	5203.66666666667	1166.08118642457
FN3K	0	0	0	0	0	0	0	0
FN3KRP	8	4	5	4	8	5	5.66666666666667	2.08166599946613
FNBP1	40	17	23	17	40	23	26.6666666666667	11.9303534454489
FNBP1L	26	21	21	21	26	21	22.6666666666667	2.88675134594813
FNBP4	34	15	13	13	34	15	20.6666666666667	11.5902257671425
FNDC1	83	46	37	37	83	46	55.3333333333333	24.3789526709687
FNDC3A	78	58	37	37	78	58	57.6666666666667	20.5020324195757
FNDC3B	166	137	103	103	166	137	135.333333333333	31.5330514434194
FNDC4	3	3	5	3	5	3	3.66666666666667	1.15470053837925
FNDC5	1	1	2	1	2	1	1.33333333333333	0.577350269189626
FNDC7	0	0	0	0	0	0	0	0
FNIP1	43	26	18	18	43	26	29	12.7671453348037
FNIP2	14	18	9	9	18	14	13.6666666666667	4.50924975282289
FNTA	44	36	27	27	44	36	35.6666666666667	8.50490054811538
FNTB	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FOCAD	15	10	9	9	15	10	11.3333333333333	3.21455025366432
FOLH1	0	0	0	0	0	0	0	0
FOLR1	0	0	0	0	0	0	0	0
FOLR2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FOLR3	0	0	0	0	0	0	0	0
FOLR4	0	0	0	0	0	0	0	0
FOPNL	69	65	83	65	83	69	72.3333333333333	9.45163125250522
FOS	7	4	6	4	7	6	5.66666666666667	1.52752523165195
FOSB	5	2	0	0	5	2	2.33333333333333	2.51661147842358
FOSL1	4	0	5	0	5	4	3	2.64575131106459
FOSL2	3	0	1	0	3	1	1.33333333333333	1.52752523165195
FOXA1	0	0	0	0	0	0	0	0
FOXC1	7	4	5	4	7	5	5.33333333333333	1.52752523165195
FOXC2	2	4	3	2	4	3	3	1
FOXD1	10	8	12	8	12	10	10	2
FOXD2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FOXD2-AS1	0	0	0	0	0	0	0	0
FOXD3	0	0	0	0	0	0	0	0
FOXD4	0	0	0	0	0	0	0	0
FOXE1	0	0	0	0	0	0	0	0
FOXE3	0	0	0	0	0	0	0	0
FOXF1	2	3	1	1	3	2	2	1
FOXF2	0	0	2	0	2	0	0.666666666666667	1.15470053837925
FOXG1	0	0	0	0	0	0	0	0
FOXJ2	11	11	8	8	11	11	10	1.73205080756888
FOXJ3	24	14	18	14	24	18	18.6666666666667	5.03322295684717
FOXK1	21	17	14	14	21	17	17.3333333333333	3.51188458428425
FOXK2	14	14	6	6	14	14	11.3333333333333	4.61880215351701
FOXL1	2	0	2	0	2	2	1.33333333333333	1.15470053837925
FOXL2	0	0	0	0	0	0	0	0
FOXM1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FOXN2	24	30	14	14	30	24	22.6666666666667	8.08290376865476
FOXN3	32	29	24	24	32	29	28.3333333333333	4.04145188432738
FOXN3-AS1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
FOXO1	38	18	21	18	38	21	25.6666666666667	10.785793124909
FOXO3	15	12	6	6	15	12	11	4.58257569495584
FOXO3B	1	3	1	1	3	1	1.66666666666667	1.15470053837925
FOXO4	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FOXP1	108	75	63	63	108	75	82	23.3023603954621
FOXP2	0	0	0	0	0	0	0	0
FOXP3	0	0	0	0	0	0	0	0
FOXP4	8	7	9	7	9	8	8	1
FOXRED1	6	4	5	4	6	5	5	1
FOXRED2	15	18	16	15	18	16	16.3333333333333	1.52752523165195
FOXS1	9	8	3	3	9	8	6.66666666666667	3.21455025366432
FPGS	9	3	7	3	9	7	6.33333333333333	3.05505046330389
FPGT	16	7	14	7	16	14	12.3333333333333	4.72581562625261
FPR1	0	0	0	0	0	0	0	0
FPR3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FRA10AC1	38	32	25	25	38	32	31.6666666666667	6.50640709864771
FRAS1	1	2	1	1	2	1	1.33333333333333	0.577350269189626
FRAT1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FRAT2	4	2	0	0	4	2	2	2
FREM1	0	0	0	0	0	0	0	0
FREM2	3	1	1	1	3	1	1.66666666666667	1.15470053837925
FREM3	0	0	0	0	0	0	0	0
FRG1	51	40	62	40	62	51	51	11
FRG1B	31	18	17	17	31	18	22	7.81024967590665
FRG2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FRG2C	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FRK	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FRMD3	1	2	4	1	4	2	2.33333333333333	1.52752523165195
FRMD4A	17	16	14	14	17	16	15.6666666666667	1.52752523165195
FRMD4B	4	4	1	1	4	4	3	1.73205080756888
FRMD5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FRMD6	94	69	86	69	94	86	83	12.7671453348037
FRMD6-AS1	5	3	5	3	5	5	4.33333333333333	1.15470053837925
FRMD6-AS2	0	0	0	0	0	0	0	0
FRMD7	0	0	0	0	0	0	0	0
FRMD8	11	12	10	10	12	11	11	1
FRMPD4	0	0	0	0	0	0	0	0
FRRS1	2	6	4	2	6	4	4	2
FRS2	53	25	31	25	53	31	36.3333333333333	14.742229591664
FRS3	0	2	0	0	2	0	0.666666666666667	1.15470053837925
FRY	29	25	15	15	29	25	23	7.21110255092798
FRYL	17	10	13	10	17	13	13.3333333333333	3.51188458428425
FRZB	5	2	12	2	12	5	6.33333333333333	5.13160143944688
FSBP	6	1	5	1	6	5	4	2.64575131106459
FSCB	0	0	0	0	0	0	0	0
FSCN1	10	5	16	5	16	10	10.3333333333333	5.5075705472861
FSCN2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FSD1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
FSD1L	1	6	0	0	6	1	2.33333333333333	3.21455025366432
FSD2	0	0	0	0	0	0	0	0
FSHR	0	0	0	0	0	0	0	0
FSIP1	5	3	1	1	5	3	3	2
FSIP2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FST	66	57	37	37	66	57	53.3333333333333	14.8436293854749
FSTL1	852	582	675	582	852	675	703	137.160489937883
FSTL3	15	11	14	11	15	14	13.3333333333333	2.08166599946613
FSTL4	0	0	0	0	0	0	0	0
FTCD	0	0	0	0	0	0	0	0
FTCDNL1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FTH1	4056	2900	3897	2900	4056	3897	3617.66666666667	626.581465839306
FTH1P18	0	0	0	0	0	0	0	0
FTH1P3	0	0	0	0	0	0	0	0
FTL	29006	23318	32266	23318	32266	29006	28196.6666666667	4528.56945771326
FTLP10	1	0	1	0	1	1	0.666666666666667	0.577350269189626
FTO	48	42	54	42	54	48	48	6
FTSJ1	12	11	11	11	12	11	11.3333333333333	0.577350269189626
FTSJ2	44	36	36	36	44	36	38.6666666666667	4.61880215351701
FTSJ3	47	32	33	32	47	33	37.3333333333333	8.38649708360608
FTSJD1	4	6	3	3	6	4	4.33333333333333	1.52752523165195
FTSJD2	2	0	2	0	2	2	1.33333333333333	1.15470053837925
FTX	6	4	4	4	6	4	4.66666666666667	1.15470053837925
FUBP1	66	50	61	50	66	61	59	8.18535277187245
FUBP3	16	7	13	7	16	13	12	4.58257569495584
FUCA1	12	10	12	10	12	12	11.3333333333333	1.15470053837925
FUCA2	38	20	28	20	38	28	28.6666666666667	9.01849950564579
FUK	2	1	1	1	2	1	1.33333333333333	0.577350269189626
FUNDC1	36	33	40	33	40	36	36.3333333333333	3.51188458428425
FUNDC2	137	131	143	131	143	137	137	6
FUOM	4	3	4	3	4	4	3.66666666666667	0.577350269189626
FURIN	6	2	3	2	6	3	3.66666666666667	2.08166599946613
FUS	31	23	23	23	31	23	25.6666666666667	4.61880215351701
FUT1	5	4	3	3	5	4	4	1
FUT10	34	20	21	20	34	21	25	7.81024967590665
FUT11	13	9	11	9	13	11	11	2
FUT2	4	3	6	3	6	4	4.33333333333333	1.52752523165195
FUT3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FUT4	4	7	1	1	7	4	4	3
FUT6	8	6	13	6	13	8	9	3.60555127546399
FUT8	21	23	22	21	23	22	22	1
FUT8-AS1	0	0	0	0	0	0	0	0
FUT9	1	1	1	1	1	1	1	0
FUZ	0	1	1	0	1	1	0.666666666666667	0.577350269189626
FXN	33	25	32	25	33	32	30	4.35889894354067
FXR1	116	102	130	102	130	116	116	14
FXR2	2	2	7	2	7	2	3.66666666666667	2.88675134594813
FXYD1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FXYD3	0	0	0	0	0	0	0	0
FXYD5	54	45	47	45	54	47	48.6666666666667	4.72581562625261
FXYD6	0	0	0	0	0	0	0	0
FYB	0	0	0	0	0	0	0	0
FYCO1	25	21	13	13	25	21	19.6666666666667	6.11010092660779
FYN	50	30	35	30	50	35	38.3333333333333	10.4083299973307
FYTTD1	136	110	125	110	136	125	123.666666666667	13.0511813003013
FZD1	5	6	3	3	6	5	4.66666666666667	1.52752523165195
FZD10	0	0	0	0	0	0	0	0
FZD10-AS1	0	0	2	0	2	0	0.666666666666667	1.15470053837925
FZD2	10	7	11	7	11	10	9.33333333333333	2.08166599946613
FZD3	14	16	22	14	22	16	17.3333333333333	4.16333199893227
FZD4	30	32	26	26	32	30	29.3333333333333	3.05505046330389
FZD5	2	2	0	0	2	2	1.33333333333333	1.15470053837925
FZD6	23	14	23	14	23	23	20	5.19615242270663
FZD7	6	4	17	4	17	6	9	7
FZD8	46	40	32	32	46	40	39.3333333333333	7.02376916856849
FZD9	0	0	0	0	0	0	0	0
FZR1	0	0	0	0	0	0	0	0
G0S2	4	4	14	4	14	4	7.33333333333333	5.77350269189626
G2E3	26	10	11	10	26	11	15.6666666666667	8.9628864398325
G3BP1	115	96	90	90	115	96	100.333333333333	13.0511813003013
G3BP2	163	154	110	110	163	154	142.333333333333	28.360771028541
G6PC	4	0	2	0	4	2	2	2
G6PC3	17	9	5	5	17	9	10.3333333333333	6.11010092660779
G6PD	6	2	5	2	6	5	4.33333333333333	2.08166599946613
GAA	30	18	10	10	30	18	19.3333333333333	10.0664459136943
GAB1	11	17	10	10	17	11	12.6666666666667	3.78593889720018
GAB2	12	12	25	12	25	12	16.3333333333333	7.50555349946513
GAB3	4	1	1	1	4	1	2	1.73205080756888
GABARAP	1318	1000	1244	1000	1318	1244	1187.33333333333	166.401121791091
GABARAPL1	38	26	34	26	38	34	32.6666666666667	6.11010092660779
GABARAPL2	565	483	657	483	657	565	568.333333333333	87.0478795453016
GABBR1	2	0	2	0	2	2	1.33333333333333	1.15470053837925
GABBR2	0	0	0	0	0	0	0	0
GABPA	17	8	23	8	23	17	16	7.54983443527075
GABPB1	8	10	4	4	10	8	7.33333333333333	3.05505046330389
GABPB1-AS1	14	11	15	11	15	14	13.3333333333333	2.08166599946613
GABPB2	7	4	3	3	7	4	4.66666666666667	2.08166599946613
GABRA1	0	0	0	0	0	0	0	0
GABRA2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
GABRA3	0	0	0	0	0	0	0	0
GABRA4	0	0	0	0	0	0	0	0
GABRB1	0	0	0	0	0	0	0	0
GABRB2	0	0	0	0	0	0	0	0
GABRE	0	1	0	0	1	0	0.333333333333333	0.577350269189626
GABRG1	0	0	0	0	0	0	0	0
GAD1	0	0	0	0	0	0	0	0
GADD45A	45	45	50	45	50	45	46.6666666666667	2.88675134594813
GADD45B	15	8	16	8	16	15	13	4.35889894354067
GADD45G	0	1	0	0	1	0	0.333333333333333	0.577350269189626
GADD45GIP1	16	19	21	16	21	19	18.6666666666667	2.51661147842358
GADL1	0	0	0	0	0	0	0	0
GAGE1	0	0	0	0	0	0	0	0
GAGE12D	0	0	0	0	0	0	0	0
GAK	4	3	0	0	4	3	2.33333333333333	2.08166599946613
GAL3ST1	0	0	0	0	0	0	0	0
GAL3ST3	3	1	1	1	3	1	1.66666666666667	1.15470053837925
GAL3ST4	1	3	1	1	3	1	1.66666666666667	1.15470053837925
GALC	8	4	5	4	8	5	5.66666666666667	2.08166599946613
GALE	3	4	3	3	4	3	3.33333333333333	0.577350269189626
GALK1	1	3	0	0	3	1	1.33333333333333	1.52752523165195
GALK2	31	28	26	26	31	28	28.3333333333333	2.51661147842358
GALM	30	22	29	22	30	29	27	4.35889894354067
GALNS	4	5	12	4	12	5	7	4.35889894354067
GALNT1	59	25	32	25	59	32	38.6666666666667	17.9536440126603
GALNT10	68	32	31	31	68	32	43.6666666666667	21.0792156716832
GALNT11	25	8	11	8	25	11	14.6666666666667	9.07377172587747
GALNT12	0	2	2	0	2	2	1.33333333333333	1.15470053837925
GALNT13	0	0	0	0	0	0	0	0
GALNT15	1	0	2	0	2	1	1	1
GALNT16	2	2	0	0	2	2	1.33333333333333	1.15470053837925
GALNT18	0	1	0	0	1	0	0.333333333333333	0.577350269189626
GALNT2	54	29	32	29	54	32	38.3333333333333	13.6503968196288
GALNT4	3	2	3	2	3	3	2.66666666666667	0.577350269189626
GALNT5	19	13	7	7	19	13	13	6
GALNT6	5	1	3	1	5	3	3	2
GALNT7	34	17	22	17	34	22	24.3333333333333	8.7368949480541
GALNT8	0	0	0	0	0	0	0	0
GALP	0	0	0	0	0	0	0	0
GALR2	0	0	0	0	0	0	0	0
GALT	24	12	19	12	24	19	18.3333333333333	6.02771377334171
GAMT	7	3	4	3	7	4	4.66666666666667	2.08166599946613
GAN	4	1	4	1	4	4	3	1.73205080756888
GANAB	27	12	20	12	27	20	19.6666666666667	7.50555349946513
GANC	16	4	7	4	16	7	9	6.2449979983984
GAP43	21	23	17	17	23	21	20.3333333333333	3.05505046330389
GAPDH	6739	5270	6684	5270	6739	6684	6231	832.704629505565
GAPDHS	0	0	0	0	0	0	0	0
GAPVD1	28	31	27	27	31	28	28.6666666666667	2.08166599946613
GAR1	14	7	7	7	14	7	9.33333333333333	4.04145188432738
GAREM	8	7	10	7	10	8	8.33333333333333	1.52752523165195
GAREML	4	9	2	2	9	4	5	3.60555127546399
GARNL3	1	3	0	0	3	1	1.33333333333333	1.52752523165195
GARS	222	185	221	185	222	221	209.333333333333	21.0792156716832
GART	32	27	48	27	48	32	35.6666666666667	10.9696551146029
GAS1	8	5	5	5	8	5	6	1.73205080756888
GAS2	2	1	0	0	2	1	1	1
GAS2L1	6	5	7	5	7	6	6	1
GAS2L2	0	0	0	0	0	0	0	0
GAS2L3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
GAS5	1335	1113	1296	1113	1335	1296	1248	118.52847759083
GAS5-AS1	0	0	0	0	0	0	0	0
GAS6	59	51	73	51	73	59	61	11.13552872566
GAS6-AS1	0	0	0	0	0	0	0	0
GAS7	11	6	11	6	11	11	9.33333333333333	2.88675134594813
GAS8	2	2	2	2	2	2	2	0
GATA2	0	0	0	0	0	0	0	0
GATA3	0	0	0	0	0	0	0	0
GATA3-AS1	0	0	0	0	0	0	0	0
GATA4	12	4	6	4	12	6	7.33333333333333	4.16333199893227
GATA5	0	0	0	0	0	0	0	0
GATA6	31	37	34	31	37	34	34	3
GATA6-AS1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
GATAD1	25	30	15	15	30	25	23.3333333333333	7.63762615825973
GATAD2A	19	12	9	9	19	12	13.3333333333333	5.13160143944688
GATAD2B	15	7	8	7	15	8	10	4.35889894354067
GATC	28	22	20	20	28	22	23.3333333333333	4.16333199893227
GATM	0	0	1	0	1	0	0.333333333333333	0.577350269189626
GATM-AS1	6	7	10	6	10	7	7.66666666666667	2.08166599946613
GATS	3	5	1	1	5	3	3	2
GATSL3	18	8	13	8	18	13	13	5
GBA	15	9	16	9	16	15	13.3333333333333	3.78593889720018
GBA2	9	2	4	2	9	4	5	3.60555127546399
GBA3	0	0	0	0	0	0	0	0
GBAP1	1	1	0	0	1	1	0.666666666666667	0.577350269189626
GBAS	23	14	23	14	23	23	20	5.19615242270663
GBE1	166	126	165	126	166	165	152.333333333333	22.8108161479008
GBF1	17	12	16	12	17	16	15	2.64575131106459
GBGT1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
GBP1	20	16	24	16	24	20	20	4
GBP1P1	0	0	0	0	0	0	0	0
GBP2	27	28	17	17	28	27	24	6.08276253029822
GBP3	19	11	16	11	19	16	15.3333333333333	4.04145188432738
GBP4	3	7	9	3	9	7	6.33333333333333	3.05505046330389
GBP5	0	0	0	0	0	0	0	0
GBP6	1	2	7	1	7	2	3.33333333333333	3.21455025366432
GBP7	0	0	0	0	0	0	0	0
GBX2	0	0	0	0	0	0	0	0
GCA	7	8	11	7	11	8	8.66666666666667	2.08166599946613
GCAT	3	1	3	1	3	3	2.33333333333333	1.15470053837925
GCC1	6	7	7	6	7	7	6.66666666666667	0.577350269189626
GCC2	118	82	84	82	118	84	94.6666666666667	20.2319878739914
GCDH	2	4	5	2	5	4	3.66666666666667	1.52752523165195
GCFC2	10	10	11	10	11	10	10.3333333333333	0.577350269189626
GCH1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
GCHFR	12	8	11	8	12	11	10.3333333333333	2.08166599946613
GCK	0	0	0	0	0	0	0	0
GCKR	0	0	0	0	0	0	0	0
GCLC	10	8	8	8	10	8	8.66666666666667	1.15470053837925
GCLM	19	16	26	16	26	19	20.3333333333333	5.13160143944688
GCM1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
GCM2	0	0	0	0	0	0	0	0
GCN1L1	32	24	20	20	32	24	25.3333333333333	6.11010092660779
GCNT1	15	9	12	9	15	12	12	3
GCNT2	3	1	2	1	3	2	2	1
GCNT3	0	0	0	0	0	0	0	0
GCNT4	0	1	0	0	1	0	0.333333333333333	0.577350269189626
GCNT7	2	0	0	0	2	0	0.666666666666667	1.15470053837925
GCOM1	0	0	0	0	0	0	0	0
GCSAM	0	0	0	0	0	0	0	0
GCSAML	0	0	0	0	0	0	0	0
GCSH	13	5	11	5	13	11	9.66666666666667	4.16333199893227
GCSHP3	0	0	3	0	3	0	1	1.73205080756888
GDAP1	3	4	7	3	7	4	4.66666666666667	2.08166599946613
GDAP1L1	0	0	0	0	0	0	0	0
