Gene	ALE.A.7.17.1.F7	ALE.A.7.18.1.F8	ALE.A.8.13.1.G10	Min	Max	Median	Mean	Std
EIF4E	99	114	161	99	161	114	124.666666666667	32.3470761172217
EIF4E2	65	76	168	65	168	76	103	56.5597029695171
EIF4E3	4	2	5	2	5	4	3.66666666666667	1.52752523165195
EIF4EBP1	87	72	192	72	192	87	117	65.3834841531101
EIF4EBP2	44	36	54	36	54	44	44.6666666666667	9.01849950564579
EIF4EBP3	0	0	0	0	0	0	0	0
EIF4ENIF1	6	5	6	5	6	6	5.66666666666667	0.577350269189626
EIF4G1	39	18	34	18	39	34	30.3333333333333	10.9696551146029
EIF4G2	164	122	225	122	225	164	170.333333333333	51.7912476518314
EIF4G3	28	28	51	28	51	28	35.6666666666667	13.2790561913614
EIF4H	31	31	73	31	73	31	45	24.2487113059643
EIF5	175	150	320	150	320	175	215	91.7877987534291
EIF5A	15	10	22	10	22	15	15.6666666666667	6.02771377334171
EIF5A2	26	25	33	25	33	26	28	4.35889894354067
EIF5AL1	0	0	0	0	0	0	0	0
EIF5B	65	49	113	49	113	65	75.6666666666667	33.3066559914581
EIF6	125	116	230	116	230	125	157	63.3798075099633
ELAC1	0	4	7	0	7	4	3.66666666666667	3.51188458428425
ELAC2	3	4	3	3	4	3	3.33333333333333	0.577350269189626
ELANE	0	0	0	0	0	0	0	0
ELAVL1	9	5	15	5	15	9	9.66666666666667	5.03322295684717
ELAVL2	0	0	0	0	0	0	0	0
ELF1	22	34	39	22	39	34	31.6666666666667	8.73689494805411
ELF2	19	15	35	15	35	19	23	10.5830052442584
ELF3	0	0	0	0	0	0	0	0
ELF4	5	0	0	0	5	0	1.66666666666667	2.88675134594813
ELF5	0	0	0	0	0	0	0	0
ELFN2	0	0	0	0	0	0	0	0
ELK1	2	0	2	0	2	2	1.33333333333333	1.15470053837925
ELK3	2	9	2	2	9	2	4.33333333333333	4.04145188432738
ELK4	16	16	19	16	19	16	17	1.73205080756888
ELL	0	5	2	0	5	2	2.33333333333333	2.51661147842358
ELL2	23	11	37	11	37	23	23.6666666666667	13.0128141972954
ELL3	3	5	3	3	5	3	3.66666666666667	1.15470053837925
ELMO1	0	0	0	0	0	0	0	0
ELMO2	16	12	18	12	18	16	15.3333333333333	3.05505046330389
ELMO3	0	0	0	0	0	0	0	0
ELMOD1	4	1	1	1	4	1	2	1.73205080756888
ELMOD2	17	19	22	17	22	19	19.3333333333333	2.51661147842358
ELMOD3	3	1	5	1	5	3	3	2
ELMSAN1	20	25	28	20	28	25	24.3333333333333	4.04145188432738
ELN	12	10	25	10	25	12	15.6666666666667	8.14452781524708
ELOF1	41	23	62	23	62	41	42	19.5192212959431
ELOVL1	30	36	43	30	43	36	36.3333333333333	6.50640709864771
ELOVL2	0	0	4	0	4	0	1.33333333333333	2.3094010767585
ELOVL2-AS1	0	0	0	0	0	0	0	0
ELOVL3	1	0	3	0	3	1	1.33333333333333	1.52752523165195
ELOVL4	0	2	4	0	4	2	2	2
ELOVL5	69	84	155	69	155	84	102.666666666667	45.938364504337
ELOVL6	3	1	2	1	3	2	2	1
ELOVL7	2	3	2	2	3	2	2.33333333333333	0.577350269189626
ELP2	23	33	55	23	55	33	37	16.3707055437449
ELP3	21	33	48	21	48	33	34	13.5277492584687
ELP4	13	18	33	13	33	18	21.3333333333333	10.4083299973307
ELP5	14	15	31	14	31	15	20	9.53939201416946
ELP6	29	18	42	18	42	29	29.6666666666667	12.0138808606267
ELTD1	23	15	31	15	31	23	23	8
EMB	2	0	2	0	2	2	1.33333333333333	1.15470053837925
EMBP1	0	0	0	0	0	0	0	0
EMC1	44	47	79	44	79	47	56.6666666666667	19.399312702602
EMC10	14	9	19	9	19	14	14	5
EMC2	54	58	105	54	105	58	72.3333333333333	28.360771028541
EMC3	112	116	194	112	194	116	140.666666666667	46.2313025268955
EMC4	63	42	118	42	118	63	74.3333333333333	39.2470805708314
EMC6	0	0	0	0	0	0	0	0
EMC7	65	55	143	55	143	65	87.6666666666667	48.1802172404124
EMC8	4	8	10	4	10	8	7.33333333333333	3.05505046330389
EMC9	5	2	5	2	5	5	4	1.73205080756888
EMCN	1	1	0	0	1	1	0.666666666666667	0.577350269189626
EMD	2	0	9	0	9	2	3.66666666666667	4.72581562625261
EME1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
EMG1	39	50	80	39	80	50	56.3333333333333	21.221058723196
EMILIN1	12	8	26	8	26	12	15.3333333333333	9.45163125250522
EMILIN2	1	3	4	1	4	3	2.66666666666667	1.52752523165195
EML1	2	2	7	2	7	2	3.66666666666667	2.88675134594813
EML2	1	0	2	0	2	1	1	1
EML3	4	2	6	2	6	4	4	2
EML4	130	106	172	106	172	130	136	33.4065861769801
EML5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EML6	1	1	1	1	1	1	1	0
EMP1	33	27	45	27	45	33	35	9.16515138991168
EMP2	50	38	77	38	77	50	55	19.9749843554382
EMP3	44	51	81	44	81	51	58.6666666666667	19.6553639837408
EMR1	0	3	0	0	3	0	1	1.73205080756888
EMR2	0	1	1	0	1	1	0.666666666666667	0.577350269189626
EMR4P	0	0	0	0	0	0	0	0
EMX2	2	0	1	0	2	1	1	1
EMX2OS	6	5	7	5	7	6	6	1
EN1	0	0	0	0	0	0	0	0
EN2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ENAH	76	47	110	47	110	76	77.6666666666667	31.5330514434194
ENC1	17	17	27	17	27	17	20.3333333333333	5.77350269189626
ENDOD1	12	6	17	6	17	12	11.6666666666667	5.5075705472861
ENDOG	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ENDOU	0	0	0	0	0	0	0	0
ENDOV	5	2	3	2	5	3	3.33333333333333	1.52752523165195
ENG	53	45	72	45	72	53	56.6666666666667	13.8684293751431
ENGASE	1	1	1	1	1	1	1	0
ENKD1	1	1	1	1	1	1	1	0
ENKUR	4	2	0	0	4	2	2	2
ENO1	1447	1409	2757	1409	2757	1447	1871	767.533712614632
ENO1-AS1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ENO2	32	22	56	22	56	32	36.6666666666667	17.4737898961082
ENO3	0	2	0	0	2	0	0.666666666666667	1.15470053837925
ENO4	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ENOPH1	12	9	21	9	21	12	14	6.2449979983984
ENOSF1	9	3	14	3	14	9	8.66666666666667	5.5075705472861
ENOX1	1	0	2	0	2	1	1	1
ENOX2	6	1	7	1	7	6	4.66666666666667	3.21455025366432
ENPEP	0	0	0	0	0	0	0	0
ENPP1	1	3	5	1	5	3	3	2
ENPP2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ENPP3	0	0	0	0	0	0	0	0
ENPP4	0	3	8	0	8	3	3.66666666666667	4.04145188432738
ENPP5	0	0	0	0	0	0	0	0
ENPP6	0	0	0	0	0	0	0	0
ENSA	46	40	81	40	81	46	55.6666666666667	22.1434715736565
ENTHD2	1	0	2	0	2	1	1	1
ENTPD1	15	11	35	11	35	15	20.3333333333333	12.8582010146573
ENTPD1-AS1	9	7	14	7	14	9	10	3.60555127546399
ENTPD3	0	0	0	0	0	0	0	0
ENTPD3-AS1	4	9	11	4	11	9	8	3.60555127546399
ENTPD4	29	19	36	19	36	29	28	8.54400374531753
ENTPD5	1	3	2	1	3	2	2	1
ENTPD6	3	4	5	3	5	4	4	1
ENTPD7	2	0	6	0	6	2	2.66666666666667	3.05505046330389
ENY2	188	196	393	188	393	196	259	116.116320988912
EOGT	1	2	0	0	2	1	1	1
EOMES	0	0	0	0	0	0	0	0
EP300	18	7	22	7	22	18	15.6666666666667	7.76745346515403
EP400	20	15	34	15	34	20	23	9.8488578017961
EP400NL	0	0	0	0	0	0	0	0
EPAS1	55	61	143	55	143	61	86.3333333333333	49.1663841799795
EPB41	16	17	27	16	27	17	20	6.08276253029822
EPB41L1	1	4	9	1	9	4	4.66666666666667	4.04145188432738
EPB41L2	62	55	99	55	99	62	72	23.6431808350738
EPB41L3	2	3	2	2	3	2	2.33333333333333	0.577350269189626
EPB41L4A	2	1	1	1	2	1	1.33333333333333	0.577350269189626
EPB41L4A-AS1	9	8	10	8	10	9	9	1
EPB41L4B	1	1	0	0	1	1	0.666666666666667	0.577350269189626
EPB41L5	1	3	8	1	8	3	4	3.60555127546399
EPC1	10	19	26	10	26	19	18.3333333333333	8.02080627701064
EPC2	0	3	6	0	6	3	3	3
EPCAM	0	0	1	0	1	0	0.333333333333333	0.577350269189626
EPDR1	27	30	58	27	58	30	38.3333333333333	17.0977581376429
EPG5	1	3	6	1	6	3	3.33333333333333	2.51661147842358
EPGN	2	3	8	2	8	3	4.33333333333333	3.21455025366432
EPHA1	0	0	0	0	0	0	0	0
EPHA1-AS1	2	1	3	1	3	2	2	1
EPHA10	1	1	0	0	1	1	0.666666666666667	0.577350269189626
EPHA2	6	2	4	2	6	4	4	2
EPHA3	1	0	1	0	1	1	0.666666666666667	0.577350269189626
EPHA4	0	1	2	0	2	1	1	1
EPHA5	7	2	4	2	7	4	4.33333333333333	2.51661147842358
EPHA7	0	0	0	0	0	0	0	0
EPHA8	0	0	0	0	0	0	0	0
EPHB1	0	0	0	0	0	0	0	0
EPHB2	1	0	3	0	3	1	1.33333333333333	1.52752523165195
EPHB3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EPHB4	1	2	4	1	4	2	2.33333333333333	1.52752523165195
EPHB6	1	3	1	1	3	1	1.66666666666667	1.15470053837925
EPHX1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
EPHX2	0	0	0	0	0	0	0	0
EPHX3	0	0	0	0	0	0	0	0
EPHX4	0	0	0	0	0	0	0	0
EPM2A	1	1	8	1	8	1	3.33333333333333	4.04145188432738
EPM2AIP1	14	16	26	14	26	16	18.6666666666667	6.42910050732864
EPN1	2	3	8	2	8	3	4.33333333333333	3.21455025366432
EPN2	6	3	13	3	13	6	7.33333333333333	5.13160143944688
EPN2-AS1	0	0	0	0	0	0	0	0
EPN2-IT1	0	0	0	0	0	0	0	0
EPOR	0	3	0	0	3	0	1	1.73205080756888
EPPIN	0	0	1	0	1	0	0.333333333333333	0.577350269189626
EPPIN-WFDC6	0	1	0	0	1	0	0.333333333333333	0.577350269189626
EPPK1	0	0	0	0	0	0	0	0
EPRS	162	128	239	128	239	162	176.333333333333	56.8711995067216
EPS15	37	27	65	27	65	37	43	19.6977156035922
EPS15L1	2	1	3	1	3	2	2	1
EPS8	52	45	67	45	67	52	54.6666666666667	11.2398102000582
EPS8L1	0	0	0	0	0	0	0	0
EPS8L2	2	2	2	2	2	2	2	0
EPSTI1	6	2	5	2	6	5	4.33333333333333	2.08166599946613
EPT1	4	5	12	4	12	5	7	4.35889894354067
EPYC	1	1	6	1	6	1	2.66666666666667	2.88675134594813
ERAL1	18	23	48	18	48	23	29.6666666666667	16.0727512683216
ERAP1	8	3	13	3	13	8	8	5
ERAP2	10	14	14	10	14	14	12.6666666666667	2.3094010767585
ERAS	0	0	0	0	0	0	0	0
ERBB2	7	3	11	3	11	7	7	4
ERBB2IP	41	31	72	31	72	41	48	21.3775583264319
ERBB3	2	1	3	1	3	2	2	1
ERBB4	0	0	0	0	0	0	0	0
ERC1	21	14	23	14	23	21	19.3333333333333	4.72581562625261
ERC2-IT1	0	0	0	0	0	0	0	0
ERCC1	24	24	36	24	36	24	28	6.92820323027551
ERCC2	2	4	5	2	5	4	3.66666666666667	1.52752523165195
ERCC3	28	17	42	17	42	28	29	12.5299640861417
ERCC4	27	20	37	20	37	27	28	8.54400374531753
ERCC5	2	1	4	1	4	2	2.33333333333333	1.52752523165195
ERCC6	6	5	14	5	14	6	8.33333333333333	4.93288286231625
ERCC6L	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ERCC6L2	1	1	3	1	3	1	1.66666666666667	1.15470053837925
ERCC8	13	12	23	12	23	13	16	6.08276253029822
EREG	4	1	4	1	4	4	3	1.73205080756888
ERF	0	0	0	0	0	0	0	0
ERG	6	2	7	2	7	6	5	2.64575131106459
ERGIC1	30	22	67	22	67	30	39.6666666666667	24.0069434400411
ERGIC2	102	137	256	102	256	137	165	80.7279381626956
ERGIC3	395	351	641	351	641	395	462.333333333333	156.286062505053
ERH	305	272	515	272	515	305	364	131.806676613895
ERI1	4	3	5	3	5	4	4	1
ERI2	3	1	4	1	4	3	2.66666666666667	1.52752523165195
ERI3	12	7	15	7	15	12	11.3333333333333	4.04145188432738
ERICH1	22	20	40	20	40	22	27.3333333333333	11.0151410945722
ERICH1-AS1	0	0	0	0	0	0	0	0
ERLEC1	67	66	120	66	120	67	84.3333333333333	30.8922859842604
ERLIN1	17	11	21	11	21	17	16.3333333333333	5.03322295684717
ERLIN2	21	19	39	19	39	21	26.3333333333333	11.0151410945722
ERMAP	10	1	9	1	10	9	6.66666666666667	4.93288286231625
ERMN	0	0	0	0	0	0	0	0
ERMP1	6	5	5	5	6	5	5.33333333333333	0.577350269189626
ERN1	1	2	1	1	2	1	1.33333333333333	0.577350269189626
ERN2	0	0	0	0	0	0	0	0
ERO1L	14	11	26	11	26	14	17	7.93725393319377
ERO1LB	1	0	2	0	2	1	1	1
ERP27	0	0	0	0	0	0	0	0
ERP29	105	61	218	61	218	105	128	80.987653380006
ERP44	68	52	97	52	97	68	72.3333333333333	22.8108161479008
ERRFI1	27	32	60	27	60	32	39.6666666666667	17.7857620959388
ERV3-1	16	11	27	11	27	16	18	8.18535277187245
ERVFRD-1	0	0	0	0	0	0	0	0
ERVK13-1	4	4	0	0	4	4	2.66666666666667	2.3094010767585
ERVMER34-1	0	0	0	0	0	0	0	0
ERVV-1	2	1	8	1	8	2	3.66666666666667	3.78593889720018
ESAM	0	0	0	0	0	0	0	0
ESCO1	24	20	43	20	43	24	29	12.2882057274445
ESCO2	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ESD	187	206	342	187	342	206	245	84.5399313933954
ESF1	35	39	56	35	56	39	43.3333333333333	11.1504857891185
ESM1	0	0	0	0	0	0	0	0
ESPL1	0	0	0	0	0	0	0	0
ESPN	0	0	1	0	1	0	0.333333333333333	0.577350269189626
ESPNL	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ESR1	1	2	2	1	2	2	1.66666666666667	0.577350269189626
ESR2	0	0	0	0	0	0	0	0
ESRG	1	1	5	1	5	1	2.33333333333333	2.3094010767585
ESRP1	0	0	0	0	0	0	0	0
ESRP2	0	0	0	0	0	0	0	0
ESRRA	1	3	4	1	4	3	2.66666666666667	1.52752523165195
ESRRG	0	0	0	0	0	0	0	0
ESYT1	36	25	42	25	42	36	34.3333333333333	8.62167810425171
ESYT2	23	12	43	12	43	23	26	15.7162336455017
ESYT3	1	1	0	0	1	1	0.666666666666667	0.577350269189626
ETAA1	8	12	8	8	12	8	9.33333333333333	2.3094010767585
ETF1	29	29	56	29	56	29	38	15.5884572681199
ETFA	63	47	76	47	76	63	62	14.5258390463339
ETFB	32	24	68	24	68	32	41.3333333333333	23.4378611083293
ETFDH	20	14	26	14	26	20	20	6
ETHE1	9	11	18	9	18	11	12.6666666666667	4.72581562625261
ETNK1	8	6	23	6	23	8	12.3333333333333	9.29157324317757
ETNK2	2	1	0	0	2	1	1	1
ETS1	14	5	9	5	14	9	9.33333333333333	4.50924975282289
ETS2	4	5	3	3	5	4	4	1
ETV1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
ETV2	0	0	2	0	2	0	0.666666666666667	1.15470053837925
ETV3	3	4	3	3	4	3	3.33333333333333	0.577350269189626
ETV4	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ETV5	6	4	10	4	10	6	6.66666666666667	3.05505046330389
ETV6	9	9	14	9	14	9	10.6666666666667	2.88675134594813
ETV7	0	2	3	0	3	2	1.66666666666667	1.52752523165195
EVA1A	18	6	10	6	18	10	11.3333333333333	6.11010092660779
EVA1B	8	5	5	5	8	5	6	1.73205080756888
EVA1C	0	2	1	0	2	1	1	1
EVC	2	0	5	0	5	2	2.33333333333333	2.51661147842358
EVC2	6	3	9	3	9	6	6	3
EVI2A	5	18	21	5	21	18	14.6666666666667	8.50490054811538
EVI2B	2	2	0	0	2	2	1.33333333333333	1.15470053837925
EVI5	59	63	107	59	107	63	76.3333333333333	26.6333124739176
EVI5L	0	1	0	0	1	0	0.333333333333333	0.577350269189626
EVL	6	5	4	4	6	5	5	1
EWSR1	25	24	49	24	49	25	32.6666666666667	14.1539158303748
EXD1	0	2	1	0	2	1	1	1
EXD2	8	12	15	8	15	12	11.6666666666667	3.51188458428425
EXD3	1	0	2	0	2	1	1	1
EXO1	0	0	0	0	0	0	0	0
EXO5	2	3	6	2	6	3	3.66666666666667	2.08166599946613
EXOC1	22	20	23	20	23	22	21.6666666666667	1.52752523165195
EXOC2	13	10	21	10	21	13	14.6666666666667	5.68624070307733
EXOC3	8	6	7	6	8	7	7	1
EXOC3L1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EXOC3L2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
EXOC3L4	0	0	0	0	0	0	0	0
EXOC4	30	27	50	27	50	30	35.6666666666667	12.5033328890074
EXOC5	23	22	21	21	23	22	22	1
EXOC6	8	6	12	6	12	8	8.66666666666667	3.05505046330389
EXOC6B	3	0	19	0	19	3	7.33333333333333	10.2143689640297
EXOC7	26	20	35	20	35	26	27	7.54983443527075
EXOC8	2	2	1	1	2	2	1.66666666666667	0.577350269189626
EXOG	10	8	9	8	10	9	9	1
EXOSC1	77	64	130	64	130	77	90.3333333333333	34.9618840072061
EXOSC10	27	26	32	26	32	27	28.3333333333333	3.21455025366432
EXOSC2	11	9	17	9	17	11	12.3333333333333	4.16333199893227
EXOSC3	8	6	16	6	16	8	10	5.29150262212918
EXOSC4	10	5	14	5	14	10	9.66666666666667	4.50924975282289
EXOSC5	20	22	33	20	33	22	25	7
EXOSC6	8	7	14	7	14	8	9.66666666666667	3.78593889720018
EXOSC7	50	27	74	27	74	50	50.3333333333333	23.5017729827631
EXOSC8	66	61	110	61	110	66	79	26.9629375254255
EXOSC9	39	40	51	39	51	40	43.3333333333333	6.65832811847939
EXPH5	4	1	11	1	11	4	5.33333333333333	5.13160143944688
EXT1	52	28	66	28	66	52	48.6666666666667	19.2180470738661
EXT2	36	37	63	36	63	37	45.3333333333333	15.3079500042734
EXTL1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
EXTL2	40	60	62	40	62	60	54	12.1655250605964
EXTL3	3	2	3	2	3	3	2.66666666666667	0.577350269189626
EYA1	0	0	0	0	0	0	0	0
EYA2	0	0	2	0	2	0	0.666666666666667	1.15470053837925
EYA3	11	18	24	11	24	18	17.6666666666667	6.50640709864771
EYA4	8	6	10	6	10	8	8	2
EYS	0	0	0	0	0	0	0	0
EZH1	12	10	12	10	12	12	11.3333333333333	1.15470053837925
EZH2	10	1	15	1	15	10	8.66666666666667	7.09459888459759
EZR	39	41	60	39	60	41	46.6666666666667	11.5902257671425
EZR-AS1	0	0	0	0	0	0	0	0
F10	1	0	1	0	1	1	0.666666666666667	0.577350269189626
F11R	55	38	82	38	82	55	58.3333333333333	22.1885856541902
F12	0	0	0	0	0	0	0	0
F13A1	0	0	0	0	0	0	0	0
F2R	46	36	57	36	57	46	46.3333333333333	10.5039675043925
F2RL1	2	2	14	2	14	2	6	6.92820323027551
F2RL2	10	7	14	7	14	10	10.3333333333333	3.51188458428425
F2RL3	1	1	1	1	1	1	1	0
F3	14	8	26	8	26	14	16	9.16515138991168
F5	3	1	1	1	3	1	1.66666666666667	1.15470053837925
F7	0	0	0	0	0	0	0	0
F8	3	6	12	3	12	6	7	4.58257569495584
F8A1	8	5	7	5	8	7	6.66666666666667	1.52752523165195
FAAH	0	0	0	0	0	0	0	0
FAAH2	0	0	0	0	0	0	0	0
FABP2	0	0	0	0	0	0	0	0
FABP3	11	7	6	6	11	7	8	2.64575131106459
FABP4	35	59	75	35	75	59	56.3333333333333	20.1328918273887
FABP5	44	30	51	30	51	44	41.6666666666667	10.6926766215636
FABP5P3	0	0	0	0	0	0	0	0
FABP6	0	0	0	0	0	0	0	0
FABP7	0	0	0	0	0	0	0	0
FADD	4	2	6	2	6	4	4	2
FADS1	9	6	9	6	9	9	8	1.73205080756888
FADS2	4	2	8	2	8	4	4.66666666666667	3.05505046330389
FADS3	5	3	10	3	10	5	6	3.60555127546399
FADS6	1	1	1	1	1	1	1	0
FAF1	8	5	5	5	8	5	6	1.73205080756888
FAF2	52	59	101	52	101	59	70.6666666666667	26.5015722804013
FAH	4	3	8	3	8	4	5	2.64575131106459
FAHD1	24	22	32	22	32	24	26	5.29150262212918
FAHD2A	4	7	5	4	7	5	5.33333333333333	1.52752523165195
FAHD2B	1	0	5	0	5	1	2	2.64575131106459
FAHD2CP	1	0	2	0	2	1	1	1
FAIM	15	21	25	15	25	21	20.3333333333333	5.03322295684717
FAIM2	3	0	1	0	3	1	1.33333333333333	1.52752523165195
FAIM3	0	0	0	0	0	0	0	0
FAM101B	7	8	7	7	8	7	7.33333333333333	0.577350269189626
FAM102A	17	11	19	11	19	17	15.6666666666667	4.16333199893227
FAM102B	2	2	2	2	2	2	2	0
FAM103A1	75	83	150	75	150	83	102.666666666667	41.1865673895426
FAM104A	10	9	22	9	22	10	13.6666666666667	7.23417813807024
FAM104B	50	44	124	44	124	50	72.6666666666667	44.5570794973519
FAM105A	3	0	3	0	3	3	2	1.73205080756888
FAM105B	5	5	10	5	10	5	6.66666666666667	2.88675134594813
FAM106A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM106CP	0	0	0	0	0	0	0	0
FAM107A	0	0	0	0	0	0	0	0
FAM107B	8	9	13	8	13	9	10	2.64575131106459
FAM109A	0	0	2	0	2	0	0.666666666666667	1.15470053837925
FAM109B	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FAM110A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM110B	1	0	4	0	4	1	1.66666666666667	2.08166599946613
FAM110C	0	0	3	0	3	0	1	1.73205080756888
FAM110D	0	0	0	0	0	0	0	0
FAM111A	14	18	16	14	18	16	16	2
FAM111B	0	0	0	0	0	0	0	0
FAM114A1	182	223	320	182	320	223	241.666666666667	70.8684226812854
FAM114A2	19	38	43	19	43	38	33.3333333333333	12.6622799421484
FAM115A	90	86	150	86	150	90	108.666666666667	35.85154575933
FAM115C	1	0	3	0	3	1	1.33333333333333	1.52752523165195
FAM117A	1	0	2	0	2	1	1	1
FAM117B	3	6	7	3	7	6	5.33333333333333	2.08166599946613
FAM118A	9	4	9	4	9	9	7.33333333333333	2.88675134594813
FAM118B	35	18	54	18	54	35	35.6666666666667	18.0092568789868
FAM120A	16	16	35	16	35	16	22.3333333333333	10.9696551146029
FAM120AOS	19	12	30	12	30	19	20.3333333333333	9.07377172587747
FAM120B	13	10	11	10	13	11	11.3333333333333	1.52752523165195
FAM120C	2	3	4	2	4	3	3	1
FAM122A	6	2	13	2	13	6	7	5.56776436283002
FAM122B	3	0	6	0	6	3	3	3
FAM122C	3	8	10	3	10	8	7	3.60555127546399
FAM124A	2	3	2	2	3	2	2.33333333333333	0.577350269189626
FAM124B	0	0	0	0	0	0	0	0
FAM126A	37	26	53	26	53	37	38.6666666666667	13.5769412362775
FAM126B	4	12	10	4	12	10	8.66666666666667	4.16333199893227
FAM127A	89	75	149	75	149	89	104.333333333333	39.3107279674815
FAM127B	19	21	33	19	33	21	24.3333333333333	7.57187779440036
FAM127C	4	4	15	4	15	4	7.66666666666667	6.35085296108588
FAM129A	93	92	174	92	174	93	119.666666666667	47.056703383613
FAM129B	3	6	9	3	9	6	6	3
FAM129C	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM131A	2	3	3	2	3	3	2.66666666666667	0.577350269189626
FAM131B	0	0	0	0	0	0	0	0
FAM131C	0	0	0	0	0	0	0	0
FAM132A	0	0	0	0	0	0	0	0
FAM133A	0	0	0	0	0	0	0	0
FAM133B	4	1	4	1	4	4	3	1.73205080756888
FAM133CP	6	3	6	3	6	6	5	1.73205080756888
FAM133DP	0	0	0	0	0	0	0	0
FAM134A	16	16	30	16	30	16	20.6666666666667	8.08290376865476
FAM134B	1	3	9	1	9	3	4.33333333333333	4.16333199893227
FAM134C	6	9	16	6	16	9	10.3333333333333	5.13160143944688
FAM135A	3	1	1	1	3	1	1.66666666666667	1.15470053837925
FAM136A	36	34	65	34	65	36	45	17.3493515728975
FAM138A	0	0	0	0	0	0	0	0
FAM138B	0	0	0	0	0	0	0	0
FAM138C	0	0	0	0	0	0	0	0
FAM138D	0	0	0	0	0	0	0	0
FAM138E	0	0	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0	0	0
FAM13A	14	7	23	7	23	14	14.6666666666667	8.02080627701064
FAM13A-AS1	0	0	0	0	0	0	0	0
FAM13B	4	4	19	4	19	4	9	8.66025403784439
FAM13C	11	13	13	11	13	13	12.3333333333333	1.15470053837925
FAM149A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM149B1	4	4	8	4	8	4	5.33333333333333	2.3094010767585
FAM150A	0	0	0	0	0	0	0	0
FAM150B	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FAM151B	7	2	9	2	9	7	6	3.60555127546399
FAM153C	3	8	4	3	8	4	5	2.64575131106459
FAM154A	0	0	0	0	0	0	0	0
FAM154B	0	0	0	0	0	0	0	0
FAM155A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM156A	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FAM159A	0	0	0	0	0	0	0	0
FAM159B	0	0	0	0	0	0	0	0
FAM160A2	2	2	2	2	2	2	2	0
FAM160B1	16	19	28	16	28	19	21	6.2449979983984
FAM160B2	5	3	4	3	5	4	4	1
FAM161A	11	11	30	11	30	11	17.3333333333333	10.9696551146029
FAM161B	2	3	0	0	3	2	1.66666666666667	1.52752523165195
FAM162A	327	308	612	308	612	327	415.666666666667	170.294842356818
FAM162B	0	3	4	0	4	3	2.33333333333333	2.08166599946613
FAM166B	0	0	0	0	0	0	0	0
FAM167A	0	0	0	0	0	0	0	0
FAM167B	0	1	1	0	1	1	0.666666666666667	0.577350269189626
FAM168A	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FAM168B	26	16	37	16	37	26	26.3333333333333	10.5039675043925
FAM169A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM169B	0	0	0	0	0	0	0	0
FAM171A1	11	9	16	9	16	11	12	3.60555127546399
FAM171A2	0	0	0	0	0	0	0	0
FAM171B	2	2	5	2	5	2	3	1.73205080756888
FAM172A	17	21	55	17	55	21	31	20.8806130178211
FAM172BP	1	0	1	0	1	1	0.666666666666667	0.577350269189626
FAM173A	1	2	4	1	4	2	2.33333333333333	1.52752523165195
FAM173B	7	11	20	7	20	11	12.6666666666667	6.65832811847939
FAM174A	7	8	13	7	13	8	9.33333333333333	3.21455025366432
FAM174B	0	0	0	0	0	0	0	0
FAM175A	8	5	7	5	8	7	6.66666666666667	1.52752523165195
FAM175B	13	22	26	13	26	22	20.3333333333333	6.65832811847939
FAM177A1	36	37	86	36	86	37	53	28.5832118559129
FAM177B	0	0	0	0	0	0	0	0
FAM178A	14	21	28	14	28	21	21	7
FAM178B	0	0	0	0	0	0	0	0
FAM179A	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FAM179B	5	5	6	5	6	5	5.33333333333333	0.577350269189626
FAM180A	4	2	5	2	5	4	3.66666666666667	1.52752523165195
FAM180B	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FAM181A-AS1	3	2	3	2	3	3	2.66666666666667	0.577350269189626
FAM181B	0	0	0	0	0	0	0	0
FAM182A	1	0	1	0	1	1	0.666666666666667	0.577350269189626
FAM182B	0	0	0	0	0	0	0	0
FAM183A	0	0	0	0	0	0	0	0
