Gene	TRS.A.2.6.1.A1	TRS.A.4.4.1.A11	TRS.A.5.10.1.C6	TRS.A.5.10.1.H11	TRS.A.5.10.1.H12	Min	Max	Median	Mean	Std
CISD2	32	34	40	60	35	32	60	35	40.2	11.4542568506211
CISD3	12	16	18	21	15	12	21	16	16.4	3.36154726279432
CISH	0	0	0	2	3	0	3	0	1	1.4142135623731
CIT	0	0	0	0	1	0	1	0	0.2	0.447213595499958
CITED1	0	0	0	0	0	0	0	0	0	0
CITED2	19	19	23	27	17	17	27	19	21	4
CITED4	0	0	0	1	0	0	1	0	0.2	0.447213595499958
CIZ1	2	2	5	4	6	2	6	4	3.8	1.78885438199983
CKAP2	13	22	26	25	19	13	26	22	21	5.24404424085076
CKAP2L	0	0	1	1	0	0	1	0	0.4	0.547722557505166
CKAP4	79	137	98	131	66	66	137	98	102.2	31.2521999225655
CKAP5	54	71	85	78	61	54	85	71	69.8	12.5179870586289
CKB	7	11	18	9	6	6	18	9	10.2	4.76445169982864
CKLF	57	70	69	88	53	53	88	69	67.4	13.6857590216984
CKMT2	0	0	1	1	0	0	1	0	0.4	0.547722557505166
CKS1B	101	124	130	195	87	87	195	124	127.4	41.5848530116436
CKS2	24	35	26	36	21	21	36	26	28.4	6.73052746818554
CLASP1	15	17	24	19	10	10	24	17	17	5.1478150704935
CLASP2	7	12	7	9	4	4	12	7	7.8	2.94957624075053
CLASRP	1	1	0	1	1	0	1	1	0.8	0.447213595499958
CLCA2	0	0	0	0	0	0	0	0	0	0
CLCA3P	0	0	0	0	0	0	0	0	0	0
CLCC1	56	53	57	76	46	46	76	56	57.6	11.148990985735
CLCF1	6	1	0	1	1	0	6	1	1.8	2.38746727726266
CLCN2	0	0	0	0	0	0	0	0	0	0
CLCN3	68	51	53	67	38	38	68	53	55.4	12.4619420637395
CLCN4	4	3	3	6	3	3	6	3	3.8	1.30384048104053
CLCN5	8	6	2	7	3	2	8	6	5.2	2.58843582110896
CLCN6	3	2	2	2	0	0	3	2	1.8	1.09544511501033
CLCN7	3	5	1	12	4	1	12	4	5	4.18330013267038
CLDN1	0	1	1	0	1	0	1	1	0.6	0.547722557505166
CLDN10	0	0	0	0	0	0	0	0	0	0
CLDN11	12	8	17	12	6	6	17	12	11	4.24264068711928
CLDN12	12	17	22	24	16	12	24	17	18.2	4.81663783151692
CLDN14	1	0	1	0	0	0	1	0	0.4	0.547722557505166
CLDN15	1	0	0	1	0	0	1	0	0.4	0.547722557505166
CLDN16	1	2	2	3	2	1	3	2	2	0.707106781186548
CLDN18	1	0	2	0	0	0	2	0	0.6	0.894427190999916
CLDN19	0	1	2	2	0	0	2	1	1	1
CLDN2	0	0	0	0	0	0	0	0	0	0
CLDN20	1	0	0	0	0	0	1	0	0.2	0.447213595499958
CLDN23	0	0	0	0	0	0	0	0	0	0
CLDN3	0	0	0	0	0	0	0	0	0	0
CLDN5	0	0	0	0	0	0	0	0	0	0
CLDN6	0	0	0	0	0	0	0	0	0	0
CLDN7	0	0	0	0	0	0	0	0	0	0
CLDN9	0	0	0	0	0	0	0	0	0	0
CLDND1	101	101	126	139	81	81	139	101	109.6	22.9085137012422
CLDND2	0	0	0	0	0	0	0	0	0	0
CLEC10A	0	0	0	0	0	0	0	0	0	0
CLEC11A	14	24	27	33	12	12	33	24	22	8.86002257333467
CLEC12A	0	0	0	1	0	0	1	0	0.2	0.447213595499958
CLEC12B	0	0	0	0	0	0	0	0	0	0
CLEC14A	4	5	3	4	4	3	5	4	4	0.707106781186548
CLEC16A	0	2	6	5	3	0	6	3	3.2	2.38746727726266
CLEC17A	1	0	0	0	0	0	1	0	0.2	0.447213595499958
CLEC19A	1	0	0	0	0	0	1	0	0.2	0.447213595499958
CLEC1A	0	1	0	0	0	0	1	0	0.2	0.447213595499958
CLEC2B	93	116	107	142	102	93	142	107	112	18.7216452268491
CLEC2D	8	3	5	7	7	3	8	7	6	2
CLEC2L	0	0	0	0	0	0	0	0	0	0
CLEC3A	0	0	0	0	0	0	0	0	0	0
CLEC3B	0	1	1	2	1	0	2	1	1	0.707106781186548
CLEC4A	1	0	0	0	0	0	1	0	0.2	0.447213595499958
CLEC4C	0	0	1	0	0	0	1	0	0.2	0.447213595499958
CLEC4D	0	0	0	0	0	0	0	0	0	0
CLEC4E	0	0	0	0	0	0	0	0	0	0
CLEC4GP1	2	2	5	2	1	1	5	2	2.4	1.51657508881031
CLEC5A	0	0	0	0	0	0	0	0	0	0
CLEC7A	2	4	2	2	2	2	4	2	2.4	0.894427190999916
CLGN	0	0	0	0	0	0	0	0	0	0
CLHC1	4	7	3	11	3	3	11	4	5.6	3.43511280746353
CLIC1	209	211	257	355	191	191	355	211	244.6	66.3535982445564
CLIC2	1	8	3	5	2	1	8	3	3.8	2.77488738510232
CLIC3	18	16	19	27	15	15	27	18	19	4.74341649025257
CLIC4	172	228	231	301	170	170	301	228	220.4	53.7336021498652
CLIC5	1	0	0	0	0	0	1	0	0.2	0.447213595499958
CLIC6	0	0	0	0	0	0	0	0	0	0
CLINT1	66	119	112	94	56	56	119	94	89.4	27.7092042469646
CLIP1	101	107	141	117	93	93	141	107	111.8	18.5256578830551
CLIP2	2	1	2	0	1	0	2	1	1.2	0.836660026534076
CLIP3	5	4	4	5	3	3	5	4	4.2	0.836660026534076
CLIP4	44	35	42	44	46	35	46	44	42.2	4.26614580154031
CLK1	17	32	18	35	18	17	35	18	24	8.74642784226795
CLK2	2	4	6	7	2	2	7	4	4.2	2.28035085019828
CLK3	8	3	2	9	5	2	9	5	5.4	3.04959013639538
CLK4	16	13	11	13	7	7	16	13	12	3.3166247903554
CLLU1	0	0	0	0	0	0	0	0	0	0
CLMN	0	1	0	1	2	0	2	1	0.8	0.836660026534076
CLMP	20	20	17	20	14	14	20	20	18.2	2.68328157299975
CLN3	6	3	10	5	8	3	10	6	6.4	2.70185121722126
CLN5	10	13	30	27	9	9	30	13	17.8	9.93478736561583
CLN6	0	1	0	2	2	0	2	1	1	1
CLN8	18	20	19	31	15	15	31	19	20.6	6.10737259384099
CLNS1A	72	77	71	107	78	71	107	77	81	14.8492424049175
CLOCK	23	15	23	22	20	15	23	22	20.6	3.36154726279432
CLP1	13	17	14	19	15	13	19	15	15.6	2.40831891575846
CLPB	0	1	4	4	3	0	4	3	2.4	1.8165902124585
CLPP	15	11	11	18	12	11	18	12	13.4	3.04959013639538
CLPS	0	0	0	0	0	0	0	0	0	0
CLPTM1	3	2	4	4	2	2	4	3	3	1
CLPTM1L	10	16	11	7	9	7	16	10	10.6	3.36154726279432
CLPX	3	15	15	15	9	3	15	15	11.4	5.3665631459995
CLRN3	0	0	0	0	0	0	0	0	0	0
CLSPN	2	2	8	3	7	2	8	3	4.4	2.88097205817759
CLSTN1	22	26	31	35	24	22	35	26	27.6	5.31977443130815
CLSTN2	0	1	0	2	0	0	2	0	0.6	0.894427190999916
CLSTN3	0	0	0	0	0	0	0	0	0	0
CLTA	62	89	87	93	65	62	93	87	79.2	14.532721699668
CLTB	13	5	11	9	5	5	13	9	8.6	3.57770876399966
CLTC	72	124	110	104	88	72	124	104	99.6	20.1196421439349
CLTCL1	3	3	6	7	3	3	7	3	4.4	1.94935886896179
CLU	36	28	29	40	27	27	40	29	32	5.70087712549569
CLUAP1	34	37	36	51	28	28	51	36	37.2	8.46758525200662
CLUH	1	2	1	2	1	1	2	1	1.4	0.547722557505166
CLUHP3	0	2	1	2	2	0	2	2	1.4	0.894427190999916
CLUL1	0	0	0	0	0	0	0	0	0	0
CLVS1	0	0	0	0	1	0	1	0	0.2	0.447213595499958
CLYBL	0	0	0	1	0	0	1	0	0.2	0.447213595499958
CMA1	0	0	0	0	0	0	0	0	0	0
CMAHP	16	11	20	20	18	11	20	18	17	3.74165738677394
CMAS	10	17	15	20	13	10	20	15	15	3.80788655293195
CMBL	20	22	20	20	16	16	22	20	19.6	2.19089023002066
CMC1	13	11	13	21	9	9	21	13	13.4	4.56070170039655
CMC2	82	74	107	123	82	74	123	82	93.6	20.59854363784
CMC4	20	24	23	27	16	16	27	23	22	4.18330013267038
CMIP	2	3	2	5	1	1	5	2	2.6	1.51657508881031
CMKLR1	1	1	1	1	0	0	1	1	0.8	0.447213595499958
CMPK1	56	118	93	147	75	56	147	93	97.8	35.7728947668483
CMPK2	0	0	1	0	0	0	1	0	0.2	0.447213595499958
CMSS1	47	66	66	48	34	34	66	48	52.2	13.7549990912395
CMTM2	0	0	0	0	0	0	0	0	0	0
CMTM3	12	7	16	15	14	7	16	14	12.8	3.56370593624109
CMTM4	11	8	9	8	7	7	11	8	8.6	1.51657508881031
CMTM5	0	0	0	0	0	0	0	0	0	0
CMTM6	27	62	71	90	56	27	90	62	61.2	23.0369268783838
CMTM7	7	3	6	6	1	1	7	6	4.6	2.50998007960223
CMTM8	0	1	1	1	1	0	1	1	0.8	0.447213595499958
CMYA5	2	1	1	0	1	0	2	1	1	0.707106781186548
CNBD2	0	0	0	0	0	0	0	0	0	0
CNBP	437	454	522	679	433	433	679	454	505	103.650856243448
CNDP2	17	23	37	29	15	15	37	23	24.2	9.01110426085505
CNEP1R1	19	24	9	18	19	9	24	19	17.8	5.44977063737548
CNFN	0	0	0	0	1	0	1	0	0.2	0.447213595499958
CNGA1	3	2	0	1	0	0	3	1	1.2	1.30384048104053
CNGA3	0	0	0	0	0	0	0	0	0	0
CNGB1	3	3	2	2	1	1	3	2	2.2	0.836660026534076
CNIH	338	406	441	540	335	335	540	406	412	84.6551829482401
CNIH3	2	1	0	3	1	0	3	1	1.4	1.14017542509914
CNIH4	168	146	204	274	159	146	274	168	190.2	51.5577346282786
CNKSR1	0	0	0	0	0	0	0	0	0	0
CNKSR2	0	0	0	0	0	0	0	0	0	0
CNKSR3	3	1	3	1	1	1	3	1	1.8	1.09544511501033
CNN1	11	12	17	15	8	8	17	12	12.6	3.50713558335004
CNN2	95	115	107	131	73	73	131	107	104.2	21.7990825495019
CNN3	156	181	176	170	112	112	181	170	159	27.8926513619627
CNNM1	3	0	3	0	2	0	3	2	1.6	1.51657508881031
CNNM2	1	1	1	3	3	1	3	1	1.8	1.09544511501033
CNNM3	13	12	8	10	9	8	13	10	10.4	2.07364413533277
CNNM4	5	2	0	3	1	0	5	2	2.2	1.92353840616713
CNOT1	27	23	38	36	15	15	38	27	27.8	9.47100839404126
CNOT10	13	20	16	14	10	10	20	14	14.6	3.71483512420134
CNOT11	4	3	8	4	7	3	8	4	5.2	2.16794833886788
CNOT2	68	86	99	102	70	68	102	86	85	15.8113883008419
CNOT3	2	2	0	2	0	0	2	2	1.2	1.09544511501033
CNOT4	26	20	33	28	36	20	36	28	28.6	6.22896460095897
CNOT6	6	7	7	4	4	4	7	6	5.6	1.51657508881031
CNOT6L	19	13	15	24	13	13	24	15	16.8	4.7116875957559
CNOT7	32	39	48	59	28	28	59	39	41.2	12.5179870586289
CNOT8	21	33	25	32	16	16	33	25	25.4	7.23187389270582
CNP	14	21	19	17	6	6	21	17	15.4	5.85662018573853
CNPPD1	11	18	16	26	10	10	26	16	16.2	6.41872261435249
CNPY2	73	91	82	139	70	70	139	82	91	28.0624304008046
CNPY3	6	11	9	9	8	6	11	9	8.6	1.81659021245849
CNPY4	24	31	45	64	40	24	64	40	40.8	15.2872495891184
CNR1	0	0	0	0	0	0	0	0	0	0
CNRIP1	26	16	14	27	14	14	27	16	19.4	6.54217089351845
CNST	55	60	73	50	41	41	73	55	55.8	11.9037809119624
CNTD1	0	0	2	1	0	0	2	0	0.6	0.894427190999916
CNTD2	0	1	0	0	0	0	1	0	0.2	0.447213595499958
CNTLN	20	14	20	11	11	11	20	14	15.2	4.54972526643093
CNTN1	0	1	0	1	0	0	1	0	0.4	0.547722557505166
CNTN2	0	0	0	0	0	0	0	0	0	0
CNTN3	1	1	1	0	3	0	3	1	1.2	1.09544511501033
CNTN4	4	4	3	1	2	1	4	3	2.8	1.30384048104053
CNTN5	0	0	0	0	0	0	0	0	0	0
CNTN6	0	0	0	0	0	0	0	0	0	0
CNTNAP1	3	2	4	6	1	1	6	3	3.2	1.92353840616713
CNTNAP2	1	1	1	1	1	1	1	1	1	0
CNTNAP3	0	0	0	0	0	0	0	0	0	0
CNTNAP3B	0	1	0	1	0	0	1	0	0.4	0.547722557505166
CNTNAP5	0	0	0	0	0	0	0	0	0	0
CNTRL	7	3	5	3	4	3	7	4	4.4	1.67332005306815
CNTROB	1	0	2	2	2	0	2	2	1.4	0.894427190999916
COA1	39	45	71	69	54	39	71	54	55.6	14.2056326856638
COA3	159	141	184	244	125	125	244	159	170.6	46.5220377885578
COA4	116	119	136	138	103	103	138	119	122.4	14.6389890361322
COA5	25	31	38	57	30	25	57	31	36.2	12.5179870586289
COA6	27	24	47	39	28	24	47	28	33	9.66953980290686
COASY	9	13	14	11	9	9	14	11	11.2	2.28035085019828
COBLL1	7	8	17	9	8	7	17	8	9.8	4.08656334834051
COCH	0	2	0	1	0	0	2	0	0.6	0.894427190999916
COG1	1	11	8	7	1	1	11	7	5.6	4.4497190922574
COG2	15	17	16	16	12	12	17	16	15.2	1.92353840616713
COG3	7	15	10	15	11	7	15	11	11.6	3.43511280746353
COG4	23	27	24	33	14	14	33	24	24.2	6.9065186599328
COG5	17	23	27	35	22	17	35	23	24.8	6.72309452558864
COG6	5	27	19	28	18	5	28	19	19.4	9.23579991121506
COG7	7	13	7	7	5	5	13	7	7.8	3.03315017762062
COG8	0	9	0	4	3	0	9	3	3.2	3.70135110466435
COIL	31	36	48	51	26	26	51	36	38.4	10.7842477716343
COL10A1	1	3	2	2	2	1	3	2	2	0.707106781186548
COL11A1	0	7	5	3	4	0	7	4	3.8	2.58843582110896
COL11A2	0	0	0	0	0	0	0	0	0	0
COL12A1	212	247	273	260	166	166	273	247	231.6	43.1427861872643
COL13A1	0	0	0	0	1	0	1	0	0.2	0.447213595499958
COL14A1	144	201	209	232	136	136	232	201	184.4	42.1936014106405
COL15A1	41	103	74	99	58	41	103	74	75	26.4858452762981
COL16A1	41	30	39	35	35	30	41	35	36	4.24264068711928
COL17A1	0	0	0	0	0	0	0	0	0	0
COL18A1	13	7	8	10	3	3	13	8	8.2	3.70135110466435
COL18A1-AS1	0	0	0	0	0	0	0	0	0	0
COL19A1	0	0	1	0	0	0	1	0	0.2	0.447213595499958
COL1A1	3330	4403	3774	4896	3016	3016	4896	3774	3883.8	769.081400113148
COL1A2	3645	5120	5928	6099	3638	3638	6099	5120	4886	1194.72528223019
COL21A1	53	33	49	44	26	26	53	44	41	11.247221879202
COL22A1	0	0	0	0	0	0	0	0	0	0
COL23A1	0	0	0	0	0	0	0	0	0	0
COL24A1	1	0	0	1	0	0	1	0	0.4	0.547722557505166
COL25A1	0	0	0	0	0	0	0	0	0	0
COL26A1	0	0	0	2	0	0	2	0	0.4	0.894427190999916
COL27A1	0	0	0	0	0	0	0	0	0	0
COL28A1	0	0	0	0	0	0	0	0	0	0
COL3A1	658	803	890	1160	654	654	1160	803	833	208.413051414733
COL4A1	395	398	380	409	309	309	409	395	378.2	40.0462232925903
COL4A2	116	100	114	118	58	58	118	114	101.2	25.1634655800826
COL4A3	5	6	6	6	4	4	6	6	5.4	0.894427190999916
COL4A3BP	25	16	20	27	13	13	27	20	20.2	5.89067059000926
COL4A4	29	37	33	52	33	29	52	33	36.8	8.95544527089525
COL4A5	5	4	3	4	3	3	5	4	3.8	0.836660026534076
COL4A6	0	0	0	1	0	0	1	0	0.2	0.447213595499958
COL5A1	196	266	230	270	191	191	270	230	230.6	37.3202357977545
COL5A2	347	429	461	542	302	302	542	429	416.2	94.6398436177913
COL5A3	0	0	0	0	0	0	0	0	0	0
COL6A1	146	186	194	278	155	146	278	186	191.8	52.2513157729066
COL6A2	26	49	51	51	28	26	51	49	41	12.8257553383807
COL6A3	361	647	607	774	553	361	774	607	588.4	150.98940360171
COL6A4P1	0	0	0	0	0	0	0	0	0	0
COL6A4P2	3	1	0	1	1	0	3	1	1.2	1.09544511501033
COL6A6	0	1	0	0	0	0	1	0	0.2	0.447213595499958
COL7A1	0	0	1	3	1	0	3	1	1	1.22474487139159
COL8A1	97	75	87	93	59	59	97	87	82.2	15.4012986465428
COL8A2	15	41	34	32	24	15	41	32	29.2	9.98498873309329
COL9A2	0	0	0	0	0	0	0	0	0	0
COL9A3	0	0	0	0	0	0	0	0	0	0
COLEC10	0	0	1	2	1	0	2	1	0.8	0.836660026534076
COLEC11	0	3	0	1	2	0	3	1	1.2	1.30384048104053
COLEC12	2	4	5	4	0	0	5	4	3	2
COLGALT1	30	21	22	27	15	15	30	22	23	5.78791845139511
COLGALT2	3	1	5	3	2	1	5	3	2.8	1.48323969741913
COLQ	0	0	0	0	0	0	0	0	0	0
COMMD1	78	102	113	152	103	78	152	103	109.6	26.9685001436861
COMMD10	34	36	34	69	32	32	69	34	41	15.7162336455017
COMMD2	73	70	85	153	79	70	153	79	92	34.5832329315812
COMMD3	112	142	137	196	105	105	196	137	138.4	35.8650247455651
COMMD3-BMI1	0	0	0	0	0	0	0	0	0	0
COMMD4	20	15	27	23	10	10	27	20	19	6.67083203206317
COMMD5	8	12	10	8	3	3	12	8	8.2	3.3466401061363
COMMD6	1065	1400	1444	1901	1054	1054	1901	1400	1372.8	346.835263489744
COMMD7	19	20	22	14	12	12	22	19	17.4	4.2190046219458
COMMD8	21	28	36	47	24	21	47	28	31.2	10.4737767782209
COMMD9	64	83	78	102	84	64	102	83	82.2	13.6455120827325
COMP	56	166	144	162	112	56	166	144	128	45.5411901469428
COMT	294	289	327	358	102	102	358	294	274	100.092457258277
COMTD1	0	0	1	5	1	0	5	1	1.4	2.07364413533277
COPA	91	161	123	172	116	91	172	123	132.6	33.3811323954116
COPB1	109	222	171	207	117	109	222	171	165.2	51.207421337146
COPB2	110	255	188	227	110	110	255	188	178	66.4793200927928
COPE	18	23	24	29	8	8	29	23	20.4	7.95612971236643
COPG1	108	160	137	193	111	108	193	137	141.8	35.5907291299293
COPG2	3	12	8	6	6	3	12	6	7	3.3166247903554
COPRS	9	22	25	33	11	9	33	22	20	10
COPS2	113	127	126	224	106	106	224	126	139.2	48.2255119205592
COPS3	82	108	85	125	90	82	125	90	98	18.1521348606713
COPS4	72	108	90	130	95	72	130	95	99	21.6101827849743
COPS5	87	92	104	137	90	87	137	92	102	20.6033977780365
COPS6	37	42	41	46	31	31	46	41	39.4	5.68330889535313
COPS7A	32	35	38	63	42	32	63	38	42	12.3085336250912
COPS7B	6	8	13	8	4	4	13	8	7.8	3.3466401061363
COPS8	124	164	165	248	131	124	248	164	166.4	49.2879295568398
COPZ1	182	223	256	360	212	182	360	223	246.6	68.693522256469
COPZ2	28	36	39	40	30	28	40	36	34.6	5.3665631459995
COQ10A	2	2	0	2	0	0	2	2	1.2	1.09544511501033
COQ10B	48	75	77	100	61	48	100	75	72.2	19.4602158261413
COQ2	2	1	0	4	1	0	4	1	1.6	1.51657508881031
COQ3	11	7	21	16	10	7	21	11	13	5.52268050859363
COQ4	4	3	9	7	2	2	9	4	5	2.91547594742265
COQ5	27	30	21	33	23	21	33	27	26.8	4.91934955049954
COQ6	11	7	6	4	7	4	11	7	7	2.54950975679639
COQ7	9	3	8	10	5	3	10	8	7	2.91547594742265
COQ9	11	19	18	19	12	11	19	18	15.8	3.96232255123179
CORIN	1	0	0	0	0	0	1	0	0.2	0.447213595499958
CORO1B	1	2	1	1	0	0	2	1	1	0.707106781186548
CORO1C	29	38	41	41	37	29	41	38	37.2	4.91934955049954
CORO2A	5	8	6	8	2	2	8	6	5.8	2.48997991959775
CORO2B	7	19	14	14	18	7	19	14	14.4	4.72228758124704
CORO6	0	0	0	0	2	0	2	0	0.4	0.894427190999916
CORO7	0	1	0	0	0	0	1	0	0.2	0.447213595499958
CORT	0	0	0	0	0	0	0	0	0	0
COTL1	5	10	10	12	11	5	12	10	9.6	2.70185121722126
COX10	5	9	12	5	7	5	12	7	7.6	2.96647939483827
COX10-AS1	2	2	1	3	3	1	3	2	2.2	0.836660026534076
COX11	6	10	8	19	12	6	19	10	11	5
COX14	141	157	174	242	142	141	242	157	171.2	41.793540170701
COX15	21	29	24	39	23	21	39	24	27.2	7.22495674727538
COX16	44	62	71	74	41	41	74	62	58.4	15.2085502267639
COX17	199	245	273	343	172	172	343	245	246.4	66.7517790025105
COX18	13	9	16	14	15	9	16	14	13.4	2.70185121722126
COX19	18	27	25	37	14	14	37	25	24.2	8.87130204648675
COX20	66	83	85	100	66	66	100	83	80	14.3701078631999
COX4I1	1020	1272	1324	1542	957	957	1542	1272	1223	237.869712237603
COX5A	22	24	20	38	21	20	38	22	25	7.41619848709566
COX5B	127	175	175	207	136	127	207	175	164	32.5729949498047
COX6A1	882	1058	1114	1442	809	809	1442	1058	1061	246.740754639358
COX6A2	0	0	0	0	0	0	0	0	0	0
COX6B1	553	674	763	933	502	502	933	674	685	172.207723404033
COX6B2	8	6	5	9	5	5	9	6	6.6	1.81659021245849
COX6C	603	645	784	925	546	546	925	645	700.6	153.157761801353
COX7A1	189	242	275	315	172	172	315	242	238.6	59.3068292863478
COX7A2	676	1068	1005	1310	746	676	1310	1005	961	256.24012176082
COX7A2L	417	537	571	738	494	417	738	537	551.4	119.1314400148
COX7B	305	424	442	518	266	266	518	424	391	103.489129863962
COX7C	786	817	861	1295	577	577	1295	817	867.2	262.859658373057
COX8A	393	496	422	589	352	352	589	422	450.4	93.6392011926629
COX8C	0	0	0	0	0	0	0	0	0	0
CP	0	0	1	1	1	0	1	1	0.6	0.547722557505166
CPA1	0	0	1	0	0	0	1	0	0.2	0.447213595499958
CPA2	0	0	0	1	0	0	1	0	0.2	0.447213595499958
CPA3	0	0	0	1	0	0	1	0	0.2	0.447213595499958
CPA4	16	44	47	43	20	16	47	43	34	14.7478812037526
CPA5	0	0	1	0	0	0	1	0	0.2	0.447213595499958
CPA6	0	0	0	0	0	0	0	0	0	0
CPAMD8	0	0	0	0	0	0	0	0	0	0
CPB1	0	0	0	0	0	0	0	0	0	0
CPB2	0	0	0	0	0	0	0	0	0	0
CPB2-AS1	27	17	14	15	12	12	27	15	17	5.87367006223537
CPD	29	55	39	50	28	28	55	39	40.2	12.1531888819355
CPE	10	16	21	23	15	10	23	16	17	5.1478150704935
CPEB1	1	3	7	3	2	1	7	3	3.2	2.28035085019828
CPEB2	10	9	13	18	11	9	18	11	12.2	3.56370593624109
CPEB3	1	1	1	4	1	1	4	1	1.6	1.34164078649987
CPEB4	12	19	18	17	10	10	19	17	15.2	3.96232255123179
CPED1	7	7	11	8	8	7	11	8	8.2	1.6431676725155
CPLX1	0	0	0	0	0	0	0	0	0	0
CPLX4	0	0	0	0	0	0	0	0	0	0
CPM	20	14	18	25	8	8	25	18	17	6.40312423743285
CPN1	0	0	0	0	0	0	0	0	0	0
CPNE1	14	27	21	26	14	14	27	21	20.4	6.26897120746299
CPNE2	4	2	3	3	1	1	4	3	2.6	1.14017542509914
CPNE3	86	127	127	106	74	74	127	106	104	23.9060661757638
CPNE5	0	1	0	0	0	0	1	0	0.2	0.447213595499958
CPNE7	1	0	0	0	0	0	1	0	0.2	0.447213595499958
CPNE8	26	14	26	25	16	14	26	25	21.4	5.89915248150105
CPNE9	0	0	0	0	0	0	0	0	0	0
CPO	0	0	0	0	0	0	0	0	0	0
CPOX	7	6	11	11	10	6	11	10	9	2.34520787991171
CPPED1	25	22	20	24	13	13	25	22	20.8	4.76445169982864
CPQ	56	71	97	102	73	56	102	73	79.8	19.2275843516548
CPS1	1	2	8	6	3	1	8	3	4	2.91547594742265
CPSF1	4	4	6	5	1	1	6	4	4	1.87082869338697
CPSF2	53	50	64	45	31	31	64	50	48.6	12.0540449642433
CPSF3	20	53	42	60	36	20	60	42	42.2	15.5306149266537
CPSF3L	7	5	6	7	1	1	7	6	5.2	2.48997991959775
CPSF4	14	15	20	29	18	14	29	18	19.2	5.97494769851586
CPSF6	20	22	17	25	12	12	25	20	19.2	4.96990945591567
CPSF7	4	14	13	15	11	4	15	13	11.4	4.39317652729776
CPT1A	43	43	33	54	34	33	54	43	41.4	8.50294066779253
CPT1B	0	0	0	0	0	0	0	0	0	0
CPT1C	1	1	2	1	1	1	2	1	1.2	0.447213595499958
CPT2	5	10	6	8	6	5	10	6	7	2
CPVL	3	0	1	0	0	0	3	0	0.8	1.30384048104053
CPXM1	0	0	0	0	0	0	0	0	0	0
CPXM2	43	57	39	64	35	35	64	43	47.6	12.36122971229
CPZ	1	0	4	2	3	0	4	2	2	1.58113883008419
CR1	6	8	5	8	2	2	8	6	5.8	2.48997991959775
CRABP1	0	0	0	0	0	0	0	0	0	0
CRABP2	22	23	13	27	15	13	27	22	20	5.8309518948453
CRADD	29	26	31	31	15	15	31	29	26.4	6.6932802122726
CRAMP1L	1	2	0	4	2	0	4	2	1.8	1.48323969741913
CRAT	4	6	3	2	3	2	6	3	3.6	1.51657508881031
CRB1	0	0	0	0	0	0	0	0	0	0
CRB2	0	0	0	0	0	0	0	0	0	0
CRB3	0	0	0	0	0	0	0	0	0	0
CRBN	46	58	83	95	62	46	95	62	68.8	19.8166596579747
CRCP	37	62	56	60	32	32	62	56	49.4	13.8852439661678
CREB1	36	37	34	44	24	24	44	36	35	7.21110255092798
CREB3	25	40	34	48	27	25	48	34	34.8	9.47100839404126
CREB3L1	19	23	20	29	11	11	29	20	20.4	6.54217089351845
CREB3L2	52	86	67	57	43	43	86	57	61	16.4468842033985
CREB3L4	4	6	11	7	5	4	11	6	6.6	2.70185121722126
CREB5	3	1	7	3	5	1	7	3	3.8	2.28035085019828
CREBBP	17	20	20	21	16	16	21	20	18.8	2.16794833886788
CREBL2	14	18	28	15	15	14	28	15	18	5.78791845139511
CREBRF	20	26	27	30	6	6	30	26	21.8	9.54986910905066
CREBZF	8	6	11	10	5	5	11	8	8	2.54950975679639
CREG1	23	39	30	40	39	23	40	39	34.2	7.46324326281812
CREG2	0	0	0	0	0	0	0	0	0	0
CRELD1	9	14	14	14	7	7	14	14	11.6	3.36154726279432
CRELD2	7	7	8	9	2	2	9	7	6.6	2.70185121722126
CREM	8	10	15	12	9	8	15	10	10.8	2.77488738510232
CRHBP	0	1	0	0	0	0	1	0	0.2	0.447213595499958
CRHR1-IT1	12	8	9	11	14	8	14	11	10.8	2.38746727726266
CRHR2	1	0	0	0	0	0	1	0	0.2	0.447213595499958
CRIM1	231	308	275	266	165	165	308	266	249	54.3737068811756
CRIP1	16	16	18	33	14	14	33	16	19.4	7.73304597167248
CRIP2	65	69	77	114	51	51	114	69	75.2	23.6474100061719
CRIPAK	2	3	1	3	4	1	4	3	2.6	1.14017542509914
CRIPT	88	129	131	158	100	88	158	129	121.2	27.6712847551392
CRISPLD1	6	11	3	9	5	3	11	6	6.8	3.19374388453426
CRISPLD2	0	1	0	2	0	0	2	0	0.6	0.894427190999916
CRK	20	17	20	19	12	12	20	19	17.6	3.36154726279432
CRKL	19	22	21	13	10	10	22	19	17	5.24404424085076
CRLF1	17	28	20	43	20	17	43	20	25.6	10.5498815159223
CRLF3	3	7	9	5	5	3	9	5	5.8	2.28035085019828
CRLS1	12	23	11	11	6	6	23	11	12.6	6.26897120746299
CRMP1	1	1	1	1	3	1	3	1	1.4	0.894427190999916
CRNDE	14	14	26	13	15	13	26	14	16.4	5.41294744108974
CRNKL1	29	31	34	55	36	29	55	34	37	10.4163333279998
CROCC	2	1	1	0	0	0	2	1	0.8	0.836660026534076
CROCCP2	1	3	1	0	0	0	3	1	1	1.22474487139159
CROCCP3	7	1	4	1	2	1	7	2	3	2.54950975679639
CROT	14	21	18	23	13	13	23	18	17.8	4.32434966208793
CRTAC1	0	0	0	0	0	0	0	0	0	0
CRTAM	0	2	0	0	0	0	2	0	0.4	0.894427190999916
CRTAP	70	104	65	104	87	65	104	87	86	18.3439363278441
