Gene	SOR.A.6.5.1.C12	SOR.A.7.3.1.E5	SOR.A.7.4.1.E6	SOR.A.8.2.1.F12	Min	Max	Median	Mean	Std
EIF4B	599	413	422	400	400	599	417.5	458.5	94.1010095588777
EIF4E	132	138	134	106	106	138	133	127.5	14.5487685618635
EIF4E2	111	120	137	77	77	137	115.5	111.25	25.2504125378841
EIF4E3	9	6	7	7	6	9	7	7.25	1.25830573921179
EIF4EBP1	172	189	165	137	137	189	168.5	165.75	21.6544837543329
EIF4EBP2	47	22	40	38	22	47	39	36.75	10.5633012516605
EIF4EBP3	0	1	0	0	0	1	0	0.25	0.5
EIF4ENIF1	26	11	17	23	11	26	20	19.25	6.65206734782504
EIF4G1	52	23	31	58	23	58	41.5	41	16.6733320005331
EIF4G2	228	148	181	167	148	228	174	181	34.1272129929572
EIF4G3	78	35	51	54	35	78	52.5	54.5	17.7482393492988
EIF4H	70	51	62	79	51	79	66	65.5	11.9023807142381
EIF5	408	135	141	342	135	408	241.5	256.5	139.481181526398
EIF5A	16	13	9	15	9	16	14	13.25	3.09569593683445
EIF5A2	38	33	31	32	31	38	32.5	33.5	3.1091263510296
EIF5AL1	0	0	0	1	0	1	0	0.25	0.5
EIF5B	156	94	131	123	94	156	127	126	25.5473416751463
EIF6	147	147	130	136	130	147	141.5	140	8.44590630621328
ELAC1	3	0	1	4	0	4	2	2	1.82574185835055
ELAC2	8	8	9	6	6	9	8	7.75	1.25830573921179
ELANE	0	0	0	0	0	0	0	0	0
ELAVL1	31	29	27	21	21	31	28	27	4.32049379893857
ELAVL2	0	0	0	0	0	0	0	0	0
ELF1	151	50	50	156	50	156	100.5	101.75	59.7906068431043
ELF2	68	44	41	59	41	68	51.5	53	12.7279220613579
ELF3	0	0	0	0	0	0	0	0	0
ELF4	25	7	8	6	6	25	7.5	11.5	9.03696114115064
ELF5	0	0	0	0	0	0	0	0	0
ELFN2	0	0	0	0	0	0	0	0	0
ELK1	4	3	6	2	2	6	3.5	3.75	1.70782512765993
ELK3	22	6	9	16	6	22	12.5	13.25	7.18215380880508
ELK4	47	15	18	27	15	47	22.5	26.75	14.4308696896618
ELL	5	3	6	5	3	6	5	4.75	1.25830573921179
ELL2	113	63	84	84	63	113	84	86	20.5426385841741
ELL3	5	5	5	2	2	5	5	4.25	1.5
ELMO1	0	0	1	1	0	1	0.5	0.5	0.577350269189626
ELMO2	40	13	14	39	13	40	26.5	26.5	15.0222057856583
ELMO3	0	0	0	0	0	0	0	0	0
ELMOD1	4	2	3	2	2	4	2.5	2.75	0.957427107756338
ELMOD2	29	22	16	31	16	31	25.5	24.5	6.85565460040104
ELMOD3	12	3	5	10	3	12	7.5	7.5	4.20317340430616
ELMSAN1	168	21	41	77	21	168	59	76.75	65.096722907788
ELN	10	5	11	8	5	11	9	8.5	2.64575131106459
ELOF1	84	53	58	57	53	84	57.5	63	14.1656862405839
ELOVL1	35	20	36	26	20	36	30.5	29.25	7.63216876123687
ELOVL2	1	2	0	1	0	2	1	1	0.816496580927726
ELOVL2-AS1	0	0	0	0	0	0	0	0	0
ELOVL3	0	0	1	1	0	1	0.5	0.5	0.577350269189626
ELOVL4	7	2	4	5	2	7	4.5	4.5	2.08166599946613
ELOVL5	162	100	101	148	100	162	124.5	127.75	31.9830684373258
ELOVL6	8	1	1	7	1	8	4	4.25	3.77491721763537
ELOVL7	4	0	1	5	0	5	2.5	2.5	2.38047614284762
ELP2	88	43	66	88	43	88	77	71.25	21.5
ELP3	61	38	37	50	37	61	44	46.5	11.3284303119776
ELP4	22	28	32	33	22	33	30	28.75	4.99165971062398
ELP5	57	40	31	68	31	68	48.5	49	16.6332999331662
ELP6	23	20	16	37	16	37	21.5	24	9.12870929175277
ELTD1	30	22	20	20	20	30	21	23	4.76095228569523
EMB	5	1	2	4	1	5	3	3	1.82574185835055
EMBP1	0	0	0	0	0	0	0	0	0
EMC1	93	81	68	66	66	93	74.5	77	12.5698050899765
EMC10	20	9	7	31	7	31	14.5	16.75	11.0867789130417
EMC2	128	94	78	110	78	128	102	102.5	21.439838307848
EMC3	205	166	186	181	166	205	183.5	184.5	16.0934769394311
EMC4	98	105	71	112	71	112	101.5	96.5	17.9350680697528
EMC6	0	0	0	0	0	0	0	0	0
EMC7	126	92	110	96	92	126	103	106	15.4056266777218
EMC8	23	6	10	15	6	23	12.5	13.5	7.32575365861197
EMC9	19	6	12	19	6	19	15.5	14	6.27162924074226
EMCN	0	1	1	0	0	1	0.5	0.5	0.577350269189626
EMD	13	6	10	8	6	13	9	9.25	2.98607881119482
EME1	2	1	1	0	0	2	1	1	0.816496580927726
EMG1	35	43	34	39	34	43	37	37.75	4.11298755975102
EMILIN1	13	0	4	7	0	13	5.5	6	5.47722557505166
EMILIN2	8	5	11	10	5	11	9	8.5	2.64575131106459
EML1	16	7	13	10	7	16	11.5	11.5	3.87298334620742
EML2	7	4	6	3	3	7	5	5	1.82574185835055
EML3	4	1	0	5	0	5	2.5	2.5	2.38047614284762
EML4	43	34	40	36	34	43	38	38.25	4.03112887414927
EML5	1	0	2	3	0	3	1.5	1.5	1.29099444873581
EML6	1	0	0	4	0	4	0.5	1.25	1.89296944860009
EMP1	69	25	44	35	25	69	39.5	43.25	18.8392321145706
EMP2	62	42	50	53	42	62	51.5	51.75	8.26135582092915
EMP3	50	77	51	41	41	77	50.5	54.75	15.5
EMR1	0	0	0	0	0	0	0	0	0
EMR2	0	0	0	0	0	0	0	0	0
EMR4P	0	0	0	0	0	0	0	0	0
EMX2	3	2	0	2	0	3	2	1.75	1.25830573921179
EMX2OS	8	7	6	7	6	8	7	7	0.816496580927726
EN1	0	0	0	0	0	0	0	0	0
EN2	0	0	0	0	0	0	0	0	0
ENAH	141	82	116	90	82	141	103	107.25	26.7752995625944
ENC1	35	7	17	17	7	35	17	19	11.6619037896906
ENDOD1	19	18	21	16	16	21	18.5	18.5	2.08166599946613
ENDOG	0	2	0	0	0	2	0	0.5	1
ENDOU	1	0	0	0	0	1	0	0.25	0.5
ENDOV	7	8	7	9	7	9	7.5	7.75	0.957427107756338
ENG	4	26	18	9	4	26	13.5	14.25	9.74251849711699
ENGASE	2	0	1	2	0	2	1.5	1.25	0.957427107756338
ENKD1	12	3	4	7	3	12	5.5	6.5	4.04145188432738
ENKUR	1	1	4	0	0	4	1	1.5	1.73205080756888
ENO1	1245	1013	838	1196	838	1245	1104.5	1073	185.775850601381
ENO1-AS1	0	0	0	1	0	1	0	0.25	0.5
ENO2	57	33	47	37	33	57	42	43.5	10.7548438699345
ENO3	2	5	1	7	1	7	3.5	3.75	2.75378527364305
ENO4	1	1	0	1	0	1	1	0.75	0.5
ENOPH1	32	40	24	23	23	40	28	29.75	7.9320026895272
ENOSF1	12	4	3	10	3	12	7	7.25	4.42530601578392
ENOX1	4	2	0	2	0	4	2	2	1.63299316185545
ENOX2	14	5	5	14	5	14	9.5	9.5	5.19615242270663
ENPEP	0	0	0	0	0	0	0	0	0
ENPP1	4	3	6	7	3	7	5	5	1.82574185835055
ENPP2	0	0	0	1	0	1	0	0.25	0.5
ENPP3	0	0	0	0	0	0	0	0	0
ENPP4	7	2	2	5	2	7	3.5	4	2.44948974278318
ENPP5	0	0	0	0	0	0	0	0	0
ENPP6	0	1	0	0	0	1	0	0.25	0.5
ENSA	37	54	43	43	37	54	43	44.25	7.08872343937891
ENTHD2	8	0	4	4	0	8	4	4	3.2659863237109
ENTPD1	23	10	16	15	10	23	15.5	16	5.35412613473634
ENTPD1-AS1	23	8	8	13	8	23	10.5	13	7.07106781186548
ENTPD3	0	0	0	2	0	2	0	0.5	1
ENTPD3-AS1	11	7	8	11	7	11	9.5	9.25	2.06155281280883
ENTPD4	55	20	28	31	20	55	29.5	33.5	15.0665191733194
ENTPD5	7	2	4	3	2	7	3.5	4	2.16024689946929
ENTPD6	9	2	4	6	2	9	5	5.25	2.98607881119482
ENTPD7	31	7	1	9	1	31	8	12	13.114877048604
ENY2	355	403	329	272	272	403	342	339.75	54.5855597510306
EOGT	1	0	3	0	0	3	0.5	1	1.4142135623731
EOMES	4	0	2	0	0	4	1	1.5	1.91485421551268
EP300	80	11	11	34	11	80	22.5	34	32.5269119345812
EP400	38	13	13	50	13	50	25.5	28.5	18.5562208796224
EP400NL	1	1	1	2	1	2	1	1.25	0.5
EPAS1	102	88	88	100	88	102	94	94.5	7.54983443527075
EPB41	67	31	33	53	31	67	43	46	17.1658575861116
EPB41L1	8	6	8	6	6	8	7	7	1.15470053837925
EPB41L2	74	107	74	85	74	107	79.5	85	15.556349186104
EPB41L3	5	1	5	4	1	5	4.5	3.75	1.89296944860009
EPB41L4A	6	1	0	4	0	6	2.5	2.75	2.75378527364305
EPB41L4A-AS1	48	42	25	49	25	49	45	41	11.1055541659718
EPB41L4B	1	1	3	2	1	3	1.5	1.75	0.957427107756338
EPB41L5	13	14	8	17	8	17	13.5	13	3.74165738677394
EPC1	77	44	34	36	34	77	40	47.75	19.9728983041187
EPC2	16	10	7	6	6	16	8.5	9.75	4.5
EPCAM	0	0	0	0	0	0	0	0	0
EPDR1	36	41	39	29	29	41	37.5	36.25	5.25198375219624
EPG5	21	5	7	17	5	21	12	12.5	7.72442015083764
EPGN	6	3	2	4	2	6	3.5	3.75	1.70782512765993
EPHA1	1	0	0	0	0	1	0	0.25	0.5
EPHA1-AS1	7	1	0	6	0	7	3.5	3.5	3.51188458428425
EPHA10	0	0	0	3	0	3	0	0.75	1.5
EPHA2	9	4	9	4	4	9	6.5	6.5	2.88675134594813
EPHA3	0	1	0	1	0	1	0.5	0.5	0.577350269189626
EPHA4	2	1	0	1	0	2	1	1	0.816496580927726
EPHA5	8	1	4	4	1	8	4	4.25	2.87228132326901
EPHA7	0	0	0	0	0	0	0	0	0
EPHA8	0	0	0	0	0	0	0	0	0
EPHB1	2	0	1	2	0	2	1.5	1.25	0.957427107756338
EPHB2	5	1	0	3	0	5	2	2.25	2.21735578260835
EPHB3	1	1	2	6	1	6	1.5	2.5	2.38047614284762
EPHB4	11	1	8	10	1	11	9	7.5	4.50924975282289
EPHB6	2	2	2	5	2	5	2	2.75	1.5
EPHX1	1	0	1	3	0	3	1	1.25	1.25830573921179
EPHX2	0	1	0	0	0	1	0	0.25	0.5
EPHX3	0	0	0	0	0	0	0	0	0
EPHX4	0	0	0	0	0	0	0	0	0
EPM2A	3	2	3	3	2	3	3	2.75	0.5
EPM2AIP1	27	4	2	20	2	27	12	13.25	12.2031416719903
EPN1	7	1	1	2	1	7	1.5	2.75	2.87228132326901
EPN2	25	8	7	14	7	25	11	13.5	8.2663978450915
EPN2-AS1	0	0	0	0	0	0	0	0	0
EPN2-IT1	0	0	0	0	0	0	0	0	0
EPOR	6	5	3	4	3	6	4.5	4.5	1.29099444873581
EPPIN	0	0	0	0	0	0	0	0	0
EPPIN-WFDC6	0	0	0	0	0	0	0	0	0
EPPK1	0	0	0	0	0	0	0	0	0
EPRS	373	206	223	284	206	373	253.5	271.5	75.5005518743627
EPS15	57	53	53	53	53	57	53	54	2
EPS15L1	8	6	6	6	6	8	6	6.5	1
EPS8	143	82	95	105	82	143	100	106.25	26.2472220752343
EPS8L1	0	0	0	0	0	0	0	0	0
EPS8L2	3	5	3	2	2	5	3	3.25	1.25830573921179
EPSTI1	3	6	3	4	3	6	3.5	4	1.4142135623731
EPT1	38	8	12	24	8	38	18	20.5	13.5030860670194
EPYC	1	2	0	0	0	2	0.5	0.75	0.957427107756338
ERAL1	46	27	27	29	27	46	28	32.25	9.21502396451939
ERAP1	19	7	17	26	7	26	18	17.25	7.84750491132904
ERAP2	26	21	25	23	21	26	24	23.75	2.21735578260835
ERAS	0	0	0	0	0	0	0	0	0
ERBB2	12	1	3	12	1	12	7.5	7	5.8309518948453
ERBB2IP	84	51	52	53	51	84	52.5	60	16.0208197875972
ERBB3	4	4	1	2	1	4	3	2.75	1.5
ERBB4	0	0	0	4	0	4	0	1	2
ERC1	71	21	42	70	21	71	56	51	24.0970260959038
ERC2-IT1	0	0	0	0	0	0	0	0	0
ERCC1	36	41	26	39	26	41	37.5	35.5	6.65832811847939
ERCC2	4	5	1	3	1	5	3.5	3.25	1.70782512765993
ERCC3	45	26	33	53	26	53	39	39.25	12.0657918651588
ERCC4	74	69	46	86	46	86	71.5	68.75	16.7605688049859
ERCC5	19	13	7	12	7	19	12.5	12.75	4.92442890089805
ERCC6	11	7	15	14	7	15	12.5	11.75	3.5939764421413
ERCC6L	1	0	0	1	0	1	0.5	0.5	0.577350269189626
ERCC6L2	8	1	1	6	1	8	3.5	4	3.55902608401044
ERCC8	8	22	11	15	8	22	13	14	6.05530070819498
EREG	2	1	4	1	1	4	1.5	2	1.4142135623731
ERF	1	2	1	0	0	2	1	1	0.816496580927726
ERG	2	2	0	1	0	2	1.5	1.25	0.957427107756338
ERGIC1	49	56	70	36	36	70	52.5	52.75	14.1745076340121
ERGIC2	142	120	115	143	115	143	131	130	14.5830952361516
ERGIC3	519	605	475	521	475	605	520	530	54.3200392734271
ERH	360	331	422	311	311	422	345.5	356	48.3804368176504
ERI1	7	8	7	10	7	10	7.5	8	1.4142135623731
ERI2	6	0	5	2	0	6	3.5	3.25	2.75378527364305
ERI3	12	7	9	11	7	12	10	9.75	2.21735578260835
ERICH1	33	15	16	36	15	36	24.5	25	11.0453610171873
ERICH1-AS1	0	0	0	1	0	1	0	0.25	0.5
ERLEC1	136	102	93	131	93	136	116.5	115.5	21.2053452380919
ERLIN1	22	18	19	31	18	31	20.5	22.5	5.91607978309962
ERLIN2	32	23	20	26	20	32	24.5	25.25	5.1234753829798
ERMAP	10	7	5	5	5	10	6	6.75	2.3629078131263
ERMN	0	0	0	0	0	0	0	0	0
ERMP1	4	3	9	5	3	9	4.5	5.25	2.62995563967658
ERN1	0	1	1	3	0	3	1	1.25	1.25830573921179
ERN2	0	0	0	0	0	0	0	0	0
ERO1L	28	13	11	41	11	41	20.5	23.25	14.0564338768172
ERO1LB	10	1	6	12	1	12	8	7.25	4.85626742811116
ERP27	0	0	0	0	0	0	0	0	0
ERP29	207	239	237	174	174	239	222	214.25	30.5655034311559
ERP44	129	140	118	130	118	140	129.5	129.25	8.99536917900909
ERRFI1	52	13	17	27	13	52	22	27.25	17.5190372642639
ERV3-1	17	36	13	14	13	36	15.5	20	10.8012344973464
ERVFRD-1	0	0	0	1	0	1	0	0.25	0.5
ERVK13-1	5	1	0	1	0	5	1	1.75	2.21735578260835
ERVMER34-1	0	0	0	0	0	0	0	0	0
ERVV-1	3	2	4	4	2	4	3.5	3.25	0.957427107756338
ESAM	0	0	0	0	0	0	0	0	0
ESCO1	139	56	56	82	56	139	69	83.25	39.1354485515796
ESCO2	0	0	0	0	0	0	0	0	0
ESD	302	352	297	283	283	352	299.5	308.5	30.0942962480711
ESF1	127	98	95	111	95	127	104.5	107.75	14.5916642870739
ESM1	0	0	0	0	0	0	0	0	0
ESPL1	1	0	0	2	0	2	0.5	0.75	0.957427107756338
ESPN	0	0	0	0	0	0	0	0	0
ESPNL	0	0	0	0	0	0	0	0	0
ESR1	2	0	2	1	0	2	1.5	1.25	0.957427107756338
ESR2	0	0	0	0	0	0	0	0	0
ESRG	5	0	2	0	0	5	1	1.75	2.3629078131263
ESRP1	0	0	0	1	0	1	0	0.25	0.5
ESRP2	0	0	1	0	0	1	0	0.25	0.5
ESRRA	17	3	8	9	3	17	8.5	9.25	5.79511288357124
ESRRG	0	0	0	0	0	0	0	0	0
ESYT1	59	25	31	42	25	59	36.5	39.25	14.9303940559741
ESYT2	73	23	21	41	21	73	32	39.5	24.0762677063258
ESYT3	0	0	0	1	0	1	0	0.25	0.5
ETAA1	18	10	5	8	5	18	9	10.25	5.56027577253743
ETF1	93	49	60	73	49	93	66.5	68.75	18.9098739639727
ETFA	74	93	103	83	74	103	88	88.25	12.5266382827424
ETFB	40	51	35	36	35	51	38	40.5	7.32575365861197
ETFDH	36	25	19	13	13	36	22	23.25	9.81070843517429
ETHE1	31	20	20	14	14	31	20	21.25	7.08872343937891
ETNK1	48	12	14	32	12	48	23	26.5	16.9213868619961
ETNK2	0	2	1	1	0	2	1	1	0.816496580927726
ETS1	81	26	44	36	26	81	40	46.75	23.9913178740421
ETS2	45	10	5	22	5	45	16	20.5	17.8232058470598
ETV1	16	2	2	5	2	16	3.5	6.25	6.65206734782504
ETV2	0	1	2	1	0	2	1	1	0.816496580927726
ETV3	6	3	1	3	1	6	3	3.25	2.06155281280883
ETV4	4	0	0	0	0	4	0	1	2
ETV5	79	17	28	40	17	79	34	41	27.0185121722126
ETV6	23	7	12	13	7	23	12.5	13.75	6.70198975429437
ETV7	2	1	2	1	1	2	1.5	1.5	0.577350269189626
EVA1A	16	20	9	3	3	20	12.5	12	7.52772652709081
EVA1B	17	7	5	4	4	17	6	8.25	5.96517672272443
EVA1C	5	4	3	6	3	6	4.5	4.5	1.29099444873581
EVC	10	2	4	8	2	10	6	6	3.65148371670111
EVC2	22	4	11	30	4	30	16.5	16.75	11.5289490703475
EVI2A	43	53	43	16	16	53	43	38.75	15.8823801742686
EVI2B	2	2	4	4	2	4	3	3	1.15470053837925
EVI5	106	54	64	79	54	106	71.5	75.75	22.6329405955126
EVI5L	0	0	1	2	0	2	0.5	0.75	0.957427107756338
EVL	11	5	7	9	5	11	8	8	2.58198889747161
EWSR1	22	16	12	21	12	22	18.5	17.75	4.64578662158878
EXD1	3	0	1	4	0	4	2	2	1.82574185835055
EXD2	25	21	16	34	16	34	23	24	7.61577310586391
EXD3	1	1	1	1	1	1	1	1	0
EXO1	1	0	0	1	0	1	0.5	0.5	0.577350269189626
EXO5	11	2	4	9	2	11	6.5	6.5	4.20317340430616
EXOC1	54	37	38	47	37	54	42.5	44	8.04155872120988
EXOC2	30	10	15	12	10	30	13.5	16.75	9.06917857360853
EXOC3	21	10	15	20	10	21	17.5	16.5	5.06622805119022
EXOC3L1	0	0	0	0	0	0	0	0	0
EXOC3L2	0	0	2	0	0	2	0	0.5	1
EXOC3L4	0	0	0	0	0	0	0	0	0
EXOC4	51	46	51	39	39	51	48.5	46.75	5.67890834580027
EXOC5	52	22	27	42	22	52	34.5	35.75	13.7689263682153
EXOC6	16	13	10	12	10	16	12.5	12.75	2.5
EXOC6B	7	8	5	8	5	8	7.5	7	1.4142135623731
EXOC7	19	17	15	28	15	28	18	19.75	5.7373048260195
EXOC8	13	1	6	14	1	14	9.5	8.5	6.13731754650732
EXOG	12	3	5	4	3	12	4.5	6	4.08248290463863
EXOSC1	182	176	176	201	176	201	179	183.75	11.842719282327
EXOSC10	58	40	43	55	40	58	49	49	8.83176086632785
EXOSC2	23	10	13	21	10	23	17	16.75	6.23832242407097
EXOSC3	17	22	16	15	15	22	16.5	17.5	3.1091263510296
EXOSC4	10	9	10	10	9	10	10	9.75	0.5
EXOSC5	47	39	21	38	21	47	38.5	36.25	10.9354164682162
EXOSC6	19	6	9	16	6	19	12.5	12.5	6.02771377334171
EXOSC7	100	87	74	76	74	100	81.5	84.25	11.9547758936195
EXOSC8	129	108	118	120	108	129	119	118.75	8.61684396980704
EXOSC9	36	36	38	26	26	38	36	34	5.41602560309064
EXPH5	20	5	7	5	5	20	6	9.25	7.22841614740048
EXT1	123	73	103	75	73	123	89	93.5	23.9652526240249
EXT2	34	19	47	29	19	47	31.5	32.25	11.6440256498057
EXTL1	0	0	0	1	0	1	0	0.25	0.5
EXTL2	47	50	34	32	32	50	40.5	40.75	9.06917857360853
EXTL3	9	1	4	8	1	9	6	5.5	3.69684550213647
EYA1	0	0	0	0	0	0	0	0	0
EYA2	0	1	0	0	0	1	0	0.25	0.5
EYA3	30	10	20	17	10	30	18.5	19.25	8.30160627027485
EYA4	21	4	16	7	4	21	11.5	12	7.87400787401181
EYS	2	0	0	0	0	2	0	0.5	1
EZH1	47	23	20	36	20	47	29.5	31.5	12.4498995979887
EZH2	7	4	8	11	4	11	7.5	7.5	2.88675134594813
EZR	49	30	22	31	22	49	30.5	33	11.4017542509914
EZR-AS1	0	0	0	0	0	0	0	0	0
F10	1	1	1	1	1	1	1	1	0
F11R	33	37	49	28	28	49	35	36.75	8.95823643358446
F12	2	0	0	0	0	2	0	0.5	1
F13A1	0	0	0	0	0	0	0	0	0
F2R	53	31	28	37	28	53	34	37.25	11.146748404804
F2RL1	7	2	1	4	1	7	3	3.5	2.64575131106459
F2RL2	13	18	16	9	9	18	14.5	14	3.91578004149024
F2RL3	1	0	0	0	0	1	0	0.25	0.5
F3	11	5	2	8	2	11	6.5	6.5	3.87298334620742
F5	2	0	1	2	0	2	1.5	1.25	0.957427107756338
F7	0	0	0	0	0	0	0	0	0
F8	10	7	5	3	3	10	6	6.25	2.98607881119482
F8A1	19	5	7	6	5	19	6.5	9.25	6.55108133567785
FAAH	0	0	0	0	0	0	0	0	0
FAAH2	0	0	0	0	0	0	0	0	0
FABP2	0	0	0	0	0	0	0	0	0
FABP3	31	15	7	10	7	31	12.5	15.75	10.688779163216
FABP4	0	17	0	0	0	17	0	4.25	8.5
FABP5	35	39	35	34	34	39	35	35.75	2.21735578260835
FABP5P3	0	0	0	0	0	0	0	0	0
FABP6	0	0	0	0	0	0	0	0	0
FABP7	0	0	0	1	0	1	0	0.25	0.5
FADD	1	1	3	5	1	5	2	2.5	1.91485421551268
FADS1	48	11	24	17	11	48	20.5	25	16.2275485928508
FADS2	1	3	10	4	1	10	3.5	4.5	3.87298334620742
FADS3	4	3	0	14	0	14	3.5	5.25	6.07590871118606
FADS6	4	0	5	4	0	5	4	3.25	2.21735578260835
FAF1	30	16	13	16	13	30	16	18.75	7.63216876123687
FAF2	148	89	128	128	89	148	128	123.25	24.7032386540712
FAH	4	13	10	10	4	13	10	9.25	3.77491721763537
FAHD1	34	17	14	31	14	34	24	24	9.9666109251507
FAHD2A	12	4	5	4	4	12	4.5	6.25	3.86221007541882
FAHD2B	1	2	1	4	1	4	1.5	2	1.4142135623731
FAHD2CP	1	3	2	5	1	5	2.5	2.75	1.70782512765993
FAIM	21	17	14	25	14	25	19	19.25	4.78713553878169
FAIM2	1	0	0	0	0	1	0	0.25	0.5
FAIM3	0	0	0	0	0	0	0	0	0
FAM101B	7	7	6	5	5	7	6.5	6.25	0.957427107756338
FAM102A	26	11	12	12	11	26	12	15.25	7.18215380880508
FAM102B	14	2	4	2	2	14	3	5.5	5.74456264653803
FAM103A1	88	71	73	84	71	88	78.5	79	8.28653526310404
FAM104A	28	14	10	17	10	28	15.5	17.25	7.71902411793961
FAM104B	46	56	65	45	45	65	51	53	9.41629792788369
FAM105A	0	0	0	1	0	1	0	0.25	0.5
FAM105B	17	8	7	16	7	17	12	12	5.22812904711937
FAM106A	0	0	0	0	0	0	0	0	0
FAM106CP	0	0	0	0	0	0	0	0	0
FAM107A	0	0	0	0	0	0	0	0	0
FAM107B	28	5	6	10	5	28	8	12.25	10.719919153924
FAM109A	3	0	0	3	0	3	1.5	1.5	1.73205080756888
FAM109B	1	1	2	2	1	2	1.5	1.5	0.577350269189626
FAM110A	0	0	0	0	0	0	0	0	0
FAM110B	29	10	11	30	10	30	20	20	10.9848380355227
FAM110C	2	4	1	0	0	4	1.5	1.75	1.70782512765993
FAM110D	0	0	0	0	0	0	0	0	0
FAM111A	54	43	42	45	42	54	44	46	5.47722557505166
FAM111B	0	0	0	1	0	1	0	0.25	0.5
FAM114A1	481	302	294	411	294	481	356.5	372	90.1591185996551
FAM114A2	40	25	38	39	25	40	38.5	35.5	7.04745817062199
FAM115A	120	41	63	80	41	120	71.5	76	33.3966066140459
FAM115C	10	0	4	4	0	10	4	4.5	4.12310562561766
FAM117A	12	3	4	12	3	12	8	7.75	4.92442890089805
FAM117B	16	7	10	10	7	16	10	10.75	3.77491721763537
FAM118A	19	5	5	14	5	19	9.5	10.75	6.9462219947249
FAM118B	37	34	30	28	28	37	32	32.25	4.03112887414927
FAM120A	89	27	36	62	27	89	49	53.5	27.9344470740577
FAM120AOS	21	12	7	15	7	21	13.5	13.75	5.85234995535981
FAM120B	11	9	8	22	8	22	10	12.5	6.45497224367903
FAM120C	13	6	9	7	6	13	8	8.75	3.09569593683445
FAM122A	13	10	12	9	9	13	11	11	1.82574185835055
FAM122B	9	5	6	3	3	9	5.5	5.75	2.5
FAM122C	6	8	2	7	2	8	6.5	5.75	2.62995563967658
FAM124A	11	0	6	8	0	11	7	6.25	4.64578662158878
FAM124B	0	0	0	0	0	0	0	0	0
FAM126A	66	54	58	46	46	66	56	56	8.32666399786453
FAM126B	26	8	13	15	8	26	14	15.5	7.59385716659634
FAM127A	67	69	65	69	65	69	68	67.5	1.91485421551268
FAM127B	37	50	34	41	34	50	39	40.5	6.95221787153807
FAM127C	8	9	7	6	6	9	7.5	7.5	1.29099444873581
FAM129A	274	172	232	215	172	274	223.5	223.25	42.2167028556234
FAM129B	7	2	3	7	2	7	5	4.75	2.62995563967658
FAM129C	1	0	0	0	0	1	0	0.25	0.5
FAM131A	16	1	7	5	1	16	6	7.25	6.34428877022476
FAM131B	0	1	0	0	0	1	0	0.25	0.5
FAM131C	0	0	0	1	0	1	0	0.25	0.5
FAM132A	1	0	0	0	0	1	0	0.25	0.5
FAM133A	2	1	1	1	1	2	1	1.25	0.5
FAM133B	13	6	3	6	3	13	6	7	4.24264068711928
FAM133CP	2	2	0	0	0	2	1	1	1.15470053837925
FAM133DP	0	0	0	0	0	0	0	0	0
FAM134A	59	18	33	37	18	59	35	36.75	16.9386146619689
FAM134B	20	5	12	13	5	20	12.5	12.5	6.13731754650732
FAM134C	16	5	11	13	5	16	12	11.25	4.64578662158878
FAM135A	7	4	5	4	4	7	4.5	5	1.4142135623731
FAM136A	89	66	65	75	65	89	70.5	73.75	11.1168040971015
FAM138A	0	0	0	0	0	0	0	0	0
FAM138B	0	0	0	1	0	1	0	0.25	0.5
FAM138C	0	0	0	0	0	0	0	0	0
FAM138D	0	0	0	0	0	0	0	0	0
FAM138E	0	0	0	0	0	0	0	0	0
FAM138F	0	0	1	0	0	1	0	0.25	0.5
FAM13A	40	13	9	43	9	43	26.5	26.25	17.7270979012358
FAM13A-AS1	0	0	0	0	0	0	0	0	0
FAM13B	39	13	14	31	13	39	22.5	24.25	12.8419884233972
FAM13C	35	28	21	22	21	35	25	26.5	6.45497224367903
FAM149A	3	1	2	5	1	5	2.5	2.75	1.70782512765993
FAM149B1	13	10	6	4	4	13	8	8.25	4.03112887414927
FAM150A	1	0	0	0	0	1	0	0.25	0.5
FAM150B	0	0	0	1	0	1	0	0.25	0.5
FAM151B	6	6	8	4	4	8	6	6	1.63299316185545
FAM153C	13	7	4	7	4	13	7	7.75	3.77491721763537
FAM154A	0	1	0	1	0	1	0.5	0.5	0.577350269189626
FAM154B	0	0	1	0	0	1	0	0.25	0.5
FAM155A	1	1	0	1	0	1	1	0.75	0.5
FAM156A	0	0	0	0	0	0	0	0	0
FAM159A	0	0	0	0	0	0	0	0	0
FAM159B	0	0	0	0	0	0	0	0	0
FAM160A2	5	0	2	12	0	12	3.5	4.75	5.25198375219624
FAM160B1	65	25	25	40	25	65	32.5	38.75	18.8745860881769
FAM160B2	11	1	3	5	1	11	4	5	4.32049379893857
FAM161A	34	10	16	25	10	34	20.5	21.25	10.5
FAM161B	8	3	1	3	1	8	3	3.75	2.98607881119482
FAM162A	300	388	291	290	290	388	295.5	317.25	47.3805515656653
FAM162B	2	9	5	6	2	9	5.5	5.5	2.88675134594813
FAM166B	0	0	0	0	0	0	0	0	0
FAM167A	2	1	1	2	1	2	1.5	1.5	0.577350269189626
FAM167B	0	0	0	0	0	0	0	0	0
FAM168A	0	0	1	1	0	1	0.5	0.5	0.577350269189626
FAM168B	61	8	16	39	8	61	27.5	31	23.9304547943968
FAM169A	1	0	1	0	0	1	0.5	0.5	0.577350269189626
