Gene	SUN+URS.A.6.19.1.D9	SUN+URS.A.6.20.1.D10	SUN+URS.A.6.21.1.D11	Min	Max	Median	Mean	Std
DNAJC1	28	9	24	9	28	24	20.3333333333333	10.0166528008778
DNAJC10	167	56	120	56	167	120	114.333333333333	55.7165445207555
DNAJC11	7	5	3	3	7	5	5	2
DNAJC12	19	7	14	7	19	14	13.3333333333333	6.02771377334171
DNAJC13	32	16	19	16	32	19	22.3333333333333	8.50490054811538
DNAJC14	31	13	20	13	31	20	21.3333333333333	9.07377172587747
DNAJC15	353	171	369	171	369	353	297.666666666667	109.98787811997
DNAJC16	31	8	15	8	31	15	18	11.7898261225516
DNAJC17	3	1	3	1	3	3	2.33333333333333	1.15470053837925
DNAJC18	31	18	20	18	31	20	23	7
DNAJC19	210	113	214	113	214	210	179	57.1926568713152
DNAJC2	69	21	38	21	69	38	42.6666666666667	24.3378991150291
DNAJC21	54	24	41	24	54	41	39.6666666666667	15.0443787951957
DNAJC22	5	3	2	2	5	3	3.33333333333333	1.52752523165195
DNAJC24	61	17	37	17	61	37	38.3333333333333	22.0302821891444
DNAJC25	17	5	16	5	17	16	12.6666666666667	6.65832811847939
DNAJC27	5	3	2	2	5	3	3.33333333333333	1.52752523165195
DNAJC27-AS1	5	2	7	2	7	5	4.66666666666667	2.51661147842358
DNAJC28	6	2	14	2	14	6	7.33333333333333	6.11010092660779
DNAJC3	280	110	206	110	280	206	198.666666666667	85.2369247059825
DNAJC30	8	5	7	5	8	7	6.66666666666667	1.52752523165195
DNAJC4	8	2	8	2	8	8	6	3.46410161513775
DNAJC5	16	7	7	7	16	7	10	5.19615242270663
DNAJC5G	0	0	1	0	1	0	0.333333333333333	0.577350269189626
DNAJC6	5	2	3	2	5	3	3.33333333333333	1.52752523165195
DNAJC7	114	56	108	56	114	108	92.6666666666667	31.8956632370818
DNAJC8	561	252	507	252	561	507	440	165.036359630234
DNAJC9	17	5	10	5	17	10	10.6666666666667	6.02771377334171
DNAJC9-AS1	2	0	2	0	2	2	1.33333333333333	1.15470053837925
DNAL1	84	34	61	34	84	61	59.6666666666667	25.0266524595946
DNAL4	1	0	2	0	2	1	1	1
DNALI1	15	3	9	3	15	9	9	6
DNASE1	13	6	9	6	13	9	9.33333333333333	3.51188458428425
DNASE1L1	4	2	2	2	4	2	2.66666666666667	1.15470053837925
DNASE1L2	0	0	0	0	0	0	0	0
DNASE1L3	0	0	0	0	0	0	0	0
DNASE2	77	43	59	43	77	59	59.6666666666667	17.0098010962308
DNASE2B	0	0	0	0	0	0	0	0
DND1	0	0	0	0	0	0	0	0
DNER	0	0	0	0	0	0	0	0
DNHD1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
DNLZ	6	2	0	0	6	2	2.66666666666667	3.05505046330389
DNM1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
DNM1L	54	31	56	31	56	54	47	13.8924439894498
DNM1P35	0	0	0	0	0	0	0	0
DNM1P41	0	0	0	0	0	0	0	0
DNM1P46	0	0	2	0	2	0	0.666666666666667	1.15470053837925
DNM2	11	1	9	1	11	9	7	5.29150262212918
DNM3	0	0	0	0	0	0	0	0
DNM3OS	112	45	89	45	112	89	82	34.0440890610984
DNMBP	6	3	3	3	6	3	4	1.73205080756888
DNMBP-AS1	4	2	5	2	5	4	3.66666666666667	1.52752523165195
DNMT1	22	8	17	8	22	17	15.6666666666667	7.09459888459759
DNMT3A	3	2	3	2	3	3	2.66666666666667	0.577350269189626
DNMT3B	1	0	1	0	1	1	0.666666666666667	0.577350269189626
DNPEP	106	31	81	31	106	81	72.6666666666667	38.1881307912987
DNPH1	29	13	14	13	29	14	18.6666666666667	8.9628864398325
DNTTIP1	19	8	13	8	19	13	13.3333333333333	5.5075705472861
DNTTIP2	167	83	140	83	167	140	130	42.8835632847831
DOC2A	0	0	0	0	0	0	0	0
DOC2B	0	0	0	0	0	0	0	0
DOCK1	47	17	39	17	47	39	34.3333333333333	15.5349069303081
DOCK10	1	1	3	1	3	1	1.66666666666667	1.15470053837925
DOCK11	6	6	12	6	12	6	8	3.46410161513775
DOCK2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DOCK3	0	1	2	0	2	1	1	1
DOCK4	2	0	2	0	2	2	1.33333333333333	1.15470053837925
DOCK5	13	5	12	5	13	12	10	4.35889894354067
DOCK6	4	0	1	0	4	1	1.66666666666667	2.08166599946613
DOCK7	43	18	30	18	43	30	30.3333333333333	12.5033328890074
DOCK8	0	0	0	0	0	0	0	0
DOCK9	7	0	3	0	7	3	3.33333333333333	3.51188458428425
DOHH	3	0	0	0	3	0	1	1.73205080756888
DOK1	7	5	5	5	7	5	5.66666666666667	1.15470053837925
DOK3	0	0	0	0	0	0	0	0
DOK4	2	2	4	2	4	2	2.66666666666667	1.15470053837925
DOK5	25	17	27	17	27	25	23	5.29150262212918
DOK6	0	0	0	0	0	0	0	0
DOK7	0	0	0	0	0	0	0	0
DOLK	12	10	9	9	12	10	10.3333333333333	1.52752523165195
DOLPP1	10	6	6	6	10	6	7.33333333333333	2.3094010767585
DOM3Z	4	1	6	1	6	4	3.66666666666667	2.51661147842358
DONSON	4	3	3	3	4	3	3.33333333333333	0.577350269189626
DOPEY1	6	11	13	6	13	11	10	3.60555127546399
DOPEY2	4	0	8	0	8	4	4	4
DOT1L	3	0	1	0	3	1	1.33333333333333	1.52752523165195
DPAGT1	80	46	72	46	80	72	66	17.7763888346312
DPCD	161	66	130	66	161	130	119	48.4458460551573
DPEP1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DPF1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
DPF2	37	23	41	23	41	37	33.6666666666667	9.45163125250522
DPF3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
DPH1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
DPH2	12	5	9	5	12	9	8.66666666666667	3.51188458428425
DPH3	140	75	148	75	148	140	121	40.0374824383352
DPH3P1	3	0	0	0	3	0	1	1.73205080756888
DPH5	68	22	52	22	68	52	47.3333333333333	23.3523731841827
DPH6	19	7	22	7	22	19	16	7.93725393319377
DPH6-AS1	0	0	0	0	0	0	0	0
DPH7	3	5	7	3	7	5	5	2
DPM1	201	115	155	115	201	155	157	43.0348695827
DPM2	20	7	13	7	20	13	13.3333333333333	6.50640709864771
DPM3	45	16	39	16	45	39	33.3333333333333	15.3079500042734
DPP3	21	9	14	9	21	14	14.6666666666667	6.02771377334171
DPP4	177	83	159	83	177	159	139.666666666667	49.8932193121804
DPP7	5	4	10	4	10	5	6.33333333333333	3.21455025366432
DPP8	29	23	26	23	29	26	26	3
DPP9	29	8	7	7	29	8	14.6666666666667	12.4230967690561
DPPA2	0	0	0	0	0	0	0	0
DPPA3	0	0	0	0	0	0	0	0
DPPA4	4	4	3	3	4	4	3.66666666666667	0.577350269189626
DPRXP4	0	0	0	0	0	0	0	0
DPT	62	23	43	23	62	43	42.6666666666667	19.5021366350801
DPY19L1	18	14	20	14	20	18	17.3333333333333	3.05505046330389
DPY19L1P1	2	0	1	0	2	1	1	1
DPY19L2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
DPY19L2P1	0	0	0	0	0	0	0	0
DPY19L2P2	0	0	4	0	4	0	1.33333333333333	2.3094010767585
DPY19L2P3	1	1	0	0	1	1	0.666666666666667	0.577350269189626
DPY19L2P4	0	0	0	0	0	0	0	0
DPY19L3	9	3	15	3	15	9	9	6
DPY19L4	39	18	25	18	39	25	27.3333333333333	10.6926766215636
DPY30	195	105	200	105	200	195	166.666666666667	53.4633831078181
DPYD	41	14	23	14	41	23	26	13.7477270848675
DPYD-AS1	1	0	2	0	2	1	1	1
DPYS	0	0	0	0	0	0	0	0
DPYSL2	719	348	565	348	719	565	544	186.389377379721
DPYSL3	122	73	108	73	122	108	101	25.2388589282479
DPYSL4	2	1	3	1	3	2	2	1
DPYSL5	9	0	3	0	9	3	4	4.58257569495584
DQX1	0	0	0	0	0	0	0	0
DR1	31	16	22	16	31	22	23	7.54983443527075
DRAM1	44	21	47	21	47	44	37.3333333333333	14.2243921955679
DRAM2	87	42	62	42	87	62	63.6666666666667	22.5462487641145
DRAP1	21	11	14	11	21	14	15.3333333333333	5.13160143944688
DRAXIN	0	0	0	0	0	0	0	0
DRC1	0	0	0	0	0	0	0	0
DRD1	0	0	0	0	0	0	0	0
DRD4	0	0	0	0	0	0	0	0
DRD5	0	0	1	0	1	0	0.333333333333333	0.577350269189626
DRG1	169	83	156	83	169	156	136	46.357307945997
DRG2	42	25	29	25	42	29	32	8.88819441731559
DROSHA	19	10	11	10	19	11	13.3333333333333	4.93288286231625
DRP2	0	1	1	0	1	1	0.666666666666667	0.577350269189626
DSC1	2	0	1	0	2	1	1	1
DSC2	0	0	0	0	0	0	0	0
DSC3	5	6	5	5	6	5	5.33333333333333	0.577350269189626
DSCAM-AS1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DSCC1	2	0	1	0	2	1	1	1
DSCR3	62	24	44	24	62	44	43.3333333333333	19.0087699058443
DSCR8	0	1	0	0	1	0	0.333333333333333	0.577350269189626
DSCR9	0	0	0	0	0	0	0	0
DSE	43	43	56	43	56	43	47.3333333333333	7.50555349946513
DSEL	102	52	100	52	102	100	84.6666666666667	28.3078316607495
DSG2	2	1	1	1	2	1	1.33333333333333	0.577350269189626
DSG3	12	9	11	9	12	11	10.6666666666667	1.52752523165195
DSN1	10	6	5	5	10	6	7	2.64575131106459
DSP	53	36	36	36	53	36	41.6666666666667	9.81495457622364
DST	294	159	206	159	294	206	219.666666666667	68.5297988712453
DSTN	1686	738	1625	738	1686	1625	1349.66666666667	530.596205539894
DSTNP2	4	2	3	2	4	3	3	1
DSTYK	25	17	18	17	25	18	20	4.35889894354067
DTD1	65	26	73	26	73	65	54.6666666666667	25.1462389500564
DTD2	23	8	19	8	23	19	16.6666666666667	7.76745346515403
DTL	0	0	0	0	0	0	0	0
DTNA	8	5	5	5	8	5	6	1.73205080756888
DTNB	1	1	0	0	1	1	0.666666666666667	0.577350269189626
DTNBP1	11	2	12	2	12	11	8.33333333333333	5.5075705472861
DTWD1	164	73	146	73	164	146	127.666666666667	48.1905938263198
DTWD2	23	9	10	9	23	10	14	7.81024967590665
DTX1	0	0	0	0	0	0	0	0
DTX2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
DTX2P1-UPK3BP1-PMS2P11	0	0	0	0	0	0	0	0
DTX3	8	2	5	2	8	5	5	3
DTX3L	16	9	8	8	16	9	11	4.35889894354067
DTX4	4	1	1	1	4	1	2	1.73205080756888
DTYMK	13	6	11	6	13	11	10	3.60555127546399
DUOX1	0	0	0	0	0	0	0	0
DUOXA1	0	0	0	0	0	0	0	0
DUS1L	2	2	4	2	4	2	2.66666666666667	1.15470053837925
DUS2L	4	2	3	2	4	3	3	1
DUS3L	2	0	10	0	10	2	4	5.29150262212918
DUS4L	4	0	3	0	4	3	2.33333333333333	2.08166599946613
DUSP1	15	7	19	7	19	15	13.6666666666667	6.11010092660779
DUSP10	15	7	14	7	15	14	12	4.35889894354067
DUSP11	128	34	115	34	128	115	92.3333333333333	50.9345985881241
DUSP12	19	11	16	11	19	16	15.3333333333333	4.04145188432738
DUSP14	63	34	71	34	71	63	56	19.4679223339318
DUSP15	0	0	0	0	0	0	0	0
DUSP16	7	1	3	1	7	3	3.66666666666667	3.05505046330389
DUSP18	2	4	0	0	4	2	2	2
DUSP19	12	6	10	6	12	10	9.33333333333333	3.05505046330389
DUSP2	0	0	0	0	0	0	0	0
DUSP22	33	12	36	12	36	33	27	13.076696830622
DUSP23	18	12	18	12	18	18	16	3.46410161513775
DUSP26	0	0	0	0	0	0	0	0
DUSP28	3	2	0	0	3	2	1.66666666666667	1.52752523165195
DUSP3	71	33	64	33	71	64	56	20.2237484161567
DUSP4	2	0	2	0	2	2	1.33333333333333	1.15470053837925
DUSP5	1	0	2	0	2	1	1	1
DUSP5P1	0	0	0	0	0	0	0	0
DUSP6	8	7	3	3	8	7	6	2.64575131106459
DUSP7	7	2	3	2	7	3	4	2.64575131106459
DUSP8	0	2	0	0	2	0	0.666666666666667	1.15470053837925
DUT	57	23	49	23	57	49	43	17.7763888346312
DUXA	4	1	4	1	4	4	3	1.73205080756888
DVL1	4	0	3	0	4	3	2.33333333333333	2.08166599946613
DVL2	8	5	3	3	8	5	5.33333333333333	2.51661147842358
DVL3	18	10	17	10	18	17	15	4.35889894354067
DYDC1	1	0	3	0	3	1	1.33333333333333	1.52752523165195
DYDC2	0	0	0	0	0	0	0	0
DYM	18	15	13	13	18	15	15.3333333333333	2.51661147842358
DYNAP	0	0	0	0	0	0	0	0
DYNC1H1	202	111	161	111	202	161	158	45.5741154604234
DYNC1I1	2	2	2	2	2	2	2	0
DYNC1I2	308	140	242	140	308	242	230	84.6404158779953
DYNC1LI1	46	19	39	19	46	39	34.6666666666667	14.0118997046558
DYNC1LI2	207	99	140	99	207	140	148.666666666667	54.5191097995312
DYNC2H1	38	19	35	19	38	35	30.6666666666667	10.2143689640297
DYNC2LI1	38	25	51	25	51	38	38	13
DYNLL1	2487	1078	2194	1078	2487	2194	1919.66666666667	743.481225945439
DYNLL1-AS1	21	8	10	8	21	10	13	7
DYNLL2	3	2	3	2	3	3	2.66666666666667	0.577350269189626
DYNLRB1	604	258	510	258	604	510	457.333333333333	178.911523757787
DYNLRB2	5	1	6	1	6	5	4	2.64575131106459
DYNLT1	1000	381	906	381	1000	906	762.333333333333	333.572081165875
DYNLT3	446	206	433	206	446	433	361.666666666667	134.967897417621
DYRK1A	21	10	14	10	21	14	15	5.56776436283002
DYRK1B	0	0	0	0	0	0	0	0
DYRK2	17	15	16	15	17	16	16	1
DYRK3	5	1	6	1	6	5	4	2.64575131106459
DYRK4	101	39	92	39	101	92	77.3333333333333	33.501243758006
DYSF	15	8	5	5	15	8	9.33333333333333	5.13160143944688
DYX1C1	12	2	2	2	12	2	5.33333333333333	5.77350269189626
DZANK1	3	2	8	2	8	3	4.33333333333333	3.21455025366432
DZIP1	35	15	35	15	35	35	28.3333333333333	11.5470053837925
DZIP1L	13	4	6	4	13	6	7.66666666666667	4.72581562625261
DZIP3	20	2	22	2	22	20	14.6666666666667	11.0151410945722
E2F1	0	0	0	0	0	0	0	0
E2F2	2	0	4	0	4	2	2	2
E2F3	9	5	8	5	9	8	7.33333333333333	2.08166599946613
E2F4	15	5	6	5	15	6	8.66666666666667	5.5075705472861
E2F5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
E2F6	2	9	6	2	9	6	5.66666666666667	3.51188458428425
E2F7	9	2	7	2	9	7	6	3.60555127546399
E2F8	0	0	0	0	0	0	0	0
E4F1	0	2	2	0	2	2	1.33333333333333	1.15470053837925
EAF1	12	11	13	11	13	12	12	1
EAF2	9	1	6	1	9	6	5.33333333333333	4.04145188432738
EAPP	254	142	198	142	254	198	198	56
EARS2	6	2	8	2	8	6	5.33333333333333	3.05505046330389
EBAG9	42	19	31	19	42	31	30.6666666666667	11.5036226178249
EBF1	6	2	5	2	6	5	4.33333333333333	2.08166599946613
EBF2	1	7	4	1	7	4	4	3
EBF3	8	8	8	8	8	8	8	0
EBF4	0	0	0	0	0	0	0	0
EBI3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
EBLN2	1	2	2	1	2	2	1.66666666666667	0.577350269189626
EBNA1BP2	86	38	73	38	86	73	65.6666666666667	24.8260615751539
EBP	39	22	17	17	39	22	26	11.5325625946708
EBPL	11	8	8	8	11	8	9	1.73205080756888
ECD	35	22	32	22	35	32	29.6666666666667	6.80685928555405
ECE1	32	23	33	23	33	32	29.3333333333333	5.5075705472861
ECE2	22	7	20	7	22	20	16.3333333333333	8.14452781524708
ECEL1	0	0	0	0	0	0	0	0
ECEL1P2	0	0	0	0	0	0	0	0
ECH1	475	243	420	243	475	420	379.333333333333	121.228434508301
ECHDC1	137	61	95	61	137	95	97.6666666666667	38.070110760718
ECHDC2	19	7	3	3	19	7	9.66666666666667	8.32666399786453
ECHDC3	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ECHS1	133	61	116	61	133	116	103.333333333333	37.6342043005207
ECI1	33	16	32	16	33	32	27	9.53939201416946
ECI2	181	80	150	80	181	150	137	51.7397332811061
ECM1	7	8	9	7	9	8	8	1
ECM2	95	52	80	52	95	80	75.6666666666667	21.8250620464945
ECSCR	4	0	1	0	4	1	1.66666666666667	2.08166599946613
ECSIT	5	4	9	4	9	5	6	2.64575131106459
ECT2	10	6	6	6	10	6	7.33333333333333	2.3094010767585
ECT2L	3	0	3	0	3	3	2	1.73205080756888
EDA	0	0	3	0	3	0	1	1.73205080756888
EDA2R	37	19	33	19	37	33	29.6666666666667	9.45163125250522
EDAR	0	0	0	0	0	0	0	0
EDARADD	0	0	0	0	0	0	0	0
EDC3	20	11	16	11	20	16	15.6666666666667	4.50924975282289
EDC4	5	2	3	2	5	3	3.33333333333333	1.52752523165195
EDEM1	56	25	49	25	56	49	43.3333333333333	16.2583311976763
EDEM2	66	43	73	43	73	66	60.6666666666667	15.6950098226581
EDEM3	48	19	38	19	48	38	35	14.7309198626562
EDF1	549	215	470	215	549	470	411.333333333333	174.557535882394
EDIL3	3	1	8	1	8	3	4	3.60555127546399
EDN1	95	40	98	40	98	95	77.6666666666667	32.654759734736
EDN2	0	0	0	0	0	0	0	0
EDNRA	6	3	1	1	6	3	3.33333333333333	2.51661147842358
EDNRB	0	0	0	0	0	0	0	0
EEA1	152	81	106	81	152	106	113	36.0138862107382
EED	28	15	36	15	36	28	26.3333333333333	10.5987420637231
EEF1A1	36695	17051	32582	17051	36695	32582	28776	10360.3045804648
EEF1A2	2	0	0	0	2	0	0.666666666666667	1.15470053837925
EEF1B2	1580	685	1281	685	1580	1281	1182	455.639111578451
EEF1D	500	269	462	269	500	462	410.333333333333	123.864172920717
EEF1DP3	1	1	0	0	1	1	0.666666666666667	0.577350269189626
EEF1E1	107	45	93	45	107	93	81.6666666666667	32.5166623953525
EEF1E1-MUTED	0	0	1	0	1	0	0.333333333333333	0.577350269189626
EEF1G	4526	2077	3749	2077	4526	3749	3450.66666666667	1251.46008059919
EEF2	627	244	605	244	627	605	492	215.055806710723
EEF2K	31	6	20	6	31	20	19	12.5299640861417
EEFSEC	3	2	4	2	4	3	3	1
EEPD1	1	2	0	0	2	1	1	1
EFCAB1	0	0	0	0	0	0	0	0
EFCAB10	0	0	0	0	0	0	0	0
EFCAB11	17	4	13	4	17	13	11.3333333333333	6.65832811847939
EFCAB12	0	0	0	0	0	0	0	0
EFCAB13	2	0	1	0	2	1	1	1
EFCAB14	70	42	51	42	70	51	54.3333333333333	14.2945210949277
EFCAB14-AS1	0	0	0	0	0	0	0	0
EFCAB2	28	8	13	8	28	13	16.3333333333333	10.4083299973307
EFCAB3	4	3	4	3	4	4	3.66666666666667	0.577350269189626
EFCAB4A	1	0	1	0	1	1	0.666666666666667	0.577350269189626
EFCAB4B	0	0	0	0	0	0	0	0
EFCAB5	0	0	2	0	2	0	0.666666666666667	1.15470053837925
EFCAB6	4	2	1	1	4	2	2.33333333333333	1.52752523165195
EFCAB6-AS1	0	0	0	0	0	0	0	0
EFCAB7	9	18	21	9	21	18	16	6.2449979983984
EFCAB9	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EFEMP1	2535	1283	2151	1283	2535	2151	1989.66666666667	641.402629658885
EFEMP2	76	38	63	38	76	63	59	19.313207915828
EFHB	0	0	0	0	0	0	0	0
EFHC1	32	18	42	18	42	32	30.6666666666667	12.0554275466834
EFHC2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
EFHD1	42	27	51	27	51	42	40	12.1243556529821
EFHD2	2	0	3	0	3	2	1.66666666666667	1.52752523165195
EFNA1	1	2	2	1	2	2	1.66666666666667	0.577350269189626
EFNA2	0	0	0	0	0	0	0	0
EFNA3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EFNA4	3	4	3	3	4	3	3.33333333333333	0.577350269189626
EFNA5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EFNB1	13	7	4	4	13	7	8	4.58257569495584
EFNB2	6	9	11	6	11	9	8.66666666666667	2.51661147842358
EFNB3	2	0	2	0	2	2	1.33333333333333	1.15470053837925
EFR3A	39	22	29	22	39	29	30	8.54400374531753
EFR3B	8	1	3	1	8	3	4	3.60555127546399
EFS	0	0	0	0	0	0	0	0
EFTUD1	19	10	25	10	25	19	18	7.54983443527075
EFTUD1P1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
EFTUD2	43	21	46	21	46	43	36.6666666666667	13.6503968196288
EGF	0	0	0	0	0	0	0	0
EGFEM1P	3	2	0	0	3	2	1.66666666666667	1.52752523165195
EGFL6	6	6	10	6	10	6	7.33333333333333	2.3094010767585
EGFL7	4	5	18	4	18	5	9	7.81024967590665
EGFLAM	3	3	5	3	5	3	3.66666666666667	1.15470053837925
EGFLAM-AS2	0	0	0	0	0	0	0	0
EGFLAM-AS4	2	1	1	1	2	1	1.33333333333333	0.577350269189626
EGFR	15	8	14	8	15	14	12.3333333333333	3.78593889720018
EGLN1	31	22	27	22	31	27	26.6666666666667	4.50924975282289
EGLN3	15	3	11	3	15	11	9.66666666666667	6.11010092660779
EGOT	0	0	1	0	1	0	0.333333333333333	0.577350269189626
EGR1	14	8	17	8	17	14	13	4.58257569495584
EGR2	12	6	11	6	12	11	9.66666666666667	3.21455025366432
EGR3	2	2	3	2	3	2	2.33333333333333	0.577350269189626
EHBP1	66	36	44	36	66	44	48.6666666666667	15.5349069303081
EHBP1L1	5	3	2	2	5	3	3.33333333333333	1.52752523165195
EHD1	12	4	10	4	12	10	8.66666666666667	4.16333199893227
EHD2	97	56	88	56	97	88	80.3333333333333	21.548395145192
EHD3	14	7	12	7	14	12	11	3.60555127546399
EHD4	4	5	4	4	5	4	4.33333333333333	0.577350269189626
EHF	0	0	0	0	0	0	0	0
EHHADH	6	8	4	4	8	6	6	2
EHHADH-AS1	0	0	0	0	0	0	0	0
EHMT1	27	15	29	15	29	27	23.6666666666667	7.57187779440036
EHMT1-IT1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EHMT2	4	3	8	3	8	4	5	2.64575131106459
EI24	64	41	69	41	69	64	58	14.9331845230681
EID1	235	141	218	141	235	218	198	50.0899191454728
EID2	6	3	1	1	6	3	3.33333333333333	2.51661147842358
EID2B	3	0	4	0	4	3	2.33333333333333	2.08166599946613
EID3	3	1	0	0	3	1	1.33333333333333	1.52752523165195
EIF1	2624	1230	2249	1230	2624	2249	2034.33333333333	721.36698935655
EIF1AD	35	17	37	17	37	35	29.6666666666667	11.0151410945722
EIF1AX	116	37	103	37	116	103	85.3333333333333	42.359571921035
EIF1AY	159	66	145	66	159	145	123.333333333333	50.1431284757277
EIF1B	353	159	316	159	353	316	276	103
EIF1B-AS1	1	2	1	1	2	1	1.33333333333333	0.577350269189626
EIF2A	223	132	191	132	223	191	182	46.1627555503352
EIF2AK1	41	19	36	19	41	36	32	11.5325625946708
EIF2AK2	54	39	64	39	64	54	52.3333333333333	12.5830573921179
EIF2AK3	17	10	11	10	17	11	12.6666666666667	3.78593889720018
EIF2AK4	71	36	56	36	71	56	54.3333333333333	17.5594229214212
EIF2B1	20	17	30	17	30	20	22.3333333333333	6.80685928555405
EIF2B2	15	6	7	6	15	7	9.33333333333333	4.93288286231625
EIF2B3	64	29	58	29	64	58	50.3333333333333	18.7171935218219
EIF2B4	22	8	18	8	22	18	16	7.21110255092798
EIF2B5	18	9	11	9	18	11	12.6666666666667	4.72581562625261
EIF2D	70	43	64	43	70	64	59	14.1774468787578
EIF2S1	195	87	181	87	195	181	154.333333333333	58.7310253046321
EIF2S2	355	167	298	167	355	298	273.333333333333	96.3967495994203
EIF2S3	373	202	341	202	373	341	305.333333333333	90.9083787850896
EIF3A	332	129	253	129	332	253	238	102.327904307672
EIF3B	60	38	59	38	60	59	52.3333333333333	12.4230967690561
EIF3C	8	3	6	3	8	6	5.66666666666667	2.51661147842358
EIF3D	317	162	327	162	327	317	268.666666666667	92.5112605758528
EIF3E	1091	483	926	483	1091	926	833.333333333333	314.414270244423
EIF3F	152	82	156	82	156	152	130	41.6173040933696
EIF3G	140	67	151	67	151	140	119.333333333333	45.6544995956952
EIF3H	1275	620	1162	620	1275	1162	1019	350.132831936681
EIF3I	436	181	361	181	436	361	326	131.053424220812
EIF3J	59	29	58	29	59	58	48.6666666666667	17.0391705588427
EIF3J-AS1	12	6	7	6	12	7	8.33333333333333	3.21455025366432
EIF3K	620	261	501	261	620	501	460.666666666667	182.86698262216
EIF3L	1264	571	1145	571	1264	1145	993.333333333333	370.559486902351
EIF3M	529	219	433	219	529	433	393.666666666667	158.698876282516
EIF4A1	0	0	0	0	0	0	0	0
EIF4A2	806	344	603	344	806	603	584.333333333333	231.564965686378
EIF4A3	24	7	19	7	24	19	16.6666666666667	8.7368949480541
EIF4B	524	274	442	274	524	442	413.333333333333	127.441489842725
EIF4E	187	72	167	72	187	167	142	61.4410286372225
EIF4E2	218	90	179	90	218	179	162.333333333333	65.6074182797444
EIF4E3	11	2	5	2	11	5	6	4.58257569495584
EIF4EBP1	172	85	168	85	172	168	141.666666666667	49.1155101096724
EIF4EBP2	95	40	70	40	95	70	68.3333333333333	27.5378527364305
EIF4EBP3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
EIF4ENIF1	11	8	11	8	11	11	10	1.73205080756888
EIF4G1	62	30	52	30	62	52	48	16.3707055437449
EIF4G2	355	188	286	188	355	286	276.333333333333	83.9186113644246
EIF4G3	66	44	57	44	66	57	55.6666666666667	11.060440015358
EIF4H	67	30	57	30	67	57	51.3333333333333	19.1398362932741
EIF5	372	179	331	179	372	331	294	101.680873324338
EIF5A	36	18	24	18	36	24	26	9.16515138991168
EIF5A2	51	25	47	25	51	47	41	14
EIF5AL1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EIF5B	198	63	134	63	198	134	131.666666666667	67.5302401397576
EIF6	234	120	225	120	234	225	193	63.3798075099633
ELAC1	7	2	5	2	7	5	4.66666666666667	2.51661147842358
ELAC2	8	5	7	5	8	7	6.66666666666667	1.52752523165195
ELANE	0	0	0	0	0	0	0	0
ELAVL1	22	17	23	17	23	22	20.6666666666667	3.21455025366432
ELAVL2	0	0	0	0	0	0	0	0
ELF1	53	25	30	25	53	30	36	14.9331845230681
ELF2	51	22	41	22	51	41	38	14.7309198626562
ELF3	0	0	0	0	0	0	0	0
ELF4	5	2	4	2	5	4	3.66666666666667	1.52752523165195
ELF5	0	0	0	0	0	0	0	0
ELFN2	0	0	0	0	0	0	0	0
ELK1	6	2	2	2	6	2	3.33333333333333	2.3094010767585
ELK3	5	7	6	5	7	6	6	1
ELK4	35	17	29	17	35	29	27	9.16515138991168
ELL	2	3	1	1	3	2	2	1
ELL2	26	34	25	25	34	26	28.3333333333333	4.93288286231625
ELL3	9	7	6	6	9	7	7.33333333333333	1.52752523165195
ELMO1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ELMO2	29	10	20	10	29	20	19.6666666666667	9.50438495292217
ELMO3	0	0	0	0	0	0	0	0
ELMOD1	3	0	1	0	3	1	1.33333333333333	1.52752523165195
ELMOD2	38	18	43	18	43	38	33	13.228756555323
ELMOD3	6	1	5	1	6	5	4	2.64575131106459
ELMSAN1	30	21	30	21	30	30	27	5.19615242270663
ELN	12	6	22	6	22	12	13.3333333333333	8.08290376865476
ELOF1	83	29	47	29	83	47	53	27.495454169735
ELOVL1	56	31	54	31	56	54	47	13.8924439894498
ELOVL2	3	1	2	1	3	2	2	1
ELOVL2-AS1	0	0	0	0	0	0	0	0
ELOVL3	0	0	0	0	0	0	0	0
ELOVL4	6	3	3	3	6	3	4	1.73205080756888
