Gene	TRS+URS.A.2.8.1.A3	TRS+URS.A.3.8.1.A7	TRS+URS.A.4.6.1.B1	Min	Max	Median	Mean	Std
FAM76B	14	10	16	10	16	14	13.3333333333333	3.05505046330389
FAM78A	0	0	0	0	0	0	0	0
FAM78B	0	0	0	0	0	0	0	0
FAM81A	0	2	0	0	2	0	0.666666666666667	1.15470053837925
FAM83A	1	10	6	1	10	6	5.66666666666667	4.50924975282289
FAM83A-AS1	0	0	0	0	0	0	0	0
FAM83B	4	2	4	2	4	4	3.33333333333333	1.15470053837925
FAM83D	0	0	0	0	0	0	0	0
FAM83E	0	1	1	0	1	1	0.666666666666667	0.577350269189626
FAM83G	0	0	0	0	0	0	0	0
FAM83H	2	3	2	2	3	2	2.33333333333333	0.577350269189626
FAM83H-AS1	8	13	8	8	13	8	9.66666666666667	2.88675134594813
FAM84A	0	0	0	0	0	0	0	0
FAM84B	35	70	57	35	70	57	54	17.6918060129541
FAM86A	6	3	7	3	7	6	5.33333333333333	2.08166599946613
FAM86B1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM86B2	0	0	0	0	0	0	0	0
FAM86B3P	1	0	1	0	1	1	0.666666666666667	0.577350269189626
FAM86C1	3	5	3	3	5	3	3.66666666666667	1.15470053837925
FAM86C2P	1	1	1	1	1	1	1	0
FAM86DP	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FAM86EP	5	4	2	2	5	4	3.66666666666667	1.52752523165195
FAM86FP	4	4	3	3	4	4	3.66666666666667	0.577350269189626
FAM86HP	0	0	0	0	0	0	0	0
FAM86JP	0	0	0	0	0	0	0	0
FAM87B	0	1	1	0	1	1	0.666666666666667	0.577350269189626
FAM89A	6	3	4	3	6	4	4.33333333333333	1.52752523165195
FAM89B	20	24	13	13	24	20	19	5.56776436283002
FAM8A1	26	31	25	25	31	26	27.3333333333333	3.21455025366432
FAM90A1	0	0	0	0	0	0	0	0
FAM90A25P	0	0	0	0	0	0	0	0
FAM90A27P	0	0	0	0	0	0	0	0
FAM91A1	25	40	26	25	40	26	30.3333333333333	8.38649708360608
FAM92A1	20	34	39	20	39	34	31	9.8488578017961
FAM92A1P2	7	9	9	7	9	9	8.33333333333333	1.15470053837925
FAM92B	0	0	0	0	0	0	0	0
FAM95B1	0	0	0	0	0	0	0	0
FAM95C	0	0	0	0	0	0	0	0
FAM96A	26	27	41	26	41	27	31.3333333333333	8.38649708360608
FAM96B	62	64	62	62	64	62	62.6666666666667	1.15470053837925
FAM98A	55	49	98	49	98	55	67.3333333333333	26.7270150472015
FAM98B	9	12	10	9	12	10	10.3333333333333	1.52752523165195
FAM98C	1	2	3	1	3	2	2	1
FAM9C	0	0	0	0	0	0	0	0
FAN1	8	13	15	8	15	13	12	3.60555127546399
FANCA	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FANCB	2	0	1	0	2	1	1	1
FANCC	3	3	5	3	5	3	3.66666666666667	1.15470053837925
FANCD2	6	8	8	6	8	8	7.33333333333333	1.15470053837925
FANCE	2	4	3	2	4	3	3	1
FANCF	5	17	13	5	17	13	11.6666666666667	6.11010092660779
FANCG	2	5	3	2	5	3	3.33333333333333	1.52752523165195
FANCI	1	1	6	1	6	1	2.66666666666667	2.88675134594813
FANCL	9	8	6	6	9	8	7.66666666666667	1.52752523165195
FANCM	0	5	8	0	8	5	4.33333333333333	4.04145188432738
FANK1	19	7	13	7	19	13	13	6
FAP	247	278	237	237	278	247	254	21.3775583264319
FAR1	20	37	18	18	37	20	25	10.4403065089106
FAR2	1	3	2	1	3	2	2	1
FARP1	23	42	24	23	42	24	29.6666666666667	10.6926766215636
FARP2	3	5	4	3	5	4	4	1
FARS2	20	10	13	10	20	13	14.3333333333333	5.13160143944688
FARSA	15	11	19	11	19	15	15	4
FARSB	46	53	59	46	59	53	52.6666666666667	6.50640709864771
FAS	52	49	56	49	56	52	52.3333333333333	3.51188458428425
FAS-AS1	0	0	3	0	3	0	1	1.73205080756888
FASN	1	2	0	0	2	1	1	1
FASTK	1	3	4	1	4	3	2.66666666666667	1.52752523165195
FASTKD1	8	8	7	7	8	8	7.66666666666667	0.577350269189626
FASTKD2	45	51	44	44	51	45	46.6666666666667	3.78593889720018
FASTKD3	8	13	11	8	13	11	10.6666666666667	2.51661147842358
FASTKD5	9	14	6	6	14	9	9.66666666666667	4.04145188432738
FAT1	78	108	72	72	108	78	86	19.2873015219859
FAT2	0	2	0	0	2	0	0.666666666666667	1.15470053837925
FAT3	4	11	7	4	11	7	7.33333333333333	3.51188458428425
FAT4	31	38	36	31	38	36	35	3.60555127546399
FAU	637	537	684	537	684	637	619.333333333333	75.0755175362337
FAXC	0	0	0	0	0	0	0	0
FAXDC2	5	6	8	5	8	6	6.33333333333333	1.52752523165195
FBF1	0	2	0	0	2	0	0.666666666666667	1.15470053837925
FBL	13	23	23	13	23	23	19.6666666666667	5.77350269189626
FBLIM1	112	132	114	112	132	114	119.333333333333	11.0151410945722
FBLL1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
FBLN1	87	28	84	28	87	84	66.3333333333333	33.2315111503123
FBLN2	94	95	97	94	97	95	95.3333333333333	1.52752523165195
FBLN5	338	374	341	338	374	341	351	19.9749843554382
FBLN7	3	3	4	3	4	3	3.33333333333333	0.577350269189626
FBN1	1066	2004	1229	1066	2004	1229	1433	501.171627289494
FBN2	1	0	1	0	1	1	0.666666666666667	0.577350269189626
FBP1	0	0	0	0	0	0	0	0
FBP2	0	0	0	0	0	0	0	0
FBRS	3	2	7	2	7	3	4	2.64575131106459
FBRSL1	1	2	3	1	3	2	2	1
FBXL12	3	11	5	3	11	5	6.33333333333333	4.16333199893227
FBXL13	8	15	16	8	16	15	13	4.35889894354067
FBXL14	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FBXL15	3	1	4	1	4	3	2.66666666666667	1.52752523165195
FBXL16	1	3	0	0	3	1	1.33333333333333	1.52752523165195
FBXL17	14	13	8	8	14	13	11.6666666666667	3.21455025366432
FBXL18	24	27	26	24	27	26	25.6666666666667	1.52752523165195
FBXL19	0	0	0	0	0	0	0	0
FBXL19-AS1	11	8	2	2	11	8	7	4.58257569495584
FBXL2	15	14	6	6	15	14	11.6666666666667	4.93288286231625
FBXL20	59	72	50	50	72	59	60.3333333333333	11.060440015358
FBXL21	0	0	0	0	0	0	0	0
FBXL22	1	1	2	1	2	1	1.33333333333333	0.577350269189626
FBXL3	22	34	22	22	34	22	26	6.92820323027551
FBXL4	9	23	8	8	23	9	13.3333333333333	8.38649708360608
FBXL5	30	29	26	26	30	29	28.3333333333333	2.08166599946613
FBXL6	0	0	0	0	0	0	0	0
FBXL7	10	21	20	10	21	20	17	6.08276253029822
FBXL8	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FBXO10	1	2	3	1	3	2	2	1
FBXO11	22	23	30	22	30	23	25	4.35889894354067
FBXO15	0	0	0	0	0	0	0	0
FBXO16	2	5	6	2	6	5	4.33333333333333	2.08166599946613
FBXO17	54	37	36	36	54	37	42.3333333333333	10.1159939369957
FBXO18	12	33	14	12	33	14	19.6666666666667	11.5902257671425
FBXO2	0	0	0	0	0	0	0	0
FBXO21	39	32	32	32	39	32	34.3333333333333	4.04145188432738
FBXO22	14	14	19	14	19	14	15.6666666666667	2.88675134594813
FBXO24	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FBXO25	10	12	18	10	18	12	13.3333333333333	4.16333199893227
FBXO27	15	36	16	15	36	16	22.3333333333333	11.8462370959446
FBXO28	13	11	9	9	13	11	11	2
FBXO3	30	45	40	30	45	40	38.3333333333333	7.63762615825973
FBXO30	9	19	8	8	19	9	12	6.08276253029822
FBXO31	2	8	6	2	8	6	5.33333333333333	3.05505046330389
FBXO32	91	122	127	91	127	122	113.333333333333	19.5021366350801
FBXO33	6	12	11	6	12	11	9.66666666666667	3.21455025366432
FBXO34	6	9	8	6	9	8	7.66666666666667	1.52752523165195
FBXO36	8	4	4	4	8	4	5.33333333333333	2.3094010767585
FBXO38	33	25	28	25	33	28	28.6666666666667	4.04145188432738
FBXO39	0	0	0	0	0	0	0	0
FBXO4	9	7	9	7	9	9	8.33333333333333	1.15470053837925
FBXO40	2	2	1	1	2	2	1.66666666666667	0.577350269189626
FBXO41	0	1	2	0	2	1	1	1
FBXO42	12	10	7	7	12	10	9.66666666666667	2.51661147842358
FBXO43	0	0	0	0	0	0	0	0
FBXO44	4	5	4	4	5	4	4.33333333333333	0.577350269189626
FBXO45	18	27	10	10	27	18	18.3333333333333	8.50490054811538
FBXO46	7	9	2	2	9	7	6	3.60555127546399
FBXO48	5	10	4	4	10	5	6.33333333333333	3.21455025366432
FBXO5	7	9	3	3	9	7	6.33333333333333	3.05505046330389
FBXO6	25	21	12	12	25	21	19.3333333333333	6.65832811847939
FBXO7	27	47	35	27	47	35	36.3333333333333	10.0664459136943
FBXO8	17	25	11	11	25	17	17.6666666666667	7.02376916856849
FBXO9	29	23	21	21	29	23	24.3333333333333	4.16333199893227
FBXW10	0	0	0	0	0	0	0	0
FBXW11	18	29	18	18	29	18	21.6666666666667	6.35085296108588
FBXW12	0	0	0	0	0	0	0	0
FBXW2	35	46	35	35	46	35	38.6666666666667	6.35085296108588
FBXW4	13	7	11	7	13	11	10.3333333333333	3.05505046330389
FBXW4P1	0	2	0	0	2	0	0.666666666666667	1.15470053837925
FBXW5	20	14	16	14	20	16	16.6666666666667	3.05505046330389
FBXW7	20	28	23	20	28	23	23.6666666666667	4.04145188432738
FBXW8	10	19	10	10	19	10	13	5.19615242270663
FBXW9	1	2	5	1	5	2	2.66666666666667	2.08166599946613
FCAMR	0	0	0	0	0	0	0	0
FCAR	27	47	37	27	47	37	37	10
FCER1A	0	0	0	0	0	0	0	0
FCER1G	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FCER2	0	0	0	0	0	0	0	0
FCF1	31	41	38	31	41	38	36.6666666666667	5.13160143944688
FCGBP	0	0	0	0	0	0	0	0
FCGR1B	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FCGR2A	0	0	0	0	0	0	0	0
FCGR2B	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FCGR2C	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FCGRT	94	103	128	94	128	103	108.333333333333	17.6162803489651
FCHO1	0	0	0	0	0	0	0	0
FCHO2	32	30	27	27	32	30	29.6666666666667	2.51661147842358
FCHSD1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FCHSD2	14	22	21	14	22	21	19	4.35889894354067
FCN3	0	0	0	0	0	0	0	0
FCRL2	0	0	0	0	0	0	0	0
FCRL6	0	0	0	0	0	0	0	0
FCRLA	0	0	0	0	0	0	0	0
FCRLB	0	0	0	0	0	0	0	0
FDFT1	16	27	25	16	27	25	22.6666666666667	5.85946527708232
FDPS	69	59	76	59	76	69	68	8.54400374531753
FDPSP2	16	27	19	16	27	19	20.6666666666667	5.68624070307733
FDX1	6	16	6	6	16	6	9.33333333333333	5.77350269189626
FDX1L	9	7	10	7	10	9	8.66666666666667	1.52752523165195
FDXACB1	8	13	5	5	13	8	8.66666666666667	4.04145188432738
FDXR	2	2	4	2	4	2	2.66666666666667	1.15470053837925
FECH	17	30	14	14	30	17	20.3333333333333	8.50490054811538
FEM1A	13	7	17	7	17	13	12.3333333333333	5.03322295684717
FEM1B	2	5	2	2	5	2	3	1.73205080756888
FEM1C	10	12	9	9	12	10	10.3333333333333	1.52752523165195
FEN1	8	5	14	5	14	8	9	4.58257569495584
FENDRR	4	2	1	1	4	2	2.33333333333333	1.52752523165195
FER	56	51	46	46	56	51	51	5
FER1L5	0	0	0	0	0	0	0	0
FERMT1	1	10	9	1	10	9	6.66666666666667	4.93288286231625
FERMT2	113	155	97	97	155	113	121.666666666667	29.9555225848813
FERMT3	3	5	3	3	5	3	3.66666666666667	1.15470053837925
FES	0	1	1	0	1	1	0.666666666666667	0.577350269189626
FETUB	0	0	0	0	0	0	0	0
FEZ1	42	48	52	42	52	48	47.3333333333333	5.03322295684717
FEZ2	32	51	43	32	51	43	42	9.53939201416946
FFAR2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FFAR4	0	3	4	0	4	3	2.33333333333333	2.08166599946613
FGB	7	10	6	6	10	7	7.66666666666667	2.08166599946613
FGD1	2	0	2	0	2	2	1.33333333333333	1.15470053837925
FGD2	0	0	0	0	0	0	0	0
FGD4	7	11	5	5	11	7	7.66666666666667	3.05505046330389
FGD5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FGD5-AS1	76	113	87	76	113	87	92	19
FGD5P1	5	4	0	0	5	4	3	2.64575131106459
FGD6	6	21	5	5	21	6	10.6666666666667	8.9628864398325
FGF1	3	6	12	3	12	6	7	4.58257569495584
FGF11	0	0	2	0	2	0	0.666666666666667	1.15470053837925
FGF12	0	0	0	0	0	0	0	0
FGF13	3	2	2	2	3	2	2.33333333333333	0.577350269189626
FGF13-AS1	0	0	0	0	0	0	0	0
FGF14	21	48	13	13	48	21	27.3333333333333	18.3393929379719
FGF14-AS2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FGF18	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FGF2	41	56	22	22	56	41	39.6666666666667	17.0391705588427
FGF5	7	17	10	7	17	10	11.3333333333333	5.13160143944688
FGF7	625	329	635	329	635	625	529.666666666667	173.854345166675
FGF9	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FGFBP2	0	0	0	0	0	0	0	0
FGFBP3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FGFR1	68	83	103	68	103	83	84.6666666666667	17.5594229214212
FGFR1OP	2	6	5	2	6	5	4.33333333333333	2.08166599946613
FGFR1OP2	80	84	74	74	84	80	79.3333333333333	5.03322295684717
FGFR2	14	22	17	14	22	17	17.6666666666667	4.04145188432738
FGFR3	0	0	0	0	0	0	0	0
FGFRL1	10	21	14	10	21	14	15	5.56776436283002
FGG	0	0	0	0	0	0	0	0
FGGY	10	12	16	10	16	12	12.6666666666667	3.05505046330389
FGL2	7	9	9	7	9	9	8.33333333333333	1.15470053837925
FGR	0	0	0	0	0	0	0	0
FH	53	51	67	51	67	53	57	8.71779788708135
FHAD1	0	0	0	0	0	0	0	0
FHDC1	6	11	0	0	11	6	5.66666666666667	5.5075705472861
FHIT	1	2	3	1	3	2	2	1
FHL1	134	121	144	121	144	134	133	11.5325625946708
FHL2	158	154	107	107	158	154	139.666666666667	28.360771028541
FHL3	6	16	10	6	16	10	10.6666666666667	5.03322295684717
FHOD1	3	4	2	2	4	3	3	1
FHOD3	6	11	9	6	11	9	8.66666666666667	2.51661147842358
FIBCD1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FIBIN	42	58	28	28	58	42	42.6666666666667	15.0111069989303
FIBP	94	76	95	76	95	94	88.3333333333333	10.6926766215636
FICD	7	17	11	7	17	11	11.6666666666667	5.03322295684717
FIG4	12	19	7	7	19	12	12.6666666666667	6.02771377334171
FIGF	0	0	0	0	0	0	0	0
FIGN	0	3	2	0	3	2	1.66666666666667	1.52752523165195
FIGNL1	11	4	4	4	11	4	6.33333333333333	4.04145188432738
FIGNL2	0	0	0	0	0	0	0	0
FILIP1	11	9	7	7	11	9	9	2
FILIP1L	154	160	139	139	160	154	151	10.816653826392
FIP1L1	28	28	32	28	32	28	29.3333333333333	2.3094010767585
FIS1	255	206	248	206	255	248	236.333333333333	26.5015722804013
FITM1	0	0	0	0	0	0	0	0
FITM2	0	1	1	0	1	1	0.666666666666667	0.577350269189626
FIZ1	3	4	5	3	5	4	4	1
FJX1	6	8	7	6	8	7	7	1
FKBP10	13	25	24	13	25	24	20.6666666666667	6.65832811847939
FKBP11	167	212	205	167	212	205	194.666666666667	24.214320831552
FKBP14	118	144	153	118	153	144	138.333333333333	18.1750745069541
FKBP15	22	29	22	22	29	22	24.3333333333333	4.04145188432738
FKBP1A	140	160	159	140	160	159	153	11.2694276695846
FKBP1AP1	3	5	1	1	5	3	3	2
FKBP1B	4	7	3	3	7	4	4.66666666666667	2.08166599946613
FKBP2	20	10	31	10	31	20	20.3333333333333	10.5039675043925
FKBP3	112	114	122	112	122	114	116	5.29150262212918
FKBP4	24	10	11	10	24	11	15	7.81024967590665
FKBP5	11	20	11	11	20	11	14	5.19615242270663
FKBP6	0	0	0	0	0	0	0	0
FKBP7	84	84	100	84	100	84	89.3333333333333	9.23760430703401
FKBP8	3	0	1	0	3	1	1.33333333333333	1.52752523165195
FKBP9	55	39	32	32	55	39	42	11.7898261225516
FKBP9L	1	2	3	1	3	2	2	1
FKBPL	1	1	3	1	3	1	1.66666666666667	1.15470053837925
FKRP	12	10	9	9	12	10	10.3333333333333	1.52752523165195
FKSG29	0	0	0	0	0	0	0	0
FKTN	15	22	16	15	22	16	17.6666666666667	3.78593889720018
FLAD1	13	12	12	12	13	12	12.3333333333333	0.577350269189626
FLCN	13	29	17	13	29	17	19.6666666666667	8.32666399786453
FLG	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FLG-AS1	2	2	2	2	2	2	2	0
FLG2	4	6	3	3	6	4	4.33333333333333	1.52752523165195
FLI1	8	5	4	4	8	5	5.66666666666667	2.08166599946613
FLI1-AS1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FLII	20	31	26	20	31	26	25.6666666666667	5.5075705472861
FLJ10038	6	14	7	6	14	7	9	4.35889894354067
FLJ11235	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FLJ12825	3	6	6	3	6	6	5	1.73205080756888
FLJ13197	5	8	4	4	8	5	5.66666666666667	2.08166599946613
FLJ13224	0	0	0	0	0	0	0	0
FLJ14186	0	0	0	0	0	0	0	0
FLJ16171	0	0	0	0	0	0	0	0
FLJ16779	0	0	0	0	0	0	0	0
FLJ20021	5	2	1	1	5	2	2.66666666666667	2.08166599946613
FLJ20518	0	0	0	0	0	0	0	0
FLJ21408	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FLJ22184	0	0	0	0	0	0	0	0
FLJ22447	0	2	1	0	2	1	1	1
FLJ23867	3	3	1	1	3	3	2.33333333333333	1.15470053837925
FLJ25363	0	0	0	0	0	0	0	0
FLJ25758	0	0	0	0	0	0	0	0
FLJ26850	0	0	0	0	0	0	0	0
FLJ27354	0	0	0	0	0	0	0	0
FLJ30403	3	16	15	3	16	15	11.3333333333333	7.23417813807024
FLJ30679	0	0	0	0	0	0	0	0
FLJ30838	9	3	2	2	9	3	4.66666666666667	3.78593889720018
FLJ31104	5	14	10	5	14	10	9.66666666666667	4.50924975282289
FLJ31306	43	48	30	30	48	43	40.3333333333333	9.29157324317757
FLJ31662	0	2	0	0	2	0	0.666666666666667	1.15470053837925
FLJ31813	2	3	1	1	3	2	2	1
FLJ33360	0	1	1	0	1	1	0.666666666666667	0.577350269189626
FLJ33534	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FLJ33630	7	6	6	6	7	6	6.33333333333333	0.577350269189626
FLJ34503	0	0	0	0	0	0	0	0
FLJ35024	9	13	13	9	13	13	11.6666666666667	2.3094010767585
FLJ35282	5	5	3	3	5	5	4.33333333333333	1.15470053837925
FLJ36000	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FLJ36777	2	3	3	2	3	3	2.66666666666667	0.577350269189626
FLJ37035	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FLJ37201	0	0	0	0	0	0	0	0
FLJ37453	5	5	3	3	5	5	4.33333333333333	1.15470053837925
FLJ37505	1	0	1	0	1	1	0.666666666666667	0.577350269189626
FLJ37644	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FLJ38576	0	0	0	0	0	0	0	0
FLJ39739	4	2	1	1	4	2	2.33333333333333	1.52752523165195
FLJ41200	6	12	6	6	12	6	8	3.46410161513775
FLJ41941	7	10	8	7	10	8	8.33333333333333	1.52752523165195
FLJ42102	16	28	10	10	28	16	18	9.16515138991168
FLJ42351	0	1	1	0	1	1	0.666666666666667	0.577350269189626
FLJ42393	0	3	0	0	3	0	1	1.73205080756888
FLJ42627	7	9	11	7	11	9	9	2
FLJ42875	0	0	0	0	0	0	0	0
FLJ42969	0	0	0	0	0	0	0	0
FLJ43315	0	0	0	0	0	0	0	0
FLJ43663	0	1	6	0	6	1	2.33333333333333	3.21455025366432
FLJ43681	9	9	6	6	9	9	8	1.73205080756888
FLJ43879	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FLJ44313	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FLJ44511	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FLJ44635	0	0	0	0	0	0	0	0
FLJ45079	0	0	0	0	0	0	0	0
FLJ45340	13	18	10	10	18	13	13.6666666666667	4.04145188432738
FLJ45513	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FLJ45974	0	0	0	0	0	0	0	0
FLJ46361	1	4	0	0	4	1	1.66666666666667	2.08166599946613
FLJ46906	1	1	0	0	1	1	0.666666666666667	0.577350269189626
FLNA	74	78	80	74	80	78	77.3333333333333	3.05505046330389
FLNB	27	43	26	26	43	27	32	9.53939201416946
FLNC	24	20	23	20	24	23	22.3333333333333	2.08166599946613
FLOT1	18	35	16	16	35	18	23	10.4403065089106
FLOT2	16	28	28	16	28	28	24	6.92820323027551
FLRT1	0	0	0	0	0	0	0	0
FLRT2	6	12	10	6	12	10	9.33333333333333	3.05505046330389
FLRT3	0	0	0	0	0	0	0	0
FLT1	6	7	7	6	7	7	6.66666666666667	0.577350269189626
FLT3	0	0	0	0	0	0	0	0
FLT3LG	1	2	2	1	2	2	1.66666666666667	0.577350269189626
FLT4	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FLVCR1	12	17	2	2	17	12	10.3333333333333	7.63762615825973
FLVCR1-AS1	0	2	1	0	2	1	1	1
FLVCR2	0	0	0	0	0	0	0	0
FLYWCH1	2	2	2	2	2	2	2	0
FLYWCH2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FMN1	19	33	14	14	33	19	22	9.8488578017961
FMN2	3	0	2	0	3	2	1.66666666666667	1.52752523165195
FMNL1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FMNL2	21	31	23	21	31	23	25	5.29150262212918
FMNL3	22	25	24	22	25	24	23.6666666666667	1.52752523165195
FMO1	0	0	0	0	0	0	0	0
FMO2	26	22	22	22	26	22	23.3333333333333	2.3094010767585
FMO3	1	1	3	1	3	1	1.66666666666667	1.15470053837925
FMO4	6	5	6	5	6	6	5.66666666666667	0.577350269189626
FMO5	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FMO6P	0	0	0	0	0	0	0	0
FMOD	106	45	145	45	145	106	98.6666666666667	50.4017195473858
FMR1	33	38	29	29	38	33	33.3333333333333	4.50924975282289
FMR1-AS1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FMR1NB	0	0	0	0	0	0	0	0
FN1	5638	10501	6970	5638	10501	6970	7703	2512.99801034541
FN3K	0	0	0	0	0	0	0	0
FN3KRP	6	3	8	3	8	6	5.66666666666667	2.51661147842358
FNBP1	33	31	23	23	33	31	29	5.29150262212918
FNBP1L	24	31	19	19	31	24	24.6666666666667	6.02771377334171
FNBP4	31	29	18	18	31	29	26	7
FNDC1	44	112	68	44	112	68	74.6666666666667	34.4867124170068
FNDC3A	66	84	59	59	84	66	69.6666666666667	12.8970280814354
FNDC3B	147	281	218	147	281	218	215.333333333333	67.0397891802572
FNDC4	3	3	6	3	6	3	4	1.73205080756888
FNDC5	0	2	3	0	3	2	1.66666666666667	1.52752523165195
FNDC7	0	0	0	0	0	0	0	0
FNIP1	36	35	47	35	47	36	39.3333333333333	6.65832811847939
FNIP2	10	18	14	10	18	14	14	4
FNTA	34	39	36	34	39	36	36.3333333333333	2.51661147842358
FNTB	0	0	1	0	1	0	0.333333333333333	0.577350269189626
FOCAD	22	18	9	9	22	18	16.3333333333333	6.65832811847939
FOLH1	0	0	0	0	0	0	0	0
FOLR1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FOLR2	0	0	0	0	0	0	0	0
FOLR3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FOLR4	0	0	0	0	0	0	0	0
FOPNL	65	51	55	51	65	55	57	7.21110255092798
FOS	6	7	8	6	8	7	7	1
FOSB	3	2	3	2	3	3	2.66666666666667	0.577350269189626
FOSL1	4	2	5	2	5	4	3.66666666666667	1.52752523165195
FOSL2	5	4	2	2	5	4	3.66666666666667	1.52752523165195
FOXA1	0	0	0	0	0	0	0	0
FOXC1	6	8	15	6	15	8	9.66666666666667	4.72581562625261
FOXC2	4	4	3	3	4	4	3.66666666666667	0.577350269189626
FOXD1	7	7	14	7	14	7	9.33333333333333	4.04145188432738
FOXD2	0	0	0	0	0	0	0	0
FOXD2-AS1	0	0	0	0	0	0	0	0
FOXD3	0	0	0	0	0	0	0	0
FOXD4	0	0	0	0	0	0	0	0
FOXE1	0	0	0	0	0	0	0	0
FOXE3	0	0	0	0	0	0	0	0
FOXF1	1	2	1	1	2	1	1.33333333333333	0.577350269189626
FOXF2	1	1	2	1	2	1	1.33333333333333	0.577350269189626
FOXG1	0	0	0	0	0	0	0	0
FOXJ2	3	10	18	3	18	10	10.3333333333333	7.50555349946513
FOXJ3	17	36	23	17	36	23	25.3333333333333	9.71253485622231
FOXK1	18	27	29	18	29	27	24.6666666666667	5.85946527708232
FOXK2	20	22	20	20	22	20	20.6666666666667	1.15470053837925
FOXL1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
FOXL2	0	0	0	0	0	0	0	0
FOXM1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
FOXN2	23	28	23	23	28	23	24.6666666666667	2.88675134594813
FOXN3	37	48	41	37	48	41	42	5.56776436283002
FOXN3-AS1	0	1	4	0	4	1	1.66666666666667	2.08166599946613
FOXO1	30	45	29	29	45	30	34.6666666666667	8.9628864398325
FOXO3	13	30	15	13	30	15	19.3333333333333	9.29157324317757
FOXO3B	3	5	3	3	5	3	3.66666666666667	1.15470053837925
FOXO4	1	0	1	0	1	1	0.666666666666667	0.577350269189626
FOXP1	119	148	116	116	148	119	127.666666666667	17.6729548557487
FOXP2	0	0	0	0	0	0	0	0
FOXP3	0	0	0	0	0	0	0	0
FOXP4	10	12	10	10	12	10	10.6666666666667	1.15470053837925
FOXRED1	1	6	6	1	6	6	4.33333333333333	2.88675134594813
FOXRED2	19	23	20	19	23	20	20.6666666666667	2.08166599946613
FOXS1	13	8	4	4	13	8	8.33333333333333	4.50924975282289
FPGS	7	7	10	7	10	7	8	1.73205080756888
FPGT	19	21	16	16	21	19	18.6666666666667	2.51661147842358
FPR1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
FPR3	0	0	0	0	0	0	0	0
FRA10AC1	38	36	45	36	45	38	39.6666666666667	4.72581562625261
FRAS1	2	1	3	1	3	2	2	1
FRAT1	0	2	3	0	3	2	1.66666666666667	1.52752523165195
FRAT2	1	1	1	1	1	1	1	0
FREM1	0	0	0	0	0	0	0	0
FREM2	2	3	2	2	3	2	2.33333333333333	0.577350269189626
FREM3	0	0	0	0	0	0	0	0
FRG1	71	61	70	61	71	70	67.3333333333333	5.5075705472861
FRG1B	38	23	29	23	38	29	30	7.54983443527075
FRG2	0	0	0	0	0	0	0	0
FRG2C	0	0	0	0	0	0	0	0
FRK	0	1	1	0	1	1	0.666666666666667	0.577350269189626
FRMD3	4	5	1	1	5	4	3.33333333333333	2.08166599946613
FRMD4A	30	25	20	20	30	25	25	5
FRMD4B	8	4	4	4	8	4	5.33333333333333	2.3094010767585
FRMD5	2	0	1	0	2	1	1	1
FRMD6	54	105	73	54	105	73	77.3333333333333	25.7746645629644
FRMD6-AS1	9	12	9	9	12	9	10	1.73205080756888
FRMD6-AS2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
