Gene	DOM.A.4.13.1.B7	DOM.A.4.14.1.B8	DOM.A.5.11.1.C7	Min	Max	Median	Mean	Std
BCCIP	99	123	97	97	123	99	106.333333333333	14.4683562761405
BCDIN3D	15	14	13	13	15	14	14	1
BCDIN3D-AS1	4	0	2	0	4	2	2	2
BCHE	0	0	0	0	0	0	0	0
BCKDHA	7	9	9	7	9	9	8.33333333333333	1.15470053837925
BCKDHB	7	6	5	5	7	6	6	1
BCKDK	11	6	9	6	11	9	8.66666666666667	2.51661147842358
BCL10	13	32	24	13	32	24	23	9.53939201416946
BCL11A	0	0	0	0	0	0	0	0
BCL2	0	0	0	0	0	0	0	0
BCL2A1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
BCL2L1	4	2	1	1	4	2	2.33333333333333	1.52752523165195
BCL2L11	3	6	4	3	6	4	4.33333333333333	1.52752523165195
BCL2L12	3	4	5	3	5	4	4	1
BCL2L13	31	20	24	20	31	24	25	5.56776436283002
BCL2L14	1	0	0	0	1	0	0.333333333333333	0.577350269189626
BCL2L15	10	8	10	8	10	10	9.33333333333333	1.15470053837925
BCL2L2	12	9	5	5	12	9	8.66666666666667	3.51188458428425
BCL3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
BCL6	9	3	3	3	9	3	5	3.46410161513775
BCL6B	0	0	0	0	0	0	0	0
BCL7A	4	1	0	0	4	1	1.66666666666667	2.08166599946613
BCL7B	15	15	15	15	15	15	15	0
BCL7C	4	5	6	4	6	5	5	1
BCL9	6	3	4	3	6	4	4.33333333333333	1.52752523165195
BCL9L	15	17	14	14	17	15	15.3333333333333	1.52752523165195
BCLAF1	155	161	159	155	161	159	158.333333333333	3.05505046330389
BCMO1	0	0	0	0	0	0	0	0
BCO2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
BCOR	13	11	12	11	13	12	12	1
BCORL1	3	2	2	2	3	2	2.33333333333333	0.577350269189626
BCORP1	0	0	0	0	0	0	0	0
BCR	1	9	2	1	9	2	4	4.35889894354067
BCRP2	0	0	0	0	0	0	0	0
BCRP3	0	0	0	0	0	0	0	0
BCS1L	22	16	21	16	22	21	19.6666666666667	3.21455025366432
BDH1	9	7	4	4	9	7	6.66666666666667	2.51661147842358
BDH2	64	58	67	58	67	64	63	4.58257569495584
BDKRB1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
BDKRB2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
BDNF	33	29	54	29	54	33	38.6666666666667	13.4288247189891
BDNF-AS	2	1	2	1	2	2	1.66666666666667	0.577350269189626
BDP1	85	58	56	56	85	58	66.3333333333333	16.1967074843418
BEAN1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
BECN1	10	7	12	7	12	10	9.66666666666667	2.51661147842358
BEGAIN	0	0	0	0	0	0	0	0
BEND2	2	2	2	2	2	2	2	0
BEND3	1	1	2	1	2	1	1.33333333333333	0.577350269189626
BEND3P3	3	3	4	3	4	3	3.33333333333333	0.577350269189626
BEND5	2	1	0	0	2	1	1	1
BEND6	2	2	5	2	5	2	3	1.73205080756888
BEND7	1	3	3	1	3	3	2.33333333333333	1.15470053837925
BEST1	0	1	3	0	3	1	1.33333333333333	1.52752523165195
BEST3	0	0	0	0	0	0	0	0
BEST4	0	0	0	0	0	0	0	0
BET1	103	126	102	102	126	103	110.333333333333	13.5769412362775
BET1L	29	36	23	23	36	29	29.3333333333333	6.50640709864771
BEX1	3	4	2	2	4	3	3	1
BEX2	2	2	3	2	3	2	2.33333333333333	0.577350269189626
BEX4	11	12	7	7	12	11	10	2.64575131106459
BFAR	41	52	46	41	52	46	46.3333333333333	5.5075705472861
BFSP1	1	1	1	1	1	1	1	0
BGN	286	376	268	268	376	286	310	57.8619045659577
BHLHB9	4	2	7	2	7	4	4.33333333333333	2.51661147842358
BHLHE22	0	0	0	0	0	0	0	0
BHLHE40	30	20	43	20	43	30	31	11.5325625946708
BHLHE40-AS1	0	0	0	0	0	0	0	0
BHLHE41	122	175	124	122	175	124	140.333333333333	30.0388637157489
BHMT	1	2	0	0	2	1	1	1
BHMT2	3	1	1	1	3	1	1.66666666666667	1.15470053837925
BICC1	10	26	13	10	26	13	16.3333333333333	8.50490054811538
BICD1	12	8	6	6	12	8	8.66666666666667	3.05505046330389
BICD2	18	21	22	18	22	21	20.3333333333333	2.08166599946613
BID	11	14	13	11	14	13	12.6666666666667	1.52752523165195
BIK	0	0	0	0	0	0	0	0
BIN1	4	3	1	1	4	3	2.66666666666667	1.52752523165195
BIN2	0	0	0	0	0	0	0	0
BIN3	31	38	26	26	38	31	31.6666666666667	6.02771377334171
BIN3-IT1	3	1	2	1	3	2	2	1
BIRC2	32	45	42	32	45	42	39.6666666666667	6.80685928555405
BIRC3	1	1	1	1	1	1	1	0
BIRC5	1	1	1	1	1	1	1	0
BIRC6	39	49	38	38	49	39	42	6.08276253029822
BIVM	14	12	17	12	17	14	14.3333333333333	2.51661147842358
BIVM-ERCC5	0	0	0	0	0	0	0	0
BLCAP	18	25	21	18	25	21	21.3333333333333	3.51188458428425
BLID	1	1	1	1	1	1	1	0
BLM	0	0	0	0	0	0	0	0
BLMH	23	20	16	16	23	20	19.6666666666667	3.51188458428425
BLNK	1	0	0	0	1	0	0.333333333333333	0.577350269189626
BLOC1S1	74	115	82	74	115	82	90.3333333333333	21.733231083604
BLOC1S2	105	115	102	102	115	105	107.333333333333	6.80685928555405
BLOC1S3	17	16	16	16	17	16	16.3333333333333	0.577350269189626
BLOC1S4	2	5	7	2	7	5	4.66666666666667	2.51661147842358
BLOC1S5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
BLOC1S6	49	77	55	49	77	55	60.3333333333333	14.742229591664
BLVRA	81	88	90	81	90	88	86.3333333333333	4.72581562625261
BLVRB	23	22	15	15	23	22	20	4.35889894354067
BLZF1	9	17	14	9	17	14	13.3333333333333	4.04145188432738
BMF	0	2	1	0	2	1	1	1
BMI1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
BMP1	9	14	12	9	14	12	11.6666666666667	2.51661147842358
BMP2	1	2	5	1	5	2	2.66666666666667	2.08166599946613
BMP2K	1	3	4	1	4	3	2.66666666666667	1.52752523165195
BMP3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
BMP4	44	41	56	41	56	44	47	7.93725393319377
BMP5	0	0	0	0	0	0	0	0
BMP6	10	11	8	8	11	10	9.66666666666667	1.52752523165195
BMP7	2	5	2	2	5	2	3	1.73205080756888
BMP8A	3	1	0	0	3	1	1.33333333333333	1.52752523165195
BMP8B	0	0	0	0	0	0	0	0
BMPER	0	0	1	0	1	0	0.333333333333333	0.577350269189626
BMPR1A	5	12	7	5	12	7	8	3.60555127546399
BMPR1B	0	0	0	0	0	0	0	0
BMPR2	71	73	54	54	73	71	66	10.4403065089106
BMS1	74	77	79	74	79	77	76.6666666666667	2.51661147842358
BMS1P1	5	2	4	2	5	4	3.66666666666667	1.52752523165195
BMS1P2	2	1	3	1	3	2	2	1
BMS1P4	1	3	4	1	4	3	2.66666666666667	1.52752523165195
BMS1P5	6	6	3	3	6	6	5	1.73205080756888
BMS1P6	2	1	2	1	2	2	1.66666666666667	0.577350269189626
BMX	0	0	0	0	0	0	0	0
BNC1	4	2	3	2	4	3	3	1
BNC2	14	11	17	11	17	14	14	3
BNIP1	32	49	36	32	49	36	39	8.88819441731559
BNIP2	34	17	19	17	34	19	23.3333333333333	9.29157324317757
BNIP3	183	208	202	183	208	202	197.666666666667	13.0511813003013
BNIP3L	840	901	874	840	901	874	871.666666666667	30.566866593312
BNIPL	2	2	2	2	2	2	2	0
BOC	0	0	1	0	1	0	0.333333333333333	0.577350269189626
BOD1	24	22	22	22	24	22	22.6666666666667	1.15470053837925
BOD1L1	52	54	42	42	54	52	49.3333333333333	6.42910050732864
BOK	4	1	5	1	5	4	3.33333333333333	2.08166599946613
BOK-AS1	0	0	0	0	0	0	0	0
BOLA1	4	1	8	1	8	4	4.33333333333333	3.51188458428425
BOLA2	0	0	0	0	0	0	0	0
BOLA3	63	78	70	63	78	70	70.3333333333333	7.50555349946513
BOLA3-AS1	5	5	8	5	8	5	6	1.73205080756888
BOP1	2	2	1	1	2	2	1.66666666666667	0.577350269189626
BORA	1	1	3	1	3	1	1.66666666666667	1.15470053837925
BPGM	157	189	198	157	198	189	181.333333333333	21.548395145192
BPHL	9	5	6	5	9	6	6.66666666666667	2.08166599946613
BPI	0	1	1	0	1	1	0.666666666666667	0.577350269189626
BPNT1	32	27	31	27	32	31	30	2.64575131106459
BPTF	46	48	48	46	48	48	47.3333333333333	1.15470053837925
BRAF	1	1	0	0	1	1	0.666666666666667	0.577350269189626
BRAP	5	8	6	5	8	6	6.33333333333333	1.52752523165195
BRAT1	4	2	0	0	4	2	2	2
BRCA1	10	9	11	9	11	10	10	1
BRCA2	0	3	3	0	3	3	2	1.73205080756888
BRCC3	31	30	38	30	38	31	33	4.35889894354067
BRD1	5	4	6	4	6	5	5	1
BRD2	25	33	22	22	33	25	26.6666666666667	5.68624070307733
BRD3	10	8	10	8	10	10	9.33333333333333	1.15470053837925
BRD4	16	10	7	7	16	10	11	4.58257569495584
BRD7	16	24	15	15	24	16	18.3333333333333	4.93288286231625
BRD7P3	0	0	0	0	0	0	0	0
BRD8	57	62	52	52	62	57	57	5
BRD9	1	3	0	0	3	1	1.33333333333333	1.52752523165195
BRDT	1	0	2	0	2	1	1	1
BRE	48	65	58	48	65	58	57	8.54400374531753
BRE-AS1	0	0	0	0	0	0	0	0
BREA2	0	2	1	0	2	1	1	1
BRF1	2	1	0	0	2	1	1	1
BRF2	13	8	7	7	13	8	9.33333333333333	3.21455025366432
BRI3	28	49	40	28	49	40	39	10.5356537528527
BRI3BP	0	0	0	0	0	0	0	0
BRICD5	0	0	0	0	0	0	0	0
BRIP1	13	12	6	6	13	12	10.3333333333333	3.78593889720018
BRIX1	104	116	109	104	116	109	109.666666666667	6.02771377334171
BRK1	576	660	683	576	683	660	639.666666666667	56.3234705370091
BRMS1	10	10	6	6	10	10	8.66666666666667	2.3094010767585
BRMS1L	5	9	14	5	14	9	9.33333333333333	4.50924975282289
BROX	26	34	28	26	34	28	29.3333333333333	4.16333199893227
BRPF1	3	7	5	3	7	5	5	2
BRPF3	4	5	4	4	5	4	4.33333333333333	0.577350269189626
BRS3	0	0	0	0	0	0	0	0
BRSK1	0	0	0	0	0	0	0	0
BRSK2	0	0	0	0	0	0	0	0
BRWD1	43	45	31	31	45	43	39.6666666666667	7.57187779440036
BRWD1-AS1	0	0	0	0	0	0	0	0
BRWD1-IT2	0	0	0	0	0	0	0	0
BRWD3	14	2	10	2	14	10	8.66666666666667	6.11010092660779
BSCL2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
BSDC1	48	31	36	31	48	36	38.3333333333333	8.73689494805411
BSG	36	40	45	36	45	40	40.3333333333333	4.50924975282289
BSN	0	0	0	0	0	0	0	0
BSN-AS2	0	4	2	0	4	2	2	2
BSPRY	0	0	0	0	0	0	0	0
BST1	4	6	6	4	6	6	5.33333333333333	1.15470053837925
BST2	0	0	0	0	0	0	0	0
BTAF1	19	13	16	13	19	16	16	3
BTBD1	11	19	16	11	19	16	15.3333333333333	4.04145188432738
BTBD10	44	51	65	44	65	51	53.3333333333333	10.6926766215636
BTBD11	0	0	0	0	0	0	0	0
BTBD16	0	0	0	0	0	0	0	0
BTBD18	0	0	0	0	0	0	0	0
BTBD19	0	0	0	0	0	0	0	0
BTBD2	2	0	0	0	2	0	0.666666666666667	1.15470053837925
BTBD3	3	2	3	2	3	3	2.66666666666667	0.577350269189626
BTBD6	16	14	20	14	20	16	16.6666666666667	3.05505046330389
BTBD7	23	19	31	19	31	23	24.3333333333333	6.11010092660779
BTBD8	1	1	0	0	1	1	0.666666666666667	0.577350269189626
BTBD9	4	1	3	1	4	3	2.66666666666667	1.52752523165195
BTC	0	0	0	0	0	0	0	0
BTD	26	30	39	26	39	30	31.6666666666667	6.65832811847939
BTF3	1531	1579	1550	1531	1579	1550	1553.33333333333	24.1729876790879
BTF3L4	203	212	229	203	229	212	214.666666666667	13.2035348802256
BTF3P11	0	0	0	0	0	0	0	0
BTG1	29	21	38	21	38	29	29.3333333333333	8.50490054811538
BTG2	16	17	17	16	17	17	16.6666666666667	0.577350269189626
BTG3	14	28	27	14	28	27	23	7.81024967590665
BTG4	0	0	0	0	0	0	0	0
BTLA	0	1	0	0	1	0	0.333333333333333	0.577350269189626
BTN2A1	27	20	25	20	27	25	24	3.60555127546399
BTN2A2	12	5	11	5	12	11	9.33333333333333	3.78593889720018
BTN2A3P	0	1	4	0	4	1	1.66666666666667	2.08166599946613
BTN3A1	6	9	5	5	9	6	6.66666666666667	2.08166599946613
BTN3A2	9	8	11	8	11	9	9.33333333333333	1.52752523165195
BTN3A3	13	5	3	3	13	5	7	5.29150262212918
BTNL9	0	0	0	0	0	0	0	0
BTRC	13	15	20	13	20	15	16	3.60555127546399
BUB1	0	0	3	0	3	0	1	1.73205080756888
BUB1B	0	0	0	0	0	0	0	0
BUB3	111	105	119	105	119	111	111.666666666667	7.02376916856849
BUD13	8	5	5	5	8	5	6	1.73205080756888
BUD31	103	104	109	103	109	104	105.333333333333	3.21455025366432
BVES	10	11	6	6	11	10	9	2.64575131106459
BVES-AS1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
BYSL	1	5	4	1	5	4	3.33333333333333	2.08166599946613
BZRAP1	0	0	0	0	0	0	0	0
BZRAP1-AS1	0	0	0	0	0	0	0	0
BZW1	378	377	342	342	378	377	365.666666666667	20.5020324195757
BZW2	41	47	49	41	49	47	45.6666666666667	4.16333199893227
C10orf10	97	63	93	63	97	93	84.3333333333333	18.5831464863551
C10orf107	1	0	0	0	1	0	0.333333333333333	0.577350269189626
C10orf11	0	1	0	0	1	0	0.333333333333333	0.577350269189626
C10orf111	4	2	3	2	4	3	3	1
C10orf114	1	0	2	0	2	1	1	1
C10orf118	56	67	50	50	67	56	57.6666666666667	8.62167810425171
C10orf12	4	8	3	3	8	4	5	2.64575131106459
C10orf126	0	0	0	0	0	0	0	0
C10orf129	0	0	1	0	1	0	0.333333333333333	0.577350269189626
C10orf131	0	0	0	0	0	0	0	0
C10orf137	5	7	7	5	7	7	6.33333333333333	1.15470053837925
C10orf2	3	2	3	2	3	3	2.66666666666667	0.577350269189626
C10orf25	1	3	3	1	3	3	2.33333333333333	1.15470053837925
C10orf32	54	63	62	54	63	62	59.6666666666667	4.93288286231625
C10orf32-AS3MT	11	6	7	6	11	7	8	2.64575131106459
C10orf35	2	0	0	0	2	0	0.666666666666667	1.15470053837925
C10orf54	2	1	0	0	2	1	1	1
C10orf55	1	0	0	0	1	0	0.333333333333333	0.577350269189626
C10orf67	2	0	3	0	3	2	1.66666666666667	1.52752523165195
C10orf68	1	2	1	1	2	1	1.33333333333333	0.577350269189626
C10orf71	0	0	0	0	0	0	0	0
C10orf76	6	6	10	6	10	6	7.33333333333333	2.3094010767585
C10orf85	0	0	0	0	0	0	0	0
C10orf88	5	4	3	3	5	4	4	1
C10orf90	0	0	0	0	0	0	0	0
C11orf1	27	29	24	24	29	27	26.6666666666667	2.51661147842358
C11orf16	0	1	0	0	1	0	0.333333333333333	0.577350269189626
C11orf21	0	0	0	0	0	0	0	0
C11orf24	21	17	14	14	21	17	17.3333333333333	3.51188458428425
C11orf30	7	10	2	2	10	7	6.33333333333333	4.04145188432738
C11orf31	94	107	98	94	107	98	99.6666666666667	6.65832811847939
C11orf34	0	0	0	0	0	0	0	0
C11orf35	0	0	0	0	0	0	0	0
C11orf44	1	1	0	0	1	1	0.666666666666667	0.577350269189626
C11orf45	0	1	0	0	1	0	0.333333333333333	0.577350269189626
C11orf48	88	136	129	88	136	129	117.666666666667	25.9293913027925
C11orf49	17	17	23	17	23	17	19	3.46410161513775
C11orf54	13	21	24	13	24	21	19.3333333333333	5.68624070307733
C11orf57	35	30	37	30	37	35	34	3.60555127546399
C11orf58	631	659	631	631	659	631	640.333333333333	16.1658075373095
C11orf63	1	2	1	1	2	1	1.33333333333333	0.577350269189626
C11orf65	1	0	0	0	1	0	0.333333333333333	0.577350269189626
C11orf68	11	5	9	5	11	9	8.33333333333333	3.05505046330389
C11orf70	24	21	23	21	24	23	22.6666666666667	1.52752523165195
C11orf71	1	1	0	0	1	1	0.666666666666667	0.577350269189626
C11orf73	168	193	179	168	193	179	180	12.5299640861417
C11orf74	61	75	70	61	75	70	68.6666666666667	7.09459888459759
C11orf80	1	1	0	0	1	1	0.666666666666667	0.577350269189626
C11orf82	1	0	0	0	1	0	0.333333333333333	0.577350269189626
C11orf83	20	18	16	16	20	18	18	2
C11orf84	1	0	1	0	1	1	0.666666666666667	0.577350269189626
C11orf87	0	0	0	0	0	0	0	0
C11orf88	0	0	0	0	0	0	0	0
C11orf91	1	0	1	0	1	1	0.666666666666667	0.577350269189626
C11orf92	0	1	2	0	2	1	1	1
C11orf93	0	0	1	0	1	0	0.333333333333333	0.577350269189626
C11orf95	8	5	9	5	9	8	7.33333333333333	2.08166599946613
C11orf96	10	5	17	5	17	10	10.6666666666667	6.02771377334171
C12orf10	61	76	64	61	76	64	67	7.93725393319377
C12orf23	114	122	100	100	122	114	112	11.13552872566
C12orf29	24	32	42	24	42	32	32.6666666666667	9.01849950564579
C12orf36	0	0	0	0	0	0	0	0
C12orf39	0	0	0	0	0	0	0	0
C12orf4	20	26	18	18	26	20	21.3333333333333	4.16333199893227
C12orf40	0	0	0	0	0	0	0	0
C12orf43	8	7	12	7	12	8	9	2.64575131106459
C12orf44	25	24	29	24	29	25	26	2.64575131106459
C12orf45	38	22	39	22	39	38	33	9.53939201416946
C12orf49	5	4	1	1	5	4	3.33333333333333	2.08166599946613
C12orf5	52	55	48	48	55	52	51.6666666666667	3.51188458428425
C12orf52	3	7	5	3	7	5	5	2
C12orf54	0	0	0	0	0	0	0	0
C12orf57	517	487	478	478	517	487	494	20.4205778566621
C12orf60	4	3	2	2	4	3	3	1
C12orf61	3	2	1	1	3	2	2	1
C12orf65	36	44	39	36	44	39	39.6666666666667	4.04145188432738
C12orf66	1	0	0	0	1	0	0.333333333333333	0.577350269189626
C12orf68	1	2	0	0	2	1	1	1
C12orf71	0	0	0	0	0	0	0	0
C12orf73	10	9	5	5	10	9	8	2.64575131106459
C12orf75	29	21	33	21	33	29	27.6666666666667	6.11010092660779
C12orf76	2	2	0	0	2	2	1.33333333333333	1.15470053837925
C12orf77	0	1	1	0	1	1	0.666666666666667	0.577350269189626
C12orf79	0	0	1	0	1	0	0.333333333333333	0.577350269189626
C12orf80	0	0	1	0	1	0	0.333333333333333	0.577350269189626
C13orf45	0	0	0	0	0	0	0	0
C14orf1	56	63	66	56	66	63	61.6666666666667	5.13160143944688
C14orf105	11	7	8	7	11	8	8.66666666666667	2.08166599946613
C14orf119	187	232	199	187	232	199	206	23.3023603954621
C14orf132	11	8	14	8	14	11	11	3
C14orf142	8	20	17	8	20	17	15	6.2449979983984
C14orf159	18	19	20	18	20	19	19	1
C14orf166	317	381	373	317	381	373	357	34.8711915483254
C14orf169	5	4	7	4	7	5	5.33333333333333	1.52752523165195
C14orf178	2	0	1	0	2	1	1	1
C14orf180	0	0	0	0	0	0	0	0
C14orf182	1	3	0	0	3	1	1.33333333333333	1.52752523165195
C14orf2	479	566	559	479	566	559	534.666666666667	48.3356321292412
C14orf23	6	10	12	6	12	10	9.33333333333333	3.05505046330389
C14orf28	3	2	3	2	3	3	2.66666666666667	0.577350269189626
C14orf37	0	1	0	0	1	0	0.333333333333333	0.577350269189626
C14orf64	0	0	0	0	0	0	0	0
C14orf79	3	4	5	3	5	4	4	1
C14orf80	0	0	1	0	1	0	0.333333333333333	0.577350269189626
C14orf93	1	1	1	1	1	1	1	0
C15orf26	0	0	0	0	0	0	0	0
C15orf37	0	2	1	0	2	1	1	1
C15orf38	0	1	1	0	1	1	0.666666666666667	0.577350269189626
C15orf38-AP3S2	2	1	2	1	2	2	1.66666666666667	0.577350269189626
C15orf39	4	7	6	4	7	6	5.66666666666667	1.52752523165195
C15orf40	58	48	61	48	61	58	55.6666666666667	6.80685928555405
C15orf41	5	5	4	4	5	5	4.66666666666667	0.577350269189626
C15orf48	9	4	5	4	9	5	6	2.64575131106459
C15orf52	5	5	5	5	5	5	5	0
C15orf54	0	0	1	0	1	0	0.333333333333333	0.577350269189626
C15orf57	19	33	38	19	38	33	30	9.8488578017961
C15orf59	0	0	0	0	0	0	0	0
C15orf60	0	0	1	0	1	0	0.333333333333333	0.577350269189626
C15orf61	17	24	15	15	24	17	18.6666666666667	4.72581562625261
C15orf62	0	1	0	0	1	0	0.333333333333333	0.577350269189626
C15orf65	9	10	17	9	17	10	12	4.35889894354067
C16orf13	32	26	25	25	32	26	27.6666666666667	3.78593889720018
C16orf3	0	0	0	0	0	0	0	0
C16orf45	10	21	15	10	21	15	15.3333333333333	5.5075705472861
C16orf46	2	1	1	1	2	1	1.33333333333333	0.577350269189626
C16orf47	0	0	0	0	0	0	0	0
C16orf52	9	15	12	9	15	12	12	3
C16orf54	0	0	1	0	1	0	0.333333333333333	0.577350269189626
C16orf55	2	2	3	2	3	2	2.33333333333333	0.577350269189626
C16orf58	11	7	13	7	13	11	10.3333333333333	3.05505046330389
C16orf59	0	0	0	0	0	0	0	0
C16orf62	57	37	48	37	57	48	47.3333333333333	10.0166528008778
C16orf70	1	4	1	1	4	1	2	1.73205080756888
C16orf71	0	0	0	0	0	0	0	0
C16orf72	26	25	20	20	26	25	23.6666666666667	3.21455025366432
C16orf74	1	0	0	0	1	0	0.333333333333333	0.577350269189626
C16orf80	23	20	19	19	23	20	20.6666666666667	2.08166599946613
C16orf86	0	0	0	0	0	0	0	0
C16orf87	38	27	26	26	38	27	30.3333333333333	6.65832811847939
C16orf89	2	2	3	2	3	2	2.33333333333333	0.577350269189626
C16orf91	9	4	7	4	9	7	6.66666666666667	2.51661147842358
C16orf93	1	1	1	1	1	1	1	0
C16orf95	1	1	1	1	1	1	1	0
C16orf98	0	0	0	0	0	0	0	0
C17orf100	1	0	0	0	1	0	0.333333333333333	0.577350269189626
C17orf102	0	0	0	0	0	0	0	0
C17orf103	16	12	16	12	16	16	14.6666666666667	2.3094010767585
C17orf104	0	0	0	0	0	0	0	0
C17orf107	0	1	1	0	1	1	0.666666666666667	0.577350269189626
C17orf47	0	0	0	0	0	0	0	0
C17orf49	1	4	3	1	4	3	2.66666666666667	1.52752523165195
C17orf50	0	0	0	0	0	0	0	0
C17orf51	6	5	10	5	10	6	7	2.64575131106459
C17orf53	0	0	0	0	0	0	0	0
C17orf58	2	6	3	2	6	3	3.66666666666667	2.08166599946613
C17orf59	2	0	4	0	4	2	2	2
C17orf62	4	1	5	1	5	4	3.33333333333333	2.08166599946613
C17orf64	0	0	0	0	0	0	0	0
C17orf67	1	0	3	0	3	1	1.33333333333333	1.52752523165195
C17orf70	0	3	2	0	3	2	1.66666666666667	1.52752523165195
C17orf72	0	0	0	0	0	0	0	0
C17orf75	38	28	44	28	44	38	36.6666666666667	8.08290376865476
C17orf76-AS1	2683	2986	2713	2683	2986	2713	2794	166.952088935718
C17orf77	1	0	2	0	2	1	1	1
C17orf78	0	0	0	0	0	0	0	0
C17orf80	17	16	31	16	31	17	21.3333333333333	8.38649708360608
C17orf82	0	0	0	0	0	0	0	0
C17orf85	21	22	28	21	28	22	23.6666666666667	3.78593889720018
C17orf89	11	15	17	11	17	15	14.3333333333333	3.05505046330389
C17orf96	1	0	0	0	1	0	0.333333333333333	0.577350269189626
C17orf97	4	4	3	3	4	4	3.66666666666667	0.577350269189626
C17orf98	0	0	0	0	0	0	0	0
C18orf21	10	7	3	3	10	7	6.66666666666667	3.51188458428425
C18orf25	7	7	11	7	11	7	8.33333333333333	2.3094010767585
C18orf32	2	3	1	1	3	2	2	1
C18orf54	2	2	3	2	3	2	2.33333333333333	0.577350269189626
C18orf56	2	2	1	1	2	2	1.66666666666667	0.577350269189626
C18orf61	4	5	3	3	5	4	4	1
C18orf63	0	0	0	0	0	0	0	0
C18orf8	1	5	1	1	5	1	2.33333333333333	2.3094010767585
C19orf10	84	68	119	68	119	84	90.3333333333333	26.0832002126528
C19orf12	21	23	20	20	23	21	21.3333333333333	1.52752523165195
C19orf18	0	2	0	0	2	0	0.666666666666667	1.15470053837925
C19orf24	5	6	11	5	11	6	7.33333333333333	3.21455025366432
C19orf25	2	4	6	2	6	4	4	2
C19orf35	4	6	4	4	6	4	4.66666666666667	1.15470053837925
C19orf38	0	0	0	0	0	0	0	0
C19orf40	2	4	1	1	4	2	2.33333333333333	1.52752523165195
C19orf43	57	61	58	57	61	58	58.6666666666667	2.08166599946613
C19orf44	4	3	3	3	4	3	3.33333333333333	0.577350269189626
C19orf45	0	0	0	0	0	0	0	0
C19orf47	0	1	0	0	1	0	0.333333333333333	0.577350269189626
C19orf48	9	3	5	3	9	5	5.66666666666667	3.05505046330389
C19orf52	1	1	11	1	11	1	4.33333333333333	5.77350269189626
C19orf53	504	584	529	504	584	529	539	40.9267638593622
C19orf54	7	6	4	4	7	6	5.66666666666667	1.52752523165195
C19orf55	2	1	0	0	2	1	1	1
C19orf57	1	0	0	0	1	0	0.333333333333333	0.577350269189626
C19orf60	7	8	13	7	13	8	9.33333333333333	3.21455025366432
C19orf66	8	5	5	5	8	5	6	1.73205080756888
C19orf67	0	0	0	0	0	0	0	0
C19orf70	44	40	42	40	44	42	42	2
C19orf71	0	0	0	0	0	0	0	0
C19orf73	0	0	0	0	0	0	0	0
C19orf77	0	0	0	0	0	0	0	0
C19orf80	0	0	0	0	0	0	0	0
C19orf81	0	0	0	0	0	0	0	0
C19orf82	16	16	19	16	19	16	17	1.73205080756888
C1D	88	79	89	79	89	88	85.3333333333333	5.5075705472861
C1GALT1	42	23	20	20	42	23	28.3333333333333	11.9303534454489
C1GALT1C1	55	71	63	55	71	63	63	8
C1orf100	0	0	0	0	0	0	0	0
C1orf101	0	0	0	0	0	0	0	0
C1orf106	5	4	1	1	5	4	3.33333333333333	2.08166599946613
C1orf109	17	15	15	15	17	15	15.6666666666667	1.15470053837925
C1orf110	4	4	2	2	4	4	3.33333333333333	1.15470053837925
C1orf112	1	1	1	1	1	1	1	0
C1orf115	1	0	0	0	1	0	0.333333333333333	0.577350269189626
C1orf122	40	51	47	40	51	47	46	5.56776436283002
C1orf123	85	98	109	85	109	98	97.3333333333333	12.0138808606267
C1orf131	47	55	55	47	55	55	52.3333333333333	4.61880215351701
C1orf140	0	0	1	0	1	0	0.333333333333333	0.577350269189626
C1orf141	0	1	2	0	2	1	1	1
C1orf145	0	0	0	0	0	0	0	0
C1orf148	0	0	0	0	0	0	0	0
C1orf159	0	0	1	0	1	0	0.333333333333333	0.577350269189626
C1orf162	2	0	0	0	2	0	0.666666666666667	1.15470053837925
C1orf170	0	0	0	0	0	0	0	0
C1orf173	0	0	0	0	0	0	0	0
C1orf174	44	54	47	44	54	47	48.3333333333333	5.13160143944688
C1orf186	0	0	0	0	0	0	0	0
C1orf191	0	0	1	0	1	0	0.333333333333333	0.577350269189626
C1orf192	0	0	0	0	0	0	0	0
C1orf194	0	0	0	0	0	0	0	0
C1orf198	175	196	175	175	196	175	182	12.1243556529821
C1orf204	0	1	1	0	1	1	0.666666666666667	0.577350269189626
C1orf21	6	5	6	5	6	6	5.66666666666667	0.577350269189626
C1orf210	4	6	4	4	6	4	4.66666666666667	1.15470053837925
C1orf213	1	1	1	1	1	1	1	0
C1orf216	5	2	3	2	5	3	3.33333333333333	1.52752523165195
C1orf220	1	2	2	1	2	2	1.66666666666667	0.577350269189626
C1orf226	0	0	4	0	4	0	1.33333333333333	2.3094010767585
C1orf227	0	0	0	0	0	0	0	0
C1orf228	0	0	0	0	0	0	0	0
