Gene	SOR+URS.A.5.7.1.C3	SOR+URS.A.5.8.1.C4	SOR+URS.A.5.9.1.C5	Min	Max	Median	Mean	Std
CHAD	0	0	0	0	0	0	0	0
CHADL	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CHAF1A	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CHAF1B	0	0	0	0	0	0	0	0
CHAMP1	0	0	0	0	0	0	0	0
CHCHD1	18	15	30	15	30	18	21	7.93725393319377
CHCHD10	0	0	0	0	0	0	0	0
CHCHD2	16	22	42	16	42	22	26.6666666666667	13.6137185711081
CHCHD3	4	6	12	4	12	6	7.33333333333333	4.16333199893227
CHCHD4	2	1	2	1	2	2	1.66666666666667	0.577350269189626
CHCHD5	6	1	8	1	8	6	5	3.60555127546399
CHCHD6	2	1	2	1	2	2	1.66666666666667	0.577350269189626
CHCHD7	4	7	7	4	7	7	6	1.73205080756888
CHD1	8	15	19	8	19	15	14	5.56776436283002
CHD1L	4	4	11	4	11	4	6.33333333333333	4.04145188432738
CHD2	26	27	57	26	57	27	36.6666666666667	17.6162803489651
CHD3	2	5	6	2	6	5	4.33333333333333	2.08166599946613
CHD4	11	20	28	11	28	20	19.6666666666667	8.50490054811538
CHD5	0	0	0	0	0	0	0	0
CHD6	24	39	50	24	50	39	37.6666666666667	13.0511813003013
CHD7	3	5	3	3	5	3	3.66666666666667	1.15470053837925
CHD8	7	6	14	6	14	7	9	4.35889894354067
CHD9	18	18	54	18	54	18	30	20.7846096908265
CHDH	0	0	0	0	0	0	0	0
CHEK1	0	2	2	0	2	2	1.33333333333333	1.15470053837925
CHEK2	0	0	3	0	3	0	1	1.73205080756888
CHERP	2	1	2	1	2	2	1.66666666666667	0.577350269189626
CHFR	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CHGB	0	0	0	0	0	0	0	0
CHI3L1	2	0	1	0	2	1	1	1
CHI3L2	1	2	0	0	2	1	1	1
CHIAP2	0	0	0	0	0	0	0	0
CHIC1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CHIC2	3	4	13	3	13	4	6.66666666666667	5.5075705472861
CHID1	10	17	11	10	17	11	12.6666666666667	3.78593889720018
CHIT1	0	0	0	0	0	0	0	0
CHKA	0	0	4	0	4	0	1.33333333333333	2.3094010767585
CHKB	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CHKB-AS1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CHL1	0	0	0	0	0	0	0	0
CHM	9	8	10	8	10	9	9	1
CHML	4	3	9	3	9	4	5.33333333333333	3.21455025366432
CHMP1A	1	5	6	1	6	5	4	2.64575131106459
CHMP1B	17	17	16	16	17	17	16.6666666666667	0.577350269189626
CHMP2A	23	25	34	23	34	25	27.3333333333333	5.85946527708231
CHMP2B	10	9	21	9	21	10	13.3333333333333	6.65832811847939
CHMP3	1	0	1	0	1	1	0.666666666666667	0.577350269189626
CHMP4A	9	9	12	9	12	9	10	1.73205080756888
CHMP4B	4	8	12	4	12	8	8	4
CHMP4C	0	0	0	0	0	0	0	0
CHMP5	41	31	57	31	57	41	43	13.114877048604
CHMP6	1	0	3	0	3	1	1.33333333333333	1.52752523165195
CHMP7	1	2	3	1	3	2	2	1
CHN1	0	0	0	0	0	0	0	0
CHN2	0	1	1	0	1	1	0.666666666666667	0.577350269189626
CHODL	0	0	0	0	0	0	0	0
CHORDC1	7	8	22	7	22	8	12.3333333333333	8.38649708360608
CHP1	9	14	31	9	31	14	18	11.5325625946708
CHP2	0	0	0	0	0	0	0	0
CHPF	2	4	14	2	14	4	6.66666666666667	6.42910050732864
CHPF2	2	2	2	2	2	2	2	0
CHPT1	2	2	16	2	16	2	6.66666666666667	8.08290376865476
CHRAC1	7	4	7	4	7	7	6	1.73205080756888
CHRD	0	0	0	0	0	0	0	0
CHRDL1	0	1	1	0	1	1	0.666666666666667	0.577350269189626
CHRDL2	0	0	0	0	0	0	0	0
CHRM3	0	0	0	0	0	0	0	0
CHRM5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
CHRNA1	0	0	0	0	0	0	0	0
CHRNA10	0	0	0	0	0	0	0	0
CHRNA2	0	0	0	0	0	0	0	0
CHRNA3	0	0	0	0	0	0	0	0
CHRNA5	1	0	2	0	2	1	1	1
CHRNA7	0	0	0	0	0	0	0	0
CHRNA9	0	0	0	0	0	0	0	0
CHRNB1	1	2	7	1	7	2	3.33333333333333	3.21455025366432
CHRNB4	0	0	0	0	0	0	0	0
CHRND	0	0	0	0	0	0	0	0
CHRNE	0	0	0	0	0	0	0	0
CHRNG	0	0	0	0	0	0	0	0
CHST1	0	0	0	0	0	0	0	0
CHST10	0	0	0	0	0	0	0	0
CHST11	1	0	2	0	2	1	1	1
CHST12	1	0	1	0	1	1	0.666666666666667	0.577350269189626
CHST14	3	4	4	3	4	4	3.66666666666667	0.577350269189626
CHST15	2	3	2	2	3	2	2.33333333333333	0.577350269189626
CHST2	0	0	0	0	0	0	0	0
CHST3	1	3	3	1	3	3	2.33333333333333	1.15470053837925
CHST4	0	0	0	0	0	0	0	0
CHST5	0	0	2	0	2	0	0.666666666666667	1.15470053837925
CHST6	0	1	4	0	4	1	1.66666666666667	2.08166599946613
CHST7	3	1	2	1	3	2	2	1
CHSY1	1	5	7	1	7	5	4.33333333333333	3.05505046330389
CHSY3	1	2	1	1	2	1	1.33333333333333	0.577350269189626
CHTF18	0	0	0	0	0	0	0	0
CHTF8	6	5	7	5	7	6	6	1
CHTOP	1	2	6	1	6	2	3	2.64575131106459
CHUK	2	5	1	1	5	2	2.66666666666667	2.08166599946613
CHURC1	22	14	44	14	44	22	26.6666666666667	15.5349069303081
CIAO1	7	16	19	7	19	16	14	6.2449979983984
CIAPIN1	6	2	6	2	6	6	4.66666666666667	2.3094010767585
CIB1	0	4	2	0	4	2	2	2
CIB2	0	0	0	0	0	0	0	0
CIB3	0	0	0	0	0	0	0	0
CIC	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CIDEA	0	0	0	0	0	0	0	0
CIDEB	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CIDEC	2	0	2	0	2	2	1.33333333333333	1.15470053837925
CIDECP	3	3	11	3	11	3	5.66666666666667	4.61880215351701
CIITA	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CILP	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CILP2	0	0	0	0	0	0	0	0
CINP	4	7	9	4	9	7	6.66666666666667	2.51661147842358
CIR1	15	19	36	15	36	19	23.3333333333333	11.1504857891185
CIRBP	14	27	30	14	30	27	23.6666666666667	8.50490054811538
CIRBP-AS1	0	0	0	0	0	0	0	0
CIRH1A	4	5	12	4	12	5	7	4.35889894354067
CISD1	15	17	37	15	37	17	23	12.1655250605964
CISD2	3	3	19	3	19	3	8.33333333333333	9.23760430703401
CISD3	1	3	6	1	6	3	3.33333333333333	2.51661147842358
CISH	1	0	1	0	1	1	0.666666666666667	0.577350269189626
CIT	1	0	0	0	1	0	0.333333333333333	0.577350269189626
CITED1	0	0	0	0	0	0	0	0
CITED2	10	15	17	10	17	15	14	3.60555127546399
CITED4	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CIZ1	1	3	1	1	3	1	1.66666666666667	1.15470053837925
CKAP2	0	0	3	0	3	0	1	1.73205080756888
CKAP2L	0	0	0	0	0	0	0	0
CKAP4	28	28	55	28	55	28	37	15.5884572681199
CKAP5	10	15	25	10	25	15	16.6666666666667	7.63762615825973
CKB	2	2	2	2	2	2	2	0
CKLF	7	3	13	3	13	7	7.66666666666667	5.03322295684717
CKMT2	0	0	0	0	0	0	0	0
CKS1B	10	16	27	10	27	16	17.6666666666667	8.62167810425171
CKS2	9	12	18	9	18	12	13	4.58257569495584
CLASP1	4	7	4	4	7	4	5	1.73205080756888
CLASP2	4	2	2	2	4	2	2.66666666666667	1.15470053837925
CLASRP	0	0	0	0	0	0	0	0
CLCA2	0	0	0	0	0	0	0	0
CLCA3P	0	0	0	0	0	0	0	0
CLCC1	12	12	43	12	43	12	22.3333333333333	17.8978583448784
CLCF1	0	2	3	0	3	2	1.66666666666667	1.52752523165195
CLCN2	0	0	0	0	0	0	0	0
CLCN3	7	12	16	7	16	12	11.6666666666667	4.50924975282289
CLCN4	0	0	4	0	4	0	1.33333333333333	2.3094010767585
CLCN5	0	1	2	0	2	1	1	1
CLCN6	1	3	3	1	3	3	2.33333333333333	1.15470053837925
CLCN7	0	0	3	0	3	0	1	1.73205080756888
CLDN1	1	1	4	1	4	1	2	1.73205080756888
CLDN10	0	0	0	0	0	0	0	0
CLDN11	0	0	5	0	5	0	1.66666666666667	2.88675134594813
CLDN12	4	1	4	1	4	4	3	1.73205080756888
CLDN14	0	0	0	0	0	0	0	0
CLDN15	0	0	0	0	0	0	0	0
CLDN16	1	2	0	0	2	1	1	1
CLDN18	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CLDN19	1	1	2	1	2	1	1.33333333333333	0.577350269189626
CLDN2	0	0	0	0	0	0	0	0
CLDN20	0	0	0	0	0	0	0	0
CLDN23	0	0	0	0	0	0	0	0
CLDN3	0	0	0	0	0	0	0	0
CLDN5	2	0	0	0	2	0	0.666666666666667	1.15470053837925
CLDN6	0	0	0	0	0	0	0	0
CLDN7	0	0	0	0	0	0	0	0
CLDN9	0	0	0	0	0	0	0	0
CLDND1	9	11	20	9	20	11	13.3333333333333	5.85946527708231
CLDND2	0	0	0	0	0	0	0	0
CLEC10A	0	0	0	0	0	0	0	0
CLEC11A	3	0	1	0	3	1	1.33333333333333	1.52752523165195
CLEC12A	0	0	0	0	0	0	0	0
CLEC12B	0	0	0	0	0	0	0	0
CLEC14A	0	2	0	0	2	0	0.666666666666667	1.15470053837925
CLEC16A	0	1	1	0	1	1	0.666666666666667	0.577350269189626
CLEC17A	0	0	0	0	0	0	0	0
CLEC19A	0	0	0	0	0	0	0	0
CLEC1A	0	0	0	0	0	0	0	0
CLEC2B	14	18	33	14	33	18	21.6666666666667	10.0166528008778
CLEC2D	1	0	4	0	4	1	1.66666666666667	2.08166599946613
CLEC2L	0	0	0	0	0	0	0	0
CLEC3A	0	0	0	0	0	0	0	0
CLEC3B	0	0	0	0	0	0	0	0
CLEC4A	0	1	1	0	1	1	0.666666666666667	0.577350269189626
CLEC4C	0	0	0	0	0	0	0	0
CLEC4D	0	0	0	0	0	0	0	0
CLEC4E	0	0	0	0	0	0	0	0
CLEC4GP1	0	0	0	0	0	0	0	0
CLEC5A	0	0	0	0	0	0	0	0
CLEC7A	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CLGN	0	0	0	0	0	0	0	0
CLHC1	2	1	3	1	3	2	2	1
CLIC1	10	17	36	10	36	17	21	13.4536240470737
CLIC2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CLIC3	1	2	5	1	5	2	2.66666666666667	2.08166599946613
CLIC4	40	54	90	40	90	54	61.3333333333333	25.7940561628708
CLIC5	0	0	0	0	0	0	0	0
CLIC6	0	0	0	0	0	0	0	0
CLINT1	18	10	37	10	37	18	21.6666666666667	13.8684293751431
CLIP1	49	74	122	49	122	74	81.6666666666667	37.0989667421255
CLIP2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
CLIP3	2	0	4	0	4	2	2	2
CLIP4	7	9	29	7	29	9	15	12.1655250605964
CLK1	15	18	57	15	57	18	30	23.43074902772
CLK2	2	1	3	1	3	2	2	1
CLK3	3	1	2	1	3	2	2	1
CLK4	8	8	13	8	13	8	9.66666666666667	2.88675134594813
CLLU1	0	0	0	0	0	0	0	0
CLMN	0	0	0	0	0	0	0	0
CLMP	7	5	8	5	8	7	6.66666666666667	1.52752523165195
CLN3	0	1	5	0	5	1	2	2.64575131106459
CLN5	3	4	10	3	10	4	5.66666666666667	3.78593889720018
CLN6	0	0	0	0	0	0	0	0
CLN8	5	4	10	4	10	5	6.33333333333333	3.21455025366432
CLNS1A	4	5	12	4	12	5	7	4.35889894354067
CLOCK	11	2	7	2	11	7	6.66666666666667	4.50924975282289
CLP1	1	1	3	1	3	1	1.66666666666667	1.15470053837925
CLPB	0	0	0	0	0	0	0	0
CLPP	2	0	7	0	7	2	3	3.60555127546399
CLPS	0	0	0	0	0	0	0	0
CLPTM1	0	1	2	0	2	1	1	1
CLPTM1L	3	1	4	1	4	3	2.66666666666667	1.52752523165195
CLPX	2	3	7	2	7	3	4	2.64575131106459
CLRN3	0	0	0	0	0	0	0	0
CLSPN	0	1	1	0	1	1	0.666666666666667	0.577350269189626
CLSTN1	6	10	11	6	11	10	9	2.64575131106459
CLSTN2	0	0	0	0	0	0	0	0
CLSTN3	0	0	0	0	0	0	0	0
CLTA	20	19	37	19	37	20	25.3333333333333	10.1159939369957
CLTB	0	5	8	0	8	5	4.33333333333333	4.04145188432738
CLTC	21	35	62	21	62	35	39.3333333333333	20.8406653764541
CLTCL1	1	1	4	1	4	1	2	1.73205080756888
CLU	5	7	18	5	18	7	10	7
CLUAP1	9	10	7	7	10	9	8.66666666666667	1.52752523165195
CLUH	1	0	2	0	2	1	1	1
CLUHP3	0	0	0	0	0	0	0	0
CLUL1	0	0	0	0	0	0	0	0
CLVS1	0	0	0	0	0	0	0	0
CLYBL	0	0	0	0	0	0	0	0
CMA1	0	0	0	0	0	0	0	0
CMAHP	4	4	19	4	19	4	9	8.66025403784439
CMAS	2	3	11	2	11	3	5.33333333333333	4.93288286231625
CMBL	2	8	12	2	12	8	7.33333333333333	5.03322295684717
CMC1	2	2	1	1	2	2	1.66666666666667	0.577350269189626
CMC2	13	9	25	9	25	13	15.6666666666667	8.32666399786453
CMC4	3	4	6	3	6	4	4.33333333333333	1.52752523165195
CMIP	2	1	0	0	2	1	1	1
CMKLR1	0	1	2	0	2	1	1	1
CMPK1	22	18	38	18	38	22	26	10.5830052442584
CMPK2	0	0	0	0	0	0	0	0
CMSS1	12	6	19	6	19	12	12.3333333333333	6.50640709864771
CMTM2	0	0	0	0	0	0	0	0
CMTM3	3	2	5	2	5	3	3.33333333333333	1.52752523165195
CMTM4	2	1	3	1	3	2	2	1
CMTM5	0	0	0	0	0	0	0	0
CMTM6	3	8	25	3	25	8	12	11.5325625946708
CMTM7	2	2	1	1	2	2	1.66666666666667	0.577350269189626
CMTM8	0	0	0	0	0	0	0	0
CMYA5	0	0	0	0	0	0	0	0
CNBD2	0	0	0	0	0	0	0	0
CNBP	78	75	131	75	131	78	94.6666666666667	31.5013227235514
CNDP2	2	4	3	2	4	3	3	1
CNEP1R1	2	2	2	2	2	2	2	0
CNFN	1	0	0	0	1	0	0.333333333333333	0.577350269189626
CNGA1	0	0	2	0	2	0	0.666666666666667	1.15470053837925
CNGA3	0	0	0	0	0	0	0	0
CNGB1	1	1	1	1	1	1	1	0
CNIH	40	55	85	40	85	55	60	22.9128784747792
CNIH3	0	0	0	0	0	0	0	0
CNIH4	23	20	27	20	27	23	23.3333333333333	3.51188458428425
CNKSR1	0	0	0	0	0	0	0	0
CNKSR2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CNKSR3	0	1	1	0	1	1	0.666666666666667	0.577350269189626
CNN1	3	4	3	3	4	3	3.33333333333333	0.577350269189626
CNN2	24	27	45	24	45	27	32	11.3578166916005
CNN3	30	37	76	30	76	37	47.6666666666667	24.7857485933617
CNNM1	2	4	10	2	10	4	5.33333333333333	4.16333199893227
CNNM2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CNNM3	2	5	6	2	6	5	4.33333333333333	2.08166599946613
CNNM4	1	0	2	0	2	1	1	1
CNOT1	5	8	12	5	12	8	8.33333333333333	3.51188458428425
CNOT10	3	6	8	3	8	6	5.66666666666667	2.51661147842358
CNOT11	1	3	6	1	6	3	3.33333333333333	2.51661147842358
CNOT2	6	10	15	6	15	10	10.3333333333333	4.50924975282289
CNOT3	1	1	3	1	3	1	1.66666666666667	1.15470053837925
CNOT4	6	9	15	6	15	9	10	4.58257569495584
CNOT6	2	0	1	0	2	1	1	1
CNOT6L	1	5	14	1	14	5	6.66666666666667	6.65832811847939
CNOT7	3	7	15	3	15	7	8.33333333333333	6.11010092660779
CNOT8	5	5	11	5	11	5	7	3.46410161513775
CNP	1	1	1	1	1	1	1	0
CNPPD1	2	3	7	2	7	3	4	2.64575131106459
CNPY2	12	10	23	10	23	12	15	7
CNPY3	4	2	3	2	4	3	3	1
CNPY4	5	8	5	5	8	5	6	1.73205080756888
CNR1	0	0	0	0	0	0	0	0
CNRIP1	2	2	13	2	13	2	5.66666666666667	6.35085296108588
CNST	15	12	22	12	22	15	16.3333333333333	5.13160143944688
CNTD1	0	0	0	0	0	0	0	0
CNTD2	0	0	0	0	0	0	0	0
CNTLN	3	1	5	1	5	3	3	2
CNTN1	0	0	0	0	0	0	0	0
CNTN2	0	0	0	0	0	0	0	0
CNTN3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CNTN4	1	1	5	1	5	1	2.33333333333333	2.3094010767585
CNTN5	0	0	0	0	0	0	0	0
CNTN6	0	0	0	0	0	0	0	0
CNTNAP1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
CNTNAP2	0	0	0	0	0	0	0	0
CNTNAP3	0	0	0	0	0	0	0	0
CNTNAP3B	0	0	1	0	1	0	0.333333333333333	0.577350269189626
CNTNAP5	0	0	0	0	0	0	0	0
CNTRL	3	3	8	3	8	3	4.66666666666667	2.88675134594813
CNTROB	1	2	0	0	2	1	1	1
COA1	5	11	10	5	11	10	8.66666666666667	3.21455025366432
COA3	18	7	19	7	19	18	14.6666666666667	6.65832811847939
COA4	14	11	25	11	25	14	16.6666666666667	7.37111479583199
COA5	5	7	13	5	13	7	8.33333333333333	4.16333199893227
COA6	10	3	5	3	10	5	6	3.60555127546399
COASY	1	5	10	1	10	5	5.33333333333333	4.50924975282289
COBLL1	7	4	2	2	7	4	4.33333333333333	2.51661147842358
COCH	0	0	0	0	0	0	0	0
COG1	0	2	2	0	2	2	1.33333333333333	1.15470053837925
COG2	3	10	8	3	10	8	7	3.60555127546399
COG3	5	2	4	2	5	4	3.66666666666667	1.52752523165195
COG4	1	4	9	1	9	4	4.66666666666667	4.04145188432738
COG5	2	6	6	2	6	6	4.66666666666667	2.3094010767585
COG6	3	4	5	3	5	4	4	1
COG7	4	1	5	1	5	4	3.33333333333333	2.08166599946613
COG8	1	0	0	0	1	0	0.333333333333333	0.577350269189626
COIL	8	4	9	4	9	8	7	2.64575131106459
COL10A1	0	0	0	0	0	0	0	0
COL11A1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
COL11A2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
COL12A1	54	75	110	54	110	75	79.6666666666667	28.2901631902917
COL13A1	0	0	0	0	0	0	0	0
COL14A1	24	19	55	19	55	24	32.6666666666667	19.5021366350801
COL15A1	17	17	30	17	30	17	21.3333333333333	7.50555349946513
COL16A1	4	7	18	4	18	7	9.66666666666667	7.37111479583199
COL17A1	0	0	0	0	0	0	0	0
COL18A1	3	6	7	3	7	6	5.33333333333333	2.08166599946613
COL18A1-AS1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
COL19A1	0	0	0	0	0	0	0	0
COL1A1	512	693	921	512	921	693	708.666666666667	204.949587297299
COL1A2	841	1156	1435	841	1435	1156	1144	297.181762562914
COL21A1	1	2	13	1	13	2	5.33333333333333	6.65832811847939
COL22A1	0	0	0	0	0	0	0	0
COL23A1	0	0	0	0	0	0	0	0
COL24A1	0	0	0	0	0	0	0	0
COL25A1	0	0	0	0	0	0	0	0
COL26A1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
COL27A1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
COL28A1	0	0	0	0	0	0	0	0
COL3A1	142	158	206	142	206	158	168.666666666667	33.3066559914581
COL4A1	68	85	151	68	151	85	101.333333333333	43.844421918111
COL4A2	16	18	39	16	39	18	24.3333333333333	12.7410099024109
COL4A3	0	0	4	0	4	0	1.33333333333333	2.3094010767585
COL4A3BP	6	5	10	5	10	6	7	2.64575131106459
COL4A4	5	3	9	3	9	5	5.66666666666667	3.05505046330389
COL4A5	1	1	0	0	1	1	0.666666666666667	0.577350269189626
COL4A6	1	0	0	0	1	0	0.333333333333333	0.577350269189626
COL5A1	49	58	88	49	88	58	65	20.4205778566621
COL5A2	69	68	142	68	142	69	93	42.4381903478459
COL5A3	0	0	1	0	1	0	0.333333333333333	0.577350269189626
COL6A1	75	74	133	74	133	75	94	33.7786915081091
COL6A2	3	12	24	3	24	12	13	10.5356537528527
COL6A3	76	132	188	76	188	132	132	56
COL6A4P1	0	0	0	0	0	0	0	0
COL6A4P2	0	0	0	0	0	0	0	0
COL6A6	0	0	0	0	0	0	0	0
COL7A1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
COL8A1	13	4	19	4	19	13	12	7.54983443527075
COL8A2	5	12	3	3	12	5	6.66666666666667	4.72581562625261
COL9A2	0	0	1	0	1	0	0.333333333333333	0.577350269189626
COL9A3	0	0	0	0	0	0	0	0
COLEC10	1	0	0	0	1	0	0.333333333333333	0.577350269189626
COLEC11	0	0	0	0	0	0	0	0
COLEC12	0	1	5	0	5	1	2	2.64575131106459
COLGALT1	6	6	14	6	14	6	8.66666666666667	4.61880215351701
COLGALT2	0	3	1	0	3	1	1.33333333333333	1.52752523165195
COLQ	0	0	0	0	0	0	0	0
COMMD1	3	16	13	3	16	13	10.6666666666667	6.80685928555405
COMMD10	3	7	7	3	7	7	5.66666666666667	2.3094010767585
COMMD2	10	12	19	10	19	12	13.6666666666667	4.72581562625261
COMMD3	15	20	26	15	26	20	20.3333333333333	5.5075705472861
COMMD3-BMI1	0	0	1	0	1	0	0.333333333333333	0.577350269189626
COMMD4	1	3	9	1	9	3	4.33333333333333	4.16333199893227
COMMD5	0	2	5	0	5	2	2.33333333333333	2.51661147842358
COMMD6	154	185	305	154	305	185	214.666666666667	79.7516979965526
COMMD7	2	5	4	2	5	4	3.66666666666667	1.52752523165195
COMMD8	7	3	14	3	14	7	8	5.56776436283002
COMMD9	12	11	15	11	15	12	12.6666666666667	2.08166599946613
COMP	26	28	29	26	29	28	27.6666666666667	1.52752523165195
COMT	9	24	53	9	53	24	28.6666666666667	22.3681320930768
COMTD1	0	0	0	0	0	0	0	0
COPA	13	22	35	13	35	22	23.3333333333333	11.060440015358
COPB1	21	28	41	21	41	28	30	10.1488915650922
COPB2	21	29	46	21	46	29	32	12.7671453348037
COPE	3	1	2	1	3	2	2	1
COPG1	20	12	42	12	42	20	24.6666666666667	15.5349069303081
COPG2	2	0	4	0	4	2	2	2
COPRS	6	9	15	6	15	9	10	4.58257569495584
COPS2	18	21	52	18	52	21	30.3333333333333	18.8237438713273
COPS3	16	8	30	8	30	16	18	11.13552872566
COPS4	4	10	19	4	19	10	11	7.54983443527075
COPS5	4	7	23	4	23	7	11.3333333333333	10.2143689640297
COPS6	4	3	10	3	10	4	5.66666666666667	3.78593889720018
COPS7A	6	4	14	4	14	6	8	5.29150262212918
COPS7B	3	0	3	0	3	3	2	1.73205080756888
COPS8	12	16	34	12	34	16	20.6666666666667	11.7189305541646
COPZ1	21	30	45	21	45	30	32	12.1243556529821
COPZ2	11	17	22	11	22	17	16.6666666666667	5.5075705472861
COQ10A	1	1	2	1	2	1	1.33333333333333	0.577350269189626
COQ10B	9	13	12	9	13	12	11.3333333333333	2.08166599946613
COQ2	2	0	0	0	2	0	0.666666666666667	1.15470053837925
COQ3	0	1	2	0	2	1	1	1
COQ4	1	3	6	1	6	3	3.33333333333333	2.51661147842358
COQ5	3	5	7	3	7	5	5	2
COQ6	1	2	2	1	2	2	1.66666666666667	0.577350269189626
COQ7	1	0	3	0	3	1	1.33333333333333	1.52752523165195
COQ9	4	6	10	4	10	6	6.66666666666667	3.05505046330389
CORIN	0	0	0	0	0	0	0	0
CORO1B	0	0	0	0	0	0	0	0
CORO1C	5	9	22	5	22	9	12	8.88819441731559
CORO2A	1	5	4	1	5	4	3.33333333333333	2.08166599946613
CORO2B	2	2	5	2	5	2	3	1.73205080756888
CORO6	0	0	0	0	0	0	0	0
CORO7	0	0	0	0	0	0	0	0
CORT	0	0	0	0	0	0	0	0
COTL1	5	4	5	4	5	5	4.66666666666667	0.577350269189626
COX10	0	1	3	0	3	1	1.33333333333333	1.52752523165195
COX10-AS1	0	0	2	0	2	0	0.666666666666667	1.15470053837925
COX11	1	2	5	1	5	2	2.66666666666667	2.08166599946613
COX14	19	19	36	19	36	19	24.6666666666667	9.81495457622364
COX15	6	1	13	1	13	6	6.66666666666667	6.02771377334171
COX16	3	6	7	3	7	6	5.33333333333333	2.08166599946613
COX17	30	38	55	30	55	38	41	12.7671453348037
COX18	5	6	8	5	8	6	6.33333333333333	1.52752523165195
COX19	3	6	7	3	7	6	5.33333333333333	2.08166599946613
COX20	6	4	10	4	10	6	6.66666666666667	3.05505046330389
COX4I1	111	149	287	111	287	149	182.333333333333	92.6138938460819
COX5A	6	5	7	5	7	6	6	1
COX5B	20	26	39	20	39	26	28.3333333333333	9.71253485622231
COX6A1	91	107	204	91	204	107	134	61.1473629848418
COX6A2	0	0	0	0	0	0	0	0
COX6B1	73	88	156	73	156	88	105.666666666667	44.2304570780512
COX6B2	1	3	3	1	3	3	2.33333333333333	1.15470053837925
COX6C	75	76	118	75	118	76	89.6666666666667	24.5424801789333
COX7A1	25	28	35	25	35	28	29.3333333333333	5.13160143944688
COX7A2	91	99	184	91	184	99	124.666666666667	51.5396287659635
COX7A2L	71	61	129	61	129	71	87	36.7151195013716
COX7B	27	43	63	27	63	43	44.3333333333333	18.0369990112916
COX7C	76	96	195	76	195	96	122.333333333333	63.7207449213624
COX8A	48	48	87	48	87	48	61	22.5166604983954
COX8C	0	0	0	0	0	0	0	0
CP	0	0	0	0	0	0	0	0
CPA1	0	0	0	0	0	0	0	0
CPA2	0	0	0	0	0	0	0	0
CPA3	0	0	0	0	0	0	0	0
CPA4	4	8	7	4	8	7	6.33333333333333	2.08166599946613
CPA5	0	0	0	0	0	0	0	0
CPA6	0	0	0	0	0	0	0	0
CPAMD8	0	0	0	0	0	0	0	0
CPB1	0	0	0	0	0	0	0	0
CPB2	0	0	0	0	0	0	0	0
CPB2-AS1	8	4	12	4	12	8	8	4
CPD	9	15	23	9	23	15	15.6666666666667	7.02376916856849
CPE	7	9	14	7	14	9	10	3.60555127546399
CPEB1	0	1	2	0	2	1	1	1
CPEB2	4	8	10	4	10	8	7.33333333333333	3.05505046330389
CPEB3	1	1	0	0	1	1	0.666666666666667	0.577350269189626
CPEB4	2	7	7	2	7	7	5.33333333333333	2.88675134594813
CPED1	2	1	1	1	2	1	1.33333333333333	0.577350269189626
CPLX1	0	0	0	0	0	0	0	0
CPLX4	0	0	0	0	0	0	0	0
CPM	6	5	12	5	12	6	7.66666666666667	3.78593889720018
CPN1	0	0	0	0	0	0	0	0
CPNE1	7	6	10	6	10	7	7.66666666666667	2.08166599946613
CPNE2	5	1	0	0	5	1	2	2.64575131106459
CPNE3	17	14	36	14	36	17	22.3333333333333	11.9303534454489
CPNE5	0	0	0	0	0	0	0	0
CPNE7	0	0	0	0	0	0	0	0
CPNE8	8	3	4	3	8	4	5	2.64575131106459
CPNE9	0	0	0	0	0	0	0	0
CPO	0	0	0	0	0	0	0	0
CPOX	5	3	4	3	5	4	4	1
CPPED1	3	3	3	3	3	3	3	0
CPQ	10	4	25	4	25	10	13	10.816653826392
CPS1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
CPSF1	1	1	2	1	2	1	1.33333333333333	0.577350269189626
CPSF2	13	17	21	13	21	17	17	4
CPSF3	4	8	5	4	8	5	5.66666666666667	2.08166599946613
CPSF3L	1	1	4	1	4	1	2	1.73205080756888
CPSF4	3	7	8	3	8	7	6	2.64575131106459
